# Архангельск / Облачность / 0-6ч / ECMWF AIFS
# n=38, MAE=13.158, RMSE=16.952, bias=-9.368
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (16.952/38.044)^2 = 0.8014  (RMSE_персистентности по 38 пар(ам))
# persistence = последнее показание станции на (valid_time − 24ч), т.е. «то же время суток вчера», а не «на момент забора прогноза»
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-06T12:00:00Z,2.2,88.0,87.5,37.5,0.5,0.5
2026-08-06T09:50:07Z,2026-08-06T15:00:00Z,5.2,97.0,87.5,25.0,9.5,9.5
2026-08-06T09:59:18Z,2026-08-06T12:00:00Z,2.0,88.0,87.5,37.5,0.5,0.5
2026-08-06T09:59:18Z,2026-08-06T15:00:00Z,5.0,97.0,87.5,25.0,9.5,9.5
2026-08-06T10:08:26Z,2026-08-06T12:00:00Z,1.9,88.0,87.5,37.5,0.5,0.5
2026-08-06T10:08:26Z,2026-08-06T15:00:00Z,4.9,97.0,87.5,25.0,9.5,9.5
2026-08-06T10:47:54Z,2026-08-06T12:00:00Z,1.2,88.0,87.5,37.5,0.5,0.5
2026-08-06T10:47:54Z,2026-08-06T15:00:00Z,4.2,97.0,87.5,25.0,9.5,9.5
2026-08-06T11:30:42Z,2026-08-06T12:00:00Z,0.5,88.0,87.5,37.5,0.5,0.5
2026-08-06T11:30:42Z,2026-08-06T15:00:00Z,3.5,97.0,87.5,25.0,9.5,9.5
2026-08-06T11:36:01Z,2026-08-06T12:00:00Z,0.4,88.0,87.5,37.5,0.5,0.5
2026-08-06T11:36:01Z,2026-08-06T15:00:00Z,3.4,97.0,87.5,25.0,9.5,9.5
2026-08-06T11:44:08Z,2026-08-06T12:00:00Z,0.3,85.0,87.5,37.5,-2.5,2.5
2026-08-06T11:44:08Z,2026-08-06T15:00:00Z,3.3,94.0,87.5,25.0,6.5,6.5
2026-08-07T01:31:32Z,2026-08-07T03:00:00Z,1.5,100.0,100.0,25.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-07T06:00:00Z,4.5,99.0,100.0,62.5,-1.0,1.0
2026-08-07T05:36:00Z,2026-08-07T06:00:00Z,0.4,99.0,100.0,62.5,-1.0,1.0
2026-08-07T05:36:00Z,2026-08-07T09:00:00Z,3.4,84.0,100.0,87.5,-16.0,16.0
2026-08-07T06:18:59Z,2026-08-07T09:00:00Z,2.7,82.0,100.0,87.5,-18.0,18.0
2026-08-07T06:18:59Z,2026-08-07T12:00:00Z,5.7,63.0,87.5,87.5,-24.5,24.5
2026-08-07T07:13:52Z,2026-08-07T09:00:00Z,1.8,82.0,100.0,87.5,-18.0,18.0
2026-08-07T07:13:52Z,2026-08-07T12:00:00Z,4.8,63.0,87.5,87.5,-24.5,24.5
2026-08-07T10:39:14Z,2026-08-07T12:00:00Z,1.3,63.0,87.5,87.5,-24.5,24.5
2026-08-07T10:39:14Z,2026-08-07T15:00:00Z,4.3,58.0,87.5,87.5,-29.5,29.5
2026-08-07T16:51:54Z,2026-08-07T18:00:00Z,1.1,61.0,87.5,100.0,-26.5,26.5
2026-08-07T16:51:54Z,2026-08-07T21:00:00Z,4.1,61.0,87.5,100.0,-26.5,26.5
2026-08-07T22:45:57Z,2026-08-08T00:00:00Z,1.2,63.0,100.0,100.0,-37.0,37.0
2026-08-07T22:45:57Z,2026-08-08T03:00:00Z,4.2,79.0,100.0,100.0,-21.0,21.0
2026-08-07T23:19:23Z,2026-08-08T00:00:00Z,0.7,63.0,100.0,100.0,-37.0,37.0
2026-08-07T23:19:23Z,2026-08-08T03:00:00Z,3.7,79.0,100.0,100.0,-21.0,21.0
2026-08-08T04:50:53Z,2026-08-08T06:00:00Z,1.2,88.0,100.0,100.0,-12.0,12.0
2026-08-08T04:50:53Z,2026-08-08T09:00:00Z,4.2,80.0,100.0,100.0,-20.0,20.0
2026-08-08T10:18:13Z,2026-08-08T12:00:00Z,1.7,74.0,100.0,87.5,-26.0,26.0
2026-08-08T10:18:13Z,2026-08-08T15:00:00Z,4.7,79.0,87.5,87.5,-8.5,8.5
2026-08-08T22:37:20Z,2026-08-09T00:00:00Z,1.4,93.0,87.5,100.0,5.5,5.5
2026-08-08T22:37:20Z,2026-08-09T03:00:00Z,4.4,90.0,100.0,100.0,-10.0,10.0
2026-08-09T04:59:03Z,2026-08-09T06:00:00Z,1.0,84.0,100.0,100.0,-16.0,16.0
2026-08-09T04:59:03Z,2026-08-09T09:00:00Z,4.0,68.0,75.0,100.0,-7.0,7.0
