# Архангельск / Облачность / 0-6ч / JMA (Япония)
# n=54, MAE=24.676, RMSE=29.479, bias=-24.676
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (29.479/12.148)^2 = -4.8888  (RMSE_персистентности по 54 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-06T12:00:00Z,2.2,66.0,87.5,87.5,-21.5,21.5
2026-08-06T09:50:07Z,2026-08-06T15:00:00Z,5.2,76.0,87.5,87.5,-11.5,11.5
2026-08-06T09:59:18Z,2026-08-06T12:00:00Z,2.0,66.0,87.5,87.5,-21.5,21.5
2026-08-06T09:59:18Z,2026-08-06T15:00:00Z,5.0,76.0,87.5,87.5,-11.5,11.5
2026-08-06T10:08:26Z,2026-08-06T12:00:00Z,1.9,66.0,87.5,87.5,-21.5,21.5
2026-08-06T10:08:26Z,2026-08-06T15:00:00Z,4.9,76.0,87.5,87.5,-11.5,11.5
2026-08-06T10:47:54Z,2026-08-06T12:00:00Z,1.2,66.0,87.5,87.5,-21.5,21.5
2026-08-06T10:47:54Z,2026-08-06T15:00:00Z,4.2,76.0,87.5,87.5,-11.5,11.5
2026-08-06T11:30:42Z,2026-08-06T12:00:00Z,0.5,66.0,87.5,87.5,-21.5,21.5
2026-08-06T11:30:42Z,2026-08-06T15:00:00Z,3.5,76.0,87.5,87.5,-11.5,11.5
2026-08-06T11:36:01Z,2026-08-06T12:00:00Z,0.4,66.0,87.5,87.5,-21.5,21.5
2026-08-06T11:36:01Z,2026-08-06T15:00:00Z,3.4,76.0,87.5,87.5,-11.5,11.5
2026-08-06T11:44:08Z,2026-08-06T12:00:00Z,0.3,66.0,87.5,87.5,-21.5,21.5
2026-08-06T11:44:08Z,2026-08-06T15:00:00Z,3.3,76.0,87.5,87.5,-11.5,11.5
2026-08-07T01:31:32Z,2026-08-07T03:00:00Z,1.5,97.0,100.0,100.0,-3.0,3.0
2026-08-07T01:31:32Z,2026-08-07T06:00:00Z,4.5,90.0,100.0,100.0,-10.0,10.0
2026-08-07T05:36:00Z,2026-08-07T06:00:00Z,0.4,94.0,100.0,100.0,-6.0,6.0
2026-08-07T05:36:00Z,2026-08-07T09:00:00Z,3.4,88.0,100.0,100.0,-12.0,12.0
