# Архангельск / Облачность / 0-6ч / ARPEGE (Франция)
# n=149, MAE=13.876, RMSE=22.617, bias=-6.117
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (22.617/22.806)^2 = 0.0166  (RMSE_персистентности по 149 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-06T12:00:00Z,2.2,82.0,87.5,87.5,-5.5,5.5
2026-08-06T09:50:07Z,2026-08-06T15:00:00Z,5.2,92.0,87.5,87.5,4.5,4.5
2026-08-06T09:59:18Z,2026-08-06T12:00:00Z,2.0,82.0,87.5,87.5,-5.5,5.5
2026-08-06T09:59:18Z,2026-08-06T15:00:00Z,5.0,92.0,87.5,87.5,4.5,4.5
2026-08-06T10:08:26Z,2026-08-06T12:00:00Z,1.9,82.0,87.5,87.5,-5.5,5.5
2026-08-06T10:08:26Z,2026-08-06T15:00:00Z,4.9,92.0,87.5,87.5,4.5,4.5
2026-08-06T10:47:54Z,2026-08-06T12:00:00Z,1.2,92.0,87.5,87.5,4.5,4.5
2026-08-06T10:47:54Z,2026-08-06T15:00:00Z,4.2,79.0,87.5,87.5,-8.5,8.5
2026-08-06T11:30:42Z,2026-08-06T12:00:00Z,0.5,92.0,87.5,87.5,4.5,4.5
2026-08-06T11:30:42Z,2026-08-06T15:00:00Z,3.5,79.0,87.5,87.5,-8.5,8.5
2026-08-06T11:36:01Z,2026-08-06T12:00:00Z,0.4,92.0,87.5,87.5,4.5,4.5
2026-08-06T11:36:01Z,2026-08-06T15:00:00Z,3.4,79.0,87.5,87.5,-8.5,8.5
2026-08-06T11:44:08Z,2026-08-06T12:00:00Z,0.3,92.0,87.5,87.5,4.5,4.5
2026-08-06T11:44:08Z,2026-08-06T15:00:00Z,3.3,79.0,87.5,87.5,-8.5,8.5
2026-08-07T01:31:32Z,2026-08-07T03:00:00Z,1.5,100.0,100.0,100.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-07T06:00:00Z,4.5,100.0,100.0,100.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-07T06:00:00Z,0.4,100.0,100.0,100.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-07T09:00:00Z,3.4,100.0,100.0,100.0,0.0,0.0
2026-08-07T06:18:59Z,2026-08-07T09:00:00Z,2.7,100.0,100.0,100.0,0.0,0.0
2026-08-07T06:18:59Z,2026-08-07T12:00:00Z,5.7,100.0,87.5,100.0,12.5,12.5
2026-08-07T07:13:52Z,2026-08-07T09:00:00Z,1.8,100.0,100.0,100.0,0.0,0.0
2026-08-07T07:13:52Z,2026-08-07T12:00:00Z,4.8,100.0,87.5,100.0,12.5,12.5
2026-08-07T10:39:14Z,2026-08-07T12:00:00Z,1.3,81.0,87.5,100.0,-6.5,6.5
2026-08-07T10:39:14Z,2026-08-07T15:00:00Z,4.3,100.0,87.5,100.0,12.5,12.5
2026-08-07T16:51:54Z,2026-08-07T18:00:00Z,1.1,45.0,87.5,87.5,-42.5,42.5
2026-08-07T16:51:54Z,2026-08-07T21:00:00Z,4.1,79.0,87.5,87.5,-8.5,8.5
2026-08-07T22:45:57Z,2026-08-08T00:00:00Z,1.2,88.0,100.0,87.5,-12.0,12.0
2026-08-07T22:45:57Z,2026-08-08T03:00:00Z,4.2,100.0,100.0,87.5,0.0,0.0
2026-08-07T23:19:23Z,2026-08-08T00:00:00Z,0.7,88.0,100.0,87.5,-12.0,12.0
2026-08-07T23:19:23Z,2026-08-08T03:00:00Z,3.7,100.0,100.0,87.5,0.0,0.0
2026-08-08T04:50:53Z,2026-08-08T06:00:00Z,1.2,100.0,100.0,100.0,0.0,0.0
2026-08-08T04:50:53Z,2026-08-08T09:00:00Z,4.2,74.0,100.0,100.0,-26.0,26.0
2026-08-08T10:18:13Z,2026-08-08T12:00:00Z,1.7,100.0,100.0,100.0,0.0,0.0
2026-08-08T10:18:13Z,2026-08-08T15:00:00Z,4.7,77.0,87.5,100.0,-10.5,10.5
2026-08-08T22:37:20Z,2026-08-09T00:00:00Z,1.4,99.0,87.5,87.5,11.5,11.5
2026-08-08T22:37:20Z,2026-08-09T03:00:00Z,4.4,74.0,100.0,87.5,-26.0,26.0
2026-08-09T04:59:03Z,2026-08-09T06:00:00Z,1.0,78.0,100.0,100.0,-22.0,22.0
2026-08-09T04:59:03Z,2026-08-09T09:00:00Z,4.0,57.0,75.0,100.0,-18.0,18.0
2026-08-09T10:19:29Z,2026-08-09T12:00:00Z,1.7,33.0,75.0,75.0,-42.0,42.0
2026-08-09T10:19:29Z,2026-08-09T15:00:00Z,4.7,35.0,87.5,75.0,-52.5,52.5
2026-08-09T12:41:38Z,2026-08-09T15:00:00Z,2.3,47.0,87.5,75.0,-40.5,40.5
2026-08-09T12:41:38Z,2026-08-09T18:00:00Z,5.3,24.0,75.0,75.0,-51.0,51.0
2026-08-09T12:45:53Z,2026-08-09T15:00:00Z,2.2,47.0,87.5,75.0,-40.5,40.5
2026-08-09T12:45:53Z,2026-08-09T18:00:00Z,5.2,24.0,75.0,75.0,-51.0,51.0
2026-08-09T12:48:15Z,2026-08-09T15:00:00Z,2.2,47.0,87.5,75.0,-40.5,40.5
