# Архангельск / Облачность / 0-6ч / UKMO (Британия)
# n=151, MAE=20.262, RMSE=31.338, bias=-8.427
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (31.338/23.374)^2 = -0.7974  (RMSE_персистентности по 151 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-06T12:00:00Z,2.2,100.0,87.5,87.5,12.5,12.5
2026-08-06T09:50:07Z,2026-08-06T15:00:00Z,5.2,100.0,87.5,87.5,12.5,12.5
2026-08-06T09:59:18Z,2026-08-06T12:00:00Z,2.0,100.0,87.5,87.5,12.5,12.5
2026-08-06T09:59:18Z,2026-08-06T15:00:00Z,5.0,100.0,87.5,87.5,12.5,12.5
2026-08-06T10:08:26Z,2026-08-06T12:00:00Z,1.9,100.0,87.5,87.5,12.5,12.5
2026-08-06T10:08:26Z,2026-08-06T15:00:00Z,4.9,100.0,87.5,87.5,12.5,12.5
2026-08-06T10:47:54Z,2026-08-06T12:00:00Z,1.2,100.0,87.5,87.5,12.5,12.5
2026-08-06T10:47:54Z,2026-08-06T15:00:00Z,4.2,100.0,87.5,87.5,12.5,12.5
2026-08-06T11:30:42Z,2026-08-06T12:00:00Z,0.5,100.0,87.5,87.5,12.5,12.5
2026-08-06T11:30:42Z,2026-08-06T15:00:00Z,3.5,100.0,87.5,87.5,12.5,12.5
2026-08-06T11:36:01Z,2026-08-06T12:00:00Z,0.4,100.0,87.5,87.5,12.5,12.5
2026-08-06T11:36:01Z,2026-08-06T15:00:00Z,3.4,100.0,87.5,87.5,12.5,12.5
2026-08-06T11:44:08Z,2026-08-06T12:00:00Z,0.3,100.0,87.5,87.5,12.5,12.5
2026-08-06T11:44:08Z,2026-08-06T15:00:00Z,3.3,100.0,87.5,87.5,12.5,12.5
2026-08-07T01:31:32Z,2026-08-07T03:00:00Z,1.5,100.0,100.0,100.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-07T06:00:00Z,4.5,100.0,100.0,100.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-07T06:00:00Z,0.4,100.0,100.0,100.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-07T09:00:00Z,3.4,84.0,100.0,100.0,-16.0,16.0
2026-08-07T06:18:59Z,2026-08-07T09:00:00Z,2.7,84.0,100.0,100.0,-16.0,16.0
2026-08-07T06:18:59Z,2026-08-07T12:00:00Z,5.7,20.0,87.5,100.0,-67.5,67.5
2026-08-07T07:13:52Z,2026-08-07T09:00:00Z,1.8,84.0,100.0,100.0,-16.0,16.0
2026-08-07T07:13:52Z,2026-08-07T12:00:00Z,4.8,20.0,87.5,100.0,-67.5,67.5
2026-08-07T10:39:14Z,2026-08-07T12:00:00Z,1.3,16.0,87.5,100.0,-71.5,71.5
2026-08-07T10:39:14Z,2026-08-07T15:00:00Z,4.3,100.0,87.5,100.0,12.5,12.5
2026-08-07T16:51:54Z,2026-08-07T18:00:00Z,1.1,67.0,87.5,87.5,-20.5,20.5
2026-08-07T16:51:54Z,2026-08-07T21:00:00Z,4.1,72.0,87.5,87.5,-15.5,15.5
2026-08-07T22:45:57Z,2026-08-08T00:00:00Z,1.2,42.0,100.0,87.5,-58.0,58.0
2026-08-07T22:45:57Z,2026-08-08T03:00:00Z,4.2,98.0,100.0,87.5,-2.0,2.0
2026-08-07T23:19:23Z,2026-08-08T00:00:00Z,0.7,42.0,100.0,87.5,-58.0,58.0
2026-08-07T23:19:23Z,2026-08-08T03:00:00Z,3.7,98.0,100.0,87.5,-2.0,2.0
2026-08-08T04:50:53Z,2026-08-08T06:00:00Z,1.2,100.0,100.0,100.0,0.0,0.0
2026-08-08T04:50:53Z,2026-08-08T09:00:00Z,4.2,92.0,100.0,100.0,-8.0,8.0
2026-08-08T10:18:13Z,2026-08-08T12:00:00Z,1.7,36.0,100.0,100.0,-64.0,64.0
2026-08-08T10:18:13Z,2026-08-08T15:00:00Z,4.7,16.0,87.5,100.0,-71.5,71.5
2026-08-08T22:37:20Z,2026-08-09T00:00:00Z,1.4,100.0,87.5,87.5,12.5,12.5
2026-08-08T22:37:20Z,2026-08-09T03:00:00Z,4.4,91.0,100.0,87.5,-9.0,9.0
2026-08-09T04:59:03Z,2026-08-09T06:00:00Z,1.0,77.0,100.0,100.0,-23.0,23.0
2026-08-09T04:59:03Z,2026-08-09T09:00:00Z,4.0,100.0,75.0,100.0,25.0,25.0
2026-08-09T10:19:29Z,2026-08-09T12:00:00Z,1.7,14.0,75.0,75.0,-61.0,61.0
2026-08-09T10:19:29Z,2026-08-09T15:00:00Z,4.7,28.0,87.5,75.0,-59.5,59.5
2026-08-09T12:41:38Z,2026-08-09T15:00:00Z,2.3,28.0,87.5,75.0,-59.5,59.5
2026-08-09T12:41:38Z,2026-08-09T18:00:00Z,5.3,47.0,75.0,75.0,-28.0,28.0
2026-08-09T12:45:53Z,2026-08-09T15:00:00Z,2.2,28.0,87.5,75.0,-59.5,59.5
2026-08-09T12:45:53Z,2026-08-09T18:00:00Z,5.2,47.0,75.0,75.0,-28.0,28.0
2026-08-09T12:48:15Z,2026-08-09T15:00:00Z,2.2,28.0,87.5,75.0,-59.5,59.5
2026-08-09T12:48:15Z,2026-08-09T18:00:00Z,5.2,47.0,75.0,75.0,-28.0,28.0
2026-08-09T16:31:44Z,2026-08-09T18:00:00Z,1.5,8.0,75.0,87.5,-67.0,67.0
2026-08-09T16:31:44Z,2026-08-09T21:00:00Z,4.5,73.0,37.5,87.5,35.5,35.5
2026-08-09T22:39:09Z,2026-08-10T00:00:00Z,1.3,100.0,37.5,37.5,62.5,62.5
2026-08-09T22:39:09Z,2026-08-10T03:00:00Z,4.3,100.0,87.5,37.5,12.5,12.5
2026-08-10T05:20:42Z,2026-08-10T06:00:00Z,0.7,100.0,87.5,87.5,12.5,12.5
2026-08-10T05:20:42Z,2026-08-10T09:00:00Z,3.7,91.0,87.5,87.5,3.5,3.5
2026-08-10T10:53:28Z,2026-08-10T12:00:00Z,1.1,94.0,87.5,87.5,6.5,6.5
2026-08-10T10:53:28Z,2026-08-10T15:00:00Z,4.1,94.0,87.5,87.5,6.5,6.5
2026-08-10T16:52:05Z,2026-08-10T18:00:00Z,1.1,52.0,75.0,87.5,-23.0,23.0
2026-08-10T16:52:05Z,2026-08-10T21:00:00Z,4.1,44.0,100.0,87.5,-56.0,56.0
2026-08-10T22:47:13Z,2026-08-11T00:00:00Z,1.2,23.0,100.0,100.0,-77.0,77.0
2026-08-10T22:47:13Z,2026-08-11T03:00:00Z,4.2,0.0,12.5,100.0,-12.5,12.5
2026-08-11T05:01:49Z,2026-08-11T06:00:00Z,1.0,86.0,75.0,12.5,11.0,11.0
2026-08-11T05:01:49Z,2026-08-11T09:00:00Z,4.0,88.0,87.5,12.5,0.5,0.5
2026-08-11T10:38:45Z,2026-08-11T12:00:00Z,1.4,100.0,87.5,87.5,12.5,12.5
2026-08-11T10:38:45Z,2026-08-11T15:00:00Z,4.4,100.0,100.0,87.5,0.0,0.0
2026-08-12T10:47:03Z,2026-08-12T12:00:00Z,1.2,100.0,100.0,100.0,0.0,0.0
2026-08-12T10:47:03Z,2026-08-12T15:00:00Z,4.2,61.0,100.0,100.0,-39.0,39.0
2026-08-12T16:54:57Z,2026-08-12T18:00:00Z,1.1,100.0,100.0,100.0,0.0,0.0
2026-08-12T16:54:57Z,2026-08-12T21:00:00Z,4.1,100.0,100.0,100.0,0.0,0.0
2026-08-12T22:50:47Z,2026-08-13T00:00:00Z,1.2,100.0,100.0,100.0,0.0,0.0
2026-08-12T22:50:47Z,2026-08-13T03:00:00Z,4.2,100.0,100.0,100.0,0.0,0.0
2026-08-13T05:30:08Z,2026-08-13T06:00:00Z,0.5,100.0,100.0,100.0,0.0,0.0
2026-08-13T05:30:08Z,2026-08-13T09:00:00Z,3.5,100.0,100.0,100.0,0.0,0.0
2026-08-13T10:49:01Z,2026-08-13T12:00:00Z,1.2,100.0,100.0,100.0,0.0,0.0
2026-08-13T10:49:01Z,2026-08-13T15:00:00Z,4.2,100.0,100.0,100.0,0.0,0.0
2026-08-13T16:36:10Z,2026-08-13T18:00:00Z,1.4,100.0,100.0,100.0,0.0,0.0
2026-08-13T16:36:10Z,2026-08-13T21:00:00Z,4.4,100.0,100.0,100.0,0.0,0.0
2026-08-13T16:42:24Z,2026-08-13T18:00:00Z,1.3,100.0,100.0,100.0,0.0,0.0
2026-08-13T16:42:24Z,2026-08-13T21:00:00Z,4.3,100.0,100.0,100.0,0.0,0.0
2026-08-13T16:54:22Z,2026-08-13T18:00:00Z,1.1,100.0,100.0,100.0,0.0,0.0
2026-08-13T16:54:22Z,2026-08-13T21:00:00Z,4.1,100.0,100.0,100.0,0.0,0.0
2026-08-13T22:52:17Z,2026-08-14T00:00:00Z,1.1,100.0,100.0,100.0,0.0,0.0
2026-08-13T22:52:17Z,2026-08-14T03:00:00Z,4.1,100.0,100.0,100.0,0.0,0.0
2026-08-14T05:28:14Z,2026-08-14T06:00:00Z,0.5,100.0,100.0,100.0,0.0,0.0
2026-08-14T05:28:14Z,2026-08-14T09:00:00Z,3.5,100.0,100.0,100.0,0.0,0.0
2026-08-14T10:44:54Z,2026-08-14T12:00:00Z,1.3,83.0,100.0,100.0,-17.0,17.0
2026-08-14T10:44:54Z,2026-08-14T15:00:00Z,4.3,53.0,87.5,100.0,-34.5,34.5
2026-08-14T16:48:33Z,2026-08-14T18:00:00Z,1.2,94.0,87.5,87.5,6.5,6.5
2026-08-14T16:48:33Z,2026-08-14T21:00:00Z,4.2,23.0,87.5,87.5,-64.5,64.5
2026-08-14T22:30:55Z,2026-08-15T00:00:00Z,1.5,100.0,100.0,87.5,0.0,0.0
2026-08-14T22:30:55Z,2026-08-15T03:00:00Z,4.5,100.0,87.5,87.5,12.5,12.5
2026-08-15T04:24:15Z,2026-08-15T06:00:00Z,1.6,100.0,100.0,87.5,0.0,0.0
2026-08-15T04:24:15Z,2026-08-15T09:00:00Z,4.6,97.0,100.0,87.5,-3.0,3.0
2026-08-15T10:09:15Z,2026-08-15T12:00:00Z,1.8,100.0,100.0,100.0,0.0,0.0
2026-08-15T10:09:15Z,2026-08-15T15:00:00Z,4.8,86.0,100.0,100.0,-14.0,14.0
2026-08-15T22:29:33Z,2026-08-16T00:00:00Z,1.5,100.0,87.5,100.0,12.5,12.5
2026-08-15T22:29:33Z,2026-08-16T03:00:00Z,4.5,98.0,100.0,100.0,-2.0,2.0
2026-08-16T04:29:41Z,2026-08-16T06:00:00Z,1.5,100.0,100.0,100.0,0.0,0.0
2026-08-16T04:29:41Z,2026-08-16T09:00:00Z,4.5,100.0,100.0,100.0,0.0,0.0
2026-08-16T07:21:44Z,2026-08-16T09:00:00Z,1.6,100.0,100.0,100.0,0.0,0.0
2026-08-16T07:21:44Z,2026-08-16T12:00:00Z,4.6,98.0,87.5,100.0,10.5,10.5
2026-08-16T10:09:47Z,2026-08-16T12:00:00Z,1.8,100.0,87.5,100.0,12.5,12.5
2026-08-16T10:09:47Z,2026-08-16T15:00:00Z,4.8,63.0,87.5,100.0,-24.5,24.5
2026-08-16T16:21:00Z,2026-08-16T18:00:00Z,1.6,69.0,25.0,87.5,44.0,44.0
2026-08-16T16:21:00Z,2026-08-16T21:00:00Z,4.7,94.0,25.0,87.5,69.0,69.0
2026-08-16T22:29:34Z,2026-08-17T00:00:00Z,1.5,0.0,12.5,25.0,-12.5,12.5
2026-08-16T22:29:34Z,2026-08-17T03:00:00Z,4.5,0.0,12.5,25.0,-12.5,12.5
2026-08-17T04:35:30Z,2026-08-17T06:00:00Z,1.4,22.0,75.0,12.5,-53.0,53.0
2026-08-17T04:35:30Z,2026-08-17T09:00:00Z,4.4,20.0,75.0,12.5,-55.0,55.0
2026-08-17T10:18:11Z,2026-08-17T12:00:00Z,1.7,41.0,75.0,75.0,-34.0,34.0
2026-08-17T10:18:11Z,2026-08-17T15:00:00Z,4.7,52.0,75.0,75.0,-23.0,23.0
2026-08-17T16:23:45Z,2026-08-17T18:00:00Z,1.6,59.0,87.5,75.0,-28.5,28.5
2026-08-17T16:23:45Z,2026-08-17T21:00:00Z,4.6,95.0,87.5,75.0,7.5,7.5
2026-08-17T22:31:28Z,2026-08-18T00:00:00Z,1.5,91.0,100.0,87.5,-9.0,9.0
2026-08-17T22:31:28Z,2026-08-18T03:00:00Z,4.5,80.0,37.5,87.5,42.5,42.5
2026-08-18T04:30:05Z,2026-08-18T06:00:00Z,1.5,0.0,87.5,37.5,-87.5,87.5
2026-08-18T04:30:05Z,2026-08-18T09:00:00Z,4.5,25.0,87.5,37.5,-62.5,62.5
2026-08-18T10:14:55Z,2026-08-18T12:00:00Z,1.8,97.0,100.0,87.5,-3.0,3.0
2026-08-18T10:14:55Z,2026-08-18T15:00:00Z,4.8,100.0,75.0,87.5,25.0,25.0
