# Архангельск / Облачность / 1-2 дня / ICON (Германия)
# n=165, MAE=15.088, RMSE=23.193, bias=-6.464
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (23.193/15.960)^2 = -1.1117  (RMSE_персистентности по 165 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-07T12:00:00Z,26.2,83.0,87.5,87.5,-4.5,4.5
2026-08-06T09:50:07Z,2026-08-07T15:00:00Z,29.2,67.0,87.5,87.5,-20.5,20.5
2026-08-06T09:50:07Z,2026-08-07T18:00:00Z,32.2,100.0,87.5,87.5,12.5,12.5
2026-08-06T09:50:07Z,2026-08-07T21:00:00Z,35.2,100.0,87.5,87.5,12.5,12.5
2026-08-06T09:50:07Z,2026-08-08T00:00:00Z,38.2,100.0,100.0,87.5,0.0,0.0
2026-08-06T09:50:07Z,2026-08-08T03:00:00Z,41.2,100.0,100.0,87.5,0.0,0.0
2026-08-06T09:50:07Z,2026-08-08T06:00:00Z,44.2,100.0,100.0,87.5,0.0,0.0
2026-08-06T09:50:07Z,2026-08-08T09:00:00Z,47.2,100.0,100.0,87.5,0.0,0.0
2026-08-06T09:59:18Z,2026-08-07T12:00:00Z,26.0,83.0,87.5,87.5,-4.5,4.5
2026-08-06T09:59:18Z,2026-08-07T15:00:00Z,29.0,67.0,87.5,87.5,-20.5,20.5
2026-08-06T09:59:18Z,2026-08-07T18:00:00Z,32.0,100.0,87.5,87.5,12.5,12.5
2026-08-06T09:59:18Z,2026-08-07T21:00:00Z,35.0,100.0,87.5,87.5,12.5,12.5
2026-08-06T09:59:18Z,2026-08-08T00:00:00Z,38.0,100.0,100.0,87.5,0.0,0.0
2026-08-06T09:59:18Z,2026-08-08T03:00:00Z,41.0,100.0,100.0,87.5,0.0,0.0
