# Архангельск / Облачность / 1-2 дня / ARPEGE (Франция)
# n=532, MAE=21.191, RMSE=32.533, bias=-11.022
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (32.533/28.518)^2 = -0.3014  (RMSE_персистентности по 532 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-07T12:00:00Z,26.2,74.0,87.5,87.5,-13.5,13.5
2026-08-06T09:50:07Z,2026-08-07T15:00:00Z,29.2,100.0,87.5,87.5,12.5,12.5
2026-08-06T09:50:07Z,2026-08-07T18:00:00Z,32.2,55.0,87.5,87.5,-32.5,32.5
2026-08-06T09:50:07Z,2026-08-07T21:00:00Z,35.2,80.0,87.5,87.5,-7.5,7.5
2026-08-06T09:50:07Z,2026-08-08T00:00:00Z,38.2,100.0,100.0,87.5,0.0,0.0
2026-08-06T09:50:07Z,2026-08-08T03:00:00Z,41.2,100.0,100.0,87.5,0.0,0.0
2026-08-06T09:50:07Z,2026-08-08T06:00:00Z,44.2,100.0,100.0,87.5,0.0,0.0
2026-08-06T09:50:07Z,2026-08-08T09:00:00Z,47.2,57.0,100.0,87.5,-43.0,43.0
2026-08-06T09:59:18Z,2026-08-07T12:00:00Z,26.0,74.0,87.5,87.5,-13.5,13.5
2026-08-06T09:59:18Z,2026-08-07T15:00:00Z,29.0,100.0,87.5,87.5,12.5,12.5
2026-08-06T09:59:18Z,2026-08-07T18:00:00Z,32.0,55.0,87.5,87.5,-32.5,32.5
2026-08-06T09:59:18Z,2026-08-07T21:00:00Z,35.0,80.0,87.5,87.5,-7.5,7.5
2026-08-06T09:59:18Z,2026-08-08T00:00:00Z,38.0,100.0,100.0,87.5,0.0,0.0
2026-08-06T09:59:18Z,2026-08-08T03:00:00Z,41.0,100.0,100.0,87.5,0.0,0.0
2026-08-06T09:59:18Z,2026-08-08T06:00:00Z,44.0,100.0,100.0,87.5,0.0,0.0
2026-08-06T09:59:18Z,2026-08-08T09:00:00Z,47.0,57.0,100.0,87.5,-43.0,43.0
2026-08-06T10:08:26Z,2026-08-07T12:00:00Z,25.9,74.0,87.5,87.5,-13.5,13.5
2026-08-06T10:08:26Z,2026-08-07T15:00:00Z,28.9,100.0,87.5,87.5,12.5,12.5
2026-08-06T10:08:26Z,2026-08-07T18:00:00Z,31.9,55.0,87.5,87.5,-32.5,32.5
2026-08-06T10:08:26Z,2026-08-07T21:00:00Z,34.9,80.0,87.5,87.5,-7.5,7.5
2026-08-06T10:08:26Z,2026-08-08T00:00:00Z,37.9,100.0,100.0,87.5,0.0,0.0
2026-08-06T10:08:26Z,2026-08-08T03:00:00Z,40.9,100.0,100.0,87.5,0.0,0.0
2026-08-06T10:08:26Z,2026-08-08T06:00:00Z,43.9,100.0,100.0,87.5,0.0,0.0
2026-08-06T10:08:26Z,2026-08-08T09:00:00Z,46.9,57.0,100.0,87.5,-43.0,43.0
2026-08-06T10:47:54Z,2026-08-07T12:00:00Z,25.2,92.0,87.5,87.5,4.5,4.5
2026-08-06T10:47:54Z,2026-08-07T15:00:00Z,28.2,100.0,87.5,87.5,12.5,12.5
2026-08-06T10:47:54Z,2026-08-07T18:00:00Z,31.2,100.0,87.5,87.5,12.5,12.5
2026-08-06T10:47:54Z,2026-08-07T21:00:00Z,34.2,81.0,87.5,87.5,-6.5,6.5
2026-08-06T10:47:54Z,2026-08-08T00:00:00Z,37.2,84.0,100.0,87.5,-16.0,16.0
2026-08-06T10:47:54Z,2026-08-08T03:00:00Z,40.2,96.0,100.0,87.5,-4.0,4.0
2026-08-06T10:47:54Z,2026-08-08T06:00:00Z,43.2,99.0,100.0,87.5,-1.0,1.0
2026-08-06T10:47:54Z,2026-08-08T09:00:00Z,46.2,100.0,100.0,87.5,0.0,0.0
2026-08-06T11:30:42Z,2026-08-07T12:00:00Z,24.5,92.0,87.5,87.5,4.5,4.5
2026-08-06T11:30:42Z,2026-08-07T15:00:00Z,27.5,100.0,87.5,87.5,12.5,12.5
2026-08-06T11:30:42Z,2026-08-07T18:00:00Z,30.5,100.0,87.5,87.5,12.5,12.5
2026-08-06T11:30:42Z,2026-08-07T21:00:00Z,33.5,81.0,87.5,87.5,-6.5,6.5
2026-08-06T11:30:42Z,2026-08-08T00:00:00Z,36.5,84.0,100.0,87.5,-16.0,16.0
2026-08-06T11:30:42Z,2026-08-08T03:00:00Z,39.5,96.0,100.0,87.5,-4.0,4.0
2026-08-06T11:30:42Z,2026-08-08T06:00:00Z,42.5,99.0,100.0,87.5,-1.0,1.0
2026-08-06T11:30:42Z,2026-08-08T09:00:00Z,45.5,100.0,100.0,87.5,0.0,0.0
2026-08-06T11:36:01Z,2026-08-07T12:00:00Z,24.4,92.0,87.5,87.5,4.5,4.5
2026-08-06T11:36:01Z,2026-08-07T15:00:00Z,27.4,100.0,87.5,87.5,12.5,12.5
2026-08-06T11:36:01Z,2026-08-07T18:00:00Z,30.4,100.0,87.5,87.5,12.5,12.5
2026-08-06T11:36:01Z,2026-08-07T21:00:00Z,33.4,81.0,87.5,87.5,-6.5,6.5
2026-08-06T11:36:01Z,2026-08-08T00:00:00Z,36.4,84.0,100.0,87.5,-16.0,16.0
2026-08-06T11:36:01Z,2026-08-08T03:00:00Z,39.4,96.0,100.0,87.5,-4.0,4.0
2026-08-06T11:36:01Z,2026-08-08T06:00:00Z,42.4,99.0,100.0,87.5,-1.0,1.0
2026-08-06T11:36:01Z,2026-08-08T09:00:00Z,45.4,100.0,100.0,87.5,0.0,0.0
2026-08-06T11:44:08Z,2026-08-07T12:00:00Z,24.3,92.0,87.5,87.5,4.5,4.5
2026-08-06T11:44:08Z,2026-08-07T15:00:00Z,27.3,100.0,87.5,87.5,12.5,12.5
2026-08-06T11:44:08Z,2026-08-07T18:00:00Z,30.3,100.0,87.5,87.5,12.5,12.5
2026-08-06T11:44:08Z,2026-08-07T21:00:00Z,33.3,81.0,87.5,87.5,-6.5,6.5
2026-08-06T11:44:08Z,2026-08-08T00:00:00Z,36.3,84.0,100.0,87.5,-16.0,16.0
2026-08-06T11:44:08Z,2026-08-08T03:00:00Z,39.3,96.0,100.0,87.5,-4.0,4.0
2026-08-06T11:44:08Z,2026-08-08T06:00:00Z,42.3,99.0,100.0,87.5,-1.0,1.0
2026-08-06T11:44:08Z,2026-08-08T09:00:00Z,45.3,100.0,100.0,87.5,0.0,0.0
2026-08-07T01:31:32Z,2026-08-08T03:00:00Z,25.5,97.0,100.0,100.0,-3.0,3.0
2026-08-07T01:31:32Z,2026-08-08T06:00:00Z,28.5,100.0,100.0,100.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-08T09:00:00Z,31.5,82.0,100.0,100.0,-18.0,18.0
2026-08-07T01:31:32Z,2026-08-08T12:00:00Z,34.5,71.0,100.0,100.0,-29.0,29.0
2026-08-07T01:31:32Z,2026-08-08T15:00:00Z,37.5,65.0,87.5,100.0,-22.5,22.5
2026-08-07T01:31:32Z,2026-08-08T18:00:00Z,40.5,100.0,100.0,100.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-08T21:00:00Z,43.5,99.0,87.5,100.0,11.5,11.5
2026-08-07T01:31:32Z,2026-08-09T00:00:00Z,46.5,94.0,87.5,100.0,6.5,6.5
2026-08-07T05:36:00Z,2026-08-08T06:00:00Z,24.4,100.0,100.0,100.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-08T09:00:00Z,27.4,100.0,100.0,100.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-08T12:00:00Z,30.4,100.0,100.0,100.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-08T15:00:00Z,33.4,100.0,87.5,100.0,12.5,12.5
2026-08-07T05:36:00Z,2026-08-08T18:00:00Z,36.4,100.0,100.0,100.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-08T21:00:00Z,39.4,100.0,87.5,100.0,12.5,12.5
2026-08-07T05:36:00Z,2026-08-09T00:00:00Z,42.4,97.0,87.5,100.0,9.5,9.5
2026-08-07T05:36:00Z,2026-08-09T03:00:00Z,45.4,67.0,100.0,100.0,-33.0,33.0
2026-08-07T06:18:59Z,2026-08-08T09:00:00Z,26.7,100.0,100.0,100.0,0.0,0.0
2026-08-07T06:18:59Z,2026-08-08T12:00:00Z,29.7,100.0,100.0,100.0,0.0,0.0
2026-08-07T06:18:59Z,2026-08-08T15:00:00Z,32.7,100.0,87.5,100.0,12.5,12.5
2026-08-07T06:18:59Z,2026-08-08T18:00:00Z,35.7,100.0,100.0,100.0,0.0,0.0
2026-08-07T06:18:59Z,2026-08-08T21:00:00Z,38.7,100.0,87.5,100.0,12.5,12.5
2026-08-07T06:18:59Z,2026-08-09T00:00:00Z,41.7,97.0,87.5,100.0,9.5,9.5
2026-08-07T06:18:59Z,2026-08-09T03:00:00Z,44.7,67.0,100.0,100.0,-33.0,33.0
2026-08-07T06:18:59Z,2026-08-09T06:00:00Z,47.7,61.0,100.0,100.0,-39.0,39.0
2026-08-07T07:13:52Z,2026-08-08T09:00:00Z,25.8,100.0,100.0,100.0,0.0,0.0
2026-08-07T07:13:52Z,2026-08-08T12:00:00Z,28.8,100.0,100.0,100.0,0.0,0.0
2026-08-07T07:13:52Z,2026-08-08T15:00:00Z,31.8,100.0,87.5,100.0,12.5,12.5
2026-08-07T07:13:52Z,2026-08-08T18:00:00Z,34.8,100.0,100.0,100.0,0.0,0.0
2026-08-07T07:13:52Z,2026-08-08T21:00:00Z,37.8,100.0,87.5,100.0,12.5,12.5
2026-08-07T07:13:52Z,2026-08-09T00:00:00Z,40.8,97.0,87.5,100.0,9.5,9.5
2026-08-07T07:13:52Z,2026-08-09T03:00:00Z,43.8,67.0,100.0,100.0,-33.0,33.0
2026-08-07T07:13:52Z,2026-08-09T06:00:00Z,46.8,61.0,100.0,100.0,-39.0,39.0
2026-08-07T10:39:14Z,2026-08-08T12:00:00Z,25.3,100.0,100.0,100.0,0.0,0.0
2026-08-07T10:39:14Z,2026-08-08T15:00:00Z,28.3,100.0,87.5,100.0,12.5,12.5
2026-08-07T10:39:14Z,2026-08-08T18:00:00Z,31.3,100.0,100.0,100.0,0.0,0.0
2026-08-07T10:39:14Z,2026-08-08T21:00:00Z,34.3,100.0,87.5,100.0,12.5,12.5
2026-08-07T10:39:14Z,2026-08-09T00:00:00Z,37.3,92.0,87.5,100.0,4.5,4.5
2026-08-07T10:39:14Z,2026-08-09T03:00:00Z,40.3,66.0,100.0,100.0,-34.0,34.0
2026-08-07T10:39:14Z,2026-08-09T06:00:00Z,43.3,79.0,100.0,100.0,-21.0,21.0
2026-08-07T10:39:14Z,2026-08-09T09:00:00Z,46.3,97.0,75.0,100.0,22.0,22.0
2026-08-07T16:51:54Z,2026-08-08T18:00:00Z,25.1,100.0,100.0,87.5,0.0,0.0
2026-08-07T16:51:54Z,2026-08-08T21:00:00Z,28.1,100.0,87.5,87.5,12.5,12.5
2026-08-07T16:51:54Z,2026-08-09T00:00:00Z,31.1,99.0,87.5,87.5,11.5,11.5
2026-08-07T16:51:54Z,2026-08-09T03:00:00Z,34.1,83.0,100.0,87.5,-17.0,17.0
2026-08-07T16:51:54Z,2026-08-09T06:00:00Z,37.1,53.0,100.0,87.5,-47.0,47.0
2026-08-07T16:51:54Z,2026-08-09T09:00:00Z,40.1,69.0,75.0,87.5,-6.0,6.0
2026-08-07T16:51:54Z,2026-08-09T12:00:00Z,43.1,32.0,75.0,87.5,-43.0,43.0
2026-08-07T16:51:54Z,2026-08-09T15:00:00Z,46.1,32.0,87.5,87.5,-55.5,55.5
2026-08-07T22:45:57Z,2026-08-09T00:00:00Z,25.2,99.0,87.5,87.5,11.5,11.5
2026-08-07T22:45:57Z,2026-08-09T03:00:00Z,28.2,70.0,100.0,87.5,-30.0,30.0
2026-08-07T22:45:57Z,2026-08-09T06:00:00Z,31.2,67.0,100.0,87.5,-33.0,33.0
2026-08-07T22:45:57Z,2026-08-09T09:00:00Z,34.2,56.0,75.0,87.5,-19.0,19.0
2026-08-07T22:45:57Z,2026-08-09T12:00:00Z,37.2,86.0,75.0,87.5,11.0,11.0
2026-08-07T22:45:57Z,2026-08-09T15:00:00Z,40.2,40.0,87.5,87.5,-47.5,47.5
2026-08-07T22:45:57Z,2026-08-09T18:00:00Z,43.2,24.0,75.0,87.5,-51.0,51.0
2026-08-07T22:45:57Z,2026-08-09T21:00:00Z,46.2,65.0,37.5,87.5,27.5,27.5
2026-08-07T23:19:23Z,2026-08-09T00:00:00Z,24.7,99.0,87.5,87.5,11.5,11.5
2026-08-07T23:19:23Z,2026-08-09T03:00:00Z,27.7,70.0,100.0,87.5,-30.0,30.0
2026-08-07T23:19:23Z,2026-08-09T06:00:00Z,30.7,67.0,100.0,87.5,-33.0,33.0
2026-08-07T23:19:23Z,2026-08-09T09:00:00Z,33.7,56.0,75.0,87.5,-19.0,19.0
2026-08-07T23:19:23Z,2026-08-09T12:00:00Z,36.7,86.0,75.0,87.5,11.0,11.0
2026-08-07T23:19:23Z,2026-08-09T15:00:00Z,39.7,40.0,87.5,87.5,-47.5,47.5
2026-08-07T23:19:23Z,2026-08-09T18:00:00Z,42.7,24.0,75.0,87.5,-51.0,51.0
2026-08-07T23:19:23Z,2026-08-09T21:00:00Z,45.7,65.0,37.5,87.5,27.5,27.5
2026-08-08T04:50:53Z,2026-08-09T06:00:00Z,25.2,52.0,100.0,100.0,-48.0,48.0
2026-08-08T04:50:53Z,2026-08-09T09:00:00Z,28.2,46.0,75.0,100.0,-29.0,29.0
2026-08-08T04:50:53Z,2026-08-09T12:00:00Z,31.2,9.0,75.0,100.0,-66.0,66.0
2026-08-08T04:50:53Z,2026-08-09T15:00:00Z,34.2,15.0,87.5,100.0,-72.5,72.5
2026-08-08T04:50:53Z,2026-08-09T18:00:00Z,37.2,63.0,75.0,100.0,-12.0,12.0
2026-08-08T04:50:53Z,2026-08-09T21:00:00Z,40.2,64.0,37.5,100.0,26.5,26.5
2026-08-08T04:50:53Z,2026-08-10T00:00:00Z,43.2,43.0,37.5,100.0,5.5,5.5
2026-08-08T04:50:53Z,2026-08-10T03:00:00Z,46.2,80.0,87.5,100.0,-7.5,7.5
2026-08-08T10:18:13Z,2026-08-09T12:00:00Z,25.7,9.0,75.0,100.0,-66.0,66.0
2026-08-08T10:18:13Z,2026-08-09T15:00:00Z,28.7,15.0,87.5,100.0,-72.5,72.5
2026-08-08T10:18:13Z,2026-08-09T18:00:00Z,31.7,63.0,75.0,100.0,-12.0,12.0
2026-08-08T10:18:13Z,2026-08-09T21:00:00Z,34.7,64.0,37.5,100.0,26.5,26.5
2026-08-08T10:18:13Z,2026-08-10T00:00:00Z,37.7,43.0,37.5,100.0,5.5,5.5
2026-08-08T10:18:13Z,2026-08-10T03:00:00Z,40.7,80.0,87.5,100.0,-7.5,7.5
2026-08-08T10:18:13Z,2026-08-10T06:00:00Z,43.7,60.0,87.5,100.0,-27.5,27.5
2026-08-08T10:18:13Z,2026-08-10T09:00:00Z,46.7,57.0,87.5,100.0,-30.5,30.5
2026-08-08T22:37:20Z,2026-08-10T00:00:00Z,25.4,83.0,37.5,87.5,45.5,45.5
2026-08-08T22:37:20Z,2026-08-10T03:00:00Z,28.4,76.0,87.5,87.5,-11.5,11.5
2026-08-08T22:37:20Z,2026-08-10T06:00:00Z,31.4,66.0,87.5,87.5,-21.5,21.5
2026-08-08T22:37:20Z,2026-08-10T09:00:00Z,34.4,70.0,87.5,87.5,-17.5,17.5
2026-08-08T22:37:20Z,2026-08-10T12:00:00Z,37.4,60.0,87.5,87.5,-27.5,27.5
2026-08-08T22:37:20Z,2026-08-10T15:00:00Z,40.4,39.0,87.5,87.5,-48.5,48.5
2026-08-08T22:37:20Z,2026-08-10T18:00:00Z,43.4,51.0,75.0,87.5,-24.0,24.0
2026-08-08T22:37:20Z,2026-08-10T21:00:00Z,46.4,33.0,100.0,87.5,-67.0,67.0
2026-08-09T04:59:03Z,2026-08-10T06:00:00Z,25.0,76.0,87.5,100.0,-11.5,11.5
2026-08-09T04:59:03Z,2026-08-10T09:00:00Z,28.0,59.0,87.5,100.0,-28.5,28.5
2026-08-09T04:59:03Z,2026-08-10T12:00:00Z,31.0,43.0,87.5,100.0,-44.5,44.5
2026-08-09T04:59:03Z,2026-08-10T15:00:00Z,34.0,47.0,87.5,100.0,-40.5,40.5
2026-08-09T04:59:03Z,2026-08-10T18:00:00Z,37.0,30.0,75.0,100.0,-45.0,45.0
2026-08-09T04:59:03Z,2026-08-10T21:00:00Z,40.0,49.0,100.0,100.0,-51.0,51.0
2026-08-09T04:59:03Z,2026-08-11T00:00:00Z,43.0,32.0,100.0,100.0,-68.0,68.0
2026-08-09T04:59:03Z,2026-08-11T03:00:00Z,46.0,56.0,12.5,100.0,43.5,43.5
2026-08-09T10:19:29Z,2026-08-10T12:00:00Z,25.7,43.0,87.5,75.0,-44.5,44.5
2026-08-09T10:19:29Z,2026-08-10T15:00:00Z,28.7,47.0,87.5,75.0,-40.5,40.5
2026-08-09T10:19:29Z,2026-08-10T18:00:00Z,31.7,30.0,75.0,75.0,-45.0,45.0
2026-08-09T10:19:29Z,2026-08-10T21:00:00Z,34.7,49.0,100.0,75.0,-51.0,51.0
2026-08-09T10:19:29Z,2026-08-11T00:00:00Z,37.7,32.0,100.0,75.0,-68.0,68.0
2026-08-09T10:19:29Z,2026-08-11T03:00:00Z,40.7,56.0,12.5,75.0,43.5,43.5
2026-08-09T10:19:29Z,2026-08-11T06:00:00Z,43.7,62.0,75.0,75.0,-13.0,13.0
2026-08-09T10:19:29Z,2026-08-11T09:00:00Z,46.7,85.0,87.5,75.0,-2.5,2.5
2026-08-09T12:41:38Z,2026-08-10T15:00:00Z,26.3,57.0,87.5,75.0,-30.5,30.5
2026-08-09T12:41:38Z,2026-08-10T18:00:00Z,29.3,40.0,75.0,75.0,-35.0,35.0
2026-08-09T12:41:38Z,2026-08-10T21:00:00Z,32.3,27.0,100.0,75.0,-73.0,73.0
2026-08-09T12:41:38Z,2026-08-11T00:00:00Z,35.3,54.0,100.0,75.0,-46.0,46.0
2026-08-09T12:41:38Z,2026-08-11T03:00:00Z,38.3,35.0,12.5,75.0,22.5,22.5
2026-08-09T12:41:38Z,2026-08-11T06:00:00Z,41.3,65.0,75.0,75.0,-10.0,10.0
2026-08-09T12:41:38Z,2026-08-11T09:00:00Z,44.3,85.0,87.5,75.0,-2.5,2.5
2026-08-09T12:41:38Z,2026-08-11T12:00:00Z,47.3,95.0,87.5,75.0,7.5,7.5
2026-08-09T12:45:53Z,2026-08-10T15:00:00Z,26.2,57.0,87.5,75.0,-30.5,30.5
2026-08-09T12:45:53Z,2026-08-10T18:00:00Z,29.2,40.0,75.0,75.0,-35.0,35.0
2026-08-09T12:45:53Z,2026-08-10T21:00:00Z,32.2,27.0,100.0,75.0,-73.0,73.0
2026-08-09T12:45:53Z,2026-08-11T00:00:00Z,35.2,54.0,100.0,75.0,-46.0,46.0
2026-08-09T12:45:53Z,2026-08-11T03:00:00Z,38.2,35.0,12.5,75.0,22.5,22.5
