# Архангельск / Облачность / 1-2 дня / Яндекс.Погода
# n=82, MAE=17.896, RMSE=26.603, bias=-12.104
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (26.603/34.177)^2 = 0.3941  (RMSE_персистентности по 82 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-16T07:21:44Z,2026-08-17T12:00:00Z,28.6,25.0,75.0,100.0,-50.0,50.0
2026-08-16T07:21:44Z,2026-08-17T18:00:00Z,34.6,95.0,87.5,100.0,7.5,7.5
2026-08-16T07:21:44Z,2026-08-18T00:00:00Z,40.6,55.0,100.0,100.0,-45.0,45.0
2026-08-16T07:21:44Z,2026-08-18T06:00:00Z,46.6,25.0,87.5,100.0,-62.5,62.5
2026-08-16T10:09:47Z,2026-08-17T12:00:00Z,25.8,25.0,75.0,100.0,-50.0,50.0
2026-08-16T10:09:47Z,2026-08-17T18:00:00Z,31.8,95.0,87.5,100.0,7.5,7.5
2026-08-16T10:09:47Z,2026-08-18T00:00:00Z,37.8,55.0,100.0,100.0,-45.0,45.0
2026-08-16T10:09:47Z,2026-08-18T06:00:00Z,43.8,25.0,87.5,100.0,-62.5,62.5
2026-08-16T16:21:00Z,2026-08-17T18:00:00Z,25.6,95.0,87.5,87.5,7.5,7.5
2026-08-16T16:21:00Z,2026-08-18T00:00:00Z,31.6,95.0,100.0,87.5,-5.0,5.0
2026-08-16T16:21:00Z,2026-08-18T06:00:00Z,37.6,95.0,87.5,87.5,7.5,7.5
2026-08-16T16:21:00Z,2026-08-18T12:00:00Z,43.6,95.0,100.0,87.5,-5.0,5.0
2026-08-16T22:29:34Z,2026-08-18T00:00:00Z,25.5,55.0,100.0,25.0,-45.0,45.0
2026-08-16T22:29:34Z,2026-08-18T06:00:00Z,31.5,55.0,87.5,25.0,-32.5,32.5
2026-08-16T22:29:34Z,2026-08-18T12:00:00Z,37.5,55.0,100.0,25.0,-45.0,45.0
2026-08-16T22:29:34Z,2026-08-18T18:00:00Z,43.5,25.0,25.0,25.0,0.0,0.0
2026-08-17T04:35:30Z,2026-08-18T06:00:00Z,25.4,25.0,87.5,12.5,-62.5,62.5
2026-08-17T04:35:30Z,2026-08-18T12:00:00Z,31.4,55.0,100.0,12.5,-45.0,45.0
2026-08-17T04:35:30Z,2026-08-18T18:00:00Z,37.4,25.0,25.0,12.5,0.0,0.0
2026-08-17T04:35:30Z,2026-08-19T00:00:00Z,43.4,25.0,87.5,12.5,-62.5,62.5
2026-08-17T10:18:11Z,2026-08-18T12:00:00Z,25.7,95.0,100.0,75.0,-5.0,5.0
2026-08-17T10:18:11Z,2026-08-18T18:00:00Z,31.7,25.0,25.0,75.0,0.0,0.0
2026-08-17T10:18:11Z,2026-08-19T00:00:00Z,37.7,25.0,87.5,75.0,-62.5,62.5
2026-08-17T10:18:11Z,2026-08-19T06:00:00Z,43.7,25.0,100.0,75.0,-75.0,75.0
