# Архангельск / Облачность / 2-3 дня / ECMWF AIFS
# n=193, MAE=13.326, RMSE=20.391, bias=-6.047
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (20.391/25.576)^2 = 0.3644  (RMSE_персистентности по 193 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-08T12:00:00Z,50.2,76.0,100.0,87.5,-24.0,24.0
2026-08-06T09:50:07Z,2026-08-08T15:00:00Z,53.2,76.0,87.5,87.5,-11.5,11.5
2026-08-06T09:50:07Z,2026-08-08T18:00:00Z,56.2,79.0,100.0,87.5,-21.0,21.0
2026-08-06T09:50:07Z,2026-08-08T21:00:00Z,59.2,85.0,87.5,87.5,-2.5,2.5
2026-08-06T09:50:07Z,2026-08-09T00:00:00Z,62.2,91.0,87.5,87.5,3.5,3.5
2026-08-06T09:50:07Z,2026-08-09T03:00:00Z,65.2,95.0,100.0,87.5,-5.0,5.0
2026-08-06T09:50:07Z,2026-08-09T06:00:00Z,68.2,95.0,100.0,87.5,-5.0,5.0
2026-08-06T09:50:07Z,2026-08-09T09:00:00Z,71.2,90.0,75.0,87.5,15.0,15.0
2026-08-06T09:59:18Z,2026-08-08T12:00:00Z,50.0,76.0,100.0,87.5,-24.0,24.0
2026-08-06T09:59:18Z,2026-08-08T15:00:00Z,53.0,76.0,87.5,87.5,-11.5,11.5
2026-08-06T09:59:18Z,2026-08-08T18:00:00Z,56.0,79.0,100.0,87.5,-21.0,21.0
2026-08-06T09:59:18Z,2026-08-08T21:00:00Z,59.0,85.0,87.5,87.5,-2.5,2.5
2026-08-06T09:59:18Z,2026-08-09T00:00:00Z,62.0,91.0,87.5,87.5,3.5,3.5
2026-08-06T09:59:18Z,2026-08-09T03:00:00Z,65.0,95.0,100.0,87.5,-5.0,5.0
2026-08-06T09:59:18Z,2026-08-09T06:00:00Z,68.0,95.0,100.0,87.5,-5.0,5.0
2026-08-06T09:59:18Z,2026-08-09T09:00:00Z,71.0,90.0,75.0,87.5,15.0,15.0
2026-08-06T10:08:26Z,2026-08-08T12:00:00Z,49.9,76.0,100.0,87.5,-24.0,24.0
2026-08-06T10:08:26Z,2026-08-08T15:00:00Z,52.9,76.0,87.5,87.5,-11.5,11.5
2026-08-06T10:08:26Z,2026-08-08T18:00:00Z,55.9,79.0,100.0,87.5,-21.0,21.0
2026-08-06T10:08:26Z,2026-08-08T21:00:00Z,58.9,85.0,87.5,87.5,-2.5,2.5
2026-08-06T10:08:26Z,2026-08-09T00:00:00Z,61.9,91.0,87.5,87.5,3.5,3.5
2026-08-06T10:08:26Z,2026-08-09T03:00:00Z,64.9,95.0,100.0,87.5,-5.0,5.0
2026-08-06T10:08:26Z,2026-08-09T06:00:00Z,67.9,95.0,100.0,87.5,-5.0,5.0
2026-08-06T10:08:26Z,2026-08-09T09:00:00Z,70.9,90.0,75.0,87.5,15.0,15.0
2026-08-06T10:47:54Z,2026-08-08T12:00:00Z,49.2,76.0,100.0,87.5,-24.0,24.0
2026-08-06T10:47:54Z,2026-08-08T15:00:00Z,52.2,76.0,87.5,87.5,-11.5,11.5
2026-08-06T10:47:54Z,2026-08-08T18:00:00Z,55.2,79.0,100.0,87.5,-21.0,21.0
2026-08-06T10:47:54Z,2026-08-08T21:00:00Z,58.2,85.0,87.5,87.5,-2.5,2.5
2026-08-06T10:47:54Z,2026-08-09T00:00:00Z,61.2,91.0,87.5,87.5,3.5,3.5
2026-08-06T10:47:54Z,2026-08-09T03:00:00Z,64.2,95.0,100.0,87.5,-5.0,5.0
2026-08-06T10:47:54Z,2026-08-09T06:00:00Z,67.2,95.0,100.0,87.5,-5.0,5.0
2026-08-06T10:47:54Z,2026-08-09T09:00:00Z,70.2,90.0,75.0,87.5,15.0,15.0
2026-08-06T11:30:42Z,2026-08-08T12:00:00Z,48.5,76.0,100.0,87.5,-24.0,24.0
2026-08-06T11:30:42Z,2026-08-08T15:00:00Z,51.5,76.0,87.5,87.5,-11.5,11.5
2026-08-06T11:30:42Z,2026-08-08T18:00:00Z,54.5,79.0,100.0,87.5,-21.0,21.0
2026-08-06T11:30:42Z,2026-08-08T21:00:00Z,57.5,85.0,87.5,87.5,-2.5,2.5
2026-08-06T11:30:42Z,2026-08-09T00:00:00Z,60.5,91.0,87.5,87.5,3.5,3.5
