# Архангельск / Облачность / 2-3 дня / GEM (Канада)
# n=63, MAE=32.183, RMSE=42.658, bias=-27.405
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (42.658/12.697)^2 = -10.2877  (RMSE_персистентности по 63 пар(ам))
# persistence = последнее показание станции на (valid_time − 24ч), т.е. «то же время суток вчера», а не «на момент забора прогноза»
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-08T12:00:00Z,50.2,12.0,100.0,87.5,-88.0,88.0
2026-08-06T09:50:07Z,2026-08-08T15:00:00Z,53.2,32.0,87.5,87.5,-55.5,55.5
2026-08-06T09:50:07Z,2026-08-08T18:00:00Z,56.2,44.0,100.0,87.5,-56.0,56.0
2026-08-06T09:50:07Z,2026-08-08T21:00:00Z,59.2,44.0,87.5,87.5,-43.5,43.5
2026-08-06T09:50:07Z,2026-08-09T00:00:00Z,62.2,92.0,87.5,100.0,4.5,4.5
2026-08-06T09:50:07Z,2026-08-09T03:00:00Z,65.2,92.0,100.0,100.0,-8.0,8.0
2026-08-06T09:50:07Z,2026-08-09T06:00:00Z,68.2,92.0,100.0,100.0,-8.0,8.0
2026-08-06T09:50:07Z,2026-08-09T09:00:00Z,71.2,92.0,75.0,100.0,17.0,17.0
2026-08-06T09:59:18Z,2026-08-08T12:00:00Z,50.0,12.0,100.0,87.5,-88.0,88.0
2026-08-06T09:59:18Z,2026-08-08T15:00:00Z,53.0,32.0,87.5,87.5,-55.5,55.5
2026-08-06T09:59:18Z,2026-08-08T18:00:00Z,56.0,44.0,100.0,87.5,-56.0,56.0
2026-08-06T09:59:18Z,2026-08-08T21:00:00Z,59.0,44.0,87.5,87.5,-43.5,43.5
2026-08-06T09:59:18Z,2026-08-09T00:00:00Z,62.0,92.0,87.5,100.0,4.5,4.5
2026-08-06T09:59:18Z,2026-08-09T03:00:00Z,65.0,92.0,100.0,100.0,-8.0,8.0
2026-08-06T09:59:18Z,2026-08-09T06:00:00Z,68.0,92.0,100.0,100.0,-8.0,8.0
2026-08-06T09:59:18Z,2026-08-09T09:00:00Z,71.0,92.0,75.0,100.0,17.0,17.0
2026-08-06T10:08:26Z,2026-08-08T12:00:00Z,49.9,12.0,100.0,87.5,-88.0,88.0
2026-08-06T10:08:26Z,2026-08-08T15:00:00Z,52.9,32.0,87.5,87.5,-55.5,55.5
2026-08-06T10:08:26Z,2026-08-08T18:00:00Z,55.9,44.0,100.0,87.5,-56.0,56.0
2026-08-06T10:08:26Z,2026-08-08T21:00:00Z,58.9,44.0,87.5,87.5,-43.5,43.5
2026-08-06T10:08:26Z,2026-08-09T00:00:00Z,61.9,92.0,87.5,100.0,4.5,4.5
2026-08-06T10:08:26Z,2026-08-09T03:00:00Z,64.9,92.0,100.0,100.0,-8.0,8.0
2026-08-06T10:08:26Z,2026-08-09T06:00:00Z,67.9,92.0,100.0,100.0,-8.0,8.0
2026-08-06T10:08:26Z,2026-08-09T09:00:00Z,70.9,92.0,75.0,100.0,17.0,17.0
2026-08-06T10:47:54Z,2026-08-08T12:00:00Z,49.2,12.0,100.0,87.5,-88.0,88.0
2026-08-06T10:47:54Z,2026-08-08T15:00:00Z,52.2,32.0,87.5,87.5,-55.5,55.5
2026-08-06T10:47:54Z,2026-08-08T18:00:00Z,55.2,44.0,100.0,87.5,-56.0,56.0
2026-08-06T10:47:54Z,2026-08-08T21:00:00Z,58.2,44.0,87.5,87.5,-43.5,43.5
2026-08-06T10:47:54Z,2026-08-09T00:00:00Z,61.2,92.0,87.5,100.0,4.5,4.5
2026-08-06T10:47:54Z,2026-08-09T03:00:00Z,64.2,92.0,100.0,100.0,-8.0,8.0
2026-08-06T10:47:54Z,2026-08-09T06:00:00Z,67.2,92.0,100.0,100.0,-8.0,8.0
2026-08-06T10:47:54Z,2026-08-09T09:00:00Z,70.2,92.0,75.0,100.0,17.0,17.0
2026-08-06T11:30:42Z,2026-08-08T12:00:00Z,48.5,12.0,100.0,87.5,-88.0,88.0
2026-08-06T11:30:42Z,2026-08-08T15:00:00Z,51.5,32.0,87.5,87.5,-55.5,55.5
2026-08-06T11:30:42Z,2026-08-08T18:00:00Z,54.5,44.0,100.0,87.5,-56.0,56.0
2026-08-06T11:30:42Z,2026-08-08T21:00:00Z,57.5,44.0,87.5,87.5,-43.5,43.5
2026-08-06T11:30:42Z,2026-08-09T00:00:00Z,60.5,92.0,87.5,100.0,4.5,4.5
2026-08-06T11:30:42Z,2026-08-09T03:00:00Z,63.5,92.0,100.0,100.0,-8.0,8.0
2026-08-06T11:30:42Z,2026-08-09T06:00:00Z,66.5,92.0,100.0,100.0,-8.0,8.0
2026-08-06T11:30:42Z,2026-08-09T09:00:00Z,69.5,92.0,75.0,100.0,17.0,17.0
2026-08-06T11:36:01Z,2026-08-08T12:00:00Z,48.4,12.0,100.0,87.5,-88.0,88.0
2026-08-06T11:36:01Z,2026-08-08T15:00:00Z,51.4,32.0,87.5,87.5,-55.5,55.5
2026-08-06T11:36:01Z,2026-08-08T18:00:00Z,54.4,44.0,100.0,87.5,-56.0,56.0
2026-08-06T11:36:01Z,2026-08-08T21:00:00Z,57.4,44.0,87.5,87.5,-43.5,43.5
2026-08-06T11:36:01Z,2026-08-09T00:00:00Z,60.4,92.0,87.5,100.0,4.5,4.5
2026-08-06T11:36:01Z,2026-08-09T03:00:00Z,63.4,92.0,100.0,100.0,-8.0,8.0
2026-08-06T11:36:01Z,2026-08-09T06:00:00Z,66.4,92.0,100.0,100.0,-8.0,8.0
2026-08-06T11:36:01Z,2026-08-09T09:00:00Z,69.4,92.0,75.0,100.0,17.0,17.0
2026-08-06T11:44:08Z,2026-08-08T12:00:00Z,48.3,12.0,100.0,87.5,-88.0,88.0
2026-08-06T11:44:08Z,2026-08-08T15:00:00Z,51.3,32.0,87.5,87.5,-55.5,55.5
2026-08-06T11:44:08Z,2026-08-08T18:00:00Z,54.3,44.0,100.0,87.5,-56.0,56.0
2026-08-06T11:44:08Z,2026-08-08T21:00:00Z,57.3,44.0,87.5,87.5,-43.5,43.5
2026-08-06T11:44:08Z,2026-08-09T00:00:00Z,60.3,92.0,87.5,100.0,4.5,4.5
2026-08-06T11:44:08Z,2026-08-09T03:00:00Z,63.3,92.0,100.0,100.0,-8.0,8.0
2026-08-06T11:44:08Z,2026-08-09T06:00:00Z,66.3,92.0,100.0,100.0,-8.0,8.0
2026-08-06T11:44:08Z,2026-08-09T09:00:00Z,69.3,92.0,75.0,100.0,17.0,17.0
2026-08-07T01:31:32Z,2026-08-09T03:00:00Z,49.5,88.0,100.0,100.0,-12.0,12.0
2026-08-07T01:31:32Z,2026-08-09T06:00:00Z,52.5,92.0,100.0,100.0,-8.0,8.0
2026-08-07T01:31:32Z,2026-08-09T09:00:00Z,55.5,64.0,75.0,100.0,-11.0,11.0
2026-08-07T05:36:00Z,2026-08-09T06:00:00Z,48.4,92.0,100.0,100.0,-8.0,8.0
2026-08-07T05:36:00Z,2026-08-09T09:00:00Z,51.4,64.0,75.0,100.0,-11.0,11.0
2026-08-07T06:18:59Z,2026-08-09T09:00:00Z,50.7,68.0,75.0,100.0,-7.0,7.0
2026-08-07T07:13:52Z,2026-08-09T09:00:00Z,49.8,68.0,75.0,100.0,-7.0,7.0
