# Архангельск / Облачность / 2-3 дня / WeatherAPI.com
# n=35, MAE=14.443, RMSE=17.950, bias=+0.100
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (17.950/17.423)^2 = -0.0614  (RMSE_персистентности по 35 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T10:47:54Z,2026-08-08T12:00:00Z,49.2,100.0,100.0,87.5,0.0,0.0
2026-08-06T10:47:54Z,2026-08-08T15:00:00Z,52.2,100.0,87.5,87.5,12.5,12.5
2026-08-06T10:47:54Z,2026-08-08T18:00:00Z,55.2,87.0,100.0,87.5,-13.0,13.0
2026-08-06T11:30:42Z,2026-08-08T12:00:00Z,48.5,100.0,100.0,87.5,0.0,0.0
2026-08-06T11:30:42Z,2026-08-08T15:00:00Z,51.5,100.0,87.5,87.5,12.5,12.5
2026-08-06T11:30:42Z,2026-08-08T18:00:00Z,54.5,87.0,100.0,87.5,-13.0,13.0
2026-08-06T11:36:01Z,2026-08-08T12:00:00Z,48.4,100.0,100.0,87.5,0.0,0.0
2026-08-06T11:36:01Z,2026-08-08T15:00:00Z,51.4,100.0,87.5,87.5,12.5,12.5
2026-08-06T11:36:01Z,2026-08-08T18:00:00Z,54.4,87.0,100.0,87.5,-13.0,13.0
2026-08-06T11:44:08Z,2026-08-08T12:00:00Z,48.3,100.0,100.0,87.5,0.0,0.0
2026-08-06T11:44:08Z,2026-08-08T15:00:00Z,51.3,100.0,87.5,87.5,12.5,12.5
2026-08-06T11:44:08Z,2026-08-08T18:00:00Z,54.3,87.0,100.0,87.5,-13.0,13.0
2026-08-07T01:31:32Z,2026-08-09T03:00:00Z,49.5,100.0,100.0,100.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-09T06:00:00Z,52.5,100.0,100.0,100.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-09T09:00:00Z,55.5,100.0,75.0,100.0,25.0,25.0
2026-08-07T01:31:32Z,2026-08-09T12:00:00Z,58.5,100.0,75.0,100.0,25.0,25.0
2026-08-07T01:31:32Z,2026-08-09T15:00:00Z,61.5,100.0,87.5,87.5,12.5,12.5
2026-08-07T01:31:32Z,2026-08-09T18:00:00Z,64.5,100.0,75.0,100.0,25.0,25.0
2026-08-07T05:36:00Z,2026-08-09T06:00:00Z,48.4,100.0,100.0,100.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-09T09:00:00Z,51.4,100.0,75.0,100.0,25.0,25.0
2026-08-07T05:36:00Z,2026-08-09T12:00:00Z,54.4,97.0,75.0,100.0,22.0,22.0
2026-08-07T05:36:00Z,2026-08-09T15:00:00Z,57.4,74.0,87.5,87.5,-13.5,13.5
2026-08-07T05:36:00Z,2026-08-09T18:00:00Z,60.4,43.0,75.0,100.0,-32.0,32.0
2026-08-07T06:18:59Z,2026-08-09T09:00:00Z,50.7,100.0,75.0,100.0,25.0,25.0
2026-08-07T06:18:59Z,2026-08-09T12:00:00Z,53.7,97.0,75.0,100.0,22.0,22.0
2026-08-07T06:18:59Z,2026-08-09T15:00:00Z,56.7,74.0,87.5,87.5,-13.5,13.5
2026-08-07T06:18:59Z,2026-08-09T18:00:00Z,59.7,43.0,75.0,100.0,-32.0,32.0
2026-08-07T07:13:52Z,2026-08-09T09:00:00Z,49.8,88.0,75.0,100.0,13.0,13.0
2026-08-07T07:13:52Z,2026-08-09T12:00:00Z,52.8,80.0,75.0,100.0,5.0,5.0
2026-08-07T07:13:52Z,2026-08-09T15:00:00Z,55.8,81.0,87.5,87.5,-6.5,6.5
2026-08-07T07:13:52Z,2026-08-09T18:00:00Z,58.8,44.0,75.0,100.0,-31.0,31.0
2026-08-07T10:39:14Z,2026-08-09T12:00:00Z,49.3,80.0,75.0,100.0,5.0,5.0
2026-08-07T10:39:14Z,2026-08-09T15:00:00Z,52.3,81.0,87.5,87.5,-6.5,6.5
2026-08-07T10:39:14Z,2026-08-09T18:00:00Z,55.3,44.0,75.0,100.0,-31.0,31.0
2026-08-07T16:51:54Z,2026-08-09T18:00:00Z,49.1,42.0,75.0,100.0,-33.0,33.0
