# Архангельск / Облачность / 3-5 дней / ECMWF AIFS
# n=1667, MAE=20.388, RMSE=29.576, bias=-4.930
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (29.576/35.642)^2 = 0.3114  (RMSE_персистентности по 1667 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-09T12:00:00Z,74.2,78.0,75.0,100.0,3.0,3.0
2026-08-06T09:50:07Z,2026-08-09T15:00:00Z,77.2,48.0,87.5,87.5,-39.5,39.5
2026-08-06T09:50:07Z,2026-08-09T18:00:00Z,80.2,24.0,75.0,100.0,-51.0,51.0
2026-08-06T09:50:07Z,2026-08-09T21:00:00Z,83.2,38.0,37.5,87.5,0.5,0.5
2026-08-06T09:50:07Z,2026-08-10T00:00:00Z,86.2,61.0,37.5,87.5,23.5,23.5
2026-08-06T09:50:07Z,2026-08-10T03:00:00Z,89.2,77.0,87.5,100.0,-10.5,10.5
2026-08-06T09:50:07Z,2026-08-10T06:00:00Z,92.2,86.0,87.5,100.0,-1.5,1.5
2026-08-06T09:50:07Z,2026-08-10T09:00:00Z,95.2,81.0,87.5,75.0,-6.5,6.5
2026-08-06T09:50:07Z,2026-08-10T12:00:00Z,98.2,73.0,87.5,75.0,-14.5,14.5
2026-08-06T09:50:07Z,2026-08-10T15:00:00Z,101.2,68.0,87.5,87.5,-19.5,19.5
2026-08-06T09:50:07Z,2026-08-10T18:00:00Z,104.2,67.0,75.0,75.0,-8.0,8.0
2026-08-06T09:50:07Z,2026-08-10T21:00:00Z,107.2,78.0,100.0,37.5,-22.0,22.0
2026-08-06T09:50:07Z,2026-08-11T00:00:00Z,110.2,91.0,100.0,37.5,-9.0,9.0
2026-08-06T09:50:07Z,2026-08-11T03:00:00Z,113.2,94.0,12.5,87.5,81.5,81.5
2026-08-06T09:50:07Z,2026-08-11T06:00:00Z,116.2,95.0,75.0,87.5,20.0,20.0
2026-08-06T09:50:07Z,2026-08-11T09:00:00Z,119.2,100.0,87.5,87.5,12.5,12.5
2026-08-06T09:59:18Z,2026-08-09T12:00:00Z,74.0,78.0,75.0,100.0,3.0,3.0
2026-08-06T09:59:18Z,2026-08-09T15:00:00Z,77.0,48.0,87.5,87.5,-39.5,39.5
2026-08-06T09:59:18Z,2026-08-09T18:00:00Z,80.0,24.0,75.0,100.0,-51.0,51.0
2026-08-06T09:59:18Z,2026-08-09T21:00:00Z,83.0,38.0,37.5,87.5,0.5,0.5
2026-08-06T09:59:18Z,2026-08-10T00:00:00Z,86.0,61.0,37.5,87.5,23.5,23.5
2026-08-06T09:59:18Z,2026-08-10T03:00:00Z,89.0,77.0,87.5,100.0,-10.5,10.5
2026-08-06T09:59:18Z,2026-08-10T06:00:00Z,92.0,86.0,87.5,100.0,-1.5,1.5
2026-08-06T09:59:18Z,2026-08-10T09:00:00Z,95.0,81.0,87.5,75.0,-6.5,6.5
