# Архангельск / Облачность / 3-5 дней / ECMWF IFS
# n=143, MAE=37.874, RMSE=48.562, bias=-22.483
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (48.562/31.463)^2 = -1.3822  (RMSE_персистентности по 143 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-09T12:00:00Z,74.2,0.0,75.0,87.5,-75.0,75.0
2026-08-06T09:50:07Z,2026-08-09T15:00:00Z,77.2,3.0,87.5,87.5,-84.5,84.5
2026-08-06T09:50:07Z,2026-08-09T18:00:00Z,80.2,36.0,75.0,87.5,-39.0,39.0
2026-08-06T09:50:07Z,2026-08-09T21:00:00Z,83.2,35.0,37.5,87.5,-2.5,2.5
2026-08-06T09:50:07Z,2026-08-10T00:00:00Z,86.2,91.0,37.5,87.5,53.5,53.5
2026-08-06T09:50:07Z,2026-08-10T03:00:00Z,89.2,100.0,87.5,87.5,12.5,12.5
2026-08-06T09:50:07Z,2026-08-10T06:00:00Z,92.2,67.0,87.5,87.5,-20.5,20.5
2026-08-06T09:50:07Z,2026-08-10T09:00:00Z,95.2,89.0,87.5,87.5,1.5,1.5
2026-08-06T09:50:07Z,2026-08-10T12:00:00Z,98.2,63.0,87.5,87.5,-24.5,24.5
2026-08-06T09:50:07Z,2026-08-10T15:00:00Z,101.2,21.0,87.5,87.5,-66.5,66.5
2026-08-06T09:50:07Z,2026-08-10T18:00:00Z,104.2,75.0,75.0,87.5,0.0,0.0
2026-08-06T09:50:07Z,2026-08-10T21:00:00Z,107.2,34.0,100.0,87.5,-66.0,66.0
2026-08-06T09:50:07Z,2026-08-11T00:00:00Z,110.2,52.0,100.0,87.5,-48.0,48.0
2026-08-06T09:50:07Z,2026-08-11T03:00:00Z,113.2,14.0,12.5,87.5,1.5,1.5
2026-08-06T09:59:18Z,2026-08-09T12:00:00Z,74.0,0.0,75.0,87.5,-75.0,75.0
2026-08-06T09:59:18Z,2026-08-09T15:00:00Z,77.0,3.0,87.5,87.5,-84.5,84.5
2026-08-06T09:59:18Z,2026-08-09T18:00:00Z,80.0,36.0,75.0,87.5,-39.0,39.0
2026-08-06T09:59:18Z,2026-08-09T21:00:00Z,83.0,35.0,37.5,87.5,-2.5,2.5
2026-08-06T09:59:18Z,2026-08-10T00:00:00Z,86.0,91.0,37.5,87.5,53.5,53.5
2026-08-06T09:59:18Z,2026-08-10T03:00:00Z,89.0,100.0,87.5,87.5,12.5,12.5
2026-08-06T09:59:18Z,2026-08-10T06:00:00Z,92.0,67.0,87.5,87.5,-20.5,20.5
2026-08-06T09:59:18Z,2026-08-10T09:00:00Z,95.0,89.0,87.5,87.5,1.5,1.5
2026-08-06T09:59:18Z,2026-08-10T12:00:00Z,98.0,63.0,87.5,87.5,-24.5,24.5
2026-08-06T09:59:18Z,2026-08-10T15:00:00Z,101.0,21.0,87.5,87.5,-66.5,66.5
2026-08-06T09:59:18Z,2026-08-10T18:00:00Z,104.0,75.0,75.0,87.5,0.0,0.0
2026-08-06T09:59:18Z,2026-08-10T21:00:00Z,107.0,34.0,100.0,87.5,-66.0,66.0
2026-08-06T09:59:18Z,2026-08-11T00:00:00Z,110.0,52.0,100.0,87.5,-48.0,48.0
2026-08-06T09:59:18Z,2026-08-11T03:00:00Z,113.0,14.0,12.5,87.5,1.5,1.5
2026-08-06T10:08:26Z,2026-08-09T12:00:00Z,73.9,0.0,75.0,87.5,-75.0,75.0
2026-08-06T10:08:26Z,2026-08-09T15:00:00Z,76.9,3.0,87.5,87.5,-84.5,84.5
2026-08-06T10:08:26Z,2026-08-09T18:00:00Z,79.9,36.0,75.0,87.5,-39.0,39.0
2026-08-06T10:08:26Z,2026-08-09T21:00:00Z,82.9,35.0,37.5,87.5,-2.5,2.5
2026-08-06T10:08:26Z,2026-08-10T00:00:00Z,85.9,91.0,37.5,87.5,53.5,53.5
2026-08-06T10:08:26Z,2026-08-10T03:00:00Z,88.9,100.0,87.5,87.5,12.5,12.5
2026-08-06T10:08:26Z,2026-08-10T06:00:00Z,91.9,67.0,87.5,87.5,-20.5,20.5
2026-08-06T10:08:26Z,2026-08-10T09:00:00Z,94.9,89.0,87.5,87.5,1.5,1.5
2026-08-06T10:08:26Z,2026-08-10T12:00:00Z,97.9,63.0,87.5,87.5,-24.5,24.5
2026-08-06T10:08:26Z,2026-08-10T15:00:00Z,100.9,21.0,87.5,87.5,-66.5,66.5
2026-08-06T10:08:26Z,2026-08-10T18:00:00Z,103.9,75.0,75.0,87.5,0.0,0.0
2026-08-06T10:08:26Z,2026-08-10T21:00:00Z,106.9,34.0,100.0,87.5,-66.0,66.0
2026-08-06T10:08:26Z,2026-08-11T00:00:00Z,109.9,52.0,100.0,87.5,-48.0,48.0
2026-08-06T10:08:26Z,2026-08-11T03:00:00Z,112.9,14.0,12.5,87.5,1.5,1.5
2026-08-06T10:47:54Z,2026-08-09T12:00:00Z,73.2,0.0,75.0,87.5,-75.0,75.0
2026-08-06T10:47:54Z,2026-08-09T15:00:00Z,76.2,3.0,87.5,87.5,-84.5,84.5
2026-08-06T10:47:54Z,2026-08-09T18:00:00Z,79.2,36.0,75.0,87.5,-39.0,39.0
2026-08-06T10:47:54Z,2026-08-09T21:00:00Z,82.2,35.0,37.5,87.5,-2.5,2.5
2026-08-06T10:47:54Z,2026-08-10T00:00:00Z,85.2,91.0,37.5,87.5,53.5,53.5
2026-08-06T10:47:54Z,2026-08-10T03:00:00Z,88.2,100.0,87.5,87.5,12.5,12.5
2026-08-06T10:47:54Z,2026-08-10T06:00:00Z,91.2,67.0,87.5,87.5,-20.5,20.5
2026-08-06T10:47:54Z,2026-08-10T09:00:00Z,94.2,89.0,87.5,87.5,1.5,1.5
2026-08-06T10:47:54Z,2026-08-10T12:00:00Z,97.2,63.0,87.5,87.5,-24.5,24.5
2026-08-06T10:47:54Z,2026-08-10T15:00:00Z,100.2,21.0,87.5,87.5,-66.5,66.5
2026-08-06T10:47:54Z,2026-08-10T18:00:00Z,103.2,75.0,75.0,87.5,0.0,0.0
2026-08-06T10:47:54Z,2026-08-10T21:00:00Z,106.2,34.0,100.0,87.5,-66.0,66.0
2026-08-06T10:47:54Z,2026-08-11T00:00:00Z,109.2,52.0,100.0,87.5,-48.0,48.0
2026-08-06T10:47:54Z,2026-08-11T03:00:00Z,112.2,14.0,12.5,87.5,1.5,1.5
2026-08-06T11:30:42Z,2026-08-09T12:00:00Z,72.5,0.0,75.0,87.5,-75.0,75.0
2026-08-06T11:30:42Z,2026-08-09T15:00:00Z,75.5,3.0,87.5,87.5,-84.5,84.5
2026-08-06T11:30:42Z,2026-08-09T18:00:00Z,78.5,36.0,75.0,87.5,-39.0,39.0
2026-08-06T11:30:42Z,2026-08-09T21:00:00Z,81.5,35.0,37.5,87.5,-2.5,2.5
2026-08-06T11:30:42Z,2026-08-10T00:00:00Z,84.5,91.0,37.5,87.5,53.5,53.5
2026-08-06T11:30:42Z,2026-08-10T03:00:00Z,87.5,100.0,87.5,87.5,12.5,12.5
2026-08-06T11:30:42Z,2026-08-10T06:00:00Z,90.5,67.0,87.5,87.5,-20.5,20.5
2026-08-06T11:30:42Z,2026-08-10T09:00:00Z,93.5,89.0,87.5,87.5,1.5,1.5
2026-08-06T11:30:42Z,2026-08-10T12:00:00Z,96.5,63.0,87.5,87.5,-24.5,24.5
2026-08-06T11:30:42Z,2026-08-10T15:00:00Z,99.5,21.0,87.5,87.5,-66.5,66.5
2026-08-06T11:30:42Z,2026-08-10T18:00:00Z,102.5,75.0,75.0,87.5,0.0,0.0
2026-08-06T11:30:42Z,2026-08-10T21:00:00Z,105.5,34.0,100.0,87.5,-66.0,66.0
2026-08-06T11:30:42Z,2026-08-11T00:00:00Z,108.5,52.0,100.0,87.5,-48.0,48.0
2026-08-06T11:30:42Z,2026-08-11T03:00:00Z,111.5,14.0,12.5,87.5,1.5,1.5
2026-08-06T11:36:01Z,2026-08-09T12:00:00Z,72.4,0.0,75.0,87.5,-75.0,75.0
2026-08-06T11:36:01Z,2026-08-09T15:00:00Z,75.4,3.0,87.5,87.5,-84.5,84.5
2026-08-06T11:36:01Z,2026-08-09T18:00:00Z,78.4,36.0,75.0,87.5,-39.0,39.0
2026-08-06T11:36:01Z,2026-08-09T21:00:00Z,81.4,35.0,37.5,87.5,-2.5,2.5
2026-08-06T11:36:01Z,2026-08-10T00:00:00Z,84.4,91.0,37.5,87.5,53.5,53.5
2026-08-06T11:36:01Z,2026-08-10T03:00:00Z,87.4,100.0,87.5,87.5,12.5,12.5
2026-08-06T11:36:01Z,2026-08-10T06:00:00Z,90.4,67.0,87.5,87.5,-20.5,20.5
2026-08-06T11:36:01Z,2026-08-10T09:00:00Z,93.4,89.0,87.5,87.5,1.5,1.5
2026-08-06T11:36:01Z,2026-08-10T12:00:00Z,96.4,63.0,87.5,87.5,-24.5,24.5
2026-08-06T11:36:01Z,2026-08-10T15:00:00Z,99.4,21.0,87.5,87.5,-66.5,66.5
2026-08-06T11:36:01Z,2026-08-10T18:00:00Z,102.4,75.0,75.0,87.5,0.0,0.0
2026-08-06T11:36:01Z,2026-08-10T21:00:00Z,105.4,34.0,100.0,87.5,-66.0,66.0
2026-08-06T11:36:01Z,2026-08-11T00:00:00Z,108.4,52.0,100.0,87.5,-48.0,48.0
2026-08-06T11:36:01Z,2026-08-11T03:00:00Z,111.4,14.0,12.5,87.5,1.5,1.5
2026-08-06T11:44:08Z,2026-08-09T12:00:00Z,72.3,0.0,75.0,87.5,-75.0,75.0
2026-08-06T11:44:08Z,2026-08-09T15:00:00Z,75.3,3.0,87.5,87.5,-84.5,84.5
2026-08-06T11:44:08Z,2026-08-09T18:00:00Z,78.3,36.0,75.0,87.5,-39.0,39.0
2026-08-06T11:44:08Z,2026-08-09T21:00:00Z,81.3,35.0,37.5,87.5,-2.5,2.5
2026-08-06T11:44:08Z,2026-08-10T00:00:00Z,84.3,91.0,37.5,87.5,53.5,53.5
2026-08-06T11:44:08Z,2026-08-10T03:00:00Z,87.3,100.0,87.5,87.5,12.5,12.5
2026-08-06T11:44:08Z,2026-08-10T06:00:00Z,90.3,67.0,87.5,87.5,-20.5,20.5
2026-08-06T11:44:08Z,2026-08-10T09:00:00Z,93.3,89.0,87.5,87.5,1.5,1.5
2026-08-06T11:44:08Z,2026-08-10T12:00:00Z,96.3,63.0,87.5,87.5,-24.5,24.5
2026-08-06T11:44:08Z,2026-08-10T15:00:00Z,99.3,21.0,87.5,87.5,-66.5,66.5
2026-08-06T11:44:08Z,2026-08-10T18:00:00Z,102.3,75.0,75.0,87.5,0.0,0.0
2026-08-06T11:44:08Z,2026-08-10T21:00:00Z,105.3,34.0,100.0,87.5,-66.0,66.0
2026-08-06T11:44:08Z,2026-08-11T00:00:00Z,108.3,52.0,100.0,87.5,-48.0,48.0
2026-08-06T11:44:08Z,2026-08-11T03:00:00Z,111.3,14.0,12.5,87.5,1.5,1.5
2026-08-07T01:31:32Z,2026-08-10T03:00:00Z,73.5,84.0,87.5,100.0,-3.5,3.5
2026-08-07T01:31:32Z,2026-08-10T06:00:00Z,76.5,84.0,87.5,100.0,-3.5,3.5
2026-08-07T01:31:32Z,2026-08-10T09:00:00Z,79.5,84.0,87.5,100.0,-3.5,3.5
2026-08-07T01:31:32Z,2026-08-10T12:00:00Z,82.5,95.0,87.5,100.0,7.5,7.5
2026-08-07T01:31:32Z,2026-08-10T15:00:00Z,85.5,85.0,87.5,100.0,-2.5,2.5
2026-08-07T01:31:32Z,2026-08-10T18:00:00Z,88.5,4.0,75.0,100.0,-71.0,71.0
2026-08-07T01:31:32Z,2026-08-10T21:00:00Z,91.5,28.0,100.0,100.0,-72.0,72.0
2026-08-07T01:31:32Z,2026-08-11T00:00:00Z,94.5,29.0,100.0,100.0,-71.0,71.0
2026-08-07T01:31:32Z,2026-08-11T03:00:00Z,97.5,95.0,12.5,100.0,82.5,82.5
2026-08-07T05:36:00Z,2026-08-10T06:00:00Z,72.4,84.0,87.5,100.0,-3.5,3.5
2026-08-07T05:36:00Z,2026-08-10T09:00:00Z,75.4,84.0,87.5,100.0,-3.5,3.5
2026-08-07T05:36:00Z,2026-08-10T12:00:00Z,78.4,95.0,87.5,100.0,7.5,7.5
2026-08-07T05:36:00Z,2026-08-10T15:00:00Z,81.4,85.0,87.5,100.0,-2.5,2.5
2026-08-07T05:36:00Z,2026-08-10T18:00:00Z,84.4,4.0,75.0,100.0,-71.0,71.0
2026-08-07T05:36:00Z,2026-08-10T21:00:00Z,87.4,28.0,100.0,100.0,-72.0,72.0
2026-08-07T05:36:00Z,2026-08-11T00:00:00Z,90.4,29.0,100.0,100.0,-71.0,71.0
2026-08-07T05:36:00Z,2026-08-11T03:00:00Z,93.4,95.0,12.5,100.0,82.5,82.5
2026-08-07T06:18:59Z,2026-08-10T09:00:00Z,74.7,84.0,87.5,100.0,-3.5,3.5
2026-08-07T06:18:59Z,2026-08-10T12:00:00Z,77.7,95.0,87.5,100.0,7.5,7.5
2026-08-07T06:18:59Z,2026-08-10T15:00:00Z,80.7,85.0,87.5,100.0,-2.5,2.5
2026-08-07T06:18:59Z,2026-08-10T18:00:00Z,83.7,4.0,75.0,100.0,-71.0,71.0
2026-08-07T06:18:59Z,2026-08-10T21:00:00Z,86.7,28.0,100.0,100.0,-72.0,72.0
2026-08-07T06:18:59Z,2026-08-11T00:00:00Z,89.7,29.0,100.0,100.0,-71.0,71.0
2026-08-07T06:18:59Z,2026-08-11T03:00:00Z,92.7,95.0,12.5,100.0,82.5,82.5
2026-08-07T07:13:52Z,2026-08-10T09:00:00Z,73.8,84.0,87.5,100.0,-3.5,3.5
2026-08-07T07:13:52Z,2026-08-10T12:00:00Z,76.8,95.0,87.5,100.0,7.5,7.5
2026-08-07T07:13:52Z,2026-08-10T15:00:00Z,79.8,85.0,87.5,100.0,-2.5,2.5
2026-08-07T07:13:52Z,2026-08-10T18:00:00Z,82.8,4.0,75.0,100.0,-71.0,71.0
2026-08-07T07:13:52Z,2026-08-10T21:00:00Z,85.8,28.0,100.0,100.0,-72.0,72.0
2026-08-07T07:13:52Z,2026-08-11T00:00:00Z,88.8,29.0,100.0,100.0,-71.0,71.0
2026-08-07T07:13:52Z,2026-08-11T03:00:00Z,91.8,95.0,12.5,100.0,82.5,82.5
2026-08-07T10:39:14Z,2026-08-10T12:00:00Z,73.3,82.0,87.5,100.0,-5.5,5.5
2026-08-07T10:39:14Z,2026-08-10T15:00:00Z,76.3,97.0,87.5,100.0,9.5,9.5
2026-08-07T10:39:14Z,2026-08-10T18:00:00Z,79.3,16.0,75.0,100.0,-59.0,59.0
2026-08-07T10:39:14Z,2026-08-10T21:00:00Z,82.3,71.0,100.0,100.0,-29.0,29.0
2026-08-07T10:39:14Z,2026-08-11T00:00:00Z,85.3,40.0,100.0,100.0,-60.0,60.0
2026-08-07T10:39:14Z,2026-08-11T03:00:00Z,88.3,62.0,12.5,100.0,49.5,49.5
2026-08-07T16:51:54Z,2026-08-10T18:00:00Z,73.1,14.0,75.0,87.5,-61.0,61.0
2026-08-07T16:51:54Z,2026-08-10T21:00:00Z,76.1,9.0,100.0,87.5,-91.0,91.0
2026-08-07T16:51:54Z,2026-08-11T00:00:00Z,79.1,56.0,100.0,87.5,-44.0,44.0
2026-08-07T16:51:54Z,2026-08-11T03:00:00Z,82.1,52.0,12.5,87.5,39.5,39.5
2026-08-07T22:45:57Z,2026-08-11T00:00:00Z,73.2,55.0,100.0,87.5,-45.0,45.0
2026-08-07T22:45:57Z,2026-08-11T03:00:00Z,76.2,92.0,12.5,87.5,79.5,79.5
2026-08-07T23:19:23Z,2026-08-11T00:00:00Z,72.7,55.0,100.0,87.5,-45.0,45.0
2026-08-07T23:19:23Z,2026-08-11T03:00:00Z,75.7,92.0,12.5,87.5,79.5,79.5
