# Архангельск / Облачность / 3-5 дней / GEM (Канада)
# n=43, MAE=32.965, RMSE=35.553, bias=-28.733
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (35.553/29.470)^2 = -0.4555  (RMSE_персистентности по 43 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-09T12:00:00Z,74.2,88.0,75.0,87.5,13.0,13.0
2026-08-06T09:50:07Z,2026-08-09T15:00:00Z,77.2,44.0,87.5,87.5,-43.5,43.5
2026-08-06T09:50:07Z,2026-08-09T18:00:00Z,80.2,44.0,75.0,87.5,-31.0,31.0
2026-08-06T09:50:07Z,2026-08-09T21:00:00Z,83.2,8.0,37.5,87.5,-29.5,29.5
2026-08-06T09:50:07Z,2026-08-10T00:00:00Z,86.2,12.0,37.5,87.5,-25.5,25.5
2026-08-06T09:50:07Z,2026-08-10T03:00:00Z,89.2,32.0,87.5,87.5,-55.5,55.5
2026-08-06T09:59:18Z,2026-08-09T12:00:00Z,74.0,88.0,75.0,87.5,13.0,13.0
2026-08-06T09:59:18Z,2026-08-09T15:00:00Z,77.0,44.0,87.5,87.5,-43.5,43.5
2026-08-06T09:59:18Z,2026-08-09T18:00:00Z,80.0,44.0,75.0,87.5,-31.0,31.0
2026-08-06T09:59:18Z,2026-08-09T21:00:00Z,83.0,8.0,37.5,87.5,-29.5,29.5
2026-08-06T09:59:18Z,2026-08-10T00:00:00Z,86.0,12.0,37.5,87.5,-25.5,25.5
2026-08-06T09:59:18Z,2026-08-10T03:00:00Z,89.0,32.0,87.5,87.5,-55.5,55.5
2026-08-06T10:08:26Z,2026-08-09T12:00:00Z,73.9,88.0,75.0,87.5,13.0,13.0
2026-08-06T10:08:26Z,2026-08-09T15:00:00Z,76.9,44.0,87.5,87.5,-43.5,43.5
2026-08-06T10:08:26Z,2026-08-09T18:00:00Z,79.9,44.0,75.0,87.5,-31.0,31.0
2026-08-06T10:08:26Z,2026-08-09T21:00:00Z,82.9,8.0,37.5,87.5,-29.5,29.5
2026-08-06T10:08:26Z,2026-08-10T00:00:00Z,85.9,12.0,37.5,87.5,-25.5,25.5
2026-08-06T10:08:26Z,2026-08-10T03:00:00Z,88.9,32.0,87.5,87.5,-55.5,55.5
2026-08-06T10:47:54Z,2026-08-09T12:00:00Z,73.2,88.0,75.0,87.5,13.0,13.0
2026-08-06T10:47:54Z,2026-08-09T15:00:00Z,76.2,44.0,87.5,87.5,-43.5,43.5
2026-08-06T10:47:54Z,2026-08-09T18:00:00Z,79.2,44.0,75.0,87.5,-31.0,31.0
2026-08-06T10:47:54Z,2026-08-09T21:00:00Z,82.2,8.0,37.5,87.5,-29.5,29.5
2026-08-06T10:47:54Z,2026-08-10T00:00:00Z,85.2,12.0,37.5,87.5,-25.5,25.5
2026-08-06T10:47:54Z,2026-08-10T03:00:00Z,88.2,32.0,87.5,87.5,-55.5,55.5
2026-08-06T11:30:42Z,2026-08-09T12:00:00Z,72.5,88.0,75.0,87.5,13.0,13.0
2026-08-06T11:30:42Z,2026-08-09T15:00:00Z,75.5,44.0,87.5,87.5,-43.5,43.5
2026-08-06T11:30:42Z,2026-08-09T18:00:00Z,78.5,44.0,75.0,87.5,-31.0,31.0
2026-08-06T11:30:42Z,2026-08-09T21:00:00Z,81.5,8.0,37.5,87.5,-29.5,29.5
2026-08-06T11:30:42Z,2026-08-10T00:00:00Z,84.5,12.0,37.5,87.5,-25.5,25.5
2026-08-06T11:30:42Z,2026-08-10T03:00:00Z,87.5,32.0,87.5,87.5,-55.5,55.5
2026-08-06T11:36:01Z,2026-08-09T12:00:00Z,72.4,88.0,75.0,87.5,13.0,13.0
2026-08-06T11:36:01Z,2026-08-09T15:00:00Z,75.4,44.0,87.5,87.5,-43.5,43.5
2026-08-06T11:36:01Z,2026-08-09T18:00:00Z,78.4,44.0,75.0,87.5,-31.0,31.0
2026-08-06T11:36:01Z,2026-08-09T21:00:00Z,81.4,8.0,37.5,87.5,-29.5,29.5
2026-08-06T11:36:01Z,2026-08-10T00:00:00Z,84.4,12.0,37.5,87.5,-25.5,25.5
2026-08-06T11:36:01Z,2026-08-10T03:00:00Z,87.4,32.0,87.5,87.5,-55.5,55.5
2026-08-06T11:44:08Z,2026-08-09T12:00:00Z,72.3,88.0,75.0,87.5,13.0,13.0
2026-08-06T11:44:08Z,2026-08-09T15:00:00Z,75.3,44.0,87.5,87.5,-43.5,43.5
2026-08-06T11:44:08Z,2026-08-09T18:00:00Z,78.3,44.0,75.0,87.5,-31.0,31.0
2026-08-06T11:44:08Z,2026-08-09T21:00:00Z,81.3,8.0,37.5,87.5,-29.5,29.5
2026-08-06T11:44:08Z,2026-08-10T00:00:00Z,84.3,12.0,37.5,87.5,-25.5,25.5
2026-08-06T11:44:08Z,2026-08-10T03:00:00Z,87.3,32.0,87.5,87.5,-55.5,55.5
2026-08-07T01:31:32Z,2026-08-10T03:00:00Z,73.5,56.0,87.5,100.0,-31.5,31.5
