# Архангельск / Облачность / 3-5 дней / ICON (Германия)
# n=254, MAE=17.287, RMSE=25.739, bias=-2.059
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (25.739/24.528)^2 = -0.1012  (RMSE_персистентности по 254 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-09T12:00:00Z,74.2,55.0,75.0,87.5,-20.0,20.0
2026-08-06T09:50:07Z,2026-08-09T15:00:00Z,77.2,62.0,87.5,87.5,-25.5,25.5
2026-08-06T09:50:07Z,2026-08-09T18:00:00Z,80.2,72.0,75.0,87.5,-3.0,3.0
2026-08-06T09:50:07Z,2026-08-09T21:00:00Z,83.2,91.0,37.5,87.5,53.5,53.5
2026-08-06T09:50:07Z,2026-08-10T00:00:00Z,86.2,95.0,37.5,87.5,57.5,57.5
2026-08-06T09:50:07Z,2026-08-10T03:00:00Z,89.2,74.0,87.5,87.5,-13.5,13.5
2026-08-06T09:50:07Z,2026-08-10T06:00:00Z,92.2,93.0,87.5,87.5,5.5,5.5
2026-08-06T09:50:07Z,2026-08-10T09:00:00Z,95.2,66.0,87.5,87.5,-21.5,21.5
2026-08-06T09:50:07Z,2026-08-10T12:00:00Z,98.2,48.0,87.5,87.5,-39.5,39.5
2026-08-06T09:50:07Z,2026-08-10T15:00:00Z,101.2,79.0,87.5,87.5,-8.5,8.5
2026-08-06T09:50:07Z,2026-08-10T18:00:00Z,104.2,90.0,75.0,87.5,15.0,15.0
2026-08-06T09:50:07Z,2026-08-10T21:00:00Z,107.2,96.0,100.0,87.5,-4.0,4.0
2026-08-06T09:50:07Z,2026-08-11T00:00:00Z,110.2,61.0,100.0,87.5,-39.0,39.0
2026-08-06T09:50:07Z,2026-08-11T03:00:00Z,113.2,7.0,12.5,87.5,-5.5,5.5
2026-08-06T09:50:07Z,2026-08-11T06:00:00Z,116.2,100.0,75.0,87.5,25.0,25.0
2026-08-06T09:50:07Z,2026-08-11T09:00:00Z,119.2,100.0,87.5,87.5,12.5,12.5
2026-08-06T09:59:18Z,2026-08-09T12:00:00Z,74.0,55.0,75.0,87.5,-20.0,20.0
2026-08-06T09:59:18Z,2026-08-09T15:00:00Z,77.0,62.0,87.5,87.5,-25.5,25.5
2026-08-06T09:59:18Z,2026-08-09T18:00:00Z,80.0,72.0,75.0,87.5,-3.0,3.0
2026-08-06T09:59:18Z,2026-08-09T21:00:00Z,83.0,91.0,37.5,87.5,53.5,53.5
2026-08-06T09:59:18Z,2026-08-10T00:00:00Z,86.0,95.0,37.5,87.5,57.5,57.5
2026-08-06T09:59:18Z,2026-08-10T03:00:00Z,89.0,74.0,87.5,87.5,-13.5,13.5
2026-08-06T09:59:18Z,2026-08-10T06:00:00Z,92.0,93.0,87.5,87.5,5.5,5.5
2026-08-06T09:59:18Z,2026-08-10T09:00:00Z,95.0,66.0,87.5,87.5,-21.5,21.5
2026-08-06T09:59:18Z,2026-08-10T12:00:00Z,98.0,48.0,87.5,87.5,-39.5,39.5
2026-08-06T09:59:18Z,2026-08-10T15:00:00Z,101.0,79.0,87.5,87.5,-8.5,8.5
2026-08-06T09:59:18Z,2026-08-10T18:00:00Z,104.0,90.0,75.0,87.5,15.0,15.0
2026-08-06T09:59:18Z,2026-08-10T21:00:00Z,107.0,96.0,100.0,87.5,-4.0,4.0
2026-08-06T09:59:18Z,2026-08-11T00:00:00Z,110.0,61.0,100.0,87.5,-39.0,39.0
2026-08-06T09:59:18Z,2026-08-11T03:00:00Z,113.0,7.0,12.5,87.5,-5.5,5.5
2026-08-06T09:59:18Z,2026-08-11T06:00:00Z,116.0,100.0,75.0,87.5,25.0,25.0
2026-08-06T09:59:18Z,2026-08-11T09:00:00Z,119.0,100.0,87.5,87.5,12.5,12.5
2026-08-06T10:08:26Z,2026-08-09T12:00:00Z,73.9,55.0,75.0,87.5,-20.0,20.0
2026-08-06T10:08:26Z,2026-08-09T15:00:00Z,76.9,62.0,87.5,87.5,-25.5,25.5
2026-08-06T10:08:26Z,2026-08-09T18:00:00Z,79.9,72.0,75.0,87.5,-3.0,3.0
2026-08-06T10:08:26Z,2026-08-09T21:00:00Z,82.9,91.0,37.5,87.5,53.5,53.5
2026-08-06T10:08:26Z,2026-08-10T00:00:00Z,85.9,95.0,37.5,87.5,57.5,57.5
2026-08-06T10:08:26Z,2026-08-10T03:00:00Z,88.9,74.0,87.5,87.5,-13.5,13.5
2026-08-06T10:08:26Z,2026-08-10T06:00:00Z,91.9,93.0,87.5,87.5,5.5,5.5
2026-08-06T10:08:26Z,2026-08-10T09:00:00Z,94.9,66.0,87.5,87.5,-21.5,21.5
2026-08-06T10:08:26Z,2026-08-10T12:00:00Z,97.9,48.0,87.5,87.5,-39.5,39.5
2026-08-06T10:08:26Z,2026-08-10T15:00:00Z,100.9,79.0,87.5,87.5,-8.5,8.5
2026-08-06T10:08:26Z,2026-08-10T18:00:00Z,103.9,90.0,75.0,87.5,15.0,15.0
2026-08-06T10:08:26Z,2026-08-10T21:00:00Z,106.9,96.0,100.0,87.5,-4.0,4.0
2026-08-06T10:08:26Z,2026-08-11T00:00:00Z,109.9,61.0,100.0,87.5,-39.0,39.0
2026-08-06T10:08:26Z,2026-08-11T03:00:00Z,112.9,7.0,12.5,87.5,-5.5,5.5
2026-08-06T10:08:26Z,2026-08-11T06:00:00Z,115.9,100.0,75.0,87.5,25.0,25.0
2026-08-06T10:08:26Z,2026-08-11T09:00:00Z,118.9,100.0,87.5,87.5,12.5,12.5
2026-08-06T10:47:54Z,2026-08-09T12:00:00Z,73.2,55.0,75.0,87.5,-20.0,20.0
2026-08-06T10:47:54Z,2026-08-09T15:00:00Z,76.2,62.0,87.5,87.5,-25.5,25.5
2026-08-06T10:47:54Z,2026-08-09T18:00:00Z,79.2,72.0,75.0,87.5,-3.0,3.0
2026-08-06T10:47:54Z,2026-08-09T21:00:00Z,82.2,91.0,37.5,87.5,53.5,53.5
2026-08-06T10:47:54Z,2026-08-10T00:00:00Z,85.2,95.0,37.5,87.5,57.5,57.5
2026-08-06T10:47:54Z,2026-08-10T03:00:00Z,88.2,74.0,87.5,87.5,-13.5,13.5
2026-08-06T10:47:54Z,2026-08-10T06:00:00Z,91.2,93.0,87.5,87.5,5.5,5.5
2026-08-06T10:47:54Z,2026-08-10T09:00:00Z,94.2,66.0,87.5,87.5,-21.5,21.5
2026-08-06T10:47:54Z,2026-08-10T12:00:00Z,97.2,48.0,87.5,87.5,-39.5,39.5
2026-08-06T10:47:54Z,2026-08-10T15:00:00Z,100.2,79.0,87.5,87.5,-8.5,8.5
2026-08-06T10:47:54Z,2026-08-10T18:00:00Z,103.2,90.0,75.0,87.5,15.0,15.0
2026-08-06T10:47:54Z,2026-08-10T21:00:00Z,106.2,96.0,100.0,87.5,-4.0,4.0
2026-08-06T10:47:54Z,2026-08-11T00:00:00Z,109.2,61.0,100.0,87.5,-39.0,39.0
2026-08-06T10:47:54Z,2026-08-11T03:00:00Z,112.2,7.0,12.5,87.5,-5.5,5.5
2026-08-06T10:47:54Z,2026-08-11T06:00:00Z,115.2,100.0,75.0,87.5,25.0,25.0
2026-08-06T10:47:54Z,2026-08-11T09:00:00Z,118.2,100.0,87.5,87.5,12.5,12.5
2026-08-06T11:30:42Z,2026-08-09T12:00:00Z,72.5,55.0,75.0,87.5,-20.0,20.0
2026-08-06T11:30:42Z,2026-08-09T15:00:00Z,75.5,62.0,87.5,87.5,-25.5,25.5
2026-08-06T11:30:42Z,2026-08-09T18:00:00Z,78.5,72.0,75.0,87.5,-3.0,3.0
2026-08-06T11:30:42Z,2026-08-09T21:00:00Z,81.5,91.0,37.5,87.5,53.5,53.5
2026-08-06T11:30:42Z,2026-08-10T00:00:00Z,84.5,95.0,37.5,87.5,57.5,57.5
2026-08-06T11:30:42Z,2026-08-10T03:00:00Z,87.5,74.0,87.5,87.5,-13.5,13.5
2026-08-06T11:30:42Z,2026-08-10T06:00:00Z,90.5,93.0,87.5,87.5,5.5,5.5
2026-08-06T11:30:42Z,2026-08-10T09:00:00Z,93.5,66.0,87.5,87.5,-21.5,21.5
2026-08-06T11:30:42Z,2026-08-10T12:00:00Z,96.5,48.0,87.5,87.5,-39.5,39.5
2026-08-06T11:30:42Z,2026-08-10T15:00:00Z,99.5,79.0,87.5,87.5,-8.5,8.5
2026-08-06T11:30:42Z,2026-08-10T18:00:00Z,102.5,90.0,75.0,87.5,15.0,15.0
2026-08-06T11:30:42Z,2026-08-10T21:00:00Z,105.5,96.0,100.0,87.5,-4.0,4.0
2026-08-06T11:30:42Z,2026-08-11T00:00:00Z,108.5,61.0,100.0,87.5,-39.0,39.0
2026-08-06T11:30:42Z,2026-08-11T03:00:00Z,111.5,7.0,12.5,87.5,-5.5,5.5
2026-08-06T11:30:42Z,2026-08-11T06:00:00Z,114.5,100.0,75.0,87.5,25.0,25.0
2026-08-06T11:30:42Z,2026-08-11T09:00:00Z,117.5,100.0,87.5,87.5,12.5,12.5
2026-08-06T11:36:01Z,2026-08-09T12:00:00Z,72.4,55.0,75.0,87.5,-20.0,20.0
2026-08-06T11:36:01Z,2026-08-09T15:00:00Z,75.4,62.0,87.5,87.5,-25.5,25.5
2026-08-06T11:36:01Z,2026-08-09T18:00:00Z,78.4,72.0,75.0,87.5,-3.0,3.0
2026-08-06T11:36:01Z,2026-08-09T21:00:00Z,81.4,91.0,37.5,87.5,53.5,53.5
2026-08-06T11:36:01Z,2026-08-10T00:00:00Z,84.4,95.0,37.5,87.5,57.5,57.5
2026-08-06T11:36:01Z,2026-08-10T03:00:00Z,87.4,74.0,87.5,87.5,-13.5,13.5
