# Архангельск / Облачность / 3-5 дней / UKMO (Британия)
# n=872, MAE=26.096, RMSE=41.503, bias=-6.577
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (41.503/32.426)^2 = -0.6382  (RMSE_персистентности по 872 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-09T12:00:00Z,74.2,48.0,75.0,87.5,-27.0,27.0
2026-08-06T09:50:07Z,2026-08-09T15:00:00Z,77.2,84.0,87.5,87.5,-3.5,3.5
2026-08-06T09:50:07Z,2026-08-09T18:00:00Z,80.2,100.0,75.0,87.5,25.0,25.0
2026-08-06T09:50:07Z,2026-08-09T21:00:00Z,83.2,86.0,37.5,87.5,48.5,48.5
2026-08-06T09:50:07Z,2026-08-10T00:00:00Z,86.2,98.0,37.5,87.5,60.5,60.5
2026-08-06T09:50:07Z,2026-08-10T03:00:00Z,89.2,98.0,87.5,87.5,10.5,10.5
2026-08-06T09:50:07Z,2026-08-10T06:00:00Z,92.2,31.0,87.5,87.5,-56.5,56.5
2026-08-06T09:50:07Z,2026-08-10T09:00:00Z,95.2,95.0,87.5,87.5,7.5,7.5
2026-08-06T09:50:07Z,2026-08-10T12:00:00Z,98.2,100.0,87.5,87.5,12.5,12.5
2026-08-06T09:50:07Z,2026-08-10T15:00:00Z,101.2,100.0,87.5,87.5,12.5,12.5
2026-08-06T09:50:07Z,2026-08-10T18:00:00Z,104.2,100.0,75.0,87.5,25.0,25.0
2026-08-06T09:50:07Z,2026-08-10T21:00:00Z,107.2,100.0,100.0,87.5,0.0,0.0
2026-08-06T09:50:07Z,2026-08-11T00:00:00Z,110.2,80.0,100.0,87.5,-20.0,20.0
2026-08-06T09:50:07Z,2026-08-11T03:00:00Z,113.2,100.0,12.5,87.5,87.5,87.5
2026-08-06T09:50:07Z,2026-08-11T06:00:00Z,116.2,80.0,75.0,87.5,5.0,5.0
2026-08-06T09:50:07Z,2026-08-11T09:00:00Z,119.2,75.0,87.5,87.5,-12.5,12.5
2026-08-06T09:59:18Z,2026-08-09T12:00:00Z,74.0,48.0,75.0,87.5,-27.0,27.0
2026-08-06T09:59:18Z,2026-08-09T15:00:00Z,77.0,84.0,87.5,87.5,-3.5,3.5
2026-08-06T09:59:18Z,2026-08-09T18:00:00Z,80.0,100.0,75.0,87.5,25.0,25.0
2026-08-06T09:59:18Z,2026-08-09T21:00:00Z,83.0,86.0,37.5,87.5,48.5,48.5
2026-08-06T09:59:18Z,2026-08-10T00:00:00Z,86.0,98.0,37.5,87.5,60.5,60.5
2026-08-06T09:59:18Z,2026-08-10T03:00:00Z,89.0,98.0,87.5,87.5,10.5,10.5
