# Архангельск / Облачность / 3-5 дней / Tomorrow.io
# n=15, MAE=20.779, RMSE=34.474, bias=-11.195
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (34.474/20.666)^2 = -1.7828  (RMSE_персистентности по 15 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:44:08Z,2026-08-09T12:00:00Z,72.3,0.0,75.0,87.5,-75.0,75.0
2026-08-06T11:44:08Z,2026-08-09T15:00:00Z,75.3,3.12,87.5,87.5,-84.38,84.38
2026-08-06T11:44:08Z,2026-08-09T18:00:00Z,78.3,35.94,75.0,87.5,-39.06,39.06
2026-08-06T11:44:08Z,2026-08-09T21:00:00Z,81.3,35.16,37.5,87.5,-2.34,2.34
2026-08-06T11:44:08Z,2026-08-10T00:00:00Z,84.3,91.41,37.5,87.5,53.91,53.91
2026-08-06T11:44:08Z,2026-08-10T03:00:00Z,87.3,100.0,87.5,87.5,12.5,12.5
2026-08-06T11:44:08Z,2026-08-10T06:00:00Z,90.3,67.19,87.5,87.5,-20.31,20.31
2026-08-06T11:44:08Z,2026-08-10T09:00:00Z,93.3,89.06,87.5,87.5,1.56,1.56
2026-08-07T01:31:32Z,2026-08-10T03:00:00Z,73.5,84.38,87.5,100.0,-3.12,3.12
2026-08-07T01:31:32Z,2026-08-10T06:00:00Z,76.5,84.38,87.5,100.0,-3.12,3.12
2026-08-07T01:31:32Z,2026-08-10T09:00:00Z,79.5,84.38,87.5,100.0,-3.12,3.12
2026-08-07T05:36:00Z,2026-08-10T06:00:00Z,72.4,84.38,87.5,100.0,-3.12,3.12
2026-08-07T05:36:00Z,2026-08-10T09:00:00Z,75.4,84.38,87.5,100.0,-3.12,3.12
2026-08-07T06:18:59Z,2026-08-10T09:00:00Z,74.7,84.38,87.5,100.0,-3.12,3.12
2026-08-07T07:13:52Z,2026-08-10T09:00:00Z,73.8,91.41,87.5,100.0,3.91,3.91
