# Архангельск / Облачность / 3-5 дней / Apple Погода
# n=475, MAE=21.080, RMSE=30.946, bias=-13.175
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (30.946/27.115)^2 = -0.3026  (RMSE_персистентности по 475 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:36:01Z,2026-08-09T12:00:00Z,72.4,48.0,75.0,100.0,-27.0,27.0
2026-08-06T11:36:01Z,2026-08-09T15:00:00Z,75.4,45.0,87.5,87.5,-42.5,42.5
2026-08-06T11:36:01Z,2026-08-09T18:00:00Z,78.4,52.0,75.0,100.0,-23.0,23.0
2026-08-06T11:36:01Z,2026-08-09T21:00:00Z,81.4,62.0,37.5,87.5,24.5,24.5
2026-08-06T11:36:01Z,2026-08-10T00:00:00Z,84.4,94.0,37.5,87.5,56.5,56.5
2026-08-06T11:36:01Z,2026-08-10T03:00:00Z,87.4,94.0,87.5,100.0,6.5,6.5
2026-08-06T11:36:01Z,2026-08-10T06:00:00Z,90.4,71.0,87.5,100.0,-16.5,16.5
2026-08-06T11:36:01Z,2026-08-10T09:00:00Z,93.4,85.0,87.5,75.0,-2.5,2.5
2026-08-06T11:36:01Z,2026-08-10T12:00:00Z,96.4,77.0,87.5,75.0,-10.5,10.5
2026-08-06T11:36:01Z,2026-08-10T15:00:00Z,99.4,70.0,87.5,87.5,-17.5,17.5
2026-08-06T11:36:01Z,2026-08-10T18:00:00Z,102.4,87.0,75.0,75.0,12.0,12.0
2026-08-06T11:36:01Z,2026-08-10T21:00:00Z,105.4,74.0,100.0,37.5,-26.0,26.0
2026-08-06T11:36:01Z,2026-08-11T00:00:00Z,108.4,70.0,100.0,37.5,-30.0,30.0
2026-08-06T11:36:01Z,2026-08-11T03:00:00Z,111.4,49.0,12.5,87.5,36.5,36.5
2026-08-06T11:36:01Z,2026-08-11T06:00:00Z,114.4,91.0,75.0,87.5,16.0,16.0
2026-08-06T11:36:01Z,2026-08-11T09:00:00Z,117.4,88.0,87.5,87.5,0.5,0.5
2026-08-06T11:44:08Z,2026-08-09T12:00:00Z,72.3,48.0,75.0,100.0,-27.0,27.0
2026-08-06T11:44:08Z,2026-08-09T15:00:00Z,75.3,45.0,87.5,87.5,-42.5,42.5
2026-08-06T11:44:08Z,2026-08-09T18:00:00Z,78.3,52.0,75.0,100.0,-23.0,23.0
2026-08-06T11:44:08Z,2026-08-09T21:00:00Z,81.3,62.0,37.5,87.5,24.5,24.5
