# Архангельск / Облачность / 5-10 дней / Yr (Норвегия)
# n=120, MAE=26.131, RMSE=43.016, bias=-25.506
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (43.016/9.948)^2 = -17.6981  (RMSE_персистентности по 120 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-11T12:00:00Z,122.2,59.4,87.5,87.5,-28.1,28.1
2026-08-06T09:50:07Z,2026-08-11T18:00:00Z,128.2,14.1,100.0,87.5,-85.9,85.9
2026-08-06T09:50:07Z,2026-08-12T00:00:00Z,134.2,100.0,100.0,87.5,0.0,0.0
2026-08-06T09:50:07Z,2026-08-12T06:00:00Z,140.2,90.6,100.0,87.5,-9.4,9.4
2026-08-06T09:50:07Z,2026-08-12T12:00:00Z,146.2,56.2,100.0,87.5,-43.8,43.8
2026-08-06T09:50:07Z,2026-08-12T18:00:00Z,152.2,3.1,100.0,87.5,-96.9,96.9
2026-08-06T09:50:07Z,2026-08-13T00:00:00Z,158.2,10.2,100.0,87.5,-89.8,89.8
2026-08-06T09:50:07Z,2026-08-13T06:00:00Z,164.2,95.3,100.0,87.5,-4.7,4.7
2026-08-06T09:50:07Z,2026-08-13T12:00:00Z,170.2,70.3,100.0,87.5,-29.7,29.7
2026-08-06T09:50:07Z,2026-08-13T18:00:00Z,176.2,55.5,100.0,87.5,-44.5,44.5
2026-08-06T09:59:18Z,2026-08-11T12:00:00Z,122.0,59.4,87.5,87.5,-28.1,28.1
2026-08-06T09:59:18Z,2026-08-11T18:00:00Z,128.0,14.1,100.0,87.5,-85.9,85.9
2026-08-06T09:59:18Z,2026-08-12T00:00:00Z,134.0,100.0,100.0,87.5,0.0,0.0
2026-08-06T09:59:18Z,2026-08-12T06:00:00Z,140.0,90.6,100.0,87.5,-9.4,9.4
2026-08-06T09:59:18Z,2026-08-12T12:00:00Z,146.0,56.2,100.0,87.5,-43.8,43.8
2026-08-06T09:59:18Z,2026-08-12T18:00:00Z,152.0,3.1,100.0,87.5,-96.9,96.9
2026-08-06T09:59:18Z,2026-08-13T00:00:00Z,158.0,10.2,100.0,87.5,-89.8,89.8
2026-08-06T09:59:18Z,2026-08-13T06:00:00Z,164.0,95.3,100.0,87.5,-4.7,4.7
2026-08-06T09:59:18Z,2026-08-13T12:00:00Z,170.0,70.3,100.0,87.5,-29.7,29.7
2026-08-06T09:59:18Z,2026-08-13T18:00:00Z,176.0,55.5,100.0,87.5,-44.5,44.5
2026-08-06T10:08:26Z,2026-08-11T12:00:00Z,121.9,59.4,87.5,87.5,-28.1,28.1
2026-08-06T10:08:26Z,2026-08-11T18:00:00Z,127.9,14.1,100.0,87.5,-85.9,85.9
2026-08-06T10:08:26Z,2026-08-12T00:00:00Z,133.9,100.0,100.0,87.5,0.0,0.0
2026-08-06T10:08:26Z,2026-08-12T06:00:00Z,139.9,90.6,100.0,87.5,-9.4,9.4
2026-08-06T10:08:26Z,2026-08-12T12:00:00Z,145.9,56.2,100.0,87.5,-43.8,43.8
2026-08-06T10:08:26Z,2026-08-12T18:00:00Z,151.9,3.1,100.0,87.5,-96.9,96.9
2026-08-06T10:08:26Z,2026-08-13T00:00:00Z,157.9,10.2,100.0,87.5,-89.8,89.8
2026-08-06T10:08:26Z,2026-08-13T06:00:00Z,163.9,95.3,100.0,87.5,-4.7,4.7
2026-08-06T10:08:26Z,2026-08-13T12:00:00Z,169.9,70.3,100.0,87.5,-29.7,29.7
2026-08-06T10:08:26Z,2026-08-13T18:00:00Z,175.9,55.5,100.0,87.5,-44.5,44.5
2026-08-06T10:47:54Z,2026-08-11T12:00:00Z,121.2,59.4,87.5,87.5,-28.1,28.1
2026-08-06T10:47:54Z,2026-08-11T18:00:00Z,127.2,14.1,100.0,87.5,-85.9,85.9
2026-08-06T10:47:54Z,2026-08-12T00:00:00Z,133.2,100.0,100.0,87.5,0.0,0.0
2026-08-06T10:47:54Z,2026-08-12T06:00:00Z,139.2,90.6,100.0,87.5,-9.4,9.4
2026-08-06T10:47:54Z,2026-08-12T12:00:00Z,145.2,56.2,100.0,87.5,-43.8,43.8
2026-08-06T10:47:54Z,2026-08-12T18:00:00Z,151.2,3.1,100.0,87.5,-96.9,96.9
2026-08-06T10:47:54Z,2026-08-13T00:00:00Z,157.2,10.2,100.0,87.5,-89.8,89.8
2026-08-06T10:47:54Z,2026-08-13T06:00:00Z,163.2,95.3,100.0,87.5,-4.7,4.7
2026-08-06T10:47:54Z,2026-08-13T12:00:00Z,169.2,70.3,100.0,87.5,-29.7,29.7
2026-08-06T10:47:54Z,2026-08-13T18:00:00Z,175.2,55.5,100.0,87.5,-44.5,44.5
2026-08-06T11:30:42Z,2026-08-11T12:00:00Z,120.5,100.0,87.5,87.5,12.5,12.5
2026-08-06T11:30:42Z,2026-08-11T18:00:00Z,126.5,100.0,100.0,87.5,0.0,0.0
2026-08-06T11:30:42Z,2026-08-12T00:00:00Z,132.5,100.0,100.0,87.5,0.0,0.0
2026-08-06T11:30:42Z,2026-08-12T06:00:00Z,138.5,45.3,100.0,87.5,-54.7,54.7
2026-08-06T11:30:42Z,2026-08-12T12:00:00Z,144.5,32.0,100.0,87.5,-68.0,68.0
2026-08-06T11:30:42Z,2026-08-12T18:00:00Z,150.5,100.0,100.0,87.5,0.0,0.0
2026-08-06T11:30:42Z,2026-08-13T00:00:00Z,156.5,100.0,100.0,87.5,0.0,0.0
2026-08-06T11:30:42Z,2026-08-13T06:00:00Z,162.5,97.7,100.0,87.5,-2.3,2.3
2026-08-06T11:30:42Z,2026-08-13T12:00:00Z,168.5,93.0,100.0,87.5,-7.0,7.0
2026-08-06T11:30:42Z,2026-08-13T18:00:00Z,174.5,31.2,100.0,87.5,-68.8,68.8
2026-08-06T11:36:01Z,2026-08-11T12:00:00Z,120.4,100.0,87.5,87.5,12.5,12.5
2026-08-06T11:36:01Z,2026-08-11T18:00:00Z,126.4,100.0,100.0,87.5,0.0,0.0
2026-08-06T11:36:01Z,2026-08-12T00:00:00Z,132.4,100.0,100.0,87.5,0.0,0.0
2026-08-06T11:36:01Z,2026-08-12T06:00:00Z,138.4,45.3,100.0,87.5,-54.7,54.7
2026-08-06T11:36:01Z,2026-08-12T12:00:00Z,144.4,32.0,100.0,87.5,-68.0,68.0
2026-08-06T11:36:01Z,2026-08-12T18:00:00Z,150.4,100.0,100.0,87.5,0.0,0.0
2026-08-06T11:36:01Z,2026-08-13T00:00:00Z,156.4,100.0,100.0,87.5,0.0,0.0
2026-08-06T11:36:01Z,2026-08-13T06:00:00Z,162.4,97.7,100.0,87.5,-2.3,2.3
2026-08-06T11:36:01Z,2026-08-13T12:00:00Z,168.4,93.0,100.0,87.5,-7.0,7.0
2026-08-06T11:36:01Z,2026-08-13T18:00:00Z,174.4,31.2,100.0,87.5,-68.8,68.8
2026-08-06T11:44:08Z,2026-08-11T12:00:00Z,120.3,100.0,87.5,87.5,12.5,12.5
2026-08-06T11:44:08Z,2026-08-11T18:00:00Z,126.3,100.0,100.0,87.5,0.0,0.0
2026-08-06T11:44:08Z,2026-08-12T00:00:00Z,132.3,100.0,100.0,87.5,0.0,0.0
2026-08-06T11:44:08Z,2026-08-12T06:00:00Z,138.3,45.3,100.0,87.5,-54.7,54.7
2026-08-06T11:44:08Z,2026-08-12T12:00:00Z,144.3,32.0,100.0,87.5,-68.0,68.0
2026-08-06T11:44:08Z,2026-08-12T18:00:00Z,150.3,100.0,100.0,87.5,0.0,0.0
2026-08-06T11:44:08Z,2026-08-13T00:00:00Z,156.3,100.0,100.0,87.5,0.0,0.0
2026-08-06T11:44:08Z,2026-08-13T06:00:00Z,162.3,97.7,100.0,87.5,-2.3,2.3
2026-08-06T11:44:08Z,2026-08-13T12:00:00Z,168.3,93.0,100.0,87.5,-7.0,7.0
2026-08-06T11:44:08Z,2026-08-13T18:00:00Z,174.3,31.2,100.0,87.5,-68.8,68.8
2026-08-07T01:31:32Z,2026-08-12T06:00:00Z,124.5,100.0,100.0,100.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-12T12:00:00Z,130.5,100.0,100.0,100.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-12T18:00:00Z,136.5,100.0,100.0,100.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-13T00:00:00Z,142.5,100.0,100.0,100.0,0.0,0.0
