# Архангельск / Облачность / 5-10 дней / Яндекс.Погода
# n=342, MAE=21.469, RMSE=33.664, bias=+3.838
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (33.664/42.217)^2 = 0.3641  (RMSE_персистентности по 342 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-16T07:21:44Z,2026-08-21T12:00:00Z,124.6,95.0,87.5,100.0,7.5,7.5
2026-08-16T07:21:44Z,2026-08-21T18:00:00Z,130.6,25.0,100.0,100.0,-75.0,75.0
2026-08-16T07:21:44Z,2026-08-22T00:00:00Z,136.6,25.0,100.0,100.0,-75.0,75.0
2026-08-16T07:21:44Z,2026-08-22T06:00:00Z,142.6,95.0,100.0,100.0,-5.0,5.0
2026-08-16T07:21:44Z,2026-08-22T12:00:00Z,148.6,95.0,75.0,100.0,20.0,20.0
2026-08-16T07:21:44Z,2026-08-22T18:00:00Z,154.6,95.0,87.5,100.0,7.5,7.5
2026-08-16T07:21:44Z,2026-08-23T06:00:00Z,166.6,95.0,87.5,100.0,7.5,7.5
2026-08-16T07:21:44Z,2026-08-23T12:00:00Z,172.6,95.0,100.0,100.0,-5.0,5.0
2026-08-16T07:21:44Z,2026-08-23T18:00:00Z,178.6,95.0,100.0,100.0,-5.0,5.0
2026-08-16T07:21:44Z,2026-08-24T00:00:00Z,184.6,95.0,100.0,100.0,-5.0,5.0
2026-08-16T07:21:44Z,2026-08-24T06:00:00Z,190.6,95.0,100.0,100.0,-5.0,5.0
2026-08-16T07:21:44Z,2026-08-24T12:00:00Z,196.6,95.0,100.0,100.0,-5.0,5.0
2026-08-16T07:21:44Z,2026-08-24T18:00:00Z,202.6,95.0,100.0,100.0,-5.0,5.0
2026-08-16T07:21:44Z,2026-08-25T00:00:00Z,208.6,95.0,100.0,100.0,-5.0,5.0
2026-08-16T07:21:44Z,2026-08-25T06:00:00Z,214.6,95.0,100.0,100.0,-5.0,5.0
2026-08-16T07:21:44Z,2026-08-25T12:00:00Z,220.6,25.0,87.5,100.0,-62.5,62.5
2026-08-16T07:21:44Z,2026-08-25T18:00:00Z,226.6,55.0,87.5,100.0,-32.5,32.5
2026-08-16T07:21:44Z,2026-08-26T00:00:00Z,232.6,55.0,75.0,100.0,-20.0,20.0
2026-08-16T10:09:47Z,2026-08-21T12:00:00Z,121.8,95.0,87.5,100.0,7.5,7.5
2026-08-16T10:09:47Z,2026-08-21T18:00:00Z,127.8,55.0,100.0,100.0,-45.0,45.0
2026-08-16T10:09:47Z,2026-08-22T00:00:00Z,133.8,25.0,100.0,100.0,-75.0,75.0
2026-08-16T10:09:47Z,2026-08-22T06:00:00Z,139.8,55.0,100.0,100.0,-45.0,45.0
2026-08-16T10:09:47Z,2026-08-22T12:00:00Z,145.8,95.0,75.0,100.0,20.0,20.0
2026-08-16T10:09:47Z,2026-08-22T18:00:00Z,151.8,95.0,87.5,100.0,7.5,7.5
2026-08-16T10:09:47Z,2026-08-23T06:00:00Z,163.8,95.0,87.5,100.0,7.5,7.5
2026-08-16T10:09:47Z,2026-08-23T12:00:00Z,169.8,95.0,100.0,100.0,-5.0,5.0
2026-08-16T10:09:47Z,2026-08-23T18:00:00Z,175.8,95.0,100.0,100.0,-5.0,5.0
2026-08-16T10:09:47Z,2026-08-24T00:00:00Z,181.8,95.0,100.0,100.0,-5.0,5.0
2026-08-16T10:09:47Z,2026-08-24T06:00:00Z,187.8,95.0,100.0,100.0,-5.0,5.0
2026-08-16T10:09:47Z,2026-08-24T12:00:00Z,193.8,95.0,100.0,100.0,-5.0,5.0
2026-08-16T10:09:47Z,2026-08-24T18:00:00Z,199.8,95.0,100.0,100.0,-5.0,5.0
2026-08-16T10:09:47Z,2026-08-25T00:00:00Z,205.8,95.0,100.0,100.0,-5.0,5.0
2026-08-16T10:09:47Z,2026-08-25T06:00:00Z,211.8,95.0,100.0,100.0,-5.0,5.0
2026-08-16T10:09:47Z,2026-08-25T12:00:00Z,217.8,95.0,87.5,100.0,7.5,7.5
2026-08-16T10:09:47Z,2026-08-25T18:00:00Z,223.8,95.0,87.5,100.0,7.5,7.5
2026-08-16T10:09:47Z,2026-08-26T00:00:00Z,229.8,55.0,75.0,100.0,-20.0,20.0
2026-08-16T16:21:00Z,2026-08-21T18:00:00Z,121.7,55.0,100.0,87.5,-45.0,45.0
2026-08-16T16:21:00Z,2026-08-22T00:00:00Z,127.7,25.0,100.0,87.5,-75.0,75.0
2026-08-16T16:21:00Z,2026-08-22T06:00:00Z,133.7,55.0,100.0,87.5,-45.0,45.0
