# Архангельск / Облачность / 6-24ч / OpenWeatherMap
# n=80, MAE=12.488, RMSE=18.709, bias=-7.175
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (18.709/10.643)^2 = -2.0899  (RMSE_персистентности по 80 пар(ам))
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:30:42Z,2026-08-06T18:00:00Z,6.5,94.0,100.0,87.5,-6.0,6.0
2026-08-06T11:30:42Z,2026-08-06T21:00:00Z,9.5,100.0,100.0,87.5,0.0,0.0
2026-08-06T11:30:42Z,2026-08-07T00:00:00Z,12.5,100.0,100.0,87.5,0.0,0.0
2026-08-06T11:30:42Z,2026-08-07T03:00:00Z,15.5,100.0,100.0,87.5,0.0,0.0
2026-08-06T11:30:42Z,2026-08-07T06:00:00Z,18.5,100.0,100.0,87.5,0.0,0.0
2026-08-06T11:30:42Z,2026-08-07T09:00:00Z,21.5,100.0,100.0,87.5,0.0,0.0
2026-08-06T11:36:01Z,2026-08-06T18:00:00Z,6.4,94.0,100.0,87.5,-6.0,6.0
2026-08-06T11:36:01Z,2026-08-06T21:00:00Z,9.4,100.0,100.0,87.5,0.0,0.0
2026-08-06T11:36:01Z,2026-08-07T00:00:00Z,12.4,100.0,100.0,87.5,0.0,0.0
2026-08-06T11:36:01Z,2026-08-07T03:00:00Z,15.4,100.0,100.0,87.5,0.0,0.0
2026-08-06T11:36:01Z,2026-08-07T06:00:00Z,18.4,100.0,100.0,87.5,0.0,0.0
2026-08-06T11:36:01Z,2026-08-07T09:00:00Z,21.4,100.0,100.0,87.5,0.0,0.0
2026-08-06T11:44:08Z,2026-08-06T18:00:00Z,6.3,94.0,100.0,87.5,-6.0,6.0
2026-08-06T11:44:08Z,2026-08-06T21:00:00Z,9.3,100.0,100.0,87.5,0.0,0.0
2026-08-06T11:44:08Z,2026-08-07T00:00:00Z,12.3,100.0,100.0,87.5,0.0,0.0
2026-08-06T11:44:08Z,2026-08-07T03:00:00Z,15.3,100.0,100.0,87.5,0.0,0.0
2026-08-06T11:44:08Z,2026-08-07T06:00:00Z,18.3,100.0,100.0,87.5,0.0,0.0
2026-08-06T11:44:08Z,2026-08-07T09:00:00Z,21.3,100.0,100.0,87.5,0.0,0.0
2026-08-07T01:31:32Z,2026-08-07T09:00:00Z,7.5,100.0,100.0,100.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-07T12:00:00Z,10.5,96.0,87.5,100.0,8.5,8.5
2026-08-07T01:31:32Z,2026-08-07T15:00:00Z,13.5,41.0,87.5,100.0,-46.5,46.5
2026-08-07T01:31:32Z,2026-08-07T18:00:00Z,16.5,63.0,87.5,100.0,-24.5,24.5
2026-08-07T01:31:32Z,2026-08-07T21:00:00Z,19.5,95.0,87.5,100.0,7.5,7.5
2026-08-07T01:31:32Z,2026-08-08T00:00:00Z,22.5,77.0,100.0,100.0,-23.0,23.0
2026-08-07T05:36:00Z,2026-08-07T12:00:00Z,6.4,97.0,87.5,100.0,9.5,9.5
2026-08-07T05:36:00Z,2026-08-07T15:00:00Z,9.4,41.0,87.5,100.0,-46.5,46.5
2026-08-07T05:36:00Z,2026-08-07T18:00:00Z,12.4,63.0,87.5,100.0,-24.5,24.5
2026-08-07T05:36:00Z,2026-08-07T21:00:00Z,15.4,95.0,87.5,100.0,7.5,7.5
2026-08-07T05:36:00Z,2026-08-08T00:00:00Z,18.4,77.0,100.0,100.0,-23.0,23.0
2026-08-07T05:36:00Z,2026-08-08T03:00:00Z,21.4,58.0,100.0,100.0,-42.0,42.0
2026-08-07T06:18:59Z,2026-08-07T15:00:00Z,8.7,41.0,87.5,100.0,-46.5,46.5
2026-08-07T06:18:59Z,2026-08-07T18:00:00Z,11.7,63.0,87.5,100.0,-24.5,24.5
2026-08-07T06:18:59Z,2026-08-07T21:00:00Z,14.7,95.0,87.5,100.0,7.5,7.5
2026-08-07T06:18:59Z,2026-08-08T00:00:00Z,17.7,77.0,100.0,100.0,-23.0,23.0
2026-08-07T06:18:59Z,2026-08-08T03:00:00Z,20.7,58.0,100.0,100.0,-42.0,42.0
2026-08-07T06:18:59Z,2026-08-08T06:00:00Z,23.7,79.0,100.0,100.0,-21.0,21.0
2026-08-07T07:13:52Z,2026-08-07T15:00:00Z,7.8,60.0,87.5,100.0,-27.5,27.5
2026-08-07T07:13:52Z,2026-08-07T18:00:00Z,10.8,80.0,87.5,100.0,-7.5,7.5
2026-08-07T07:13:52Z,2026-08-07T21:00:00Z,13.8,57.0,87.5,100.0,-30.5,30.5
2026-08-07T07:13:52Z,2026-08-08T00:00:00Z,16.8,61.0,100.0,100.0,-39.0,39.0
2026-08-07T07:13:52Z,2026-08-08T03:00:00Z,19.8,82.0,100.0,100.0,-18.0,18.0
2026-08-07T07:13:52Z,2026-08-08T06:00:00Z,22.8,89.0,100.0,100.0,-11.0,11.0
2026-08-07T10:39:14Z,2026-08-07T18:00:00Z,7.3,87.0,87.5,100.0,-0.5,0.5
2026-08-07T10:39:14Z,2026-08-07T21:00:00Z,10.3,57.0,87.5,100.0,-30.5,30.5
2026-08-07T10:39:14Z,2026-08-08T00:00:00Z,13.3,61.0,100.0,100.0,-39.0,39.0
