# Архангельск / Осадки / 0-6ч / ARPEGE (Франция)
# n=21, порог дождя = 0.2 мм
# POD=0.5882352941176471, FAR=0.09090909090909091, CSI=0.5555555555555556, MAE=1.005 мм, bias=+0.405 мм
# CSI = hits / (hits + misses + false_alarms); hit = прогноз>=порога И факт>=порога
#
fetched_at,valid_time,lead_hours,forecast,observed,error
2026-08-06T09:50:07Z,2026-08-06T15:00:00Z,5.2,0.0,0.7,-0.7
2026-08-06T09:59:18Z,2026-08-06T15:00:00Z,5.0,0.0,0.7,-0.7
2026-08-06T10:08:26Z,2026-08-06T15:00:00Z,4.9,0.0,0.7,-0.7
2026-08-06T10:47:54Z,2026-08-06T15:00:00Z,4.2,0.0,0.7,-0.7
2026-08-06T11:30:42Z,2026-08-06T15:00:00Z,3.5,0.0,0.7,-0.7
2026-08-06T11:36:01Z,2026-08-06T15:00:00Z,3.4,0.0,0.7,-0.7
2026-08-06T11:44:08Z,2026-08-06T15:00:00Z,3.3,0.0,0.7,-0.7
2026-08-07T10:39:14Z,2026-08-07T15:00:00Z,4.3,6.6,3.0,3.6
2026-08-07T22:45:57Z,2026-08-08T03:00:00Z,4.2,2.9,0.4,2.5
2026-08-07T23:19:23Z,2026-08-08T03:00:00Z,3.7,2.9,0.4,2.5
2026-08-08T10:18:13Z,2026-08-08T15:00:00Z,4.7,7.3,7.0,0.3
2026-08-08T22:37:20Z,2026-08-09T03:00:00Z,4.4,3.7,4.0,-0.3
2026-08-09T10:19:29Z,2026-08-09T15:00:00Z,4.7,1.2,0.6,0.6
2026-08-09T12:41:38Z,2026-08-09T15:00:00Z,2.3,2.2,0.6,1.6
2026-08-09T12:45:53Z,2026-08-09T15:00:00Z,2.2,2.2,0.6,1.6
2026-08-09T12:48:15Z,2026-08-09T15:00:00Z,2.2,2.2,0.6,1.6
2026-08-09T22:39:09Z,2026-08-10T03:00:00Z,4.3,0.0,0.0,0.0
2026-08-10T10:53:28Z,2026-08-10T15:00:00Z,4.1,0.0,0.0,0.0
2026-08-10T22:47:13Z,2026-08-11T03:00:00Z,4.2,0.0,0.0,0.0
2026-08-11T10:38:45Z,2026-08-11T15:00:00Z,4.4,0.6,0.1,0.5
2026-08-12T10:47:03Z,2026-08-12T15:00:00Z,4.2,2.9,4.0,-1.1
