# Архангельск / Осадки / 1-2 дня / GEM (Канада)
# n=192, порог дождя = 0.2 мм
# POD=0.9042553191489362, FAR=0.15, CSI=0.7798165137614679, MAE=1.693 мм, bias=+0.488 мм
# CSI = hits / (hits + misses + false_alarms); hit = прогноз>=порога И факт>=порога
#
fetched_at,valid_time,lead_hours,forecast,observed,error
2026-08-06T09:50:07Z,2026-08-07T15:00:00Z,29.2,5.6,3.0,2.6
2026-08-06T09:59:18Z,2026-08-07T15:00:00Z,29.0,5.6,3.0,2.6
2026-08-06T10:08:26Z,2026-08-07T15:00:00Z,28.9,5.6,3.0,2.6
2026-08-06T10:47:54Z,2026-08-07T15:00:00Z,28.2,5.6,3.0,2.6
2026-08-06T11:30:42Z,2026-08-07T15:00:00Z,27.5,5.6,3.0,2.6
2026-08-06T11:36:01Z,2026-08-07T15:00:00Z,27.4,5.6,3.0,2.6
2026-08-06T11:44:08Z,2026-08-07T15:00:00Z,27.3,5.6,3.0,2.6
2026-08-06T09:50:07Z,2026-08-08T03:00:00Z,41.2,4.3,0.4,3.9
2026-08-06T09:59:18Z,2026-08-08T03:00:00Z,41.0,4.3,0.4,3.9
2026-08-06T10:08:26Z,2026-08-08T03:00:00Z,40.9,4.3,0.4,3.9
2026-08-06T10:47:54Z,2026-08-08T03:00:00Z,40.2,4.3,0.4,3.9
2026-08-06T11:30:42Z,2026-08-08T03:00:00Z,39.5,4.3,0.4,3.9
2026-08-06T11:36:01Z,2026-08-08T03:00:00Z,39.4,4.3,0.4,3.9
2026-08-06T11:44:08Z,2026-08-08T03:00:00Z,39.3,4.3,0.4,3.9
2026-08-07T01:31:32Z,2026-08-08T03:00:00Z,25.5,2.7,0.4,2.3
2026-08-07T01:31:32Z,2026-08-08T15:00:00Z,37.5,1.5,7.0,-5.5
2026-08-07T05:36:00Z,2026-08-08T15:00:00Z,33.4,1.5,7.0,-5.5
2026-08-07T06:18:59Z,2026-08-08T15:00:00Z,32.7,1.0,7.0,-6.0
2026-08-07T07:13:52Z,2026-08-08T15:00:00Z,31.8,1.0,7.0,-6.0
2026-08-07T10:39:14Z,2026-08-08T15:00:00Z,28.3,1.0,7.0,-6.0
2026-08-07T05:36:00Z,2026-08-09T03:00:00Z,45.4,0.1,4.0,-3.9
2026-08-07T06:18:59Z,2026-08-09T03:00:00Z,44.7,4.0,4.0,0.0
2026-08-07T07:13:52Z,2026-08-09T03:00:00Z,43.8,4.0,4.0,0.0
2026-08-07T10:39:14Z,2026-08-09T03:00:00Z,40.3,4.0,4.0,0.0
2026-08-07T16:51:54Z,2026-08-09T03:00:00Z,34.1,4.0,4.0,0.0
2026-08-07T22:45:57Z,2026-08-09T03:00:00Z,28.2,18.9,4.0,14.9
2026-08-07T23:19:23Z,2026-08-09T03:00:00Z,27.7,18.9,4.0,14.9
2026-08-07T16:51:54Z,2026-08-09T15:00:00Z,46.1,3.7,0.6,3.1
2026-08-07T22:45:57Z,2026-08-09T15:00:00Z,40.2,3.1,0.6,2.5
2026-08-07T23:19:23Z,2026-08-09T15:00:00Z,39.7,3.1,0.6,2.5
