# Архангельск / Осадки / 1-2 дня / WeatherAPI.com
# n=166, порог дождя = 0.2 мм
# POD=0.8953488372093024, FAR=0.18947368421052632, CSI=0.7403846153846154, MAE=2.017 мм, bias=-0.862 мм
# CSI = hits / (hits + misses + false_alarms); hit = прогноз>=порога И факт>=порога
#
fetched_at,valid_time,lead_hours,forecast,observed,error
2026-08-06T10:47:54Z,2026-08-07T15:00:00Z,28.2,4.31,3.0,1.31
2026-08-06T11:30:42Z,2026-08-07T15:00:00Z,27.5,4.31,3.0,1.31
2026-08-06T11:36:01Z,2026-08-07T15:00:00Z,27.4,4.31,3.0,1.31
2026-08-06T11:44:08Z,2026-08-07T15:00:00Z,27.3,4.31,3.0,1.31
2026-08-06T10:47:54Z,2026-08-08T03:00:00Z,40.2,3.05,0.4,2.65
2026-08-06T11:30:42Z,2026-08-08T03:00:00Z,39.5,3.05,0.4,2.65
2026-08-06T11:36:01Z,2026-08-08T03:00:00Z,39.4,3.05,0.4,2.65
2026-08-06T11:44:08Z,2026-08-08T03:00:00Z,39.3,3.05,0.4,2.65
2026-08-07T01:31:32Z,2026-08-08T03:00:00Z,25.5,6.17,0.4,5.77
2026-08-07T01:31:32Z,2026-08-08T15:00:00Z,37.5,6.42,7.0,-0.58
2026-08-07T05:36:00Z,2026-08-08T15:00:00Z,33.4,1.03,7.0,-5.97
2026-08-07T06:18:59Z,2026-08-08T15:00:00Z,32.7,1.03,7.0,-5.97
2026-08-07T07:13:52Z,2026-08-08T15:00:00Z,31.8,0.37,7.0,-6.63
2026-08-07T10:39:14Z,2026-08-08T15:00:00Z,28.3,0.37,7.0,-6.63
2026-08-07T05:36:00Z,2026-08-09T03:00:00Z,45.4,3.98,4.0,-0.02
2026-08-07T06:18:59Z,2026-08-09T03:00:00Z,44.7,3.98,4.0,-0.02
2026-08-07T07:13:52Z,2026-08-09T03:00:00Z,43.8,1.09,4.0,-2.91
2026-08-07T10:39:14Z,2026-08-09T03:00:00Z,40.3,1.09,4.0,-2.91
2026-08-07T16:51:54Z,2026-08-09T03:00:00Z,34.1,4.85,4.0,0.85
2026-08-07T22:45:57Z,2026-08-09T03:00:00Z,28.2,1.84,4.0,-2.16
2026-08-07T23:19:23Z,2026-08-09T03:00:00Z,27.7,1.95,4.0,-2.05
2026-08-07T16:51:54Z,2026-08-09T15:00:00Z,46.1,0.96,0.6,0.36
2026-08-07T22:45:57Z,2026-08-09T15:00:00Z,40.2,1.95,0.6,1.35
2026-08-07T23:19:23Z,2026-08-09T15:00:00Z,39.7,2.12,0.6,1.52
2026-08-08T04:50:53Z,2026-08-09T15:00:00Z,34.2,2.41,0.6,1.81
2026-08-08T10:18:13Z,2026-08-09T15:00:00Z,28.7,1.54,0.6,0.94
2026-08-08T04:50:53Z,2026-08-10T03:00:00Z,46.2,0.0,0.0,0.0
2026-08-08T10:18:13Z,2026-08-10T03:00:00Z,40.7,0.0,0.0,0.0
2026-08-08T22:37:20Z,2026-08-10T03:00:00Z,28.4,0.03,0.0,0.03
2026-08-08T22:37:20Z,2026-08-10T15:00:00Z,40.4,0.03,0.0,0.03
2026-08-09T04:59:03Z,2026-08-10T15:00:00Z,34.0,0.0,0.0,0.0
2026-08-09T10:19:29Z,2026-08-10T15:00:00Z,28.7,0.0,0.0,0.0
2026-08-09T12:41:38Z,2026-08-10T15:00:00Z,26.3,0.0,0.0,0.0
2026-08-09T12:45:53Z,2026-08-10T15:00:00Z,26.2,0.0,0.0,0.0
2026-08-09T12:48:15Z,2026-08-10T15:00:00Z,26.2,0.0,0.0,0.0
2026-08-09T04:59:03Z,2026-08-11T03:00:00Z,46.0,0.0,0.0,0.0
2026-08-09T10:19:29Z,2026-08-11T03:00:00Z,40.7,0.02,0.0,0.02
2026-08-09T12:41:38Z,2026-08-11T03:00:00Z,38.3,0.02,0.0,0.02
2026-08-09T12:45:53Z,2026-08-11T03:00:00Z,38.2,0.02,0.0,0.02
2026-08-09T12:48:15Z,2026-08-11T03:00:00Z,38.2,0.02,0.0,0.02
2026-08-09T16:31:44Z,2026-08-11T03:00:00Z,34.5,0.0,0.0,0.0
2026-08-09T22:39:09Z,2026-08-11T03:00:00Z,28.3,0.0,0.0,0.0
2026-08-09T16:31:44Z,2026-08-11T15:00:00Z,46.5,0.62,0.1,0.52
2026-08-09T22:39:09Z,2026-08-11T15:00:00Z,40.3,1.1,0.1,1.0
2026-08-10T05:20:42Z,2026-08-11T15:00:00Z,33.7,0.6,0.1,0.5
2026-08-10T10:53:28Z,2026-08-11T15:00:00Z,28.1,0.85,0.1,0.75
2026-08-10T05:20:42Z,2026-08-12T03:00:00Z,45.7,7.76,5.0,2.76
2026-08-10T10:53:28Z,2026-08-12T03:00:00Z,40.1,1.85,5.0,-3.15
2026-08-10T16:52:05Z,2026-08-12T03:00:00Z,34.1,1.56,5.0,-3.44
2026-08-10T22:47:13Z,2026-08-12T03:00:00Z,28.2,6.34,5.0,1.34
2026-08-10T16:52:05Z,2026-08-12T15:00:00Z,46.1,1.04,4.0,-2.96
2026-08-10T22:47:13Z,2026-08-12T15:00:00Z,40.2,5.23,4.0,1.23
2026-08-11T05:01:49Z,2026-08-12T15:00:00Z,34.0,1.49,4.0,-2.51
2026-08-11T10:38:45Z,2026-08-12T15:00:00Z,28.4,5.66,4.0,1.66
2026-08-11T05:01:49Z,2026-08-13T03:00:00Z,46.0,4.13,5.0,-0.87
2026-08-11T10:38:45Z,2026-08-13T03:00:00Z,40.4,23.59,5.0,18.59
2026-08-12T06:05:22Z,2026-08-13T15:00:00Z,32.9,12.22,31.0,-18.78
2026-08-12T10:47:03Z,2026-08-13T15:00:00Z,28.2,1.25,31.0,-29.75
2026-08-12T06:05:22Z,2026-08-14T03:00:00Z,44.9,13.81,24.0,-10.19
2026-08-12T10:47:03Z,2026-08-14T03:00:00Z,40.2,0.21,24.0,-23.79
2026-08-12T16:54:57Z,2026-08-14T03:00:00Z,34.1,15.08,24.0,-8.92
2026-08-12T22:50:47Z,2026-08-14T03:00:00Z,28.2,18.95,24.0,-5.05
2026-08-12T16:54:57Z,2026-08-14T15:00:00Z,46.1,0.15,7.0,-6.85
2026-08-12T22:50:47Z,2026-08-14T15:00:00Z,40.2,0.06,7.0,-6.94
2026-08-13T05:30:08Z,2026-08-14T15:00:00Z,33.5,1.76,7.0,-5.24
2026-08-13T10:49:01Z,2026-08-14T15:00:00Z,28.2,0.21,7.0,-6.79
2026-08-13T05:30:08Z,2026-08-15T03:00:00Z,45.5,0.0,0.0,0.0
2026-08-13T10:49:01Z,2026-08-15T03:00:00Z,40.2,0.27,0.0,0.27
2026-08-13T16:36:10Z,2026-08-15T03:00:00Z,34.4,0.0,0.0,0.0
2026-08-13T16:42:24Z,2026-08-15T03:00:00Z,34.3,0.0,0.0,0.0
2026-08-13T16:54:22Z,2026-08-15T03:00:00Z,34.1,0.0,0.0,0.0
2026-08-13T22:52:17Z,2026-08-15T03:00:00Z,28.1,0.0,0.0,0.0
2026-08-13T16:36:10Z,2026-08-15T15:00:00Z,46.4,0.0,0.0,0.0
2026-08-13T16:42:24Z,2026-08-15T15:00:00Z,46.3,0.0,0.0,0.0
2026-08-13T16:54:22Z,2026-08-15T15:00:00Z,46.1,0.0,0.0,0.0
2026-08-13T22:52:17Z,2026-08-15T15:00:00Z,40.1,0.0,0.0,0.0
2026-08-14T05:28:14Z,2026-08-15T15:00:00Z,33.5,0.0,0.0,0.0
2026-08-14T10:44:54Z,2026-08-15T15:00:00Z,28.3,0.0,0.0,0.0
2026-08-14T05:28:14Z,2026-08-16T03:00:00Z,45.5,0.0,4.0,-4.0
2026-08-14T10:44:54Z,2026-08-16T03:00:00Z,40.3,0.0,4.0,-4.0
2026-08-14T16:48:33Z,2026-08-16T03:00:00Z,34.2,0.0,4.0,-4.0
2026-08-14T22:30:55Z,2026-08-16T03:00:00Z,28.5,0.24,4.0,-3.76
2026-08-14T16:48:33Z,2026-08-16T15:00:00Z,46.2,0.07,0.4,-0.33
2026-08-14T22:30:55Z,2026-08-16T15:00:00Z,40.5,0.04,0.4,-0.36
2026-08-15T04:24:15Z,2026-08-16T15:00:00Z,34.6,0.08,0.4,-0.32
2026-08-15T10:09:15Z,2026-08-16T15:00:00Z,28.8,0.29,0.4,-0.11
2026-08-15T04:24:15Z,2026-08-17T03:00:00Z,46.6,0.03,0.0,0.03
2026-08-15T10:09:15Z,2026-08-17T03:00:00Z,40.8,0.0,0.0,0.0
2026-08-15T16:20:39Z,2026-08-17T03:00:00Z,34.7,0.0,0.0,0.0
2026-08-15T22:29:33Z,2026-08-17T03:00:00Z,28.5,0.0,0.0,0.0
2026-08-15T16:20:39Z,2026-08-17T15:00:00Z,46.7,0.0,0.0,0.0
2026-08-15T22:29:33Z,2026-08-17T15:00:00Z,40.5,0.0,0.0,0.0
2026-08-16T04:29:41Z,2026-08-17T15:00:00Z,34.5,0.0,0.0,0.0
2026-08-16T07:21:44Z,2026-08-17T15:00:00Z,31.6,0.0,0.0,0.0
2026-08-16T10:09:47Z,2026-08-17T15:00:00Z,28.8,0.0,0.0,0.0
2026-08-16T04:29:41Z,2026-08-18T03:00:00Z,46.5,0.08,0.0,0.08
2026-08-16T07:21:44Z,2026-08-18T03:00:00Z,43.6,0.08,0.0,0.08
2026-08-16T10:09:47Z,2026-08-18T03:00:00Z,40.8,0.08,0.0,0.08
2026-08-16T16:21:00Z,2026-08-18T03:00:00Z,34.6,0.08,0.0,0.08
2026-08-16T22:29:34Z,2026-08-18T03:00:00Z,28.5,0.08,0.0,0.08
