# Архангельск / Осадки / 2-3 дня / ICON (Германия)
# n=15, порог дождя = 0.2 мм
# POD=1.0, FAR=0.0, CSI=1.0, MAE=1.720 мм, bias=-0.893 мм
# CSI = hits / (hits + misses + false_alarms); hit = прогноз>=порога И факт>=порога
#
fetched_at,valid_time,lead_hours,forecast,observed,error
2026-08-06T09:50:07Z,2026-08-08T15:00:00Z,53.2,5.6,7.0,-1.4
2026-08-06T09:59:18Z,2026-08-08T15:00:00Z,53.0,5.6,7.0,-1.4
2026-08-06T10:08:26Z,2026-08-08T15:00:00Z,52.9,5.6,7.0,-1.4
2026-08-06T10:47:54Z,2026-08-08T15:00:00Z,52.2,5.6,7.0,-1.4
2026-08-06T11:30:42Z,2026-08-08T15:00:00Z,51.5,5.6,7.0,-1.4
2026-08-06T11:36:01Z,2026-08-08T15:00:00Z,51.4,5.6,7.0,-1.4
2026-08-06T11:44:08Z,2026-08-08T15:00:00Z,51.3,5.6,7.0,-1.4
2026-08-06T09:50:07Z,2026-08-09T03:00:00Z,65.2,2.6,4.0,-1.4
2026-08-06T09:59:18Z,2026-08-09T03:00:00Z,65.0,2.6,4.0,-1.4
2026-08-06T10:08:26Z,2026-08-09T03:00:00Z,64.9,2.6,4.0,-1.4
2026-08-06T10:47:54Z,2026-08-09T03:00:00Z,64.2,2.6,4.0,-1.4
2026-08-06T11:30:42Z,2026-08-09T03:00:00Z,63.5,2.6,4.0,-1.4
2026-08-06T11:36:01Z,2026-08-09T03:00:00Z,63.4,2.6,4.0,-1.4
2026-08-06T11:44:08Z,2026-08-09T03:00:00Z,63.3,2.6,4.0,-1.4
2026-08-07T01:31:32Z,2026-08-09T03:00:00Z,49.5,10.2,4.0,6.2
