# Архангельск / Осадки / 2-3 дня / Tomorrow.io
# n=16, порог дождя = 0.2 мм
# POD=1.0, FAR=0.0, CSI=1.0, MAE=3.639 мм, bias=-2.134 мм
# CSI = hits / (hits + misses + false_alarms); hit = прогноз>=порога И факт>=порога
#
fetched_at,valid_time,lead_hours,forecast,observed,error
2026-08-09T12:48:15Z,2026-08-11T15:00:00Z,50.2,0.06,0.1,-0.04
2026-08-09T12:48:15Z,2026-08-12T03:00:00Z,62.2,1.4,5.0,-3.6
2026-08-09T16:31:44Z,2026-08-12T03:00:00Z,58.5,1.4,5.0,-3.6
2026-08-09T22:39:09Z,2026-08-12T03:00:00Z,52.3,9.65,5.0,4.65
2026-08-09T16:31:44Z,2026-08-12T15:00:00Z,70.5,0.75,4.0,-3.25
2026-08-09T22:39:09Z,2026-08-12T15:00:00Z,64.3,1.91,4.0,-2.09
2026-08-10T05:20:42Z,2026-08-12T15:00:00Z,57.7,2.97,4.0,-1.03
2026-08-10T10:53:28Z,2026-08-12T15:00:00Z,52.1,1.42,4.0,-2.58
2026-08-10T05:20:42Z,2026-08-13T03:00:00Z,69.7,8.92,5.0,3.92
2026-08-10T10:53:28Z,2026-08-13T03:00:00Z,64.1,7.41,5.0,2.41
2026-08-10T16:52:05Z,2026-08-13T03:00:00Z,58.1,1.14,5.0,-3.86
2026-08-10T22:47:13Z,2026-08-13T03:00:00Z,52.2,6.06,5.0,1.06
2026-08-10T16:52:05Z,2026-08-13T15:00:00Z,70.1,22.91,31.0,-8.09
2026-08-10T22:47:13Z,2026-08-13T15:00:00Z,64.2,21.35,31.0,-9.65
2026-08-11T05:01:49Z,2026-08-13T15:00:00Z,58.0,25.32,31.0,-5.68
2026-08-11T10:38:45Z,2026-08-13T15:00:00Z,52.4,28.28,31.0,-2.72
