# Архангельск / Осадки / 6-24ч / Yr (Норвегия)
# n=19, порог дождя = 0.2 мм
# POD=1.0, FAR=0.0, CSI=1.0, MAE=3.847 мм, bias=+2.837 мм
# CSI = hits / (hits + misses + false_alarms); hit = прогноз>=порога И факт>=порога
#
fetched_at,valid_time,lead_hours,forecast,observed,error
2026-08-06T09:50:07Z,2026-08-07T03:00:00Z,17.2,10.4,3.0,7.4
2026-08-06T09:59:18Z,2026-08-07T03:00:00Z,17.0,10.4,3.0,7.4
2026-08-06T10:08:26Z,2026-08-07T03:00:00Z,16.9,10.4,3.0,7.4
2026-08-06T10:47:54Z,2026-08-07T03:00:00Z,16.2,10.4,3.0,7.4
2026-08-06T11:30:42Z,2026-08-07T03:00:00Z,15.5,10.4,3.0,7.4
2026-08-06T11:36:01Z,2026-08-07T03:00:00Z,15.4,10.4,3.0,7.4
2026-08-06T11:44:08Z,2026-08-07T03:00:00Z,15.3,10.4,3.0,7.4
2026-08-07T01:31:32Z,2026-08-07T15:00:00Z,13.5,3.9,3.0,0.9
2026-08-07T05:36:00Z,2026-08-08T03:00:00Z,21.4,2.6,0.4,2.2
2026-08-07T06:18:59Z,2026-08-08T03:00:00Z,20.7,2.6,0.4,2.2
2026-08-07T07:13:52Z,2026-08-08T03:00:00Z,19.8,2.6,0.4,2.2
2026-08-07T10:39:14Z,2026-08-08T03:00:00Z,16.3,0.6,0.4,0.2
2026-08-07T16:51:54Z,2026-08-08T03:00:00Z,10.1,0.7,0.4,0.3
2026-08-07T16:51:54Z,2026-08-08T15:00:00Z,22.1,6.0,7.0,-1.0
2026-08-07T22:45:57Z,2026-08-08T15:00:00Z,16.2,4.1,7.0,-2.9
2026-08-07T23:19:23Z,2026-08-08T15:00:00Z,15.7,4.1,7.0,-2.9
2026-08-08T04:50:53Z,2026-08-08T15:00:00Z,10.2,7.7,7.0,0.7
2026-08-08T04:50:53Z,2026-08-09T03:00:00Z,22.2,1.2,4.0,-2.8
2026-08-08T10:18:13Z,2026-08-09T03:00:00Z,16.7,7.0,4.0,3.0
