# Архангельск / Осадки / 6-24ч / ECMWF IFS
# n=62, порог дождя = 0.2 мм
# POD=1.0, FAR=0.06818181818181818, CSI=0.9318181818181818, MAE=2.324 мм, bias=+1.892 мм
# CSI = hits / (hits + misses + false_alarms); hit = прогноз>=порога И факт>=порога
#
fetched_at,valid_time,lead_hours,forecast,observed,error
2026-08-06T09:50:07Z,2026-08-07T03:00:00Z,17.2,9.9,3.0,6.9
2026-08-06T09:59:18Z,2026-08-07T03:00:00Z,17.0,9.9,3.0,6.9
2026-08-06T10:08:26Z,2026-08-07T03:00:00Z,16.9,9.9,3.0,6.9
2026-08-06T10:47:54Z,2026-08-07T03:00:00Z,16.2,9.9,3.0,6.9
2026-08-06T11:30:42Z,2026-08-07T03:00:00Z,15.5,9.9,3.0,6.9
2026-08-06T11:36:01Z,2026-08-07T03:00:00Z,15.4,9.9,3.0,6.9
2026-08-06T11:44:08Z,2026-08-07T03:00:00Z,15.3,9.9,3.0,6.9
2026-08-07T01:31:32Z,2026-08-07T15:00:00Z,13.5,6.6,3.0,3.6
2026-08-07T05:36:00Z,2026-08-07T15:00:00Z,9.4,6.6,3.0,3.6
2026-08-07T06:18:59Z,2026-08-07T15:00:00Z,8.7,6.6,3.0,3.6
2026-08-07T07:13:52Z,2026-08-07T15:00:00Z,7.8,6.6,3.0,3.6
2026-08-07T05:36:00Z,2026-08-08T03:00:00Z,21.4,2.7,0.4,2.3
2026-08-07T06:18:59Z,2026-08-08T03:00:00Z,20.7,2.7,0.4,2.3
2026-08-07T07:13:52Z,2026-08-08T03:00:00Z,19.8,2.7,0.4,2.3
2026-08-07T10:39:14Z,2026-08-08T03:00:00Z,16.3,0.6,0.4,0.2
2026-08-07T16:51:54Z,2026-08-08T03:00:00Z,10.1,0.3,0.4,-0.1
2026-08-07T16:51:54Z,2026-08-08T15:00:00Z,22.1,6.0,7.0,-1.0
2026-08-07T22:45:57Z,2026-08-08T15:00:00Z,16.2,4.2,7.0,-2.8
2026-08-07T23:19:23Z,2026-08-08T15:00:00Z,15.7,4.2,7.0,-2.8
2026-08-08T04:50:53Z,2026-08-08T15:00:00Z,10.2,7.2,7.0,0.2
2026-08-08T04:50:53Z,2026-08-09T03:00:00Z,22.2,1.8,4.0,-2.2
2026-08-08T10:18:13Z,2026-08-09T03:00:00Z,16.7,10.2,4.0,6.2
2026-08-08T22:37:20Z,2026-08-09T15:00:00Z,16.4,1.2,0.6,0.6
2026-08-09T04:59:03Z,2026-08-09T15:00:00Z,10.0,1.5,0.6,0.9
2026-08-09T04:59:03Z,2026-08-10T03:00:00Z,22.0,0.0,0.0,0.0
2026-08-09T10:19:29Z,2026-08-10T03:00:00Z,16.7,0.0,0.0,0.0
2026-08-09T12:41:38Z,2026-08-10T03:00:00Z,14.3,0.0,0.0,0.0
2026-08-09T12:45:53Z,2026-08-10T03:00:00Z,14.2,0.0,0.0,0.0
2026-08-09T12:48:15Z,2026-08-10T03:00:00Z,14.2,0.0,0.0,0.0
2026-08-09T16:31:44Z,2026-08-10T03:00:00Z,10.5,0.0,0.0,0.0
2026-08-09T16:31:44Z,2026-08-10T15:00:00Z,22.5,0.0,0.0,0.0
2026-08-09T22:39:09Z,2026-08-10T15:00:00Z,16.3,0.0,0.0,0.0
2026-08-10T05:20:42Z,2026-08-10T15:00:00Z,9.7,0.0,0.0,0.0
2026-08-10T05:20:42Z,2026-08-11T03:00:00Z,21.7,0.0,0.0,0.0
2026-08-10T10:53:28Z,2026-08-11T03:00:00Z,16.1,0.0,0.0,0.0
2026-08-10T16:52:05Z,2026-08-11T03:00:00Z,10.1,0.0,0.0,0.0
2026-08-10T16:52:05Z,2026-08-11T15:00:00Z,22.1,0.3,0.1,0.2
2026-08-10T22:47:13Z,2026-08-11T15:00:00Z,16.2,0.9,0.1,0.8
2026-08-11T05:01:49Z,2026-08-11T15:00:00Z,10.0,1.5,0.1,1.4
2026-08-11T05:01:49Z,2026-08-12T03:00:00Z,22.0,9.0,5.0,4.0
2026-08-11T10:38:45Z,2026-08-12T03:00:00Z,16.4,7.2,5.0,2.2
2026-08-12T10:47:03Z,2026-08-13T03:00:00Z,16.2,8.1,5.0,3.1
2026-08-12T16:54:57Z,2026-08-13T03:00:00Z,10.1,5.4,5.0,0.4
2026-08-12T16:54:57Z,2026-08-13T15:00:00Z,22.1,45.3,31.0,14.3
2026-08-12T22:50:47Z,2026-08-13T15:00:00Z,16.2,28.2,31.0,-2.8
2026-08-13T05:30:08Z,2026-08-13T15:00:00Z,9.5,33.0,31.0,2.0
2026-08-13T05:30:08Z,2026-08-14T03:00:00Z,21.5,25.2,24.0,1.2
2026-08-13T10:49:01Z,2026-08-14T03:00:00Z,16.2,29.7,24.0,5.7
2026-08-13T16:36:10Z,2026-08-14T03:00:00Z,10.4,27.6,24.0,3.6
2026-08-13T16:42:24Z,2026-08-14T03:00:00Z,10.3,27.6,24.0,3.6
2026-08-13T16:54:22Z,2026-08-14T03:00:00Z,10.1,27.6,24.0,3.6
2026-08-13T16:36:10Z,2026-08-14T15:00:00Z,22.4,9.3,7.0,2.3
2026-08-13T16:42:24Z,2026-08-14T15:00:00Z,22.3,9.3,7.0,2.3
2026-08-13T16:54:22Z,2026-08-14T15:00:00Z,22.1,9.3,7.0,2.3
2026-08-13T22:52:17Z,2026-08-14T15:00:00Z,16.1,6.0,7.0,-1.0
2026-08-14T05:28:14Z,2026-08-14T15:00:00Z,9.5,6.3,7.0,-0.7
2026-08-14T05:28:14Z,2026-08-15T03:00:00Z,21.5,0.0,0.0,0.0
2026-08-14T10:44:54Z,2026-08-15T03:00:00Z,16.3,0.0,0.0,0.0
2026-08-14T16:48:33Z,2026-08-15T03:00:00Z,10.2,0.0,0.0,0.0
2026-08-14T16:48:33Z,2026-08-15T15:00:00Z,22.2,0.0,0.0,0.0
2026-08-14T22:30:55Z,2026-08-15T15:00:00Z,16.5,0.0,0.0,0.0
2026-08-15T04:24:15Z,2026-08-15T15:00:00Z,10.6,0.0,0.0,0.0
