# Архангельск / Осадки / Общий (среднее по: 0-6ч, 6-24ч, 1-2 дня, 2-3 дня) / ECMWF IFS
# среднее CSI = 0.9213, всего пар = 76
#
bucket,fetched_at,valid_time,lead_hours,forecast,observed,error
0-6ч,2026-08-06T09:50:07Z,2026-08-06T15:00:00Z,5.2,0.6,0.7,-0.1
0-6ч,2026-08-06T09:59:18Z,2026-08-06T15:00:00Z,5.0,0.6,0.7,-0.1
0-6ч,2026-08-06T10:08:26Z,2026-08-06T15:00:00Z,4.9,0.6,0.7,-0.1
0-6ч,2026-08-06T10:47:54Z,2026-08-06T15:00:00Z,4.2,0.6,0.7,-0.1
0-6ч,2026-08-06T11:30:42Z,2026-08-06T15:00:00Z,3.5,0.6,0.7,-0.1
0-6ч,2026-08-06T11:36:01Z,2026-08-06T15:00:00Z,3.4,0.6,0.7,-0.1
0-6ч,2026-08-06T11:44:08Z,2026-08-06T15:00:00Z,3.3,0.6,0.7,-0.1
0-6ч,2026-08-07T10:39:14Z,2026-08-07T15:00:00Z,4.3,2.7,3.0,-0.3
0-6ч,2026-08-07T22:45:57Z,2026-08-08T03:00:00Z,4.2,0.0,0.4,-0.4
0-6ч,2026-08-07T23:19:23Z,2026-08-08T03:00:00Z,3.7,0.0,0.4,-0.4
0-6ч,2026-08-08T10:18:13Z,2026-08-08T15:00:00Z,4.7,6.3,7.0,-0.7
0-6ч,2026-08-08T22:37:20Z,2026-08-09T03:00:00Z,4.4,7.5,4.0,3.5
6-24ч,2026-08-06T09:50:07Z,2026-08-07T03:00:00Z,17.2,9.9,3.0,6.9
6-24ч,2026-08-06T09:59:18Z,2026-08-07T03:00:00Z,17.0,9.9,3.0,6.9
6-24ч,2026-08-06T10:08:26Z,2026-08-07T03:00:00Z,16.9,9.9,3.0,6.9
6-24ч,2026-08-06T10:47:54Z,2026-08-07T03:00:00Z,16.2,9.9,3.0,6.9
6-24ч,2026-08-06T11:30:42Z,2026-08-07T03:00:00Z,15.5,9.9,3.0,6.9
6-24ч,2026-08-06T11:36:01Z,2026-08-07T03:00:00Z,15.4,9.9,3.0,6.9
6-24ч,2026-08-06T11:44:08Z,2026-08-07T03:00:00Z,15.3,9.9,3.0,6.9
6-24ч,2026-08-07T01:31:32Z,2026-08-07T15:00:00Z,13.5,6.6,3.0,3.6
6-24ч,2026-08-07T05:36:00Z,2026-08-07T15:00:00Z,9.4,6.6,3.0,3.6
6-24ч,2026-08-07T06:18:59Z,2026-08-07T15:00:00Z,8.7,6.6,3.0,3.6
6-24ч,2026-08-07T07:13:52Z,2026-08-07T15:00:00Z,7.8,6.6,3.0,3.6
6-24ч,2026-08-07T05:36:00Z,2026-08-08T03:00:00Z,21.4,2.7,0.4,2.3
6-24ч,2026-08-07T06:18:59Z,2026-08-08T03:00:00Z,20.7,2.7,0.4,2.3
6-24ч,2026-08-07T07:13:52Z,2026-08-08T03:00:00Z,19.8,2.7,0.4,2.3
6-24ч,2026-08-07T10:39:14Z,2026-08-08T03:00:00Z,16.3,0.6,0.4,0.2
6-24ч,2026-08-07T16:51:54Z,2026-08-08T03:00:00Z,10.1,0.3,0.4,-0.1
6-24ч,2026-08-07T16:51:54Z,2026-08-08T15:00:00Z,22.1,6.0,7.0,-1.0
6-24ч,2026-08-07T22:45:57Z,2026-08-08T15:00:00Z,16.2,4.2,7.0,-2.8
6-24ч,2026-08-07T23:19:23Z,2026-08-08T15:00:00Z,15.7,4.2,7.0,-2.8
6-24ч,2026-08-08T04:50:53Z,2026-08-08T15:00:00Z,10.2,7.2,7.0,0.2
6-24ч,2026-08-08T04:50:53Z,2026-08-09T03:00:00Z,22.2,1.8,4.0,-2.2
6-24ч,2026-08-08T10:18:13Z,2026-08-09T03:00:00Z,16.7,10.2,4.0,6.2
1-2 дня,2026-08-06T09:50:07Z,2026-08-07T15:00:00Z,29.2,5.7,3.0,2.7
1-2 дня,2026-08-06T09:59:18Z,2026-08-07T15:00:00Z,29.0,5.7,3.0,2.7
1-2 дня,2026-08-06T10:08:26Z,2026-08-07T15:00:00Z,28.9,5.7,3.0,2.7
1-2 дня,2026-08-06T10:47:54Z,2026-08-07T15:00:00Z,28.2,5.7,3.0,2.7
1-2 дня,2026-08-06T11:30:42Z,2026-08-07T15:00:00Z,27.5,5.7,3.0,2.7
1-2 дня,2026-08-06T11:36:01Z,2026-08-07T15:00:00Z,27.4,5.7,3.0,2.7
1-2 дня,2026-08-06T11:44:08Z,2026-08-07T15:00:00Z,27.3,5.7,3.0,2.7
1-2 дня,2026-08-06T09:50:07Z,2026-08-08T03:00:00Z,41.2,0.9,0.4,0.5
1-2 дня,2026-08-06T09:59:18Z,2026-08-08T03:00:00Z,41.0,0.9,0.4,0.5
1-2 дня,2026-08-06T10:08:26Z,2026-08-08T03:00:00Z,40.9,0.9,0.4,0.5
1-2 дня,2026-08-06T10:47:54Z,2026-08-08T03:00:00Z,40.2,0.9,0.4,0.5
1-2 дня,2026-08-06T11:30:42Z,2026-08-08T03:00:00Z,39.5,0.9,0.4,0.5
1-2 дня,2026-08-06T11:36:01Z,2026-08-08T03:00:00Z,39.4,0.9,0.4,0.5
