# Архангельск / Осадки / 0-6ч, 6-24ч, 1-2 дня, 2-3 дня, 3-5 дней, 5-10 дней / UKMO (Британия)
# n=242, порог дождя = 0.2 мм
# POD=0.8923076923076924, FAR=0.2214765100671141, CSI=0.7116564417177914, MAE=2.298 мм, bias=+1.099 мм
# CSI = hits / (hits + misses + false_alarms); hit = прогноз>=порога И факт>=порога
# «Общий» = объединённый пул пар из периодов: 0-6ч, 6-24ч, 1-2 дня, 2-3 дня, 3-5 дней, 5-10 дней - метрика посчитана заново по всему пулу, а не усреднена по периодам
#
bucket,fetched_at,valid_time,lead_hours,forecast,observed,error
0-6ч,2026-08-06T09:50:07Z,2026-08-06T15:00:00Z,5.2,0.0,0.7,-0.7
0-6ч,2026-08-06T09:59:18Z,2026-08-06T15:00:00Z,5.0,0.0,0.7,-0.7
0-6ч,2026-08-06T10:08:26Z,2026-08-06T15:00:00Z,4.9,0.0,0.7,-0.7
0-6ч,2026-08-06T10:47:54Z,2026-08-06T15:00:00Z,4.2,0.0,0.7,-0.7
0-6ч,2026-08-06T11:30:42Z,2026-08-06T15:00:00Z,3.5,0.0,0.7,-0.7
0-6ч,2026-08-06T11:36:01Z,2026-08-06T15:00:00Z,3.4,0.0,0.7,-0.7
0-6ч,2026-08-06T11:44:08Z,2026-08-06T15:00:00Z,3.3,0.0,0.7,-0.7
0-6ч,2026-08-07T10:39:14Z,2026-08-07T15:00:00Z,4.3,17.9,3.0,14.9
0-6ч,2026-08-07T22:45:57Z,2026-08-08T03:00:00Z,4.2,2.4,0.4,2.0
0-6ч,2026-08-07T23:19:23Z,2026-08-08T03:00:00Z,3.7,2.4,0.4,2.0
0-6ч,2026-08-08T10:18:13Z,2026-08-08T15:00:00Z,4.7,11.5,7.0,4.5
0-6ч,2026-08-08T22:37:20Z,2026-08-09T03:00:00Z,4.4,8.7,4.0,4.7
0-6ч,2026-08-09T10:19:29Z,2026-08-09T15:00:00Z,4.7,3.5,0.6,2.9
0-6ч,2026-08-09T12:41:38Z,2026-08-09T15:00:00Z,2.3,3.5,0.6,2.9
0-6ч,2026-08-09T12:45:53Z,2026-08-09T15:00:00Z,2.2,3.5,0.6,2.9
0-6ч,2026-08-09T12:48:15Z,2026-08-09T15:00:00Z,2.2,3.5,0.6,2.9
0-6ч,2026-08-09T22:39:09Z,2026-08-10T03:00:00Z,4.3,0.0,0.0,0.0
0-6ч,2026-08-10T10:53:28Z,2026-08-10T15:00:00Z,4.1,0.0,0.0,0.0
0-6ч,2026-08-10T22:47:13Z,2026-08-11T03:00:00Z,4.2,0.0,0.0,0.0
0-6ч,2026-08-11T10:38:45Z,2026-08-11T15:00:00Z,4.4,0.9,0.1,0.8
6-24ч,2026-08-06T09:50:07Z,2026-08-07T03:00:00Z,17.2,10.5,3.0,7.5
6-24ч,2026-08-06T09:59:18Z,2026-08-07T03:00:00Z,17.0,10.5,3.0,7.5
6-24ч,2026-08-06T10:08:26Z,2026-08-07T03:00:00Z,16.9,10.5,3.0,7.5
6-24ч,2026-08-06T10:47:54Z,2026-08-07T03:00:00Z,16.2,10.5,3.0,7.5
6-24ч,2026-08-06T11:30:42Z,2026-08-07T03:00:00Z,15.5,10.5,3.0,7.5
6-24ч,2026-08-06T11:36:01Z,2026-08-07T03:00:00Z,15.4,10.5,3.0,7.5
6-24ч,2026-08-06T11:44:08Z,2026-08-07T03:00:00Z,15.3,10.5,3.0,7.5
6-24ч,2026-08-07T01:31:32Z,2026-08-07T15:00:00Z,13.5,13.6,3.0,10.6
6-24ч,2026-08-07T05:36:00Z,2026-08-07T15:00:00Z,9.4,13.6,3.0,10.6
6-24ч,2026-08-07T06:18:59Z,2026-08-07T15:00:00Z,8.7,13.6,3.0,10.6
6-24ч,2026-08-07T07:13:52Z,2026-08-07T15:00:00Z,7.8,13.6,3.0,10.6
6-24ч,2026-08-07T05:36:00Z,2026-08-08T03:00:00Z,21.4,10.2,0.4,9.8
6-24ч,2026-08-07T06:18:59Z,2026-08-08T03:00:00Z,20.7,10.2,0.4,9.8
6-24ч,2026-08-07T07:13:52Z,2026-08-08T03:00:00Z,19.8,10.2,0.4,9.8
6-24ч,2026-08-07T10:39:14Z,2026-08-08T03:00:00Z,16.3,8.7,0.4,8.3
6-24ч,2026-08-07T16:51:54Z,2026-08-08T03:00:00Z,10.1,2.9,0.4,2.5
6-24ч,2026-08-07T16:51:54Z,2026-08-08T15:00:00Z,22.1,5.4,7.0,-1.6
6-24ч,2026-08-07T22:45:57Z,2026-08-08T15:00:00Z,16.2,6.1,7.0,-0.9
6-24ч,2026-08-07T23:19:23Z,2026-08-08T15:00:00Z,15.7,6.1,7.0,-0.9
6-24ч,2026-08-08T04:50:53Z,2026-08-08T15:00:00Z,10.2,4.2,7.0,-2.8
6-24ч,2026-08-08T04:50:53Z,2026-08-09T03:00:00Z,22.2,4.8,4.0,0.8
6-24ч,2026-08-08T10:18:13Z,2026-08-09T03:00:00Z,16.7,6.1,4.0,2.1
6-24ч,2026-08-08T22:37:20Z,2026-08-09T15:00:00Z,16.4,3.4,0.6,2.8
6-24ч,2026-08-09T04:59:03Z,2026-08-09T15:00:00Z,10.0,3.5,0.6,2.9
6-24ч,2026-08-09T04:59:03Z,2026-08-10T03:00:00Z,22.0,0.0,0.0,0.0
6-24ч,2026-08-09T10:19:29Z,2026-08-10T03:00:00Z,16.7,0.0,0.0,0.0
6-24ч,2026-08-09T12:41:38Z,2026-08-10T03:00:00Z,14.3,0.0,0.0,0.0
6-24ч,2026-08-09T12:45:53Z,2026-08-10T03:00:00Z,14.2,0.0,0.0,0.0
6-24ч,2026-08-09T12:48:15Z,2026-08-10T03:00:00Z,14.2,0.0,0.0,0.0
6-24ч,2026-08-09T16:31:44Z,2026-08-10T03:00:00Z,10.5,0.0,0.0,0.0
6-24ч,2026-08-09T16:31:44Z,2026-08-10T15:00:00Z,22.5,0.1,0.0,0.1
6-24ч,2026-08-09T22:39:09Z,2026-08-10T15:00:00Z,16.3,0.0,0.0,0.0
6-24ч,2026-08-10T05:20:42Z,2026-08-10T15:00:00Z,9.7,0.0,0.0,0.0
6-24ч,2026-08-10T05:20:42Z,2026-08-11T03:00:00Z,21.7,0.0,0.0,0.0
6-24ч,2026-08-10T10:53:28Z,2026-08-11T03:00:00Z,16.1,0.0,0.0,0.0
6-24ч,2026-08-10T16:52:05Z,2026-08-11T03:00:00Z,10.1,0.0,0.0,0.0
6-24ч,2026-08-10T16:52:05Z,2026-08-11T15:00:00Z,22.1,2.4,0.1,2.3
