# Архангельск / Температура / 0-6ч / OpenWeatherMap
# n=154, MAE=1.266, RMSE=1.571, bias=-0.644
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.571/2.964)^2 = 0.7189  (RMSE_персистентности по 154 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:30:42Z,2026-08-06T12:00:00Z,0.5,17.43,19.1,16.3,-1.67,1.67
2026-08-06T11:30:42Z,2026-08-06T15:00:00Z,3.5,17.55,18.2,16.3,-0.65,0.65
2026-08-06T11:36:01Z,2026-08-06T12:00:00Z,0.4,17.43,19.1,16.3,-1.67,1.67
2026-08-06T11:36:01Z,2026-08-06T15:00:00Z,3.4,17.55,18.2,16.3,-0.65,0.65
2026-08-06T11:44:08Z,2026-08-06T12:00:00Z,0.3,17.43,19.1,16.3,-1.67,1.67
2026-08-06T11:44:08Z,2026-08-06T15:00:00Z,3.3,17.55,18.2,16.3,-0.65,0.65
2026-08-07T01:31:32Z,2026-08-07T03:00:00Z,1.5,13.15,14.2,13.6,-1.05,1.05
2026-08-07T01:31:32Z,2026-08-07T06:00:00Z,4.5,13.39,14.3,13.6,-0.91,0.91
2026-08-07T05:36:00Z,2026-08-07T06:00:00Z,0.4,13.55,14.3,14.2,-0.75,0.75
2026-08-07T05:36:00Z,2026-08-07T09:00:00Z,3.4,14.35,16.9,14.2,-2.55,2.55
2026-08-07T06:18:59Z,2026-08-07T09:00:00Z,2.7,14.35,16.9,14.3,-2.55,2.55
2026-08-07T06:18:59Z,2026-08-07T12:00:00Z,5.7,16.7,20.5,14.3,-3.8,3.8
2026-08-07T07:13:52Z,2026-08-07T09:00:00Z,1.8,14.35,16.9,14.3,-2.55,2.55
2026-08-07T07:13:52Z,2026-08-07T12:00:00Z,4.8,16.53,20.5,14.3,-3.97,3.97
2026-08-07T10:39:14Z,2026-08-07T12:00:00Z,1.3,18.02,20.5,16.9,-2.48,2.48
2026-08-07T10:39:14Z,2026-08-07T15:00:00Z,4.3,18.11,15.6,16.9,2.51,2.51
2026-08-07T16:51:54Z,2026-08-07T18:00:00Z,1.1,14.31,14.6,15.6,-0.29,0.29
2026-08-07T16:51:54Z,2026-08-07T21:00:00Z,4.1,13.59,13.5,15.6,0.09,0.09
2026-08-07T22:45:57Z,2026-08-08T00:00:00Z,1.2,10.76,12.5,13.5,-1.74,1.74
2026-08-07T22:45:57Z,2026-08-08T03:00:00Z,4.2,11.13,13.6,13.5,-2.47,2.47
2026-08-07T23:19:23Z,2026-08-08T00:00:00Z,0.7,10.76,12.5,13.5,-1.74,1.74
2026-08-07T23:19:23Z,2026-08-08T03:00:00Z,3.7,11.13,13.6,13.5,-2.47,2.47
2026-08-08T04:50:53Z,2026-08-08T06:00:00Z,1.2,11.68,15.4,13.6,-3.72,3.72
2026-08-08T04:50:53Z,2026-08-08T09:00:00Z,4.2,11.98,15.0,13.6,-3.02,3.02
2026-08-08T10:18:13Z,2026-08-08T12:00:00Z,1.7,13.45,15.4,15.0,-1.95,1.95
2026-08-08T10:18:13Z,2026-08-08T15:00:00Z,4.7,13.27,15.5,15.0,-2.23,2.23
2026-08-08T22:37:20Z,2026-08-09T00:00:00Z,1.4,11.6,13.1,13.6,-1.5,1.5
2026-08-08T22:37:20Z,2026-08-09T03:00:00Z,4.4,11.61,11.9,13.6,-0.29,0.29
2026-08-09T04:59:03Z,2026-08-09T06:00:00Z,1.0,14.16,15.2,11.9,-1.04,1.04
2026-08-09T04:59:03Z,2026-08-09T09:00:00Z,4.0,14.63,16.5,11.9,-1.87,1.87
2026-08-09T10:19:29Z,2026-08-09T12:00:00Z,1.7,14.64,16.7,16.5,-2.06,2.06
2026-08-09T10:19:29Z,2026-08-09T15:00:00Z,4.7,14.38,17.0,16.5,-2.62,2.62
2026-08-09T12:41:38Z,2026-08-09T15:00:00Z,2.3,14.88,17.0,16.7,-2.12,2.12
2026-08-09T12:41:38Z,2026-08-09T18:00:00Z,5.3,12.19,13.7,16.7,-1.51,1.51
2026-08-09T12:45:53Z,2026-08-09T15:00:00Z,2.2,14.88,17.0,16.7,-2.12,2.12
2026-08-09T12:45:53Z,2026-08-09T18:00:00Z,5.2,12.19,13.7,16.7,-1.51,1.51
2026-08-09T12:48:15Z,2026-08-09T15:00:00Z,2.2,14.88,17.0,16.7,-2.12,2.12
2026-08-09T12:48:15Z,2026-08-09T18:00:00Z,5.2,12.19,13.7,16.7,-1.51,1.51
2026-08-09T16:31:44Z,2026-08-09T18:00:00Z,1.5,11.31,13.7,17.0,-2.39,2.39
2026-08-09T16:31:44Z,2026-08-09T21:00:00Z,4.5,10.68,10.4,17.0,0.28,0.28
2026-08-09T22:39:09Z,2026-08-10T00:00:00Z,1.3,9.46,10.8,10.4,-1.34,1.34
2026-08-09T22:39:09Z,2026-08-10T03:00:00Z,4.3,10.2,12.6,10.4,-2.4,2.4
2026-08-10T05:20:42Z,2026-08-10T06:00:00Z,0.7,16.3,16.9,12.6,-0.6,0.6
2026-08-10T05:20:42Z,2026-08-10T09:00:00Z,3.7,17.95,20.6,12.6,-2.65,2.65
2026-08-10T10:53:28Z,2026-08-10T12:00:00Z,1.1,22.69,22.3,20.6,0.39,0.39
2026-08-10T10:53:28Z,2026-08-10T15:00:00Z,4.1,22.19,21.8,20.6,0.39,0.39
2026-08-10T16:52:05Z,2026-08-10T18:00:00Z,1.1,15.21,18.4,21.8,-3.19,3.19
2026-08-10T16:52:05Z,2026-08-10T21:00:00Z,4.1,14.97,15.0,21.8,-0.03,0.03
2026-08-10T22:47:13Z,2026-08-11T00:00:00Z,1.2,13.29,15.3,15.0,-2.01,2.01
2026-08-10T22:47:13Z,2026-08-11T03:00:00Z,4.2,13.79,15.0,15.0,-1.21,1.21
2026-08-11T05:01:49Z,2026-08-11T06:00:00Z,1.0,19.26,19.4,15.0,-0.14,0.14
2026-08-11T05:01:49Z,2026-08-11T09:00:00Z,4.0,20.52,23.5,15.0,-2.98,2.98
2026-08-11T10:38:45Z,2026-08-11T12:00:00Z,1.4,21.2,24.1,23.5,-2.9,2.9
2026-08-11T10:38:45Z,2026-08-11T15:00:00Z,4.4,20.19,19.2,23.5,0.99,0.99
2026-08-12T06:05:22Z,2026-08-12T09:00:00Z,2.9,12.9,15.2,14.7,-2.3,2.3
2026-08-12T06:05:22Z,2026-08-12T12:00:00Z,5.9,11.57,11.9,14.7,-0.33,0.33
2026-08-12T10:47:03Z,2026-08-12T12:00:00Z,1.2,13.06,11.9,15.2,1.16,1.16
2026-08-12T10:47:03Z,2026-08-12T15:00:00Z,4.2,11.72,10.7,15.2,1.02,1.02
2026-08-12T16:54:57Z,2026-08-12T18:00:00Z,1.1,10.06,9.3,10.7,0.76,0.76
2026-08-12T16:54:57Z,2026-08-12T21:00:00Z,4.1,9.5,8.4,10.7,1.1,1.1
2026-08-12T22:50:47Z,2026-08-13T00:00:00Z,1.2,7.97,8.4,8.4,-0.43,0.43
2026-08-12T22:50:47Z,2026-08-13T03:00:00Z,4.2,7.65,8.4,8.4,-0.75,0.75
2026-08-13T05:30:08Z,2026-08-13T06:00:00Z,0.5,6.46,8.2,8.4,-1.74,1.74
2026-08-13T05:30:08Z,2026-08-13T09:00:00Z,3.5,6.54,8.3,8.4,-1.76,1.76
2026-08-13T10:49:01Z,2026-08-13T12:00:00Z,1.2,8.06,7.7,8.3,0.36,0.36
2026-08-13T10:49:01Z,2026-08-13T15:00:00Z,4.2,7.56,7.3,8.3,0.26,0.26
2026-08-13T16:36:10Z,2026-08-13T18:00:00Z,1.4,7.06,6.9,7.3,0.16,0.16
2026-08-13T16:36:10Z,2026-08-13T21:00:00Z,4.4,6.87,7.1,7.3,-0.23,0.23
2026-08-13T16:42:24Z,2026-08-13T18:00:00Z,1.3,7.06,6.9,7.3,0.16,0.16
2026-08-13T16:42:24Z,2026-08-13T21:00:00Z,4.3,6.87,7.1,7.3,-0.23,0.23
2026-08-13T16:54:22Z,2026-08-13T18:00:00Z,1.1,7.06,6.9,7.3,0.16,0.16
2026-08-13T16:54:22Z,2026-08-13T21:00:00Z,4.1,6.88,7.1,7.3,-0.22,0.22
2026-08-13T22:52:17Z,2026-08-14T00:00:00Z,1.1,8.06,7.3,7.1,0.76,0.76
2026-08-13T22:52:17Z,2026-08-14T03:00:00Z,4.1,8.21,7.4,7.1,0.81,0.81
2026-08-14T05:28:14Z,2026-08-14T06:00:00Z,0.5,8.06,8.3,7.4,-0.24,0.24
2026-08-14T05:28:14Z,2026-08-14T09:00:00Z,3.5,7.93,9.1,7.4,-1.17,1.17
2026-08-14T10:44:54Z,2026-08-14T12:00:00Z,1.3,10.06,10.0,9.1,0.06,0.06
2026-08-14T10:44:54Z,2026-08-14T15:00:00Z,4.3,9.94,10.6,9.1,-0.66,0.66
2026-08-14T16:48:33Z,2026-08-14T18:00:00Z,1.2,10.06,8.7,10.6,1.36,1.36
2026-08-14T16:48:33Z,2026-08-14T21:00:00Z,4.2,8.68,8.0,10.6,0.68,0.68
2026-08-14T22:30:55Z,2026-08-15T00:00:00Z,1.5,7.06,6.3,8.0,0.76,0.76
2026-08-14T22:30:55Z,2026-08-15T03:00:00Z,4.5,7.14,7.6,8.0,-0.46,0.46
2026-08-15T04:24:15Z,2026-08-15T06:00:00Z,1.6,8.86,8.6,7.6,0.26,0.26
2026-08-15T04:24:15Z,2026-08-15T09:00:00Z,4.6,10.95,10.9,7.6,0.05,0.05
2026-08-15T10:09:15Z,2026-08-15T12:00:00Z,1.8,13.68,13.4,10.9,0.28,0.28
2026-08-15T10:09:15Z,2026-08-15T15:00:00Z,4.8,14.51,13.0,10.9,1.51,1.51
2026-08-15T16:20:39Z,2026-08-15T18:00:00Z,1.7,11.96,12.2,13.0,-0.24,0.24
2026-08-15T16:20:39Z,2026-08-15T21:00:00Z,4.7,10.19,11.3,13.0,-1.11,1.11
2026-08-15T22:29:33Z,2026-08-16T00:00:00Z,1.5,10.36,10.8,11.3,-0.44,0.44
2026-08-15T22:29:33Z,2026-08-16T03:00:00Z,4.5,9.87,10.1,11.3,-0.23,0.23
2026-08-16T04:29:41Z,2026-08-16T06:00:00Z,1.5,10.71,12.3,10.1,-1.59,1.59
2026-08-16T04:29:41Z,2026-08-16T09:00:00Z,4.5,11.82,14.3,10.1,-2.48,2.48
2026-08-16T07:21:44Z,2026-08-16T09:00:00Z,1.6,13.46,14.3,12.3,-0.84,0.84
2026-08-16T07:21:44Z,2026-08-16T12:00:00Z,4.6,13.77,16.0,12.3,-2.23,2.23
2026-08-16T10:09:47Z,2026-08-16T12:00:00Z,1.8,14.59,16.0,14.3,-1.41,1.41
2026-08-16T10:09:47Z,2026-08-16T15:00:00Z,4.8,14.75,16.2,14.3,-1.45,1.45
2026-08-16T16:21:00Z,2026-08-16T18:00:00Z,1.6,13.38,11.2,16.2,2.18,2.18
2026-08-16T16:21:00Z,2026-08-16T21:00:00Z,4.7,10.87,9.4,16.2,1.47,1.47
2026-08-16T22:29:34Z,2026-08-17T00:00:00Z,1.5,8.06,9.3,9.4,-1.24,1.24
