# Архангельск / Температура / 1-2 дня / UKMO (Британия)
# n=130, MAE=1.220, RMSE=1.499, bias=+0.677
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.499/1.658)^2 = 0.1822  (RMSE_персистентности по 130 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-07T12:00:00Z,26.2,18.6,20.5,19.1,-1.9,1.9
2026-08-06T09:50:07Z,2026-08-07T15:00:00Z,29.2,18.6,15.6,18.2,3.0,3.0
2026-08-06T09:50:07Z,2026-08-07T18:00:00Z,32.2,16.5,14.6,15.5,1.9,1.9
2026-08-06T09:50:07Z,2026-08-07T21:00:00Z,35.2,14.5,13.5,13.9,1.0,1.0
2026-08-06T09:50:07Z,2026-08-08T00:00:00Z,38.2,13.1,12.5,13.6,0.6,0.6
2026-08-06T09:50:07Z,2026-08-08T03:00:00Z,41.2,13.7,13.6,14.2,0.1,0.1
2026-08-06T09:50:07Z,2026-08-08T06:00:00Z,44.2,14.1,15.4,14.3,-1.3,1.3
2026-08-06T09:50:07Z,2026-08-08T09:00:00Z,47.2,15.7,15.0,16.9,0.7,0.7
2026-08-06T09:59:18Z,2026-08-07T12:00:00Z,26.0,18.6,20.5,19.1,-1.9,1.9
2026-08-06T09:59:18Z,2026-08-07T15:00:00Z,29.0,18.6,15.6,18.2,3.0,3.0
2026-08-06T09:59:18Z,2026-08-07T18:00:00Z,32.0,16.5,14.6,15.5,1.9,1.9
2026-08-06T09:59:18Z,2026-08-07T21:00:00Z,35.0,14.5,13.5,13.9,1.0,1.0
2026-08-06T09:59:18Z,2026-08-08T00:00:00Z,38.0,13.1,12.5,13.6,0.6,0.6
2026-08-06T09:59:18Z,2026-08-08T03:00:00Z,41.0,13.7,13.6,14.2,0.1,0.1
2026-08-06T09:59:18Z,2026-08-08T06:00:00Z,44.0,14.1,15.4,14.3,-1.3,1.3
2026-08-06T09:59:18Z,2026-08-08T09:00:00Z,47.0,15.7,15.0,16.9,0.7,0.7
2026-08-06T10:08:26Z,2026-08-07T12:00:00Z,25.9,18.6,20.5,19.1,-1.9,1.9
2026-08-06T10:08:26Z,2026-08-07T15:00:00Z,28.9,18.6,15.6,18.2,3.0,3.0
2026-08-06T10:08:26Z,2026-08-07T18:00:00Z,31.9,16.5,14.6,15.5,1.9,1.9
2026-08-06T10:08:26Z,2026-08-07T21:00:00Z,34.9,14.5,13.5,13.9,1.0,1.0
2026-08-06T10:08:26Z,2026-08-08T00:00:00Z,37.9,13.1,12.5,13.6,0.6,0.6
2026-08-06T10:08:26Z,2026-08-08T03:00:00Z,40.9,13.7,13.6,14.2,0.1,0.1
2026-08-06T10:08:26Z,2026-08-08T06:00:00Z,43.9,14.1,15.4,14.3,-1.3,1.3
2026-08-06T10:08:26Z,2026-08-08T09:00:00Z,46.9,15.7,15.0,16.9,0.7,0.7
2026-08-06T10:47:54Z,2026-08-07T12:00:00Z,25.2,18.6,20.5,19.1,-1.9,1.9
2026-08-06T10:47:54Z,2026-08-07T15:00:00Z,28.2,18.6,15.6,18.2,3.0,3.0
2026-08-06T10:47:54Z,2026-08-07T18:00:00Z,31.2,16.5,14.6,15.5,1.9,1.9
2026-08-06T10:47:54Z,2026-08-07T21:00:00Z,34.2,14.5,13.5,13.9,1.0,1.0
2026-08-06T10:47:54Z,2026-08-08T00:00:00Z,37.2,13.1,12.5,13.6,0.6,0.6
2026-08-06T10:47:54Z,2026-08-08T03:00:00Z,40.2,13.7,13.6,14.2,0.1,0.1
2026-08-06T10:47:54Z,2026-08-08T06:00:00Z,43.2,14.1,15.4,14.3,-1.3,1.3
2026-08-06T10:47:54Z,2026-08-08T09:00:00Z,46.2,15.7,15.0,16.9,0.7,0.7
2026-08-06T11:30:42Z,2026-08-07T12:00:00Z,24.5,18.6,20.5,19.1,-1.9,1.9
2026-08-06T11:30:42Z,2026-08-07T15:00:00Z,27.5,18.6,15.6,18.2,3.0,3.0
2026-08-06T11:30:42Z,2026-08-07T18:00:00Z,30.5,16.5,14.6,15.5,1.9,1.9
2026-08-06T11:30:42Z,2026-08-07T21:00:00Z,33.5,14.5,13.5,13.9,1.0,1.0
2026-08-06T11:30:42Z,2026-08-08T00:00:00Z,36.5,13.1,12.5,13.6,0.6,0.6
2026-08-06T11:30:42Z,2026-08-08T03:00:00Z,39.5,13.7,13.6,14.2,0.1,0.1
2026-08-06T11:30:42Z,2026-08-08T06:00:00Z,42.5,14.1,15.4,14.3,-1.3,1.3
2026-08-06T11:30:42Z,2026-08-08T09:00:00Z,45.5,15.7,15.0,16.9,0.7,0.7
2026-08-06T11:36:01Z,2026-08-07T12:00:00Z,24.4,18.6,20.5,19.1,-1.9,1.9
2026-08-06T11:36:01Z,2026-08-07T15:00:00Z,27.4,18.6,15.6,18.2,3.0,3.0
2026-08-06T11:36:01Z,2026-08-07T18:00:00Z,30.4,16.5,14.6,15.5,1.9,1.9
2026-08-06T11:36:01Z,2026-08-07T21:00:00Z,33.4,14.5,13.5,13.9,1.0,1.0
2026-08-06T11:36:01Z,2026-08-08T00:00:00Z,36.4,13.1,12.5,13.6,0.6,0.6
2026-08-06T11:36:01Z,2026-08-08T03:00:00Z,39.4,13.7,13.6,14.2,0.1,0.1
2026-08-06T11:36:01Z,2026-08-08T06:00:00Z,42.4,14.1,15.4,14.3,-1.3,1.3
2026-08-06T11:36:01Z,2026-08-08T09:00:00Z,45.4,15.7,15.0,16.9,0.7,0.7
2026-08-06T11:44:08Z,2026-08-07T12:00:00Z,24.3,18.6,20.5,19.1,-1.9,1.9
2026-08-06T11:44:08Z,2026-08-07T15:00:00Z,27.3,18.6,15.6,18.2,3.0,3.0
2026-08-06T11:44:08Z,2026-08-07T18:00:00Z,30.3,16.5,14.6,15.5,1.9,1.9
2026-08-06T11:44:08Z,2026-08-07T21:00:00Z,33.3,14.5,13.5,13.9,1.0,1.0
2026-08-06T11:44:08Z,2026-08-08T00:00:00Z,36.3,13.1,12.5,13.6,0.6,0.6
2026-08-06T11:44:08Z,2026-08-08T03:00:00Z,39.3,13.7,13.6,14.2,0.1,0.1
2026-08-06T11:44:08Z,2026-08-08T06:00:00Z,42.3,14.1,15.4,14.3,-1.3,1.3
2026-08-06T11:44:08Z,2026-08-08T09:00:00Z,45.3,15.7,15.0,16.9,0.7,0.7
2026-08-07T01:31:32Z,2026-08-08T03:00:00Z,25.5,14.2,13.6,14.2,0.6,0.6
2026-08-07T01:31:32Z,2026-08-08T06:00:00Z,28.5,14.9,15.4,14.3,-0.5,0.5
2026-08-07T01:31:32Z,2026-08-08T09:00:00Z,31.5,15.1,15.0,16.9,0.1,0.1
2026-08-07T01:31:32Z,2026-08-08T12:00:00Z,34.5,17.9,15.4,20.5,2.5,2.5
2026-08-07T01:31:32Z,2026-08-08T15:00:00Z,37.5,17.5,15.5,15.6,2.0,2.0
2026-08-07T01:31:32Z,2026-08-08T18:00:00Z,40.5,16.2,14.4,14.6,1.8,1.8
2026-08-07T01:31:32Z,2026-08-08T21:00:00Z,43.5,14.5,13.6,13.5,0.9,0.9
2026-08-07T01:31:32Z,2026-08-09T00:00:00Z,46.5,14.4,13.1,12.5,1.3,1.3
2026-08-07T05:36:00Z,2026-08-08T06:00:00Z,24.4,14.9,15.4,14.3,-0.5,0.5
2026-08-07T05:36:00Z,2026-08-08T09:00:00Z,27.4,15.1,15.0,16.9,0.1,0.1
2026-08-07T05:36:00Z,2026-08-08T12:00:00Z,30.4,17.9,15.4,20.5,2.5,2.5
2026-08-07T05:36:00Z,2026-08-08T15:00:00Z,33.4,17.5,15.5,15.6,2.0,2.0
2026-08-07T05:36:00Z,2026-08-08T18:00:00Z,36.4,16.2,14.4,14.6,1.8,1.8
2026-08-07T05:36:00Z,2026-08-08T21:00:00Z,39.4,14.5,13.6,13.5,0.9,0.9
2026-08-07T05:36:00Z,2026-08-09T00:00:00Z,42.4,14.4,13.1,12.5,1.3,1.3
