# Архангельск / Температура / 1-2 дня / Яндекс.Погода
# n=30, MAE=0.730, RMSE=0.814, bias=+0.437
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (0.814/2.990)^2 = 0.9259  (RMSE_персистентности по 30 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-13T16:36:10Z,2026-08-14T18:00:00Z,25.4,10.0,8.7,6.9,1.3,1.3
2026-08-13T16:36:10Z,2026-08-15T00:00:00Z,31.4,7.0,6.3,7.3,0.7,0.7
2026-08-13T16:36:10Z,2026-08-15T06:00:00Z,37.4,10.0,8.6,8.3,1.4,1.4
2026-08-13T16:36:10Z,2026-08-15T12:00:00Z,43.4,14.0,13.4,10.0,0.6,0.6
2026-08-13T16:42:24Z,2026-08-14T18:00:00Z,25.3,10.0,8.7,6.9,1.3,1.3
2026-08-13T16:42:24Z,2026-08-15T00:00:00Z,31.3,7.0,6.3,7.3,0.7,0.7
2026-08-13T16:42:24Z,2026-08-15T06:00:00Z,37.3,10.0,8.6,8.3,1.4,1.4
2026-08-13T16:42:24Z,2026-08-15T12:00:00Z,43.3,14.0,13.4,10.0,0.6,0.6
2026-08-13T16:54:22Z,2026-08-14T18:00:00Z,25.1,10.0,8.7,6.9,1.3,1.3
2026-08-13T16:54:22Z,2026-08-15T00:00:00Z,31.1,7.0,6.3,7.3,0.7,0.7
2026-08-13T16:54:22Z,2026-08-15T06:00:00Z,37.1,10.0,8.6,8.3,1.4,1.4
2026-08-13T16:54:22Z,2026-08-15T12:00:00Z,43.1,14.0,13.4,10.0,0.6,0.6
2026-08-13T22:52:17Z,2026-08-15T00:00:00Z,25.1,7.0,6.3,7.3,0.7,0.7
2026-08-13T22:52:17Z,2026-08-15T06:00:00Z,31.1,9.0,8.6,8.3,0.4,0.4
2026-08-13T22:52:17Z,2026-08-15T12:00:00Z,37.1,14.0,13.4,10.0,0.6,0.6
2026-08-13T22:52:17Z,2026-08-15T18:00:00Z,43.1,13.0,12.2,8.7,0.8,0.8
2026-08-14T05:28:14Z,2026-08-15T06:00:00Z,24.5,9.0,8.6,8.3,0.4,0.4
2026-08-14T05:28:14Z,2026-08-15T12:00:00Z,30.5,13.0,13.4,10.0,-0.4,0.4
2026-08-14T05:28:14Z,2026-08-15T18:00:00Z,36.5,13.0,12.2,8.7,0.8,0.8
2026-08-14T05:28:14Z,2026-08-16T00:00:00Z,42.5,10.0,10.8,6.3,-0.8,0.8
2026-08-14T10:44:54Z,2026-08-15T12:00:00Z,25.3,13.0,13.4,10.0,-0.4,0.4
2026-08-14T10:44:54Z,2026-08-15T18:00:00Z,31.3,13.0,12.2,8.7,0.8,0.8
2026-08-14T10:44:54Z,2026-08-16T00:00:00Z,37.3,10.0,10.8,6.3,-0.8,0.8
2026-08-14T10:44:54Z,2026-08-16T06:00:00Z,43.3,12.0,12.3,8.6,-0.3,0.3
2026-08-14T16:48:33Z,2026-08-15T18:00:00Z,25.2,13.0,12.2,8.7,0.8,0.8
2026-08-14T16:48:33Z,2026-08-16T00:00:00Z,31.2,11.0,10.8,6.3,0.2,0.2
2026-08-14T16:48:33Z,2026-08-16T06:00:00Z,37.2,12.0,12.3,8.6,-0.3,0.3
2026-08-14T22:30:55Z,2026-08-16T00:00:00Z,25.5,10.0,10.8,6.3,-0.8,0.8
2026-08-14T22:30:55Z,2026-08-16T06:00:00Z,31.5,12.0,12.3,8.6,-0.3,0.3
2026-08-15T04:24:15Z,2026-08-16T06:00:00Z,25.6,12.0,12.3,8.6,-0.3,0.3
