# Архангельск / Температура / 2-3 дня / GFS (США)
# n=68, MAE=2.421, RMSE=2.552, bias=-2.421
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (2.552/1.885)^2 = -0.8327  (RMSE_персистентности по 68 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-08T12:00:00Z,50.2,13.3,15.4,20.5,-2.1,2.1
2026-08-06T09:50:07Z,2026-08-08T15:00:00Z,53.2,13.1,15.5,15.6,-2.4,2.4
2026-08-06T09:50:07Z,2026-08-08T18:00:00Z,56.2,11.9,14.4,14.6,-2.5,2.5
2026-08-06T09:50:07Z,2026-08-08T21:00:00Z,59.2,11.3,13.6,13.5,-2.3,2.3
2026-08-06T09:50:07Z,2026-08-09T00:00:00Z,62.2,11.0,13.1,12.5,-2.1,2.1
2026-08-06T09:50:07Z,2026-08-09T03:00:00Z,65.2,11.3,11.9,13.6,-0.6,0.6
2026-08-06T09:50:07Z,2026-08-09T06:00:00Z,68.2,12.9,15.2,15.4,-2.3,2.3
2026-08-06T09:50:07Z,2026-08-09T09:00:00Z,71.2,13.9,16.5,15.0,-2.6,2.6
2026-08-06T09:59:18Z,2026-08-08T12:00:00Z,50.0,13.3,15.4,20.5,-2.1,2.1
2026-08-06T09:59:18Z,2026-08-08T15:00:00Z,53.0,13.1,15.5,15.6,-2.4,2.4
2026-08-06T09:59:18Z,2026-08-08T18:00:00Z,56.0,11.9,14.4,14.6,-2.5,2.5
2026-08-06T09:59:18Z,2026-08-08T21:00:00Z,59.0,11.3,13.6,13.5,-2.3,2.3
2026-08-06T09:59:18Z,2026-08-09T00:00:00Z,62.0,11.0,13.1,12.5,-2.1,2.1
2026-08-06T09:59:18Z,2026-08-09T03:00:00Z,65.0,11.3,11.9,13.6,-0.6,0.6
