# Архангельск / Температура / 2-3 дня / ICON (Германия)
# n=136, MAE=0.926, RMSE=1.139, bias=+0.620
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.139/2.699)^2 = 0.8218  (RMSE_персистентности по 136 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-08T12:00:00Z,50.2,17.4,15.4,20.5,2.0,2.0
2026-08-06T09:50:07Z,2026-08-08T15:00:00Z,53.2,16.6,15.5,15.6,1.1,1.1
2026-08-06T09:50:07Z,2026-08-08T18:00:00Z,56.2,15.2,14.4,14.6,0.8,0.8
2026-08-06T09:50:07Z,2026-08-08T21:00:00Z,59.2,14.4,13.6,13.5,0.8,0.8
2026-08-06T09:50:07Z,2026-08-09T00:00:00Z,62.2,14.4,13.1,12.5,1.3,1.3
2026-08-06T09:50:07Z,2026-08-09T03:00:00Z,65.2,14.2,11.9,13.6,2.3,2.3
2026-08-06T09:50:07Z,2026-08-09T06:00:00Z,68.2,15.5,15.2,15.4,0.3,0.3
2026-08-06T09:50:07Z,2026-08-09T09:00:00Z,71.2,16.1,16.5,15.0,-0.4,0.4
2026-08-06T09:59:18Z,2026-08-08T12:00:00Z,50.0,17.4,15.4,20.5,2.0,2.0
2026-08-06T09:59:18Z,2026-08-08T15:00:00Z,53.0,16.6,15.5,15.6,1.1,1.1
2026-08-06T09:59:18Z,2026-08-08T18:00:00Z,56.0,15.2,14.4,14.6,0.8,0.8
2026-08-06T09:59:18Z,2026-08-08T21:00:00Z,59.0,14.4,13.6,13.5,0.8,0.8
2026-08-06T09:59:18Z,2026-08-09T00:00:00Z,62.0,14.4,13.1,12.5,1.3,1.3
2026-08-06T09:59:18Z,2026-08-09T03:00:00Z,65.0,14.2,11.9,13.6,2.3,2.3
2026-08-06T09:59:18Z,2026-08-09T06:00:00Z,68.0,15.5,15.2,15.4,0.3,0.3
2026-08-06T09:59:18Z,2026-08-09T09:00:00Z,71.0,16.1,16.5,15.0,-0.4,0.4
2026-08-06T10:08:26Z,2026-08-08T12:00:00Z,49.9,17.4,15.4,20.5,2.0,2.0
2026-08-06T10:08:26Z,2026-08-08T15:00:00Z,52.9,16.6,15.5,15.6,1.1,1.1
2026-08-06T10:08:26Z,2026-08-08T18:00:00Z,55.9,15.2,14.4,14.6,0.8,0.8
2026-08-06T10:08:26Z,2026-08-08T21:00:00Z,58.9,14.4,13.6,13.5,0.8,0.8
2026-08-06T10:08:26Z,2026-08-09T00:00:00Z,61.9,14.4,13.1,12.5,1.3,1.3
2026-08-06T10:08:26Z,2026-08-09T03:00:00Z,64.9,14.2,11.9,13.6,2.3,2.3
2026-08-06T10:08:26Z,2026-08-09T06:00:00Z,67.9,15.5,15.2,15.4,0.3,0.3
2026-08-06T10:08:26Z,2026-08-09T09:00:00Z,70.9,16.1,16.5,15.0,-0.4,0.4
2026-08-06T10:47:54Z,2026-08-08T12:00:00Z,49.2,17.4,15.4,20.5,2.0,2.0
2026-08-06T10:47:54Z,2026-08-08T15:00:00Z,52.2,16.6,15.5,15.6,1.1,1.1
2026-08-06T10:47:54Z,2026-08-08T18:00:00Z,55.2,15.2,14.4,14.6,0.8,0.8
2026-08-06T10:47:54Z,2026-08-08T21:00:00Z,58.2,14.4,13.6,13.5,0.8,0.8
2026-08-06T10:47:54Z,2026-08-09T00:00:00Z,61.2,14.4,13.1,12.5,1.3,1.3
2026-08-06T10:47:54Z,2026-08-09T03:00:00Z,64.2,14.2,11.9,13.6,2.3,2.3
2026-08-06T10:47:54Z,2026-08-09T06:00:00Z,67.2,15.5,15.2,15.4,0.3,0.3
2026-08-06T10:47:54Z,2026-08-09T09:00:00Z,70.2,16.1,16.5,15.0,-0.4,0.4
2026-08-06T11:30:42Z,2026-08-08T12:00:00Z,48.5,17.4,15.4,20.5,2.0,2.0
2026-08-06T11:30:42Z,2026-08-08T15:00:00Z,51.5,16.6,15.5,15.6,1.1,1.1
2026-08-06T11:30:42Z,2026-08-08T18:00:00Z,54.5,15.2,14.4,14.6,0.8,0.8
2026-08-06T11:30:42Z,2026-08-08T21:00:00Z,57.5,14.4,13.6,13.5,0.8,0.8
2026-08-06T11:30:42Z,2026-08-09T00:00:00Z,60.5,14.4,13.1,12.5,1.3,1.3
2026-08-06T11:30:42Z,2026-08-09T03:00:00Z,63.5,14.2,11.9,13.6,2.3,2.3
2026-08-06T11:30:42Z,2026-08-09T06:00:00Z,66.5,15.5,15.2,15.4,0.3,0.3
2026-08-06T11:30:42Z,2026-08-09T09:00:00Z,69.5,16.1,16.5,15.0,-0.4,0.4
2026-08-06T11:36:01Z,2026-08-08T12:00:00Z,48.4,17.4,15.4,20.5,2.0,2.0
2026-08-06T11:36:01Z,2026-08-08T15:00:00Z,51.4,16.6,15.5,15.6,1.1,1.1
2026-08-06T11:36:01Z,2026-08-08T18:00:00Z,54.4,15.2,14.4,14.6,0.8,0.8
2026-08-06T11:36:01Z,2026-08-08T21:00:00Z,57.4,14.4,13.6,13.5,0.8,0.8
2026-08-06T11:36:01Z,2026-08-09T00:00:00Z,60.4,14.4,13.1,12.5,1.3,1.3
2026-08-06T11:36:01Z,2026-08-09T03:00:00Z,63.4,14.2,11.9,13.6,2.3,2.3
2026-08-06T11:36:01Z,2026-08-09T06:00:00Z,66.4,15.5,15.2,15.4,0.3,0.3
2026-08-06T11:36:01Z,2026-08-09T09:00:00Z,69.4,16.1,16.5,15.0,-0.4,0.4
2026-08-06T11:44:08Z,2026-08-08T12:00:00Z,48.3,17.4,15.4,20.5,2.0,2.0
2026-08-06T11:44:08Z,2026-08-08T15:00:00Z,51.3,16.6,15.5,15.6,1.1,1.1
2026-08-06T11:44:08Z,2026-08-08T18:00:00Z,54.3,15.2,14.4,14.6,0.8,0.8
2026-08-06T11:44:08Z,2026-08-08T21:00:00Z,57.3,14.4,13.6,13.5,0.8,0.8
2026-08-06T11:44:08Z,2026-08-09T00:00:00Z,60.3,14.4,13.1,12.5,1.3,1.3
2026-08-06T11:44:08Z,2026-08-09T03:00:00Z,63.3,14.2,11.9,13.6,2.3,2.3
2026-08-06T11:44:08Z,2026-08-09T06:00:00Z,66.3,15.5,15.2,15.4,0.3,0.3
2026-08-06T11:44:08Z,2026-08-09T09:00:00Z,69.3,16.1,16.5,15.0,-0.4,0.4
2026-08-07T01:31:32Z,2026-08-09T03:00:00Z,49.5,14.0,11.9,13.6,2.1,2.1
2026-08-07T01:31:32Z,2026-08-09T06:00:00Z,52.5,15.8,15.2,15.4,0.6,0.6
2026-08-07T01:31:32Z,2026-08-09T09:00:00Z,55.5,15.5,16.5,15.0,-1.0,1.0
2026-08-07T01:31:32Z,2026-08-09T12:00:00Z,58.5,16.0,16.7,15.4,-0.7,0.7
2026-08-07T01:31:32Z,2026-08-09T15:00:00Z,61.5,14.5,17.0,15.5,-2.5,2.5
2026-08-07T01:31:32Z,2026-08-09T18:00:00Z,64.5,13.3,13.7,14.4,-0.4,0.4
2026-08-07T01:31:32Z,2026-08-09T21:00:00Z,67.5,11.9,10.4,13.6,1.5,1.5
2026-08-07T01:31:32Z,2026-08-10T00:00:00Z,70.5,12.3,10.8,13.1,1.5,1.5
2026-08-07T05:36:00Z,2026-08-09T06:00:00Z,48.4,14.9,15.2,15.4,-0.3,0.3
2026-08-07T05:36:00Z,2026-08-09T09:00:00Z,51.4,15.8,16.5,15.0,-0.7,0.7
2026-08-07T05:36:00Z,2026-08-09T12:00:00Z,54.4,17.2,16.7,15.4,0.5,0.5
2026-08-07T05:36:00Z,2026-08-09T15:00:00Z,57.4,16.5,17.0,15.5,-0.5,0.5
2026-08-07T05:36:00Z,2026-08-09T18:00:00Z,60.4,13.7,13.7,14.4,0.0,0.0
2026-08-07T05:36:00Z,2026-08-09T21:00:00Z,63.4,12.3,10.4,13.6,1.9,1.9
2026-08-07T05:36:00Z,2026-08-10T00:00:00Z,66.4,12.1,10.8,13.1,1.3,1.3
2026-08-07T05:36:00Z,2026-08-10T03:00:00Z,69.4,13.8,12.6,11.9,1.2,1.2
2026-08-07T06:18:59Z,2026-08-09T09:00:00Z,50.7,15.8,16.5,15.0,-0.7,0.7
2026-08-07T06:18:59Z,2026-08-09T12:00:00Z,53.7,17.2,16.7,15.4,0.5,0.5
2026-08-07T06:18:59Z,2026-08-09T15:00:00Z,56.7,16.5,17.0,15.5,-0.5,0.5
2026-08-07T06:18:59Z,2026-08-09T18:00:00Z,59.7,13.7,13.7,14.4,0.0,0.0
2026-08-07T06:18:59Z,2026-08-09T21:00:00Z,62.7,12.3,10.4,13.6,1.9,1.9
2026-08-07T06:18:59Z,2026-08-10T00:00:00Z,65.7,12.1,10.8,13.1,1.3,1.3
2026-08-07T06:18:59Z,2026-08-10T03:00:00Z,68.7,13.8,12.6,11.9,1.2,1.2
2026-08-07T06:18:59Z,2026-08-10T06:00:00Z,71.7,17.3,16.9,15.2,0.4,0.4
2026-08-07T07:13:52Z,2026-08-09T09:00:00Z,49.8,15.8,16.5,15.0,-0.7,0.7
2026-08-07T07:13:52Z,2026-08-09T12:00:00Z,52.8,17.2,16.7,15.4,0.5,0.5
2026-08-07T07:13:52Z,2026-08-09T15:00:00Z,55.8,16.5,17.0,15.5,-0.5,0.5
2026-08-07T07:13:52Z,2026-08-09T18:00:00Z,58.8,13.7,13.7,14.4,0.0,0.0
2026-08-07T07:13:52Z,2026-08-09T21:00:00Z,61.8,12.3,10.4,13.6,1.9,1.9
2026-08-07T07:13:52Z,2026-08-10T00:00:00Z,64.8,12.1,10.8,13.1,1.3,1.3
2026-08-07T07:13:52Z,2026-08-10T03:00:00Z,67.8,13.8,12.6,11.9,1.2,1.2
2026-08-07T07:13:52Z,2026-08-10T06:00:00Z,70.8,17.3,16.9,15.2,0.4,0.4
2026-08-07T10:39:14Z,2026-08-09T12:00:00Z,49.3,15.6,16.7,15.4,-1.1,1.1
2026-08-07T10:39:14Z,2026-08-09T15:00:00Z,52.3,15.7,17.0,15.5,-1.3,1.3
2026-08-07T10:39:14Z,2026-08-09T18:00:00Z,55.3,14.3,13.7,14.4,0.6,0.6
2026-08-07T10:39:14Z,2026-08-09T21:00:00Z,58.3,12.6,10.4,13.6,2.2,2.2
2026-08-07T10:39:14Z,2026-08-10T00:00:00Z,61.3,11.7,10.8,13.1,0.9,0.9
2026-08-07T10:39:14Z,2026-08-10T03:00:00Z,64.3,13.2,12.6,11.9,0.6,0.6
2026-08-07T10:39:14Z,2026-08-10T06:00:00Z,67.3,16.4,16.9,15.2,-0.5,0.5
2026-08-07T10:39:14Z,2026-08-10T09:00:00Z,70.3,20.7,20.6,16.5,0.1,0.1
2026-08-07T16:51:54Z,2026-08-09T18:00:00Z,49.1,14.3,13.7,14.4,0.6,0.6
2026-08-07T16:51:54Z,2026-08-09T21:00:00Z,52.1,12.5,10.4,13.6,2.1,2.1
2026-08-07T16:51:54Z,2026-08-10T00:00:00Z,55.1,11.2,10.8,13.1,0.4,0.4
2026-08-07T16:51:54Z,2026-08-10T03:00:00Z,58.1,12.5,12.6,11.9,-0.1,0.1
2026-08-07T16:51:54Z,2026-08-10T06:00:00Z,61.1,14.9,16.9,15.2,-2.0,2.0
2026-08-07T16:51:54Z,2026-08-10T09:00:00Z,64.1,20.8,20.6,16.5,0.2,0.2
2026-08-07T16:51:54Z,2026-08-10T12:00:00Z,67.1,22.3,22.3,16.7,0.0,0.0
2026-08-07T16:51:54Z,2026-08-10T15:00:00Z,70.1,21.7,21.8,17.0,-0.1,0.1
2026-08-07T22:45:57Z,2026-08-10T00:00:00Z,49.2,11.2,10.8,13.1,0.4,0.4
2026-08-07T22:45:57Z,2026-08-10T03:00:00Z,52.2,12.3,12.6,11.9,-0.3,0.3
2026-08-07T22:45:57Z,2026-08-10T06:00:00Z,55.2,15.9,16.9,15.2,-1.0,1.0
2026-08-07T22:45:57Z,2026-08-10T09:00:00Z,58.2,20.4,20.6,16.5,-0.2,0.2
2026-08-07T22:45:57Z,2026-08-10T12:00:00Z,61.2,22.1,22.3,16.7,-0.2,0.2
2026-08-07T22:45:57Z,2026-08-10T15:00:00Z,64.2,21.3,21.8,17.0,-0.5,0.5
2026-08-07T22:45:57Z,2026-08-10T18:00:00Z,67.2,18.4,18.4,13.7,0.0,0.0
2026-08-07T22:45:57Z,2026-08-10T21:00:00Z,70.2,16.7,15.0,10.4,1.7,1.7
2026-08-07T23:19:23Z,2026-08-10T00:00:00Z,48.7,11.2,10.8,13.1,0.4,0.4
2026-08-07T23:19:23Z,2026-08-10T03:00:00Z,51.7,12.3,12.6,11.9,-0.3,0.3
2026-08-07T23:19:23Z,2026-08-10T06:00:00Z,54.7,15.9,16.9,15.2,-1.0,1.0
2026-08-07T23:19:23Z,2026-08-10T09:00:00Z,57.7,20.4,20.6,16.5,-0.2,0.2
2026-08-07T23:19:23Z,2026-08-10T12:00:00Z,60.7,22.1,22.3,16.7,-0.2,0.2
2026-08-07T23:19:23Z,2026-08-10T15:00:00Z,63.7,21.3,21.8,17.0,-0.5,0.5
2026-08-07T23:19:23Z,2026-08-10T18:00:00Z,66.7,18.4,18.4,13.7,0.0,0.0
2026-08-07T23:19:23Z,2026-08-10T21:00:00Z,69.7,16.7,15.0,10.4,1.7,1.7
2026-08-08T04:50:53Z,2026-08-10T06:00:00Z,49.2,17.3,16.9,15.2,0.4,0.4
2026-08-08T04:50:53Z,2026-08-10T09:00:00Z,52.2,21.1,20.6,16.5,0.5,0.5
2026-08-08T04:50:53Z,2026-08-10T12:00:00Z,55.2,22.5,22.3,16.7,0.2,0.2
2026-08-08T04:50:53Z,2026-08-10T15:00:00Z,58.2,22.4,21.8,17.0,0.6,0.6
2026-08-08T04:50:53Z,2026-08-10T18:00:00Z,61.2,18.7,18.4,13.7,0.3,0.3
2026-08-08T04:50:53Z,2026-08-10T21:00:00Z,64.2,16.8,15.0,10.4,1.8,1.8
2026-08-08T04:50:53Z,2026-08-11T00:00:00Z,67.2,15.7,15.3,10.8,0.4,0.4
2026-08-08T04:50:53Z,2026-08-11T03:00:00Z,70.2,15.9,15.0,12.6,0.9,0.9
2026-08-08T10:18:13Z,2026-08-10T12:00:00Z,49.7,22.7,22.3,16.7,0.4,0.4
2026-08-08T10:18:13Z,2026-08-10T15:00:00Z,52.7,22.7,21.8,17.0,0.9,0.9
2026-08-08T10:18:13Z,2026-08-10T18:00:00Z,55.7,19.1,18.4,13.7,0.7,0.7
2026-08-08T10:18:13Z,2026-08-10T21:00:00Z,58.7,16.9,15.0,10.4,1.9,1.9
2026-08-08T10:18:13Z,2026-08-11T00:00:00Z,61.7,15.8,15.3,10.8,0.5,0.5
2026-08-08T10:18:13Z,2026-08-11T03:00:00Z,64.7,15.8,15.0,12.6,0.8,0.8
2026-08-08T22:37:20Z,2026-08-11T00:00:00Z,49.4,16.0,15.3,10.8,0.7,0.7
2026-08-08T22:37:20Z,2026-08-11T03:00:00Z,52.4,15.8,15.0,12.6,0.8,0.8
