# Архангельск / Температура / 2-3 дня / OpenWeatherMap
# n=31, MAE=2.323, RMSE=2.499, bias=-2.323
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (2.499/2.268)^2 = -0.2142  (RMSE_персистентности по 31 пар(ам))
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:30:42Z,2026-08-08T12:00:00Z,48.5,13.29,15.4,16.3,-2.11,2.11
2026-08-06T11:30:42Z,2026-08-08T15:00:00Z,51.5,13.13,15.5,16.3,-2.37,2.37
2026-08-06T11:30:42Z,2026-08-08T18:00:00Z,54.5,12.02,14.4,16.3,-2.38,2.38
2026-08-06T11:30:42Z,2026-08-08T21:00:00Z,57.5,11.41,13.6,16.3,-2.19,2.19
2026-08-06T11:30:42Z,2026-08-09T00:00:00Z,60.5,11.08,13.1,16.3,-2.02,2.02
2026-08-06T11:30:42Z,2026-08-09T03:00:00Z,63.5,11.33,11.9,16.3,-0.57,0.57
2026-08-06T11:30:42Z,2026-08-09T06:00:00Z,66.5,13.16,15.2,16.3,-2.04,2.04
2026-08-06T11:30:42Z,2026-08-09T09:00:00Z,69.5,14.14,16.5,16.3,-2.36,2.36
2026-08-06T11:36:01Z,2026-08-08T12:00:00Z,48.4,13.29,15.4,16.3,-2.11,2.11
2026-08-06T11:36:01Z,2026-08-08T15:00:00Z,51.4,13.13,15.5,16.3,-2.37,2.37
2026-08-06T11:36:01Z,2026-08-08T18:00:00Z,54.4,12.02,14.4,16.3,-2.38,2.38
2026-08-06T11:36:01Z,2026-08-08T21:00:00Z,57.4,11.41,13.6,16.3,-2.19,2.19
2026-08-06T11:36:01Z,2026-08-09T00:00:00Z,60.4,11.08,13.1,16.3,-2.02,2.02
2026-08-06T11:36:01Z,2026-08-09T03:00:00Z,63.4,11.33,11.9,16.3,-0.57,0.57
2026-08-06T11:36:01Z,2026-08-09T06:00:00Z,66.4,13.16,15.2,16.3,-2.04,2.04
2026-08-06T11:36:01Z,2026-08-09T09:00:00Z,69.4,14.14,16.5,16.3,-2.36,2.36
2026-08-06T11:44:08Z,2026-08-08T12:00:00Z,48.3,13.29,15.4,16.3,-2.11,2.11
2026-08-06T11:44:08Z,2026-08-08T15:00:00Z,51.3,13.13,15.5,16.3,-2.37,2.37
2026-08-06T11:44:08Z,2026-08-08T18:00:00Z,54.3,12.02,14.4,16.3,-2.38,2.38
2026-08-06T11:44:08Z,2026-08-08T21:00:00Z,57.3,11.41,13.6,16.3,-2.19,2.19
2026-08-06T11:44:08Z,2026-08-09T00:00:00Z,60.3,11.08,13.1,16.3,-2.02,2.02
2026-08-06T11:44:08Z,2026-08-09T03:00:00Z,63.3,11.33,11.9,16.3,-0.57,0.57
2026-08-06T11:44:08Z,2026-08-09T06:00:00Z,66.3,13.16,15.2,16.3,-2.04,2.04
2026-08-06T11:44:08Z,2026-08-09T09:00:00Z,69.3,14.14,16.5,16.3,-2.36,2.36
2026-08-07T01:31:32Z,2026-08-09T03:00:00Z,49.5,10.32,11.9,13.6,-1.58,1.58
2026-08-07T01:31:32Z,2026-08-09T06:00:00Z,52.5,11.59,15.2,13.6,-3.61,3.61
2026-08-07T01:31:32Z,2026-08-09T09:00:00Z,55.5,12.14,16.5,13.6,-4.36,4.36
2026-08-07T05:36:00Z,2026-08-09T06:00:00Z,48.4,11.59,15.2,14.2,-3.61,3.61
2026-08-07T05:36:00Z,2026-08-09T09:00:00Z,51.4,12.14,16.5,14.2,-4.36,4.36
2026-08-07T06:18:59Z,2026-08-09T09:00:00Z,50.7,12.14,16.5,14.3,-4.36,4.36
2026-08-07T07:13:52Z,2026-08-09T09:00:00Z,49.8,14.5,16.5,14.3,-2.0,2.0
