# Архангельск / Температура / 3-5 дней / Yr (Норвегия)
# n=198, MAE=1.447, RMSE=1.903, bias=+0.183
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.903/4.699)^2 = 0.8360  (RMSE_персистентности по 198 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-09T12:00:00Z,74.2,15.9,16.7,15.4,-0.8,0.8
2026-08-06T09:50:07Z,2026-08-09T18:00:00Z,80.2,11.1,13.7,14.4,-2.6,2.6
2026-08-06T09:50:07Z,2026-08-10T00:00:00Z,86.2,8.5,10.8,13.1,-2.3,2.3
2026-08-06T09:50:07Z,2026-08-10T06:00:00Z,92.2,15.7,16.9,15.2,-1.2,1.2
2026-08-06T09:50:07Z,2026-08-10T12:00:00Z,98.2,21.0,22.3,16.7,-1.3,1.3
2026-08-06T09:50:07Z,2026-08-10T18:00:00Z,104.2,16.9,18.4,13.7,-1.5,1.5
2026-08-06T09:50:07Z,2026-08-11T00:00:00Z,110.2,14.1,15.3,10.8,-1.2,1.2
2026-08-06T09:50:07Z,2026-08-11T06:00:00Z,116.2,19.3,19.4,16.9,-0.1,0.1
2026-08-06T09:59:18Z,2026-08-09T12:00:00Z,74.0,15.9,16.7,15.4,-0.8,0.8
2026-08-06T09:59:18Z,2026-08-09T18:00:00Z,80.0,11.1,13.7,14.4,-2.6,2.6
2026-08-06T09:59:18Z,2026-08-10T00:00:00Z,86.0,8.5,10.8,13.1,-2.3,2.3
2026-08-06T09:59:18Z,2026-08-10T06:00:00Z,92.0,15.7,16.9,15.2,-1.2,1.2
2026-08-06T09:59:18Z,2026-08-10T12:00:00Z,98.0,21.0,22.3,16.7,-1.3,1.3
2026-08-06T09:59:18Z,2026-08-10T18:00:00Z,104.0,16.9,18.4,13.7,-1.5,1.5
2026-08-06T09:59:18Z,2026-08-11T00:00:00Z,110.0,14.1,15.3,10.8,-1.2,1.2
2026-08-06T09:59:18Z,2026-08-11T06:00:00Z,116.0,19.3,19.4,16.9,-0.1,0.1
2026-08-06T10:08:26Z,2026-08-09T12:00:00Z,73.9,15.9,16.7,15.4,-0.8,0.8
2026-08-06T10:08:26Z,2026-08-09T18:00:00Z,79.9,11.1,13.7,14.4,-2.6,2.6
2026-08-06T10:08:26Z,2026-08-10T00:00:00Z,85.9,8.5,10.8,13.1,-2.3,2.3
2026-08-06T10:08:26Z,2026-08-10T06:00:00Z,91.9,15.7,16.9,15.2,-1.2,1.2
2026-08-06T10:08:26Z,2026-08-10T12:00:00Z,97.9,21.0,22.3,16.7,-1.3,1.3
2026-08-06T10:08:26Z,2026-08-10T18:00:00Z,103.9,16.9,18.4,13.7,-1.5,1.5
2026-08-06T10:08:26Z,2026-08-11T00:00:00Z,109.9,14.1,15.3,10.8,-1.2,1.2
2026-08-06T10:08:26Z,2026-08-11T06:00:00Z,115.9,19.3,19.4,16.9,-0.1,0.1
2026-08-06T10:47:54Z,2026-08-09T12:00:00Z,73.2,15.9,16.7,15.4,-0.8,0.8
2026-08-06T10:47:54Z,2026-08-09T18:00:00Z,79.2,11.1,13.7,14.4,-2.6,2.6
2026-08-06T10:47:54Z,2026-08-10T00:00:00Z,85.2,8.5,10.8,13.1,-2.3,2.3
2026-08-06T10:47:54Z,2026-08-10T06:00:00Z,91.2,15.7,16.9,15.2,-1.2,1.2
2026-08-06T10:47:54Z,2026-08-10T12:00:00Z,97.2,21.0,22.3,16.7,-1.3,1.3
2026-08-06T10:47:54Z,2026-08-10T18:00:00Z,103.2,16.9,18.4,13.7,-1.5,1.5
2026-08-06T10:47:54Z,2026-08-11T00:00:00Z,109.2,14.1,15.3,10.8,-1.2,1.2
2026-08-06T10:47:54Z,2026-08-11T06:00:00Z,115.2,19.3,19.4,16.9,-0.1,0.1
2026-08-06T11:30:42Z,2026-08-09T12:00:00Z,72.5,14.9,16.7,15.4,-1.8,1.8
