# Архангельск / Температура / 3-5 дней / ECMWF AIFS
# n=175, MAE=1.531, RMSE=1.996, bias=-1.102
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.996/3.541)^2 = 0.6821  (RMSE_персистентности по 175 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-09T12:00:00Z,74.2,15.0,16.7,15.4,-1.7,1.7
2026-08-06T09:50:07Z,2026-08-09T15:00:00Z,77.2,13.7,17.0,15.5,-3.3,3.3
2026-08-06T09:50:07Z,2026-08-09T18:00:00Z,80.2,11.8,13.7,14.4,-1.9,1.9
2026-08-06T09:50:07Z,2026-08-09T21:00:00Z,83.2,9.6,10.4,13.6,-0.8,0.8
2026-08-06T09:50:07Z,2026-08-10T00:00:00Z,86.2,8.6,10.8,13.1,-2.2,2.2
2026-08-06T09:50:07Z,2026-08-10T03:00:00Z,89.2,11.4,12.6,11.9,-1.2,1.2
2026-08-06T09:50:07Z,2026-08-10T06:00:00Z,92.2,15.4,16.9,15.2,-1.5,1.5
2026-08-06T09:50:07Z,2026-08-10T09:00:00Z,95.2,19.2,20.6,16.5,-1.4,1.4
2026-08-06T09:50:07Z,2026-08-10T12:00:00Z,98.2,21.8,22.3,16.7,-0.5,0.5
2026-08-06T09:50:07Z,2026-08-10T15:00:00Z,101.2,20.5,21.8,17.0,-1.3,1.3
2026-08-06T09:50:07Z,2026-08-10T18:00:00Z,104.2,18.2,18.4,13.7,-0.2,0.2
2026-08-06T09:50:07Z,2026-08-10T21:00:00Z,107.2,16.5,15.0,10.4,1.5,1.5
2026-08-06T09:50:07Z,2026-08-11T00:00:00Z,110.2,15.6,15.3,10.8,0.3,0.3
2026-08-06T09:50:07Z,2026-08-11T03:00:00Z,113.2,16.4,15.0,12.6,1.4,1.4
2026-08-06T09:50:07Z,2026-08-11T06:00:00Z,116.2,17.3,19.4,16.9,-2.1,2.1
2026-08-06T09:50:07Z,2026-08-11T09:00:00Z,119.2,16.7,23.5,20.6,-6.8,6.8
2026-08-06T09:59:18Z,2026-08-09T12:00:00Z,74.0,15.0,16.7,15.4,-1.7,1.7
2026-08-06T09:59:18Z,2026-08-09T15:00:00Z,77.0,13.7,17.0,15.5,-3.3,3.3
2026-08-06T09:59:18Z,2026-08-09T18:00:00Z,80.0,11.8,13.7,14.4,-1.9,1.9
2026-08-06T09:59:18Z,2026-08-09T21:00:00Z,83.0,9.6,10.4,13.6,-0.8,0.8
2026-08-06T09:59:18Z,2026-08-10T00:00:00Z,86.0,8.6,10.8,13.1,-2.2,2.2
2026-08-06T09:59:18Z,2026-08-10T03:00:00Z,89.0,11.4,12.6,11.9,-1.2,1.2
2026-08-06T09:59:18Z,2026-08-10T06:00:00Z,92.0,15.4,16.9,15.2,-1.5,1.5
2026-08-06T09:59:18Z,2026-08-10T09:00:00Z,95.0,19.2,20.6,16.5,-1.4,1.4
2026-08-06T09:59:18Z,2026-08-10T12:00:00Z,98.0,21.8,22.3,16.7,-0.5,0.5
2026-08-06T09:59:18Z,2026-08-10T15:00:00Z,101.0,20.5,21.8,17.0,-1.3,1.3
2026-08-06T09:59:18Z,2026-08-10T18:00:00Z,104.0,18.2,18.4,13.7,-0.2,0.2
2026-08-06T09:59:18Z,2026-08-10T21:00:00Z,107.0,16.5,15.0,10.4,1.5,1.5
2026-08-06T09:59:18Z,2026-08-11T00:00:00Z,110.0,15.6,15.3,10.8,0.3,0.3
2026-08-06T09:59:18Z,2026-08-11T03:00:00Z,113.0,16.4,15.0,12.6,1.4,1.4
2026-08-06T09:59:18Z,2026-08-11T06:00:00Z,116.0,17.3,19.4,16.9,-2.1,2.1
2026-08-06T09:59:18Z,2026-08-11T09:00:00Z,119.0,16.7,23.5,20.6,-6.8,6.8
2026-08-06T10:08:26Z,2026-08-09T12:00:00Z,73.9,15.0,16.7,15.4,-1.7,1.7
2026-08-06T10:08:26Z,2026-08-09T15:00:00Z,76.9,13.7,17.0,15.5,-3.3,3.3
2026-08-06T10:08:26Z,2026-08-09T18:00:00Z,79.9,11.8,13.7,14.4,-1.9,1.9
2026-08-06T10:08:26Z,2026-08-09T21:00:00Z,82.9,9.6,10.4,13.6,-0.8,0.8
2026-08-06T10:08:26Z,2026-08-10T00:00:00Z,85.9,8.6,10.8,13.1,-2.2,2.2
2026-08-06T10:08:26Z,2026-08-10T03:00:00Z,88.9,11.4,12.6,11.9,-1.2,1.2
2026-08-06T10:08:26Z,2026-08-10T06:00:00Z,91.9,15.4,16.9,15.2,-1.5,1.5
2026-08-06T10:08:26Z,2026-08-10T09:00:00Z,94.9,19.2,20.6,16.5,-1.4,1.4
2026-08-06T10:08:26Z,2026-08-10T12:00:00Z,97.9,21.8,22.3,16.7,-0.5,0.5
2026-08-06T10:08:26Z,2026-08-10T15:00:00Z,100.9,20.5,21.8,17.0,-1.3,1.3
2026-08-06T10:08:26Z,2026-08-10T18:00:00Z,103.9,18.2,18.4,13.7,-0.2,0.2
2026-08-06T10:08:26Z,2026-08-10T21:00:00Z,106.9,16.5,15.0,10.4,1.5,1.5
2026-08-06T10:08:26Z,2026-08-11T00:00:00Z,109.9,15.6,15.3,10.8,0.3,0.3
2026-08-06T10:08:26Z,2026-08-11T03:00:00Z,112.9,16.4,15.0,12.6,1.4,1.4
2026-08-06T10:08:26Z,2026-08-11T06:00:00Z,115.9,17.3,19.4,16.9,-2.1,2.1
2026-08-06T10:08:26Z,2026-08-11T09:00:00Z,118.9,16.7,23.5,20.6,-6.8,6.8
2026-08-06T10:47:54Z,2026-08-09T12:00:00Z,73.2,15.0,16.7,15.4,-1.7,1.7
2026-08-06T10:47:54Z,2026-08-09T15:00:00Z,76.2,13.7,17.0,15.5,-3.3,3.3
2026-08-06T10:47:54Z,2026-08-09T18:00:00Z,79.2,11.8,13.7,14.4,-1.9,1.9
2026-08-06T10:47:54Z,2026-08-09T21:00:00Z,82.2,9.6,10.4,13.6,-0.8,0.8
2026-08-06T10:47:54Z,2026-08-10T00:00:00Z,85.2,8.6,10.8,13.1,-2.2,2.2
2026-08-06T10:47:54Z,2026-08-10T03:00:00Z,88.2,11.4,12.6,11.9,-1.2,1.2
2026-08-06T10:47:54Z,2026-08-10T06:00:00Z,91.2,15.4,16.9,15.2,-1.5,1.5
2026-08-06T10:47:54Z,2026-08-10T09:00:00Z,94.2,19.2,20.6,16.5,-1.4,1.4
2026-08-06T10:47:54Z,2026-08-10T12:00:00Z,97.2,21.8,22.3,16.7,-0.5,0.5
2026-08-06T10:47:54Z,2026-08-10T15:00:00Z,100.2,20.5,21.8,17.0,-1.3,1.3
2026-08-06T10:47:54Z,2026-08-10T18:00:00Z,103.2,18.2,18.4,13.7,-0.2,0.2
2026-08-06T10:47:54Z,2026-08-10T21:00:00Z,106.2,16.5,15.0,10.4,1.5,1.5
2026-08-06T10:47:54Z,2026-08-11T00:00:00Z,109.2,15.6,15.3,10.8,0.3,0.3
2026-08-06T10:47:54Z,2026-08-11T03:00:00Z,112.2,16.4,15.0,12.6,1.4,1.4
2026-08-06T10:47:54Z,2026-08-11T06:00:00Z,115.2,17.3,19.4,16.9,-2.1,2.1
2026-08-06T10:47:54Z,2026-08-11T09:00:00Z,118.2,16.7,23.5,20.6,-6.8,6.8
2026-08-06T11:30:42Z,2026-08-09T12:00:00Z,72.5,15.0,16.7,15.4,-1.7,1.7
2026-08-06T11:30:42Z,2026-08-09T15:00:00Z,75.5,13.7,17.0,15.5,-3.3,3.3
2026-08-06T11:30:42Z,2026-08-09T18:00:00Z,78.5,11.8,13.7,14.4,-1.9,1.9
2026-08-06T11:30:42Z,2026-08-09T21:00:00Z,81.5,9.6,10.4,13.6,-0.8,0.8
2026-08-06T11:30:42Z,2026-08-10T00:00:00Z,84.5,8.6,10.8,13.1,-2.2,2.2
2026-08-06T11:30:42Z,2026-08-10T03:00:00Z,87.5,11.4,12.6,11.9,-1.2,1.2
2026-08-06T11:30:42Z,2026-08-10T06:00:00Z,90.5,15.4,16.9,15.2,-1.5,1.5
2026-08-06T11:30:42Z,2026-08-10T09:00:00Z,93.5,19.2,20.6,16.5,-1.4,1.4
2026-08-06T11:30:42Z,2026-08-10T12:00:00Z,96.5,21.8,22.3,16.7,-0.5,0.5
2026-08-06T11:30:42Z,2026-08-10T15:00:00Z,99.5,20.5,21.8,17.0,-1.3,1.3
2026-08-06T11:30:42Z,2026-08-10T18:00:00Z,102.5,18.2,18.4,13.7,-0.2,0.2
2026-08-06T11:30:42Z,2026-08-10T21:00:00Z,105.5,16.5,15.0,10.4,1.5,1.5
2026-08-06T11:30:42Z,2026-08-11T00:00:00Z,108.5,15.6,15.3,10.8,0.3,0.3
2026-08-06T11:30:42Z,2026-08-11T03:00:00Z,111.5,16.4,15.0,12.6,1.4,1.4
2026-08-06T11:30:42Z,2026-08-11T06:00:00Z,114.5,17.3,19.4,16.9,-2.1,2.1
2026-08-06T11:30:42Z,2026-08-11T09:00:00Z,117.5,16.7,23.5,20.6,-6.8,6.8
2026-08-06T11:36:01Z,2026-08-09T12:00:00Z,72.4,15.0,16.7,15.4,-1.7,1.7
2026-08-06T11:36:01Z,2026-08-09T15:00:00Z,75.4,13.7,17.0,15.5,-3.3,3.3
2026-08-06T11:36:01Z,2026-08-09T18:00:00Z,78.4,11.8,13.7,14.4,-1.9,1.9
2026-08-06T11:36:01Z,2026-08-09T21:00:00Z,81.4,9.6,10.4,13.6,-0.8,0.8
2026-08-06T11:36:01Z,2026-08-10T00:00:00Z,84.4,8.6,10.8,13.1,-2.2,2.2
2026-08-06T11:36:01Z,2026-08-10T03:00:00Z,87.4,11.4,12.6,11.9,-1.2,1.2
2026-08-06T11:36:01Z,2026-08-10T06:00:00Z,90.4,15.4,16.9,15.2,-1.5,1.5
2026-08-06T11:36:01Z,2026-08-10T09:00:00Z,93.4,19.2,20.6,16.5,-1.4,1.4
2026-08-06T11:36:01Z,2026-08-10T12:00:00Z,96.4,21.8,22.3,16.7,-0.5,0.5
2026-08-06T11:36:01Z,2026-08-10T15:00:00Z,99.4,20.5,21.8,17.0,-1.3,1.3
2026-08-06T11:36:01Z,2026-08-10T18:00:00Z,102.4,18.2,18.4,13.7,-0.2,0.2
