# Архангельск / Температура / 3-5 дней / JMA (Япония)
# n=113, MAE=1.380, RMSE=1.720, bias=+0.615
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.720/3.727)^2 = 0.7871  (RMSE_персистентности по 113 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-09T12:00:00Z,74.2,16.9,16.7,15.4,0.2,0.2
2026-08-06T09:50:07Z,2026-08-09T15:00:00Z,77.2,14.3,17.0,15.5,-2.7,2.7
2026-08-06T09:50:07Z,2026-08-09T18:00:00Z,80.2,11.4,13.7,14.4,-2.3,2.3
2026-08-06T09:50:07Z,2026-08-09T21:00:00Z,83.2,11.7,10.4,13.6,1.3,1.3
2026-08-06T09:50:07Z,2026-08-10T00:00:00Z,86.2,13.3,10.8,13.1,2.5,2.5
2026-08-06T09:50:07Z,2026-08-10T03:00:00Z,89.2,16.1,12.6,11.9,3.5,3.5
2026-08-06T09:50:07Z,2026-08-10T06:00:00Z,92.2,19.2,16.9,15.2,2.3,2.3
2026-08-06T09:50:07Z,2026-08-10T09:00:00Z,95.2,22.3,20.6,16.5,1.7,1.7
2026-08-06T09:50:07Z,2026-08-10T12:00:00Z,98.2,24.0,22.3,16.7,1.7,1.7
2026-08-06T09:50:07Z,2026-08-10T15:00:00Z,101.2,21.9,21.8,17.0,0.1,0.1
2026-08-06T09:50:07Z,2026-08-10T18:00:00Z,104.2,18.7,18.4,13.7,0.3,0.3
2026-08-06T09:50:07Z,2026-08-10T21:00:00Z,107.2,16.1,15.0,10.4,1.1,1.1
2026-08-06T09:59:18Z,2026-08-09T12:00:00Z,74.0,16.9,16.7,15.4,0.2,0.2
2026-08-06T09:59:18Z,2026-08-09T15:00:00Z,77.0,14.3,17.0,15.5,-2.7,2.7
2026-08-06T09:59:18Z,2026-08-09T18:00:00Z,80.0,11.4,13.7,14.4,-2.3,2.3
2026-08-06T09:59:18Z,2026-08-09T21:00:00Z,83.0,11.7,10.4,13.6,1.3,1.3
2026-08-06T09:59:18Z,2026-08-10T00:00:00Z,86.0,13.3,10.8,13.1,2.5,2.5
2026-08-06T09:59:18Z,2026-08-10T03:00:00Z,89.0,16.1,12.6,11.9,3.5,3.5
2026-08-06T09:59:18Z,2026-08-10T06:00:00Z,92.0,19.2,16.9,15.2,2.3,2.3
2026-08-06T09:59:18Z,2026-08-10T09:00:00Z,95.0,22.3,20.6,16.5,1.7,1.7
2026-08-06T09:59:18Z,2026-08-10T12:00:00Z,98.0,24.0,22.3,16.7,1.7,1.7
2026-08-06T09:59:18Z,2026-08-10T15:00:00Z,101.0,21.9,21.8,17.0,0.1,0.1
2026-08-06T09:59:18Z,2026-08-10T18:00:00Z,104.0,18.7,18.4,13.7,0.3,0.3
2026-08-06T09:59:18Z,2026-08-10T21:00:00Z,107.0,16.1,15.0,10.4,1.1,1.1
2026-08-06T10:08:26Z,2026-08-09T12:00:00Z,73.9,16.9,16.7,15.4,0.2,0.2
2026-08-06T10:08:26Z,2026-08-09T15:00:00Z,76.9,14.3,17.0,15.5,-2.7,2.7
2026-08-06T10:08:26Z,2026-08-09T18:00:00Z,79.9,11.4,13.7,14.4,-2.3,2.3
2026-08-06T10:08:26Z,2026-08-09T21:00:00Z,82.9,11.7,10.4,13.6,1.3,1.3
2026-08-06T10:08:26Z,2026-08-10T00:00:00Z,85.9,13.3,10.8,13.1,2.5,2.5
2026-08-06T10:08:26Z,2026-08-10T03:00:00Z,88.9,16.1,12.6,11.9,3.5,3.5
2026-08-06T10:08:26Z,2026-08-10T06:00:00Z,91.9,19.2,16.9,15.2,2.3,2.3
2026-08-06T10:08:26Z,2026-08-10T09:00:00Z,94.9,22.3,20.6,16.5,1.7,1.7
2026-08-06T10:08:26Z,2026-08-10T12:00:00Z,97.9,24.0,22.3,16.7,1.7,1.7
2026-08-06T10:08:26Z,2026-08-10T15:00:00Z,100.9,21.9,21.8,17.0,0.1,0.1
2026-08-06T10:08:26Z,2026-08-10T18:00:00Z,103.9,18.7,18.4,13.7,0.3,0.3
2026-08-06T10:08:26Z,2026-08-10T21:00:00Z,106.9,16.1,15.0,10.4,1.1,1.1
2026-08-06T10:47:54Z,2026-08-09T12:00:00Z,73.2,16.9,16.7,15.4,0.2,0.2
2026-08-06T10:47:54Z,2026-08-09T15:00:00Z,76.2,14.3,17.0,15.5,-2.7,2.7
2026-08-06T10:47:54Z,2026-08-09T18:00:00Z,79.2,11.4,13.7,14.4,-2.3,2.3
2026-08-06T10:47:54Z,2026-08-09T21:00:00Z,82.2,11.7,10.4,13.6,1.3,1.3
2026-08-06T10:47:54Z,2026-08-10T00:00:00Z,85.2,13.3,10.8,13.1,2.5,2.5
2026-08-06T10:47:54Z,2026-08-10T03:00:00Z,88.2,16.1,12.6,11.9,3.5,3.5
2026-08-06T10:47:54Z,2026-08-10T06:00:00Z,91.2,19.2,16.9,15.2,2.3,2.3
2026-08-06T10:47:54Z,2026-08-10T09:00:00Z,94.2,22.3,20.6,16.5,1.7,1.7
2026-08-06T10:47:54Z,2026-08-10T12:00:00Z,97.2,24.0,22.3,16.7,1.7,1.7
2026-08-06T10:47:54Z,2026-08-10T15:00:00Z,100.2,21.9,21.8,17.0,0.1,0.1
2026-08-06T10:47:54Z,2026-08-10T18:00:00Z,103.2,18.7,18.4,13.7,0.3,0.3
2026-08-06T10:47:54Z,2026-08-10T21:00:00Z,106.2,16.1,15.0,10.4,1.1,1.1
2026-08-06T11:30:42Z,2026-08-09T12:00:00Z,72.5,16.9,16.7,15.4,0.2,0.2
2026-08-06T11:30:42Z,2026-08-09T15:00:00Z,75.5,14.3,17.0,15.5,-2.7,2.7
2026-08-06T11:30:42Z,2026-08-09T18:00:00Z,78.5,11.4,13.7,14.4,-2.3,2.3
2026-08-06T11:30:42Z,2026-08-09T21:00:00Z,81.5,11.7,10.4,13.6,1.3,1.3
2026-08-06T11:30:42Z,2026-08-10T00:00:00Z,84.5,13.3,10.8,13.1,2.5,2.5
2026-08-06T11:30:42Z,2026-08-10T03:00:00Z,87.5,16.1,12.6,11.9,3.5,3.5
2026-08-06T11:30:42Z,2026-08-10T06:00:00Z,90.5,19.2,16.9,15.2,2.3,2.3
2026-08-06T11:30:42Z,2026-08-10T09:00:00Z,93.5,22.3,20.6,16.5,1.7,1.7
2026-08-06T11:30:42Z,2026-08-10T12:00:00Z,96.5,24.0,22.3,16.7,1.7,1.7
2026-08-06T11:30:42Z,2026-08-10T15:00:00Z,99.5,21.9,21.8,17.0,0.1,0.1
2026-08-06T11:30:42Z,2026-08-10T18:00:00Z,102.5,18.7,18.4,13.7,0.3,0.3
2026-08-06T11:30:42Z,2026-08-10T21:00:00Z,105.5,16.1,15.0,10.4,1.1,1.1
2026-08-06T11:36:01Z,2026-08-09T12:00:00Z,72.4,16.9,16.7,15.4,0.2,0.2
2026-08-06T11:36:01Z,2026-08-09T15:00:00Z,75.4,14.3,17.0,15.5,-2.7,2.7
2026-08-06T11:36:01Z,2026-08-09T18:00:00Z,78.4,11.4,13.7,14.4,-2.3,2.3
2026-08-06T11:36:01Z,2026-08-09T21:00:00Z,81.4,11.7,10.4,13.6,1.3,1.3
2026-08-06T11:36:01Z,2026-08-10T00:00:00Z,84.4,13.3,10.8,13.1,2.5,2.5
2026-08-06T11:36:01Z,2026-08-10T03:00:00Z,87.4,16.1,12.6,11.9,3.5,3.5
2026-08-06T11:36:01Z,2026-08-10T06:00:00Z,90.4,19.2,16.9,15.2,2.3,2.3
2026-08-06T11:36:01Z,2026-08-10T09:00:00Z,93.4,22.3,20.6,16.5,1.7,1.7
2026-08-06T11:36:01Z,2026-08-10T12:00:00Z,96.4,24.0,22.3,16.7,1.7,1.7
2026-08-06T11:36:01Z,2026-08-10T15:00:00Z,99.4,21.9,21.8,17.0,0.1,0.1
2026-08-06T11:36:01Z,2026-08-10T18:00:00Z,102.4,18.7,18.4,13.7,0.3,0.3
2026-08-06T11:36:01Z,2026-08-10T21:00:00Z,105.4,16.1,15.0,10.4,1.1,1.1
2026-08-06T11:44:08Z,2026-08-09T12:00:00Z,72.3,16.9,16.7,15.4,0.2,0.2
2026-08-06T11:44:08Z,2026-08-09T15:00:00Z,75.3,14.3,17.0,15.5,-2.7,2.7
2026-08-06T11:44:08Z,2026-08-09T18:00:00Z,78.3,11.4,13.7,14.4,-2.3,2.3
2026-08-06T11:44:08Z,2026-08-09T21:00:00Z,81.3,11.7,10.4,13.6,1.3,1.3
2026-08-06T11:44:08Z,2026-08-10T00:00:00Z,84.3,13.3,10.8,13.1,2.5,2.5
2026-08-06T11:44:08Z,2026-08-10T03:00:00Z,87.3,16.1,12.6,11.9,3.5,3.5
2026-08-06T11:44:08Z,2026-08-10T06:00:00Z,90.3,19.2,16.9,15.2,2.3,2.3
2026-08-06T11:44:08Z,2026-08-10T09:00:00Z,93.3,22.3,20.6,16.5,1.7,1.7
2026-08-06T11:44:08Z,2026-08-10T12:00:00Z,96.3,24.0,22.3,16.7,1.7,1.7
2026-08-06T11:44:08Z,2026-08-10T15:00:00Z,99.3,21.9,21.8,17.0,0.1,0.1
2026-08-06T11:44:08Z,2026-08-10T18:00:00Z,102.3,18.7,18.4,13.7,0.3,0.3
2026-08-06T11:44:08Z,2026-08-10T21:00:00Z,105.3,16.1,15.0,10.4,1.1,1.1
2026-08-07T01:31:32Z,2026-08-10T03:00:00Z,73.5,13.7,12.6,11.9,1.1,1.1
2026-08-07T01:31:32Z,2026-08-10T06:00:00Z,76.5,16.4,16.9,15.2,-0.5,0.5
2026-08-07T01:31:32Z,2026-08-10T09:00:00Z,79.5,20.0,20.6,16.5,-0.6,0.6
2026-08-07T01:31:32Z,2026-08-10T12:00:00Z,82.5,22.5,22.3,16.7,0.2,0.2
2026-08-07T01:31:32Z,2026-08-10T15:00:00Z,85.5,20.7,21.8,17.0,-1.1,1.1
2026-08-07T01:31:32Z,2026-08-10T18:00:00Z,88.5,17.9,18.4,13.7,-0.5,0.5
2026-08-07T01:31:32Z,2026-08-10T21:00:00Z,91.5,15.9,15.0,10.4,0.9,0.9
2026-08-07T05:36:00Z,2026-08-10T06:00:00Z,72.4,17.5,16.9,15.2,0.6,0.6
2026-08-07T05:36:00Z,2026-08-10T09:00:00Z,75.4,20.5,20.6,16.5,-0.1,0.1
2026-08-07T05:36:00Z,2026-08-10T12:00:00Z,78.4,22.1,22.3,16.7,-0.2,0.2
2026-08-07T05:36:00Z,2026-08-10T15:00:00Z,81.4,20.7,21.8,17.0,-1.1,1.1
2026-08-07T05:36:00Z,2026-08-10T18:00:00Z,84.4,18.4,18.4,13.7,0.0,0.0
2026-08-07T05:36:00Z,2026-08-10T21:00:00Z,87.4,16.3,15.0,10.4,1.3,1.3
2026-08-07T06:18:59Z,2026-08-10T09:00:00Z,74.7,20.5,20.6,16.5,-0.1,0.1
2026-08-07T06:18:59Z,2026-08-10T12:00:00Z,77.7,22.1,22.3,16.7,-0.2,0.2
2026-08-07T06:18:59Z,2026-08-10T15:00:00Z,80.7,20.7,21.8,17.0,-1.1,1.1
2026-08-07T06:18:59Z,2026-08-10T18:00:00Z,83.7,18.4,18.4,13.7,0.0,0.0
2026-08-07T06:18:59Z,2026-08-10T21:00:00Z,86.7,16.3,15.0,10.4,1.3,1.3
2026-08-07T07:13:52Z,2026-08-10T09:00:00Z,73.8,20.5,20.6,16.5,-0.1,0.1
2026-08-07T07:13:52Z,2026-08-10T12:00:00Z,76.8,22.1,22.3,16.7,-0.2,0.2
2026-08-07T07:13:52Z,2026-08-10T15:00:00Z,79.8,20.7,21.8,17.0,-1.1,1.1
2026-08-07T07:13:52Z,2026-08-10T18:00:00Z,82.8,18.4,18.4,13.7,0.0,0.0
2026-08-07T07:13:52Z,2026-08-10T21:00:00Z,85.8,16.3,15.0,10.4,1.3,1.3
