# Архангельск / Температура / 3-5 дней / ARPEGE (Франция)
# n=14, MAE=0.614, RMSE=0.710, bias=-0.400
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (0.710/0.570)^2 = -0.5516  (RMSE_персистентности по 14 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-09T12:00:00Z,74.2,17.2,16.7,16.3,0.5,0.5
2026-08-06T09:50:07Z,2026-08-09T15:00:00Z,77.2,16.9,17.0,16.3,-0.1,0.1
2026-08-06T09:59:18Z,2026-08-09T12:00:00Z,74.0,17.2,16.7,16.3,0.5,0.5
2026-08-06T09:59:18Z,2026-08-09T15:00:00Z,77.0,16.9,17.0,16.3,-0.1,0.1
2026-08-06T10:08:26Z,2026-08-09T12:00:00Z,73.9,17.2,16.7,16.3,0.5,0.5
2026-08-06T10:08:26Z,2026-08-09T15:00:00Z,76.9,16.9,17.0,16.3,-0.1,0.1
2026-08-06T10:47:54Z,2026-08-09T12:00:00Z,73.2,16.1,16.7,16.3,-0.6,0.6
2026-08-06T10:47:54Z,2026-08-09T15:00:00Z,76.2,15.9,17.0,16.3,-1.1,1.1
2026-08-06T11:30:42Z,2026-08-09T12:00:00Z,72.5,16.1,16.7,16.3,-0.6,0.6
2026-08-06T11:30:42Z,2026-08-09T15:00:00Z,75.5,15.9,17.0,16.3,-1.1,1.1
2026-08-06T11:36:01Z,2026-08-09T12:00:00Z,72.4,16.1,16.7,16.3,-0.6,0.6
2026-08-06T11:36:01Z,2026-08-09T15:00:00Z,75.4,15.9,17.0,16.3,-1.1,1.1
2026-08-06T11:44:08Z,2026-08-09T12:00:00Z,72.3,16.1,16.7,16.3,-0.6,0.6
2026-08-06T11:44:08Z,2026-08-09T15:00:00Z,75.3,15.9,17.0,16.3,-1.1,1.1
