# Архангельск / Температура / 3-5 дней / UKMO (Британия)
# n=14, MAE=0.950, RMSE=0.962, bias=+0.950
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (0.962/0.570)^2 = -1.8462  (RMSE_персистентности по 14 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-09T12:00:00Z,74.2,17.5,16.7,16.3,0.8,0.8
2026-08-06T09:50:07Z,2026-08-09T15:00:00Z,77.2,18.1,17.0,16.3,1.1,1.1
2026-08-06T09:59:18Z,2026-08-09T12:00:00Z,74.0,17.5,16.7,16.3,0.8,0.8
2026-08-06T09:59:18Z,2026-08-09T15:00:00Z,77.0,18.1,17.0,16.3,1.1,1.1
2026-08-06T10:08:26Z,2026-08-09T12:00:00Z,73.9,17.5,16.7,16.3,0.8,0.8
2026-08-06T10:08:26Z,2026-08-09T15:00:00Z,76.9,18.1,17.0,16.3,1.1,1.1
2026-08-06T10:47:54Z,2026-08-09T12:00:00Z,73.2,17.5,16.7,16.3,0.8,0.8
2026-08-06T10:47:54Z,2026-08-09T15:00:00Z,76.2,18.1,17.0,16.3,1.1,1.1
2026-08-06T11:30:42Z,2026-08-09T12:00:00Z,72.5,17.5,16.7,16.3,0.8,0.8
2026-08-06T11:30:42Z,2026-08-09T15:00:00Z,75.5,18.1,17.0,16.3,1.1,1.1
2026-08-06T11:36:01Z,2026-08-09T12:00:00Z,72.4,17.5,16.7,16.3,0.8,0.8
2026-08-06T11:36:01Z,2026-08-09T15:00:00Z,75.4,18.1,17.0,16.3,1.1,1.1
2026-08-06T11:44:08Z,2026-08-09T12:00:00Z,72.3,17.5,16.7,16.3,0.8,0.8
2026-08-06T11:44:08Z,2026-08-09T15:00:00Z,75.3,18.1,17.0,16.3,1.1,1.1
