# Архангельск / Температура / 3-5 дней / Tomorrow.io
# n=79, MAE=0.979, RMSE=1.298, bias=-0.605
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.298/3.771)^2 = 0.8815  (RMSE_персистентности по 79 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:44:08Z,2026-08-09T12:00:00Z,72.3,14.85,16.7,15.4,-1.85,1.85
2026-08-06T11:44:08Z,2026-08-09T15:00:00Z,75.3,14.11,17.0,15.5,-2.89,2.89
2026-08-06T11:44:08Z,2026-08-09T18:00:00Z,78.3,11.58,13.7,14.4,-2.12,2.12
2026-08-06T11:44:08Z,2026-08-09T21:00:00Z,81.3,10.67,10.4,13.6,0.27,0.27
2026-08-06T11:44:08Z,2026-08-10T00:00:00Z,84.3,11.24,10.8,13.1,0.44,0.44
2026-08-06T11:44:08Z,2026-08-10T03:00:00Z,87.3,13.66,12.6,11.9,1.06,1.06
2026-08-06T11:44:08Z,2026-08-10T06:00:00Z,90.3,17.81,16.9,15.2,0.91,0.91
2026-08-06T11:44:08Z,2026-08-10T09:00:00Z,93.3,21.22,20.6,16.5,0.62,0.62
2026-08-06T11:44:08Z,2026-08-10T12:00:00Z,96.3,21.9,22.3,16.7,-0.4,0.4
2026-08-06T11:44:08Z,2026-08-10T15:00:00Z,99.3,20.86,21.8,17.0,-0.94,0.94
2026-08-06T11:44:08Z,2026-08-10T18:00:00Z,102.3,17.64,18.4,13.7,-0.76,0.76
2026-08-06T11:44:08Z,2026-08-10T21:00:00Z,105.3,15.81,15.0,10.4,0.81,0.81
2026-08-06T11:44:08Z,2026-08-11T00:00:00Z,108.3,15.0,15.3,10.8,-0.3,0.3
2026-08-06T11:44:08Z,2026-08-11T03:00:00Z,111.3,15.3,15.0,12.6,0.3,0.3
2026-08-06T11:44:08Z,2026-08-11T06:00:00Z,114.3,18.63,19.4,16.9,-0.77,0.77
