# Архангельск / Температура / 5-10 дней / GEM (Канада)
# n=43, MAE=0.951, RMSE=1.222, bias=-0.547
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.222/1.539)^2 = 0.3694  (RMSE_персистентности по 43 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-11T12:00:00Z,122.2,21.7,24.1,22.3,-2.4,2.4
2026-08-06T09:50:07Z,2026-08-11T15:00:00Z,125.2,17.7,19.2,21.8,-1.5,1.5
2026-08-06T09:50:07Z,2026-08-11T18:00:00Z,128.2,16.9,16.8,18.4,0.1,0.1
2026-08-06T09:50:07Z,2026-08-11T21:00:00Z,131.2,15.6,16.3,15.0,-0.7,0.7
2026-08-06T09:50:07Z,2026-08-12T00:00:00Z,134.2,15.6,15.2,15.3,0.4,0.4
2026-08-06T09:50:07Z,2026-08-12T03:00:00Z,137.2,15.1,14.5,15.0,0.6,0.6
2026-08-06T09:59:18Z,2026-08-11T12:00:00Z,122.0,21.7,24.1,22.3,-2.4,2.4
2026-08-06T09:59:18Z,2026-08-11T15:00:00Z,125.0,17.7,19.2,21.8,-1.5,1.5
2026-08-06T09:59:18Z,2026-08-11T18:00:00Z,128.0,16.9,16.8,18.4,0.1,0.1
2026-08-06T09:59:18Z,2026-08-11T21:00:00Z,131.0,15.6,16.3,15.0,-0.7,0.7
2026-08-06T09:59:18Z,2026-08-12T00:00:00Z,134.0,15.6,15.2,15.3,0.4,0.4
2026-08-06T09:59:18Z,2026-08-12T03:00:00Z,137.0,15.1,14.5,15.0,0.6,0.6
2026-08-06T10:08:26Z,2026-08-11T12:00:00Z,121.9,21.7,24.1,22.3,-2.4,2.4
2026-08-06T10:08:26Z,2026-08-11T15:00:00Z,124.9,17.7,19.2,21.8,-1.5,1.5
2026-08-06T10:08:26Z,2026-08-11T18:00:00Z,127.9,16.9,16.8,18.4,0.1,0.1
2026-08-06T10:08:26Z,2026-08-11T21:00:00Z,130.9,15.6,16.3,15.0,-0.7,0.7
2026-08-06T10:08:26Z,2026-08-12T00:00:00Z,133.9,15.6,15.2,15.3,0.4,0.4
2026-08-06T10:08:26Z,2026-08-12T03:00:00Z,136.9,15.1,14.5,15.0,0.6,0.6
2026-08-06T10:47:54Z,2026-08-11T12:00:00Z,121.2,21.7,24.1,22.3,-2.4,2.4
2026-08-06T10:47:54Z,2026-08-11T15:00:00Z,124.2,17.7,19.2,21.8,-1.5,1.5
2026-08-06T10:47:54Z,2026-08-11T18:00:00Z,127.2,16.9,16.8,18.4,0.1,0.1
2026-08-06T10:47:54Z,2026-08-11T21:00:00Z,130.2,15.6,16.3,15.0,-0.7,0.7
2026-08-06T10:47:54Z,2026-08-12T00:00:00Z,133.2,15.6,15.2,15.3,0.4,0.4
2026-08-06T10:47:54Z,2026-08-12T03:00:00Z,136.2,15.1,14.5,15.0,0.6,0.6
2026-08-06T11:30:42Z,2026-08-11T12:00:00Z,120.5,21.7,24.1,22.3,-2.4,2.4
2026-08-06T11:30:42Z,2026-08-11T15:00:00Z,123.5,17.7,19.2,21.8,-1.5,1.5
2026-08-06T11:30:42Z,2026-08-11T18:00:00Z,126.5,16.9,16.8,18.4,0.1,0.1
2026-08-06T11:30:42Z,2026-08-11T21:00:00Z,129.5,15.6,16.3,15.0,-0.7,0.7
2026-08-06T11:30:42Z,2026-08-12T00:00:00Z,132.5,15.6,15.2,15.3,0.4,0.4
2026-08-06T11:30:42Z,2026-08-12T03:00:00Z,135.5,15.1,14.5,15.0,0.6,0.6
2026-08-06T11:36:01Z,2026-08-11T12:00:00Z,120.4,21.7,24.1,22.3,-2.4,2.4
2026-08-06T11:36:01Z,2026-08-11T15:00:00Z,123.4,17.7,19.2,21.8,-1.5,1.5
2026-08-06T11:36:01Z,2026-08-11T18:00:00Z,126.4,16.9,16.8,18.4,0.1,0.1
2026-08-06T11:36:01Z,2026-08-11T21:00:00Z,129.4,15.6,16.3,15.0,-0.7,0.7
2026-08-06T11:36:01Z,2026-08-12T00:00:00Z,132.4,15.6,15.2,15.3,0.4,0.4
2026-08-06T11:36:01Z,2026-08-12T03:00:00Z,135.4,15.1,14.5,15.0,0.6,0.6
2026-08-06T11:44:08Z,2026-08-11T12:00:00Z,120.3,21.7,24.1,22.3,-2.4,2.4
2026-08-06T11:44:08Z,2026-08-11T15:00:00Z,123.3,17.7,19.2,21.8,-1.5,1.5
2026-08-06T11:44:08Z,2026-08-11T18:00:00Z,126.3,16.9,16.8,18.4,0.1,0.1
2026-08-06T11:44:08Z,2026-08-11T21:00:00Z,129.3,15.6,16.3,15.0,-0.7,0.7
2026-08-06T11:44:08Z,2026-08-12T00:00:00Z,132.3,15.6,15.2,15.3,0.4,0.4
2026-08-06T11:44:08Z,2026-08-12T03:00:00Z,135.3,15.1,14.5,15.0,0.6,0.6
2026-08-07T01:31:32Z,2026-08-12T03:00:00Z,121.5,15.5,14.5,15.0,1.0,1.0
