# Архангельск / Температура / 6-24ч / UKMO (Британия)
# n=414, MAE=1.130, RMSE=1.485, bias=+0.794
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.485/2.597)^2 = 0.6729  (RMSE_персистентности по 414 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-06T18:00:00Z,8.2,15.4,15.5,13.2,-0.1,0.1
2026-08-06T09:50:07Z,2026-08-06T21:00:00Z,11.2,14.2,13.9,13.3,0.3,0.3
2026-08-06T09:50:07Z,2026-08-07T00:00:00Z,14.2,13.8,13.6,10.5,0.2,0.2
2026-08-06T09:50:07Z,2026-08-07T03:00:00Z,17.2,14.7,14.2,13.4,0.5,0.5
2026-08-06T09:50:07Z,2026-08-07T06:00:00Z,20.2,16.1,14.3,17.0,1.8,1.8
2026-08-06T09:50:07Z,2026-08-07T09:00:00Z,23.2,17.0,16.9,16.3,0.1,0.1
2026-08-06T09:59:18Z,2026-08-06T18:00:00Z,8.0,15.4,15.5,13.2,-0.1,0.1
2026-08-06T09:59:18Z,2026-08-06T21:00:00Z,11.0,14.2,13.9,13.3,0.3,0.3
2026-08-06T09:59:18Z,2026-08-07T00:00:00Z,14.0,13.8,13.6,10.5,0.2,0.2
2026-08-06T09:59:18Z,2026-08-07T03:00:00Z,17.0,14.7,14.2,13.4,0.5,0.5
2026-08-06T09:59:18Z,2026-08-07T06:00:00Z,20.0,16.1,14.3,17.0,1.8,1.8
2026-08-06T09:59:18Z,2026-08-07T09:00:00Z,23.0,17.0,16.9,16.3,0.1,0.1
2026-08-06T10:08:26Z,2026-08-06T18:00:00Z,7.9,15.4,15.5,13.2,-0.1,0.1
2026-08-06T10:08:26Z,2026-08-06T21:00:00Z,10.9,14.2,13.9,13.3,0.3,0.3
2026-08-06T10:08:26Z,2026-08-07T00:00:00Z,13.9,13.8,13.6,10.5,0.2,0.2
2026-08-06T10:08:26Z,2026-08-07T03:00:00Z,16.9,14.7,14.2,13.4,0.5,0.5
2026-08-06T10:08:26Z,2026-08-07T06:00:00Z,19.9,16.1,14.3,17.0,1.8,1.8
2026-08-06T10:08:26Z,2026-08-07T09:00:00Z,22.9,17.0,16.9,16.3,0.1,0.1
2026-08-06T10:47:54Z,2026-08-06T18:00:00Z,7.2,15.4,15.5,13.2,-0.1,0.1
2026-08-06T10:47:54Z,2026-08-06T21:00:00Z,10.2,14.2,13.9,13.3,0.3,0.3
2026-08-06T10:47:54Z,2026-08-07T00:00:00Z,13.2,13.8,13.6,10.5,0.2,0.2
