# Архангельск / Температура / 0-6ч, 6-24ч, 1-2 дня, 2-3 дня, 3-5 дней, 5-10 дней / GEM (Канада)
# n=924, MAE=1.307, RMSE=1.605, bias=+0.341
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.605/2.606)^2 = 0.6205  (RMSE_персистентности по 924 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
# «Общий» = объединённый пул пар из периодов: 0-6ч, 6-24ч, 1-2 дня, 2-3 дня, 3-5 дней, 5-10 дней - метрика посчитана заново по всему пулу, а не усреднена по периодам
#
bucket,fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
0-6ч,2026-08-06T09:50:07Z,2026-08-06T12:00:00Z,2.2,18.5,19.1,18.2,-0.6,0.6
0-6ч,2026-08-06T09:50:07Z,2026-08-06T15:00:00Z,5.2,18.7,18.2,18.0,0.5,0.5
0-6ч,2026-08-06T09:59:18Z,2026-08-06T12:00:00Z,2.0,18.5,19.1,18.2,-0.6,0.6
0-6ч,2026-08-06T09:59:18Z,2026-08-06T15:00:00Z,5.0,18.7,18.2,18.0,0.5,0.5
0-6ч,2026-08-06T10:08:26Z,2026-08-06T12:00:00Z,1.9,18.5,19.1,18.2,-0.6,0.6
0-6ч,2026-08-06T10:08:26Z,2026-08-06T15:00:00Z,4.9,18.7,18.2,18.0,0.5,0.5
0-6ч,2026-08-06T10:47:54Z,2026-08-06T12:00:00Z,1.2,18.5,19.1,18.2,-0.6,0.6
0-6ч,2026-08-06T10:47:54Z,2026-08-06T15:00:00Z,4.2,18.7,18.2,18.0,0.5,0.5
0-6ч,2026-08-06T11:30:42Z,2026-08-06T12:00:00Z,0.5,18.5,19.1,18.2,-0.6,0.6
0-6ч,2026-08-06T11:30:42Z,2026-08-06T15:00:00Z,3.5,18.7,18.2,18.0,0.5,0.5
0-6ч,2026-08-06T11:36:01Z,2026-08-06T12:00:00Z,0.4,18.5,19.1,18.2,-0.6,0.6
0-6ч,2026-08-06T11:36:01Z,2026-08-06T15:00:00Z,3.4,18.7,18.2,18.0,0.5,0.5
