# Архангельск / Ветер / 0-6ч / ECMWF IFS
# n=39, MAE=1.480, RMSE=1.915, bias=+1.404
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.915/0.892)^2 = -3.6115  (RMSE_персистентности по 39 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-06T12:00:00Z,2.2,2.12,1.0,1.0,1.12,1.12
2026-08-06T09:50:07Z,2026-08-06T15:00:00Z,5.2,2.2,1.0,1.0,1.2,1.2
2026-08-06T09:59:18Z,2026-08-06T12:00:00Z,2.0,2.12,1.0,1.0,1.12,1.12
2026-08-06T09:59:18Z,2026-08-06T15:00:00Z,5.0,2.2,1.0,1.0,1.2,1.2
2026-08-06T10:08:26Z,2026-08-06T12:00:00Z,1.9,2.12,1.0,1.0,1.12,1.12
2026-08-06T10:08:26Z,2026-08-06T15:00:00Z,4.9,2.2,1.0,1.0,1.2,1.2
2026-08-06T10:47:54Z,2026-08-06T12:00:00Z,1.2,2.12,1.0,1.0,1.12,1.12
2026-08-06T10:47:54Z,2026-08-06T15:00:00Z,4.2,2.2,1.0,1.0,1.2,1.2
2026-08-06T11:30:42Z,2026-08-06T12:00:00Z,0.5,2.12,1.0,1.0,1.12,1.12
2026-08-06T11:30:42Z,2026-08-06T15:00:00Z,3.5,2.2,1.0,1.0,1.2,1.2
2026-08-06T11:36:01Z,2026-08-06T12:00:00Z,0.4,2.12,1.0,1.0,1.12,1.12
2026-08-06T11:36:01Z,2026-08-06T15:00:00Z,3.4,2.2,1.0,1.0,1.2,1.2
2026-08-06T11:44:08Z,2026-08-06T12:00:00Z,0.3,2.12,1.0,1.0,1.12,1.12
2026-08-06T11:44:08Z,2026-08-06T15:00:00Z,3.3,2.2,1.0,1.0,1.2,1.2
2026-08-07T01:31:32Z,2026-08-07T03:00:00Z,1.5,4.84,3.0,1.0,1.84,1.84
2026-08-07T01:31:32Z,2026-08-07T06:00:00Z,4.5,4.56,3.0,1.0,1.56,1.56
2026-08-07T05:36:00Z,2026-08-07T06:00:00Z,0.4,4.56,3.0,3.0,1.56,1.56
2026-08-07T05:36:00Z,2026-08-07T09:00:00Z,3.4,5.66,1.0,3.0,4.66,4.66
2026-08-07T06:18:59Z,2026-08-07T09:00:00Z,2.7,5.66,1.0,3.0,4.66,4.66
2026-08-07T06:18:59Z,2026-08-07T12:00:00Z,5.7,4.65,1.0,3.0,3.65,3.65
2026-08-07T07:13:52Z,2026-08-07T09:00:00Z,1.8,5.66,1.0,3.0,4.66,4.66
2026-08-07T07:13:52Z,2026-08-07T12:00:00Z,4.8,4.65,1.0,3.0,3.65,3.65
2026-08-07T10:39:14Z,2026-08-07T12:00:00Z,1.3,4.03,1.0,1.0,3.03,3.03
2026-08-07T10:39:14Z,2026-08-07T15:00:00Z,4.3,2.5,1.0,1.0,1.5,1.5
2026-08-07T16:51:54Z,2026-08-07T18:00:00Z,1.1,0.4,1.0,1.0,-0.6,0.6
2026-08-07T16:51:54Z,2026-08-07T21:00:00Z,4.1,1.02,1.0,1.0,0.02,0.02
2026-08-07T22:45:57Z,2026-08-08T00:00:00Z,1.2,1.56,1.0,1.0,0.56,0.56
2026-08-07T22:45:57Z,2026-08-08T03:00:00Z,4.2,1.58,1.0,1.0,0.58,0.58
2026-08-07T23:19:23Z,2026-08-08T00:00:00Z,0.7,1.56,1.0,1.0,0.56,0.56
2026-08-07T23:19:23Z,2026-08-08T03:00:00Z,3.7,1.58,1.0,1.0,0.58,0.58
2026-08-08T04:50:53Z,2026-08-08T06:00:00Z,1.2,1.2,1.0,1.0,0.2,0.2
2026-08-08T04:50:53Z,2026-08-08T09:00:00Z,4.2,3.05,1.0,1.0,2.05,2.05
2026-08-08T10:18:13Z,2026-08-08T12:00:00Z,1.7,1.24,2.0,1.0,-0.76,0.76
2026-08-08T10:18:13Z,2026-08-08T15:00:00Z,4.7,1.08,1.0,1.0,0.08,0.08
2026-08-08T22:37:20Z,2026-08-09T00:00:00Z,1.4,1.89,2.0,2.0,-0.11,0.11
2026-08-08T22:37:20Z,2026-08-09T03:00:00Z,4.4,3.05,2.0,2.0,1.05,1.05
2026-08-09T04:59:03Z,2026-08-09T06:00:00Z,1.0,3.86,2.0,2.0,1.86,1.86
2026-08-09T04:59:03Z,2026-08-09T09:00:00Z,4.0,4.1,3.0,2.0,1.1,1.1
2026-08-09T10:19:29Z,2026-08-09T12:00:00Z,1.7,2.59,2.0,3.0,0.59,0.59
