# Архангельск / Ветер / 0-6ч / JMA (Япония)
# n=52, MAE=0.570, RMSE=0.749, bias=+0.170
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (0.749/1.000)^2 = 0.4389  (RMSE_персистентности по 52 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-06T12:00:00Z,2.2,1.3,1.0,1.0,0.3,0.3
2026-08-06T09:50:07Z,2026-08-06T15:00:00Z,5.2,0.72,1.0,1.0,-0.28,0.28
2026-08-06T09:59:18Z,2026-08-06T12:00:00Z,2.0,1.3,1.0,1.0,0.3,0.3
2026-08-06T09:59:18Z,2026-08-06T15:00:00Z,5.0,0.72,1.0,1.0,-0.28,0.28
2026-08-06T10:08:26Z,2026-08-06T12:00:00Z,1.9,1.3,1.0,1.0,0.3,0.3
2026-08-06T10:08:26Z,2026-08-06T15:00:00Z,4.9,0.72,1.0,1.0,-0.28,0.28
2026-08-06T10:47:54Z,2026-08-06T12:00:00Z,1.2,1.3,1.0,1.0,0.3,0.3
2026-08-06T10:47:54Z,2026-08-06T15:00:00Z,4.2,0.72,1.0,1.0,-0.28,0.28
2026-08-06T11:30:42Z,2026-08-06T12:00:00Z,0.5,1.3,1.0,1.0,0.3,0.3
2026-08-06T11:30:42Z,2026-08-06T15:00:00Z,3.5,0.72,1.0,1.0,-0.28,0.28
2026-08-06T11:36:01Z,2026-08-06T12:00:00Z,0.4,1.3,1.0,1.0,0.3,0.3
2026-08-06T11:36:01Z,2026-08-06T15:00:00Z,3.4,0.72,1.0,1.0,-0.28,0.28
2026-08-06T11:44:08Z,2026-08-06T12:00:00Z,0.3,1.3,1.0,1.0,0.3,0.3
2026-08-06T11:44:08Z,2026-08-06T15:00:00Z,3.3,0.72,1.0,1.0,-0.28,0.28
2026-08-07T01:31:32Z,2026-08-07T03:00:00Z,1.5,2.33,3.0,1.0,-0.67,0.67
2026-08-07T01:31:32Z,2026-08-07T06:00:00Z,4.5,2.09,3.0,1.0,-0.91,0.91
2026-08-07T05:36:00Z,2026-08-07T06:00:00Z,0.4,1.75,3.0,3.0,-1.25,1.25
2026-08-07T05:36:00Z,2026-08-07T09:00:00Z,3.4,1.72,1.0,3.0,0.72,0.72
2026-08-07T06:18:59Z,2026-08-07T09:00:00Z,2.7,1.72,1.0,3.0,0.72,0.72
2026-08-07T06:18:59Z,2026-08-07T12:00:00Z,5.7,2.72,1.0,3.0,1.72,1.72
2026-08-07T07:13:52Z,2026-08-07T09:00:00Z,1.8,1.72,1.0,3.0,0.72,0.72
2026-08-07T07:13:52Z,2026-08-07T12:00:00Z,4.8,2.72,1.0,3.0,1.72,1.72
2026-08-07T10:39:14Z,2026-08-07T12:00:00Z,1.3,2.3,1.0,1.0,1.3,1.3
2026-08-07T10:39:14Z,2026-08-07T15:00:00Z,4.3,1.77,1.0,1.0,0.77,0.77
2026-08-07T16:51:54Z,2026-08-07T18:00:00Z,1.1,1.5,1.0,1.0,0.5,0.5
2026-08-07T16:51:54Z,2026-08-07T21:00:00Z,4.1,1.56,1.0,1.0,0.56,0.56
2026-08-07T22:45:57Z,2026-08-08T00:00:00Z,1.2,0.94,1.0,1.0,-0.06,0.06
2026-08-07T22:45:57Z,2026-08-08T03:00:00Z,4.2,0.54,1.0,1.0,-0.46,0.46
2026-08-07T23:19:23Z,2026-08-08T00:00:00Z,0.7,0.94,1.0,1.0,-0.06,0.06
2026-08-07T23:19:23Z,2026-08-08T03:00:00Z,3.7,0.54,1.0,1.0,-0.46,0.46
2026-08-08T04:50:53Z,2026-08-08T06:00:00Z,1.2,0.51,1.0,1.0,-0.49,0.49
2026-08-08T04:50:53Z,2026-08-08T09:00:00Z,4.2,0.58,1.0,1.0,-0.42,0.42
2026-08-08T10:18:13Z,2026-08-08T12:00:00Z,1.7,0.94,2.0,1.0,-1.06,1.06
2026-08-08T10:18:13Z,2026-08-08T15:00:00Z,4.7,0.71,1.0,1.0,-0.29,0.29
2026-08-08T22:37:20Z,2026-08-09T00:00:00Z,1.4,1.63,2.0,2.0,-0.37,0.37
2026-08-08T22:37:20Z,2026-08-09T03:00:00Z,4.4,2.02,2.0,2.0,0.02,0.02
2026-08-09T04:59:03Z,2026-08-09T06:00:00Z,1.0,2.15,2.0,2.0,0.15,0.15
2026-08-09T04:59:03Z,2026-08-09T09:00:00Z,4.0,2.3,3.0,2.0,-0.7,0.7
2026-08-09T10:19:29Z,2026-08-09T12:00:00Z,1.7,2.2,2.0,3.0,0.2,0.2
2026-08-09T10:19:29Z,2026-08-09T15:00:00Z,4.7,1.87,2.0,3.0,-0.13,0.13
2026-08-09T12:41:38Z,2026-08-09T15:00:00Z,2.3,1.87,2.0,2.0,-0.13,0.13
2026-08-09T12:41:38Z,2026-08-09T18:00:00Z,5.3,1.64,0.0,2.0,1.64,1.64
2026-08-09T12:45:53Z,2026-08-09T15:00:00Z,2.2,1.87,2.0,2.0,-0.13,0.13
2026-08-09T12:45:53Z,2026-08-09T18:00:00Z,5.2,1.64,0.0,2.0,1.64,1.64
2026-08-09T12:48:15Z,2026-08-09T15:00:00Z,2.2,1.87,2.0,2.0,-0.13,0.13
2026-08-09T12:48:15Z,2026-08-09T18:00:00Z,5.2,1.64,0.0,2.0,1.64,1.64
2026-08-09T16:31:44Z,2026-08-09T18:00:00Z,1.5,1.64,0.0,2.0,1.64,1.64
2026-08-09T16:31:44Z,2026-08-09T21:00:00Z,4.5,1.57,1.0,2.0,0.57,0.57
2026-08-09T22:39:09Z,2026-08-10T00:00:00Z,1.3,1.81,1.0,1.0,0.81,0.81
2026-08-09T22:39:09Z,2026-08-10T03:00:00Z,4.3,2.11,2.0,1.0,0.11,0.11
2026-08-10T05:20:42Z,2026-08-10T06:00:00Z,0.7,2.55,3.0,2.0,-0.45,0.45
2026-08-10T05:20:42Z,2026-08-10T09:00:00Z,3.7,2.73,3.0,2.0,-0.27,0.27
