# Архангельск / Ветер / 0-6ч / WeatherAPI.com
# n=90, MAE=1.678, RMSE=1.991, bias=+1.607
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.991/0.978)^2 = -3.1481  (RMSE_персистентности по 90 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T10:47:54Z,2026-08-06T12:00:00Z,1.2,2.306,1.0,1.0,1.306,1.306
2026-08-06T10:47:54Z,2026-08-06T15:00:00Z,4.2,1.194,1.0,1.0,0.194,0.194
2026-08-06T11:30:42Z,2026-08-06T12:00:00Z,0.5,2.306,1.0,1.0,1.306,1.306
2026-08-06T11:30:42Z,2026-08-06T15:00:00Z,3.5,1.194,1.0,1.0,0.194,0.194
2026-08-06T11:36:01Z,2026-08-06T12:00:00Z,0.4,2.306,1.0,1.0,1.306,1.306
2026-08-06T11:36:01Z,2026-08-06T15:00:00Z,3.4,1.194,1.0,1.0,0.194,0.194
2026-08-06T11:44:08Z,2026-08-06T12:00:00Z,0.3,2.306,1.0,1.0,1.306,1.306
2026-08-06T11:44:08Z,2026-08-06T15:00:00Z,3.3,1.194,1.0,1.0,0.194,0.194
2026-08-07T01:31:32Z,2026-08-07T03:00:00Z,1.5,3.694,3.0,1.0,0.694,0.694
2026-08-07T01:31:32Z,2026-08-07T06:00:00Z,4.5,2.111,3.0,1.0,-0.889,0.889
2026-08-07T05:36:00Z,2026-08-07T06:00:00Z,0.4,2.389,3.0,3.0,-0.611,0.611
2026-08-07T05:36:00Z,2026-08-07T09:00:00Z,3.4,4.111,1.0,3.0,3.111,3.111
2026-08-07T06:18:59Z,2026-08-07T09:00:00Z,2.7,4.111,1.0,3.0,3.111,3.111
2026-08-07T06:18:59Z,2026-08-07T12:00:00Z,5.7,3.5,1.0,3.0,2.5,2.5
2026-08-07T07:13:52Z,2026-08-07T09:00:00Z,1.8,3.806,1.0,3.0,2.806,2.806
2026-08-07T07:13:52Z,2026-08-07T12:00:00Z,4.8,3.611,1.0,3.0,2.611,2.611
2026-08-07T10:39:14Z,2026-08-07T12:00:00Z,1.3,3.611,1.0,1.0,2.611,2.611
