# Архангельск / Ветер / 1-2 дня / ICON (Германия)
# n=117, MAE=0.718, RMSE=0.891, bias=+0.621
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (0.891/0.915)^2 = 0.0532  (RMSE_персистентности по 117 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-07T12:00:00Z,26.2,3.03,1.0,1.0,2.03,2.03
2026-08-06T09:50:07Z,2026-08-07T15:00:00Z,29.2,1.75,1.0,1.0,0.75,0.75
2026-08-06T09:50:07Z,2026-08-07T18:00:00Z,32.2,1.2,1.0,1.0,0.2,0.2
2026-08-06T09:50:07Z,2026-08-07T21:00:00Z,35.2,1.71,1.0,1.0,0.71,0.71
2026-08-06T09:50:07Z,2026-08-08T00:00:00Z,38.2,1.5,1.0,1.0,0.5,0.5
2026-08-06T09:50:07Z,2026-08-08T03:00:00Z,41.2,1.57,1.0,1.0,0.57,0.57
2026-08-06T09:50:07Z,2026-08-08T06:00:00Z,44.2,1.84,1.0,1.0,0.84,0.84
2026-08-06T09:50:07Z,2026-08-08T09:00:00Z,47.2,1.99,1.0,1.0,0.99,0.99
2026-08-06T09:59:18Z,2026-08-07T12:00:00Z,26.0,3.03,1.0,1.0,2.03,2.03
2026-08-06T09:59:18Z,2026-08-07T15:00:00Z,29.0,1.75,1.0,1.0,0.75,0.75
2026-08-06T09:59:18Z,2026-08-07T18:00:00Z,32.0,1.2,1.0,1.0,0.2,0.2
2026-08-06T09:59:18Z,2026-08-07T21:00:00Z,35.0,1.71,1.0,1.0,0.71,0.71
2026-08-06T09:59:18Z,2026-08-08T00:00:00Z,38.0,1.5,1.0,1.0,0.5,0.5
2026-08-06T09:59:18Z,2026-08-08T03:00:00Z,41.0,1.57,1.0,1.0,0.57,0.57
2026-08-06T09:59:18Z,2026-08-08T06:00:00Z,44.0,1.84,1.0,1.0,0.84,0.84
2026-08-06T09:59:18Z,2026-08-08T09:00:00Z,47.0,1.99,1.0,1.0,0.99,0.99
2026-08-06T10:08:26Z,2026-08-07T12:00:00Z,25.9,3.03,1.0,1.0,2.03,2.03
2026-08-06T10:08:26Z,2026-08-07T15:00:00Z,28.9,1.75,1.0,1.0,0.75,0.75
2026-08-06T10:08:26Z,2026-08-07T18:00:00Z,31.9,1.2,1.0,1.0,0.2,0.2
2026-08-06T10:08:26Z,2026-08-07T21:00:00Z,34.9,1.71,1.0,1.0,0.71,0.71
2026-08-06T10:08:26Z,2026-08-08T00:00:00Z,37.9,1.5,1.0,1.0,0.5,0.5
2026-08-06T10:08:26Z,2026-08-08T03:00:00Z,40.9,1.57,1.0,1.0,0.57,0.57
2026-08-06T10:08:26Z,2026-08-08T06:00:00Z,43.9,1.84,1.0,1.0,0.84,0.84
2026-08-06T10:08:26Z,2026-08-08T09:00:00Z,46.9,1.99,1.0,1.0,0.99,0.99
2026-08-06T10:47:54Z,2026-08-07T12:00:00Z,25.2,3.03,1.0,1.0,2.03,2.03
2026-08-06T10:47:54Z,2026-08-07T15:00:00Z,28.2,1.75,1.0,1.0,0.75,0.75
2026-08-06T10:47:54Z,2026-08-07T18:00:00Z,31.2,1.2,1.0,1.0,0.2,0.2
2026-08-06T10:47:54Z,2026-08-07T21:00:00Z,34.2,1.71,1.0,1.0,0.71,0.71
2026-08-06T10:47:54Z,2026-08-08T00:00:00Z,37.2,1.5,1.0,1.0,0.5,0.5
2026-08-06T10:47:54Z,2026-08-08T03:00:00Z,40.2,1.57,1.0,1.0,0.57,0.57
2026-08-06T10:47:54Z,2026-08-08T06:00:00Z,43.2,1.84,1.0,1.0,0.84,0.84
2026-08-06T10:47:54Z,2026-08-08T09:00:00Z,46.2,1.99,1.0,1.0,0.99,0.99
2026-08-06T11:30:42Z,2026-08-07T12:00:00Z,24.5,3.03,1.0,1.0,2.03,2.03
2026-08-06T11:30:42Z,2026-08-07T15:00:00Z,27.5,1.75,1.0,1.0,0.75,0.75
2026-08-06T11:30:42Z,2026-08-07T18:00:00Z,30.5,1.2,1.0,1.0,0.2,0.2
2026-08-06T11:30:42Z,2026-08-07T21:00:00Z,33.5,1.71,1.0,1.0,0.71,0.71
2026-08-06T11:30:42Z,2026-08-08T00:00:00Z,36.5,1.5,1.0,1.0,0.5,0.5
2026-08-06T11:30:42Z,2026-08-08T03:00:00Z,39.5,1.57,1.0,1.0,0.57,0.57
2026-08-06T11:30:42Z,2026-08-08T06:00:00Z,42.5,1.84,1.0,1.0,0.84,0.84
2026-08-06T11:30:42Z,2026-08-08T09:00:00Z,45.5,1.99,1.0,1.0,0.99,0.99
2026-08-06T11:36:01Z,2026-08-07T12:00:00Z,24.4,3.03,1.0,1.0,2.03,2.03
2026-08-06T11:36:01Z,2026-08-07T15:00:00Z,27.4,1.75,1.0,1.0,0.75,0.75
2026-08-06T11:36:01Z,2026-08-07T18:00:00Z,30.4,1.2,1.0,1.0,0.2,0.2
2026-08-06T11:36:01Z,2026-08-07T21:00:00Z,33.4,1.71,1.0,1.0,0.71,0.71
2026-08-06T11:36:01Z,2026-08-08T00:00:00Z,36.4,1.5,1.0,1.0,0.5,0.5
2026-08-06T11:36:01Z,2026-08-08T03:00:00Z,39.4,1.57,1.0,1.0,0.57,0.57
2026-08-06T11:36:01Z,2026-08-08T06:00:00Z,42.4,1.84,1.0,1.0,0.84,0.84
2026-08-06T11:36:01Z,2026-08-08T09:00:00Z,45.4,1.99,1.0,1.0,0.99,0.99
2026-08-06T11:44:08Z,2026-08-07T12:00:00Z,24.3,3.03,1.0,1.0,2.03,2.03
2026-08-06T11:44:08Z,2026-08-07T15:00:00Z,27.3,1.75,1.0,1.0,0.75,0.75
2026-08-06T11:44:08Z,2026-08-07T18:00:00Z,30.3,1.2,1.0,1.0,0.2,0.2
2026-08-06T11:44:08Z,2026-08-07T21:00:00Z,33.3,1.71,1.0,1.0,0.71,0.71
2026-08-06T11:44:08Z,2026-08-08T00:00:00Z,36.3,1.5,1.0,1.0,0.5,0.5
2026-08-06T11:44:08Z,2026-08-08T03:00:00Z,39.3,1.57,1.0,1.0,0.57,0.57
2026-08-06T11:44:08Z,2026-08-08T06:00:00Z,42.3,1.84,1.0,1.0,0.84,0.84
2026-08-06T11:44:08Z,2026-08-08T09:00:00Z,45.3,1.99,1.0,1.0,0.99,0.99
2026-08-07T01:31:32Z,2026-08-08T03:00:00Z,25.5,1.5,1.0,1.0,0.5,0.5
2026-08-07T01:31:32Z,2026-08-08T06:00:00Z,28.5,1.55,1.0,1.0,0.55,0.55
2026-08-07T01:31:32Z,2026-08-08T09:00:00Z,31.5,1.39,1.0,1.0,0.39,0.39
2026-08-07T01:31:32Z,2026-08-08T12:00:00Z,34.5,1.5,2.0,1.0,-0.5,0.5
2026-08-07T01:31:32Z,2026-08-08T15:00:00Z,37.5,1.33,1.0,1.0,0.33,0.33
2026-08-07T01:31:32Z,2026-08-08T18:00:00Z,40.5,2.1,1.0,1.0,1.1,1.1
2026-08-07T01:31:32Z,2026-08-08T21:00:00Z,43.5,2.36,2.0,1.0,0.36,0.36
2026-08-07T01:31:32Z,2026-08-09T00:00:00Z,46.5,2.69,2.0,1.0,0.69,0.69
2026-08-07T05:36:00Z,2026-08-08T06:00:00Z,24.4,1.61,1.0,3.0,0.61,0.61
2026-08-07T05:36:00Z,2026-08-08T09:00:00Z,27.4,2.02,1.0,3.0,1.02,1.02
2026-08-07T05:36:00Z,2026-08-08T12:00:00Z,30.4,1.75,2.0,3.0,-0.25,0.25
2026-08-07T05:36:00Z,2026-08-08T15:00:00Z,33.4,2.12,1.0,3.0,1.12,1.12
2026-08-07T05:36:00Z,2026-08-08T18:00:00Z,36.4,2.91,1.0,3.0,1.91,1.91
2026-08-07T05:36:00Z,2026-08-08T21:00:00Z,39.4,2.11,2.0,3.0,0.11,0.11
2026-08-07T05:36:00Z,2026-08-09T00:00:00Z,42.4,1.7,2.0,3.0,-0.3,0.3
