# Архангельск / Ветер / 2-3 дня / ICON (Германия)
# n=504, MAE=0.778, RMSE=0.972, bias=+0.498
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (0.972/1.202)^2 = 0.3464  (RMSE_персистентности по 504 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-08T12:00:00Z,50.2,1.78,2.0,1.0,-0.22,0.22
2026-08-06T09:50:07Z,2026-08-08T15:00:00Z,53.2,1.12,1.0,1.0,0.12,0.12
2026-08-06T09:50:07Z,2026-08-08T18:00:00Z,56.2,0.95,1.0,1.0,-0.05,0.05
2026-08-06T09:50:07Z,2026-08-08T21:00:00Z,59.2,0.76,2.0,1.0,-1.24,1.24
2026-08-06T09:50:07Z,2026-08-09T00:00:00Z,62.2,1.1,2.0,1.0,-0.9,0.9
2026-08-06T09:50:07Z,2026-08-09T03:00:00Z,65.2,1.91,2.0,1.0,-0.09,0.09
2026-08-06T09:50:07Z,2026-08-09T06:00:00Z,68.2,2.4,2.0,1.0,0.4,0.4
2026-08-06T09:50:07Z,2026-08-09T09:00:00Z,71.2,3.07,3.0,1.0,0.07,0.07
2026-08-06T09:59:18Z,2026-08-08T12:00:00Z,50.0,1.78,2.0,1.0,-0.22,0.22
2026-08-06T09:59:18Z,2026-08-08T15:00:00Z,53.0,1.12,1.0,1.0,0.12,0.12
2026-08-06T09:59:18Z,2026-08-08T18:00:00Z,56.0,0.95,1.0,1.0,-0.05,0.05
2026-08-06T09:59:18Z,2026-08-08T21:00:00Z,59.0,0.76,2.0,1.0,-1.24,1.24
2026-08-06T09:59:18Z,2026-08-09T00:00:00Z,62.0,1.1,2.0,1.0,-0.9,0.9
2026-08-06T09:59:18Z,2026-08-09T03:00:00Z,65.0,1.91,2.0,1.0,-0.09,0.09
2026-08-06T09:59:18Z,2026-08-09T06:00:00Z,68.0,2.4,2.0,1.0,0.4,0.4
2026-08-06T09:59:18Z,2026-08-09T09:00:00Z,71.0,3.07,3.0,1.0,0.07,0.07
2026-08-06T10:08:26Z,2026-08-08T12:00:00Z,49.9,1.78,2.0,1.0,-0.22,0.22
2026-08-06T10:08:26Z,2026-08-08T15:00:00Z,52.9,1.12,1.0,1.0,0.12,0.12
2026-08-06T10:08:26Z,2026-08-08T18:00:00Z,55.9,0.95,1.0,1.0,-0.05,0.05
2026-08-06T10:08:26Z,2026-08-08T21:00:00Z,58.9,0.76,2.0,1.0,-1.24,1.24
2026-08-06T10:08:26Z,2026-08-09T00:00:00Z,61.9,1.1,2.0,1.0,-0.9,0.9
2026-08-06T10:08:26Z,2026-08-09T03:00:00Z,64.9,1.91,2.0,1.0,-0.09,0.09
2026-08-06T10:08:26Z,2026-08-09T06:00:00Z,67.9,2.4,2.0,1.0,0.4,0.4
2026-08-06T10:08:26Z,2026-08-09T09:00:00Z,70.9,3.07,3.0,1.0,0.07,0.07
2026-08-06T10:47:54Z,2026-08-08T12:00:00Z,49.2,1.78,2.0,1.0,-0.22,0.22
2026-08-06T10:47:54Z,2026-08-08T15:00:00Z,52.2,1.12,1.0,1.0,0.12,0.12
2026-08-06T10:47:54Z,2026-08-08T18:00:00Z,55.2,0.95,1.0,1.0,-0.05,0.05
2026-08-06T10:47:54Z,2026-08-08T21:00:00Z,58.2,0.76,2.0,1.0,-1.24,1.24
2026-08-06T10:47:54Z,2026-08-09T00:00:00Z,61.2,1.1,2.0,1.0,-0.9,0.9
2026-08-06T10:47:54Z,2026-08-09T03:00:00Z,64.2,1.91,2.0,1.0,-0.09,0.09
2026-08-06T10:47:54Z,2026-08-09T06:00:00Z,67.2,2.4,2.0,1.0,0.4,0.4
2026-08-06T10:47:54Z,2026-08-09T09:00:00Z,70.2,3.07,3.0,1.0,0.07,0.07
2026-08-06T11:30:42Z,2026-08-08T12:00:00Z,48.5,1.78,2.0,1.0,-0.22,0.22
2026-08-06T11:30:42Z,2026-08-08T15:00:00Z,51.5,1.12,1.0,1.0,0.12,0.12
2026-08-06T11:30:42Z,2026-08-08T18:00:00Z,54.5,0.95,1.0,1.0,-0.05,0.05
2026-08-06T11:30:42Z,2026-08-08T21:00:00Z,57.5,0.76,2.0,1.0,-1.24,1.24
2026-08-06T11:30:42Z,2026-08-09T00:00:00Z,60.5,1.1,2.0,1.0,-0.9,0.9
2026-08-06T11:30:42Z,2026-08-09T03:00:00Z,63.5,1.91,2.0,1.0,-0.09,0.09
2026-08-06T11:30:42Z,2026-08-09T06:00:00Z,66.5,2.4,2.0,1.0,0.4,0.4
2026-08-06T11:30:42Z,2026-08-09T09:00:00Z,69.5,3.07,3.0,1.0,0.07,0.07
2026-08-06T11:36:01Z,2026-08-08T12:00:00Z,48.4,1.78,2.0,1.0,-0.22,0.22
2026-08-06T11:36:01Z,2026-08-08T15:00:00Z,51.4,1.12,1.0,1.0,0.12,0.12
2026-08-06T11:36:01Z,2026-08-08T18:00:00Z,54.4,0.95,1.0,1.0,-0.05,0.05
2026-08-06T11:36:01Z,2026-08-08T21:00:00Z,57.4,0.76,2.0,1.0,-1.24,1.24
2026-08-06T11:36:01Z,2026-08-09T00:00:00Z,60.4,1.1,2.0,1.0,-0.9,0.9
2026-08-06T11:36:01Z,2026-08-09T03:00:00Z,63.4,1.91,2.0,1.0,-0.09,0.09
2026-08-06T11:36:01Z,2026-08-09T06:00:00Z,66.4,2.4,2.0,1.0,0.4,0.4
2026-08-06T11:36:01Z,2026-08-09T09:00:00Z,69.4,3.07,3.0,1.0,0.07,0.07
2026-08-06T11:44:08Z,2026-08-08T12:00:00Z,48.3,1.78,2.0,1.0,-0.22,0.22
2026-08-06T11:44:08Z,2026-08-08T15:00:00Z,51.3,1.12,1.0,1.0,0.12,0.12
2026-08-06T11:44:08Z,2026-08-08T18:00:00Z,54.3,0.95,1.0,1.0,-0.05,0.05
2026-08-06T11:44:08Z,2026-08-08T21:00:00Z,57.3,0.76,2.0,1.0,-1.24,1.24
2026-08-06T11:44:08Z,2026-08-09T00:00:00Z,60.3,1.1,2.0,1.0,-0.9,0.9
2026-08-06T11:44:08Z,2026-08-09T03:00:00Z,63.3,1.91,2.0,1.0,-0.09,0.09
2026-08-06T11:44:08Z,2026-08-09T06:00:00Z,66.3,2.4,2.0,1.0,0.4,0.4
2026-08-06T11:44:08Z,2026-08-09T09:00:00Z,69.3,3.07,3.0,1.0,0.07,0.07
2026-08-07T01:31:32Z,2026-08-09T03:00:00Z,49.5,2.82,2.0,1.0,0.82,0.82
2026-08-07T01:31:32Z,2026-08-09T06:00:00Z,52.5,3.3,2.0,1.0,1.3,1.3
2026-08-07T01:31:32Z,2026-08-09T09:00:00Z,55.5,3.4,3.0,1.0,0.4,0.4
2026-08-07T01:31:32Z,2026-08-09T12:00:00Z,58.5,3.9,2.0,2.0,1.9,1.9
2026-08-07T01:31:32Z,2026-08-09T15:00:00Z,61.5,3.61,2.0,1.0,1.61,1.61
2026-08-07T01:31:32Z,2026-08-09T18:00:00Z,64.5,1.6,0.0,1.0,1.6,1.6
2026-08-07T01:31:32Z,2026-08-09T21:00:00Z,67.5,1.4,1.0,2.0,0.4,0.4
2026-08-07T01:31:32Z,2026-08-10T00:00:00Z,70.5,2.3,1.0,2.0,1.3,1.3
2026-08-07T05:36:00Z,2026-08-09T06:00:00Z,48.4,2.2,2.0,1.0,0.2,0.2
2026-08-07T05:36:00Z,2026-08-09T09:00:00Z,51.4,2.41,3.0,1.0,-0.59,0.59
2026-08-07T05:36:00Z,2026-08-09T12:00:00Z,54.4,2.53,2.0,2.0,0.53,0.53
2026-08-07T05:36:00Z,2026-08-09T15:00:00Z,57.4,3.29,2.0,1.0,1.29,1.29
2026-08-07T05:36:00Z,2026-08-09T18:00:00Z,60.4,2.32,0.0,1.0,2.32,2.32
2026-08-07T05:36:00Z,2026-08-09T21:00:00Z,63.4,1.43,1.0,2.0,0.43,0.43
2026-08-07T05:36:00Z,2026-08-10T00:00:00Z,66.4,2.3,1.0,2.0,1.3,1.3
2026-08-07T05:36:00Z,2026-08-10T03:00:00Z,69.4,2.85,2.0,2.0,0.85,0.85
2026-08-07T06:18:59Z,2026-08-09T09:00:00Z,50.7,2.41,3.0,1.0,-0.59,0.59
2026-08-07T06:18:59Z,2026-08-09T12:00:00Z,53.7,2.53,2.0,2.0,0.53,0.53
2026-08-07T06:18:59Z,2026-08-09T15:00:00Z,56.7,3.29,2.0,1.0,1.29,1.29
2026-08-07T06:18:59Z,2026-08-09T18:00:00Z,59.7,2.32,0.0,1.0,2.32,2.32
2026-08-07T06:18:59Z,2026-08-09T21:00:00Z,62.7,1.43,1.0,2.0,0.43,0.43
2026-08-07T06:18:59Z,2026-08-10T00:00:00Z,65.7,2.3,1.0,2.0,1.3,1.3
2026-08-07T06:18:59Z,2026-08-10T03:00:00Z,68.7,2.85,2.0,2.0,0.85,0.85
2026-08-07T06:18:59Z,2026-08-10T06:00:00Z,71.7,3.56,3.0,2.0,0.56,0.56
2026-08-07T07:13:52Z,2026-08-09T09:00:00Z,49.8,2.41,3.0,1.0,-0.59,0.59
2026-08-07T07:13:52Z,2026-08-09T12:00:00Z,52.8,2.53,2.0,2.0,0.53,0.53
2026-08-07T07:13:52Z,2026-08-09T15:00:00Z,55.8,3.29,2.0,1.0,1.29,1.29
2026-08-07T07:13:52Z,2026-08-09T18:00:00Z,58.8,2.32,0.0,1.0,2.32,2.32
2026-08-07T07:13:52Z,2026-08-09T21:00:00Z,61.8,1.43,1.0,2.0,0.43,0.43
2026-08-07T07:13:52Z,2026-08-10T00:00:00Z,64.8,2.3,1.0,2.0,1.3,1.3
2026-08-07T07:13:52Z,2026-08-10T03:00:00Z,67.8,2.85,2.0,2.0,0.85,0.85
2026-08-07T07:13:52Z,2026-08-10T06:00:00Z,70.8,3.56,3.0,2.0,0.56,0.56
2026-08-07T10:39:14Z,2026-08-09T12:00:00Z,49.3,2.94,2.0,2.0,0.94,0.94
2026-08-07T10:39:14Z,2026-08-09T15:00:00Z,52.3,2.57,2.0,1.0,0.57,0.57
2026-08-07T10:39:14Z,2026-08-09T18:00:00Z,55.3,1.17,0.0,1.0,1.17,1.17
2026-08-07T10:39:14Z,2026-08-09T21:00:00Z,58.3,1.92,1.0,2.0,0.92,0.92
2026-08-07T10:39:14Z,2026-08-10T00:00:00Z,61.3,2.0,1.0,2.0,1.0,1.0
2026-08-07T10:39:14Z,2026-08-10T03:00:00Z,64.3,2.65,2.0,2.0,0.65,0.65
2026-08-07T10:39:14Z,2026-08-10T06:00:00Z,67.3,3.14,3.0,2.0,0.14,0.14
2026-08-07T10:39:14Z,2026-08-10T09:00:00Z,70.3,3.91,3.0,3.0,0.91,0.91
2026-08-07T16:51:54Z,2026-08-09T18:00:00Z,49.1,1.22,0.0,1.0,1.22,1.22
2026-08-07T16:51:54Z,2026-08-09T21:00:00Z,52.1,1.92,1.0,2.0,0.92,0.92
2026-08-07T16:51:54Z,2026-08-10T00:00:00Z,55.1,1.75,1.0,2.0,0.75,0.75
2026-08-07T16:51:54Z,2026-08-10T03:00:00Z,58.1,2.6,2.0,2.0,0.6,0.6
2026-08-07T16:51:54Z,2026-08-10T06:00:00Z,61.1,3.28,3.0,2.0,0.28,0.28
2026-08-07T16:51:54Z,2026-08-10T09:00:00Z,64.1,3.96,3.0,3.0,0.96,0.96
2026-08-07T16:51:54Z,2026-08-10T12:00:00Z,67.1,3.91,2.0,2.0,1.91,1.91
2026-08-07T16:51:54Z,2026-08-10T15:00:00Z,70.1,3.3,2.0,2.0,1.3,1.3
2026-08-07T22:45:57Z,2026-08-10T00:00:00Z,49.2,1.81,1.0,2.0,0.81,0.81
2026-08-07T22:45:57Z,2026-08-10T03:00:00Z,52.2,2.51,2.0,2.0,0.51,0.51
2026-08-07T22:45:57Z,2026-08-10T06:00:00Z,55.2,3.03,3.0,2.0,0.03,0.03
2026-08-07T22:45:57Z,2026-08-10T09:00:00Z,58.2,4.11,3.0,3.0,1.11,1.11
2026-08-07T22:45:57Z,2026-08-10T12:00:00Z,61.2,3.97,2.0,2.0,1.97,1.97
2026-08-07T22:45:57Z,2026-08-10T15:00:00Z,64.2,2.6,2.0,2.0,0.6,0.6
2026-08-07T22:45:57Z,2026-08-10T18:00:00Z,67.2,2.7,2.0,0.0,0.7,0.7
2026-08-07T22:45:57Z,2026-08-10T21:00:00Z,70.2,3.51,2.0,1.0,1.51,1.51
2026-08-07T23:19:23Z,2026-08-10T00:00:00Z,48.7,1.81,1.0,2.0,0.81,0.81
2026-08-07T23:19:23Z,2026-08-10T03:00:00Z,51.7,2.51,2.0,2.0,0.51,0.51
2026-08-07T23:19:23Z,2026-08-10T06:00:00Z,54.7,3.03,3.0,2.0,0.03,0.03
2026-08-07T23:19:23Z,2026-08-10T09:00:00Z,57.7,4.11,3.0,3.0,1.11,1.11
2026-08-07T23:19:23Z,2026-08-10T12:00:00Z,60.7,3.97,2.0,2.0,1.97,1.97
2026-08-07T23:19:23Z,2026-08-10T15:00:00Z,63.7,2.6,2.0,2.0,0.6,0.6
2026-08-07T23:19:23Z,2026-08-10T18:00:00Z,66.7,2.7,2.0,0.0,0.7,0.7
2026-08-07T23:19:23Z,2026-08-10T21:00:00Z,69.7,3.51,2.0,1.0,1.51,1.51
2026-08-08T04:50:53Z,2026-08-10T06:00:00Z,49.2,3.01,3.0,2.0,0.01,0.01
2026-08-08T04:50:53Z,2026-08-10T09:00:00Z,52.2,3.96,3.0,3.0,0.96,0.96
2026-08-08T04:50:53Z,2026-08-10T12:00:00Z,55.2,3.94,2.0,2.0,1.94,1.94
2026-08-08T04:50:53Z,2026-08-10T15:00:00Z,58.2,3.14,2.0,2.0,1.14,1.14
2026-08-08T04:50:53Z,2026-08-10T18:00:00Z,61.2,2.1,2.0,0.0,0.1,0.1
2026-08-08T04:50:53Z,2026-08-10T21:00:00Z,64.2,3.11,2.0,1.0,1.11,1.11
2026-08-08T04:50:53Z,2026-08-11T00:00:00Z,67.2,3.21,2.0,1.0,1.21,1.21
2026-08-08T04:50:53Z,2026-08-11T03:00:00Z,70.2,3.61,2.0,2.0,1.61,1.61
2026-08-08T10:18:13Z,2026-08-10T12:00:00Z,49.7,3.47,2.0,2.0,1.47,1.47
2026-08-08T10:18:13Z,2026-08-10T15:00:00Z,52.7,3.48,2.0,2.0,1.48,1.48
2026-08-08T10:18:13Z,2026-08-10T18:00:00Z,55.7,2.71,2.0,0.0,0.71,0.71
2026-08-08T10:18:13Z,2026-08-10T21:00:00Z,58.7,3.13,2.0,1.0,1.13,1.13
2026-08-08T10:18:13Z,2026-08-11T00:00:00Z,61.7,3.3,2.0,1.0,1.3,1.3
2026-08-08T10:18:13Z,2026-08-11T03:00:00Z,64.7,3.4,2.0,2.0,1.4,1.4
2026-08-08T10:18:13Z,2026-08-11T06:00:00Z,67.7,3.85,3.0,3.0,0.85,0.85
2026-08-08T10:18:13Z,2026-08-11T09:00:00Z,70.7,4.85,4.0,3.0,0.85,0.85
2026-08-08T22:37:20Z,2026-08-11T00:00:00Z,49.4,3.42,2.0,1.0,1.42,1.42
2026-08-08T22:37:20Z,2026-08-11T03:00:00Z,52.4,3.52,2.0,2.0,1.52,1.52
2026-08-08T22:37:20Z,2026-08-11T06:00:00Z,55.4,4.08,3.0,3.0,1.08,1.08
2026-08-08T22:37:20Z,2026-08-11T09:00:00Z,58.4,3.96,4.0,3.0,-0.04,0.04
2026-08-08T22:37:20Z,2026-08-11T12:00:00Z,61.4,3.93,4.0,2.0,-0.07,0.07
2026-08-08T22:37:20Z,2026-08-11T15:00:00Z,64.4,3.2,4.0,2.0,-0.8,0.8
2026-08-08T22:37:20Z,2026-08-11T18:00:00Z,67.4,0.86,2.0,2.0,-1.14,1.14
2026-08-08T22:37:20Z,2026-08-11T21:00:00Z,70.4,2.4,1.0,2.0,1.4,1.4
2026-08-09T04:59:03Z,2026-08-11T06:00:00Z,49.0,3.93,3.0,3.0,0.93,0.93
2026-08-09T04:59:03Z,2026-08-11T09:00:00Z,52.0,4.8,4.0,3.0,0.8,0.8
2026-08-09T04:59:03Z,2026-08-11T12:00:00Z,55.0,3.11,4.0,2.0,-0.89,0.89
2026-08-09T04:59:03Z,2026-08-11T15:00:00Z,58.0,2.08,4.0,2.0,-1.92,1.92
2026-08-09T04:59:03Z,2026-08-11T18:00:00Z,61.0,1.1,2.0,2.0,-0.9,0.9
2026-08-09T04:59:03Z,2026-08-11T21:00:00Z,64.0,0.92,1.0,2.0,-0.08,0.08
2026-08-09T04:59:03Z,2026-08-12T00:00:00Z,67.0,1.17,1.0,2.0,0.17,0.17
2026-08-09T04:59:03Z,2026-08-12T03:00:00Z,70.0,1.98,1.0,2.0,0.98,0.98
2026-08-09T10:19:29Z,2026-08-11T12:00:00Z,49.7,4.3,4.0,2.0,0.3,0.3
2026-08-09T10:19:29Z,2026-08-11T15:00:00Z,52.7,2.35,4.0,2.0,-1.65,1.65
2026-08-09T10:19:29Z,2026-08-11T18:00:00Z,55.7,3.3,2.0,2.0,1.3,1.3
2026-08-09T10:19:29Z,2026-08-11T21:00:00Z,58.7,1.21,1.0,2.0,0.21,0.21
