# Архангельск / Ветер / 2-3 дня / JMA (Япония)
# n=100, MAE=0.564, RMSE=0.661, bias=+0.064
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (0.661/1.034)^2 = 0.5916  (RMSE_персистентности по 100 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-08T12:00:00Z,50.2,2.36,2.0,1.0,0.36,0.36
2026-08-06T09:50:07Z,2026-08-08T15:00:00Z,53.2,1.49,1.0,1.0,0.49,0.49
2026-08-06T09:50:07Z,2026-08-08T18:00:00Z,56.2,0.76,1.0,1.0,-0.24,0.24
2026-08-06T09:50:07Z,2026-08-08T21:00:00Z,59.2,1.17,2.0,1.0,-0.83,0.83
2026-08-06T09:50:07Z,2026-08-09T00:00:00Z,62.2,1.75,2.0,1.0,-0.25,0.25
2026-08-06T09:50:07Z,2026-08-09T03:00:00Z,65.2,1.61,2.0,1.0,-0.39,0.39
2026-08-06T09:50:07Z,2026-08-09T06:00:00Z,68.2,1.58,2.0,1.0,-0.42,0.42
2026-08-06T09:50:07Z,2026-08-09T09:00:00Z,71.2,2.05,3.0,1.0,-0.95,0.95
2026-08-06T09:59:18Z,2026-08-08T12:00:00Z,50.0,2.36,2.0,1.0,0.36,0.36
2026-08-06T09:59:18Z,2026-08-08T15:00:00Z,53.0,1.49,1.0,1.0,0.49,0.49
2026-08-06T09:59:18Z,2026-08-08T18:00:00Z,56.0,0.76,1.0,1.0,-0.24,0.24
2026-08-06T09:59:18Z,2026-08-08T21:00:00Z,59.0,1.17,2.0,1.0,-0.83,0.83
2026-08-06T09:59:18Z,2026-08-09T00:00:00Z,62.0,1.75,2.0,1.0,-0.25,0.25
2026-08-06T09:59:18Z,2026-08-09T03:00:00Z,65.0,1.61,2.0,1.0,-0.39,0.39
2026-08-06T09:59:18Z,2026-08-09T06:00:00Z,68.0,1.58,2.0,1.0,-0.42,0.42
2026-08-06T09:59:18Z,2026-08-09T09:00:00Z,71.0,2.05,3.0,1.0,-0.95,0.95
2026-08-06T10:08:26Z,2026-08-08T12:00:00Z,49.9,2.36,2.0,1.0,0.36,0.36
2026-08-06T10:08:26Z,2026-08-08T15:00:00Z,52.9,1.49,1.0,1.0,0.49,0.49
2026-08-06T10:08:26Z,2026-08-08T18:00:00Z,55.9,0.76,1.0,1.0,-0.24,0.24
2026-08-06T10:08:26Z,2026-08-08T21:00:00Z,58.9,1.17,2.0,1.0,-0.83,0.83
2026-08-06T10:08:26Z,2026-08-09T00:00:00Z,61.9,1.75,2.0,1.0,-0.25,0.25
2026-08-06T10:08:26Z,2026-08-09T03:00:00Z,64.9,1.61,2.0,1.0,-0.39,0.39
2026-08-06T10:08:26Z,2026-08-09T06:00:00Z,67.9,1.58,2.0,1.0,-0.42,0.42
2026-08-06T10:08:26Z,2026-08-09T09:00:00Z,70.9,2.05,3.0,1.0,-0.95,0.95
2026-08-06T10:47:54Z,2026-08-08T12:00:00Z,49.2,2.36,2.0,1.0,0.36,0.36
2026-08-06T10:47:54Z,2026-08-08T15:00:00Z,52.2,1.49,1.0,1.0,0.49,0.49
2026-08-06T10:47:54Z,2026-08-08T18:00:00Z,55.2,0.76,1.0,1.0,-0.24,0.24
2026-08-06T10:47:54Z,2026-08-08T21:00:00Z,58.2,1.17,2.0,1.0,-0.83,0.83
2026-08-06T10:47:54Z,2026-08-09T00:00:00Z,61.2,1.75,2.0,1.0,-0.25,0.25
2026-08-06T10:47:54Z,2026-08-09T03:00:00Z,64.2,1.61,2.0,1.0,-0.39,0.39
2026-08-06T10:47:54Z,2026-08-09T06:00:00Z,67.2,1.58,2.0,1.0,-0.42,0.42
2026-08-06T10:47:54Z,2026-08-09T09:00:00Z,70.2,2.05,3.0,1.0,-0.95,0.95
2026-08-06T11:30:42Z,2026-08-08T12:00:00Z,48.5,2.36,2.0,1.0,0.36,0.36
2026-08-06T11:30:42Z,2026-08-08T15:00:00Z,51.5,1.49,1.0,1.0,0.49,0.49
2026-08-06T11:30:42Z,2026-08-08T18:00:00Z,54.5,0.76,1.0,1.0,-0.24,0.24
2026-08-06T11:30:42Z,2026-08-08T21:00:00Z,57.5,1.17,2.0,1.0,-0.83,0.83
2026-08-06T11:30:42Z,2026-08-09T00:00:00Z,60.5,1.75,2.0,1.0,-0.25,0.25
2026-08-06T11:30:42Z,2026-08-09T03:00:00Z,63.5,1.61,2.0,1.0,-0.39,0.39
2026-08-06T11:30:42Z,2026-08-09T06:00:00Z,66.5,1.58,2.0,1.0,-0.42,0.42
2026-08-06T11:30:42Z,2026-08-09T09:00:00Z,69.5,2.05,3.0,1.0,-0.95,0.95
2026-08-06T11:36:01Z,2026-08-08T12:00:00Z,48.4,2.36,2.0,1.0,0.36,0.36
2026-08-06T11:36:01Z,2026-08-08T15:00:00Z,51.4,1.49,1.0,1.0,0.49,0.49
2026-08-06T11:36:01Z,2026-08-08T18:00:00Z,54.4,0.76,1.0,1.0,-0.24,0.24
2026-08-06T11:36:01Z,2026-08-08T21:00:00Z,57.4,1.17,2.0,1.0,-0.83,0.83
2026-08-06T11:36:01Z,2026-08-09T00:00:00Z,60.4,1.75,2.0,1.0,-0.25,0.25
2026-08-06T11:36:01Z,2026-08-09T03:00:00Z,63.4,1.61,2.0,1.0,-0.39,0.39
2026-08-06T11:36:01Z,2026-08-09T06:00:00Z,66.4,1.58,2.0,1.0,-0.42,0.42
2026-08-06T11:36:01Z,2026-08-09T09:00:00Z,69.4,2.05,3.0,1.0,-0.95,0.95
2026-08-06T11:44:08Z,2026-08-08T12:00:00Z,48.3,2.36,2.0,1.0,0.36,0.36
2026-08-06T11:44:08Z,2026-08-08T15:00:00Z,51.3,1.49,1.0,1.0,0.49,0.49
2026-08-06T11:44:08Z,2026-08-08T18:00:00Z,54.3,0.76,1.0,1.0,-0.24,0.24
2026-08-06T11:44:08Z,2026-08-08T21:00:00Z,57.3,1.17,2.0,1.0,-0.83,0.83
2026-08-06T11:44:08Z,2026-08-09T00:00:00Z,60.3,1.75,2.0,1.0,-0.25,0.25
2026-08-06T11:44:08Z,2026-08-09T03:00:00Z,63.3,1.61,2.0,1.0,-0.39,0.39
2026-08-06T11:44:08Z,2026-08-09T06:00:00Z,66.3,1.58,2.0,1.0,-0.42,0.42
2026-08-06T11:44:08Z,2026-08-09T09:00:00Z,69.3,2.05,3.0,1.0,-0.95,0.95
2026-08-07T01:31:32Z,2026-08-09T03:00:00Z,49.5,2.2,2.0,1.0,0.2,0.2
2026-08-07T01:31:32Z,2026-08-09T06:00:00Z,52.5,2.22,2.0,1.0,0.22,0.22
2026-08-07T01:31:32Z,2026-08-09T09:00:00Z,55.5,1.94,3.0,1.0,-1.06,1.06
2026-08-07T01:31:32Z,2026-08-09T12:00:00Z,58.5,2.34,2.0,2.0,0.34,0.34
2026-08-07T01:31:32Z,2026-08-09T15:00:00Z,61.5,1.34,2.0,1.0,-0.66,0.66
2026-08-07T01:31:32Z,2026-08-09T18:00:00Z,64.5,0.51,0.0,1.0,0.51,0.51
2026-08-07T01:31:32Z,2026-08-09T21:00:00Z,67.5,1.41,1.0,2.0,0.41,0.41
2026-08-07T01:31:32Z,2026-08-10T00:00:00Z,70.5,2.11,1.0,2.0,1.11,1.11
2026-08-07T05:36:00Z,2026-08-09T06:00:00Z,48.4,2.12,2.0,1.0,0.12,0.12
2026-08-07T05:36:00Z,2026-08-09T09:00:00Z,51.4,2.62,3.0,1.0,-0.38,0.38
2026-08-07T05:36:00Z,2026-08-09T12:00:00Z,54.4,2.72,2.0,2.0,0.72,0.72
2026-08-07T05:36:00Z,2026-08-09T15:00:00Z,57.4,2.31,2.0,1.0,0.31,0.31
2026-08-07T05:36:00Z,2026-08-09T18:00:00Z,60.4,1.6,0.0,1.0,1.6,1.6
2026-08-07T05:36:00Z,2026-08-09T21:00:00Z,63.4,0.94,1.0,2.0,-0.06,0.06
2026-08-07T05:36:00Z,2026-08-10T00:00:00Z,66.4,1.92,1.0,2.0,0.92,0.92
