# Архангельск / Ветер / 2-3 дня / ARPEGE (Франция)
# n=332, MAE=2.012, RMSE=2.432, bias=+1.959
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (2.432/1.206)^2 = -3.0665  (RMSE_персистентности по 332 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-08T12:00:00Z,50.2,2.32,2.0,1.0,0.32,0.32
2026-08-06T09:50:07Z,2026-08-08T15:00:00Z,53.2,2.06,1.0,1.0,1.06,1.06
2026-08-06T09:50:07Z,2026-08-08T18:00:00Z,56.2,1.2,1.0,1.0,0.2,0.2
2026-08-06T09:50:07Z,2026-08-08T21:00:00Z,59.2,2.42,2.0,1.0,0.42,0.42
2026-08-06T09:50:07Z,2026-08-09T00:00:00Z,62.2,2.88,2.0,1.0,0.88,0.88
2026-08-06T09:50:07Z,2026-08-09T03:00:00Z,65.2,3.58,2.0,1.0,1.58,1.58
2026-08-06T09:50:07Z,2026-08-09T06:00:00Z,68.2,4.73,2.0,1.0,2.73,2.73
2026-08-06T09:50:07Z,2026-08-09T09:00:00Z,71.2,4.85,3.0,1.0,1.85,1.85
2026-08-06T09:59:18Z,2026-08-08T12:00:00Z,50.0,2.32,2.0,1.0,0.32,0.32
2026-08-06T09:59:18Z,2026-08-08T15:00:00Z,53.0,2.06,1.0,1.0,1.06,1.06
2026-08-06T09:59:18Z,2026-08-08T18:00:00Z,56.0,1.2,1.0,1.0,0.2,0.2
2026-08-06T09:59:18Z,2026-08-08T21:00:00Z,59.0,2.42,2.0,1.0,0.42,0.42
2026-08-06T09:59:18Z,2026-08-09T00:00:00Z,62.0,2.88,2.0,1.0,0.88,0.88
2026-08-06T09:59:18Z,2026-08-09T03:00:00Z,65.0,3.58,2.0,1.0,1.58,1.58
2026-08-06T09:59:18Z,2026-08-09T06:00:00Z,68.0,4.73,2.0,1.0,2.73,2.73
2026-08-06T09:59:18Z,2026-08-09T09:00:00Z,71.0,4.85,3.0,1.0,1.85,1.85
2026-08-06T10:08:26Z,2026-08-08T12:00:00Z,49.9,2.32,2.0,1.0,0.32,0.32
2026-08-06T10:08:26Z,2026-08-08T15:00:00Z,52.9,2.06,1.0,1.0,1.06,1.06
2026-08-06T10:08:26Z,2026-08-08T18:00:00Z,55.9,1.2,1.0,1.0,0.2,0.2
2026-08-06T10:08:26Z,2026-08-08T21:00:00Z,58.9,2.42,2.0,1.0,0.42,0.42
2026-08-06T10:08:26Z,2026-08-09T00:00:00Z,61.9,2.88,2.0,1.0,0.88,0.88
2026-08-06T10:08:26Z,2026-08-09T03:00:00Z,64.9,3.58,2.0,1.0,1.58,1.58
2026-08-06T10:08:26Z,2026-08-09T06:00:00Z,67.9,4.73,2.0,1.0,2.73,2.73
2026-08-06T10:08:26Z,2026-08-09T09:00:00Z,70.9,4.85,3.0,1.0,1.85,1.85
2026-08-06T10:47:54Z,2026-08-08T12:00:00Z,49.2,2.43,2.0,1.0,0.43,0.43
2026-08-06T10:47:54Z,2026-08-08T15:00:00Z,52.2,2.01,1.0,1.0,1.01,1.01
2026-08-06T10:47:54Z,2026-08-08T18:00:00Z,55.2,1.8,1.0,1.0,0.8,0.8
2026-08-06T10:47:54Z,2026-08-08T21:00:00Z,58.2,2.69,2.0,1.0,0.69,0.69
2026-08-06T10:47:54Z,2026-08-09T00:00:00Z,61.2,2.91,2.0,1.0,0.91,0.91
2026-08-06T10:47:54Z,2026-08-09T03:00:00Z,64.2,3.18,2.0,1.0,1.18,1.18
2026-08-06T10:47:54Z,2026-08-09T06:00:00Z,67.2,3.72,2.0,1.0,1.72,1.72
2026-08-06T10:47:54Z,2026-08-09T09:00:00Z,70.2,4.92,3.0,1.0,1.92,1.92
