# Архангельск / Ветер / 2-3 дня / OpenWeatherMap
# n=31, MAE=1.046, RMSE=1.183, bias=-0.839
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.183/1.047)^2 = -0.2758  (RMSE_персистентности по 31 пар(ам))
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:30:42Z,2026-08-08T12:00:00Z,48.5,2.66,2.0,1.0,0.66,0.66
2026-08-06T11:30:42Z,2026-08-08T15:00:00Z,51.5,1.41,1.0,1.0,0.41,0.41
2026-08-06T11:30:42Z,2026-08-08T18:00:00Z,54.5,0.92,1.0,1.0,-0.08,0.08
2026-08-06T11:30:42Z,2026-08-08T21:00:00Z,57.5,0.38,2.0,1.0,-1.62,1.62
2026-08-06T11:30:42Z,2026-08-09T00:00:00Z,60.5,1.08,2.0,1.0,-0.92,0.92
2026-08-06T11:30:42Z,2026-08-09T03:00:00Z,63.5,1.06,2.0,1.0,-0.94,0.94
2026-08-06T11:30:42Z,2026-08-09T06:00:00Z,66.5,0.5,2.0,1.0,-1.5,1.5
2026-08-06T11:30:42Z,2026-08-09T09:00:00Z,69.5,1.07,3.0,1.0,-1.93,1.93
2026-08-06T11:36:01Z,2026-08-08T12:00:00Z,48.4,2.66,2.0,1.0,0.66,0.66
2026-08-06T11:36:01Z,2026-08-08T15:00:00Z,51.4,1.41,1.0,1.0,0.41,0.41
2026-08-06T11:36:01Z,2026-08-08T18:00:00Z,54.4,0.92,1.0,1.0,-0.08,0.08
2026-08-06T11:36:01Z,2026-08-08T21:00:00Z,57.4,0.38,2.0,1.0,-1.62,1.62
2026-08-06T11:36:01Z,2026-08-09T00:00:00Z,60.4,1.08,2.0,1.0,-0.92,0.92
2026-08-06T11:36:01Z,2026-08-09T03:00:00Z,63.4,1.06,2.0,1.0,-0.94,0.94
2026-08-06T11:36:01Z,2026-08-09T06:00:00Z,66.4,0.5,2.0,1.0,-1.5,1.5
2026-08-06T11:36:01Z,2026-08-09T09:00:00Z,69.4,1.07,3.0,1.0,-1.93,1.93
2026-08-06T11:44:08Z,2026-08-08T12:00:00Z,48.3,2.66,2.0,1.0,0.66,0.66
2026-08-06T11:44:08Z,2026-08-08T15:00:00Z,51.3,1.41,1.0,1.0,0.41,0.41
2026-08-06T11:44:08Z,2026-08-08T18:00:00Z,54.3,0.92,1.0,1.0,-0.08,0.08
2026-08-06T11:44:08Z,2026-08-08T21:00:00Z,57.3,0.38,2.0,1.0,-1.62,1.62
2026-08-06T11:44:08Z,2026-08-09T00:00:00Z,60.3,1.08,2.0,1.0,-0.92,0.92
2026-08-06T11:44:08Z,2026-08-09T03:00:00Z,63.3,1.06,2.0,1.0,-0.94,0.94
2026-08-06T11:44:08Z,2026-08-09T06:00:00Z,66.3,0.5,2.0,1.0,-1.5,1.5
2026-08-06T11:44:08Z,2026-08-09T09:00:00Z,69.3,1.07,3.0,1.0,-1.93,1.93
2026-08-07T01:31:32Z,2026-08-09T03:00:00Z,49.5,1.47,2.0,1.0,-0.53,0.53
2026-08-07T01:31:32Z,2026-08-09T06:00:00Z,52.5,1.0,2.0,1.0,-1.0,1.0
2026-08-07T01:31:32Z,2026-08-09T09:00:00Z,55.5,1.66,3.0,1.0,-1.34,1.34
2026-08-07T05:36:00Z,2026-08-09T06:00:00Z,48.4,1.0,2.0,3.0,-1.0,1.0
2026-08-07T05:36:00Z,2026-08-09T09:00:00Z,51.4,1.66,3.0,3.0,-1.34,1.34
2026-08-07T06:18:59Z,2026-08-09T09:00:00Z,50.7,1.66,3.0,3.0,-1.34,1.34
2026-08-07T07:13:52Z,2026-08-09T09:00:00Z,49.8,1.3,3.0,3.0,-1.7,1.7
