# Архангельск / Ветер / 2-3 дня / Tomorrow.io
# n=74, MAE=1.195, RMSE=1.385, bias=+1.014
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.385/0.900)^2 = -1.3643  (RMSE_персистентности по 74 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:44:08Z,2026-08-08T12:00:00Z,48.3,1.1,2.0,1.0,-0.9,0.9
2026-08-06T11:44:08Z,2026-08-08T15:00:00Z,51.3,1.4,1.0,1.0,0.4,0.4
2026-08-06T11:44:08Z,2026-08-08T18:00:00Z,54.3,1.5,1.0,1.0,0.5,0.5
2026-08-06T11:44:08Z,2026-08-08T21:00:00Z,57.3,3.3,2.0,1.0,1.3,1.3
2026-08-06T11:44:08Z,2026-08-09T00:00:00Z,60.3,2.9,2.0,1.0,0.9,0.9
2026-08-06T11:44:08Z,2026-08-09T03:00:00Z,63.3,2.7,2.0,1.0,0.7,0.7
2026-08-06T11:44:08Z,2026-08-09T06:00:00Z,66.3,2.9,2.0,1.0,0.9,0.9
2026-08-06T11:44:08Z,2026-08-09T09:00:00Z,69.3,3.4,3.0,1.0,0.4,0.4
2026-08-07T01:31:32Z,2026-08-09T03:00:00Z,49.5,0.6,2.0,1.0,-1.4,1.4
2026-08-07T01:31:32Z,2026-08-09T06:00:00Z,52.5,3.0,2.0,1.0,1.0,1.0
2026-08-07T01:31:32Z,2026-08-09T09:00:00Z,55.5,3.0,3.0,1.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-09T12:00:00Z,58.5,2.0,2.0,2.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-09T15:00:00Z,61.5,1.5,2.0,1.0,-0.5,0.5
2026-08-07T01:31:32Z,2026-08-09T18:00:00Z,64.5,2.3,0.0,1.0,2.3,2.3
2026-08-07T01:31:32Z,2026-08-09T21:00:00Z,67.5,1.7,1.0,2.0,0.7,0.7
2026-08-07T01:31:32Z,2026-08-10T00:00:00Z,70.5,2.1,1.0,2.0,1.1,1.1
2026-08-07T05:36:00Z,2026-08-09T06:00:00Z,48.4,3.0,2.0,1.0,1.0,1.0
2026-08-07T05:36:00Z,2026-08-09T09:00:00Z,51.4,3.0,3.0,1.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-09T12:00:00Z,54.4,2.0,2.0,2.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-09T15:00:00Z,57.4,1.5,2.0,1.0,-0.5,0.5
2026-08-07T05:36:00Z,2026-08-09T18:00:00Z,60.4,2.3,0.0,1.0,2.3,2.3
2026-08-07T05:36:00Z,2026-08-09T21:00:00Z,63.4,1.7,1.0,2.0,0.7,0.7
2026-08-07T05:36:00Z,2026-08-10T00:00:00Z,66.4,2.1,1.0,2.0,1.1,1.1
2026-08-07T05:36:00Z,2026-08-10T03:00:00Z,69.4,3.4,2.0,2.0,1.4,1.4
2026-08-07T06:18:59Z,2026-08-09T09:00:00Z,50.7,1.3,3.0,1.0,-1.7,1.7
2026-08-07T06:18:59Z,2026-08-09T12:00:00Z,53.7,2.7,2.0,2.0,0.7,0.7
2026-08-07T06:18:59Z,2026-08-09T15:00:00Z,56.7,3.5,2.0,1.0,1.5,1.5
2026-08-07T06:18:59Z,2026-08-09T18:00:00Z,59.7,2.3,0.0,1.0,2.3,2.3
2026-08-07T06:18:59Z,2026-08-09T21:00:00Z,62.7,1.7,1.0,2.0,0.7,0.7
2026-08-07T06:18:59Z,2026-08-10T00:00:00Z,65.7,2.1,1.0,2.0,1.1,1.1
2026-08-07T06:18:59Z,2026-08-10T03:00:00Z,68.7,3.4,2.0,2.0,1.4,1.4
2026-08-07T06:18:59Z,2026-08-10T06:00:00Z,71.7,3.5,3.0,2.0,0.5,0.5
2026-08-07T07:13:52Z,2026-08-09T09:00:00Z,49.8,1.3,3.0,1.0,-1.7,1.7
2026-08-07T07:13:52Z,2026-08-09T12:00:00Z,52.8,2.7,2.0,2.0,0.7,0.7
2026-08-07T07:13:52Z,2026-08-09T15:00:00Z,55.8,3.5,2.0,1.0,1.5,1.5
2026-08-07T07:13:52Z,2026-08-09T18:00:00Z,58.8,1.3,0.0,1.0,1.3,1.3
2026-08-07T07:13:52Z,2026-08-09T21:00:00Z,61.8,1.7,1.0,2.0,0.7,0.7
2026-08-07T07:13:52Z,2026-08-10T00:00:00Z,64.8,2.3,1.0,2.0,1.3,1.3
