# Архангельск / Ветер / 2-3 дня / Яндекс.Погода
# n=22, MAE=1.264, RMSE=1.422, bias=+1.264
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.422/0.879)^2 = -1.6176  (RMSE_персистентности по 22 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-13T16:36:10Z,2026-08-15T18:00:00Z,49.4,2.7,2.0,3.0,0.7,0.7
2026-08-13T16:36:10Z,2026-08-16T00:00:00Z,55.4,3.0,3.0,2.0,0.0,0.0
2026-08-13T16:36:10Z,2026-08-16T06:00:00Z,61.4,3.7,2.0,2.0,1.7,1.7
2026-08-13T16:36:10Z,2026-08-16T12:00:00Z,67.4,2.9,1.0,2.0,1.9,1.9
2026-08-13T16:42:24Z,2026-08-15T18:00:00Z,49.3,2.7,2.0,3.0,0.7,0.7
2026-08-13T16:42:24Z,2026-08-16T00:00:00Z,55.3,3.0,3.0,2.0,0.0,0.0
2026-08-13T16:42:24Z,2026-08-16T06:00:00Z,61.3,3.7,2.0,2.0,1.7,1.7
2026-08-13T16:42:24Z,2026-08-16T12:00:00Z,67.3,2.9,1.0,2.0,1.9,1.9
2026-08-13T16:54:22Z,2026-08-15T18:00:00Z,49.1,2.7,2.0,3.0,0.7,0.7
2026-08-13T16:54:22Z,2026-08-16T00:00:00Z,55.1,3.2,3.0,2.0,0.2,0.2
2026-08-13T16:54:22Z,2026-08-16T06:00:00Z,61.1,3.9,2.0,2.0,1.9,1.9
2026-08-13T16:54:22Z,2026-08-16T12:00:00Z,67.1,2.9,1.0,2.0,1.9,1.9
2026-08-13T22:52:17Z,2026-08-16T00:00:00Z,49.1,3.7,3.0,2.0,0.7,0.7
2026-08-13T22:52:17Z,2026-08-16T06:00:00Z,55.1,3.9,2.0,2.0,1.9,1.9
2026-08-13T22:52:17Z,2026-08-16T12:00:00Z,61.1,3.0,1.0,2.0,2.0,2.0
2026-08-13T22:52:17Z,2026-08-16T18:00:00Z,67.1,2.4,1.0,2.0,1.4,1.4
2026-08-14T05:28:14Z,2026-08-16T06:00:00Z,48.5,3.5,2.0,2.0,1.5,1.5
2026-08-14T05:28:14Z,2026-08-16T12:00:00Z,54.5,2.7,1.0,2.0,1.7,1.7
2026-08-14T05:28:14Z,2026-08-16T18:00:00Z,60.5,2.4,1.0,2.0,1.4,1.4
2026-08-14T10:44:54Z,2026-08-16T12:00:00Z,49.3,2.9,1.0,2.0,1.9,1.9
2026-08-14T10:44:54Z,2026-08-16T18:00:00Z,55.3,2.0,1.0,2.0,1.0,1.0
2026-08-14T16:48:33Z,2026-08-16T18:00:00Z,49.2,2.0,1.0,2.0,1.0,1.0
