# Архангельск / Ветер / 3-5 дней / UKMO (Британия)
# n=14, MAE=1.300, RMSE=1.304, bias=+0.100
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.304/0.707)^2 = -2.4000  (RMSE_персистентности по 14 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-09T12:00:00Z,74.2,3.4,2.0,2.0,1.4,1.4
2026-08-06T09:50:07Z,2026-08-09T15:00:00Z,77.2,0.8,2.0,1.0,-1.2,1.2
2026-08-06T09:59:18Z,2026-08-09T12:00:00Z,74.0,3.4,2.0,2.0,1.4,1.4
2026-08-06T09:59:18Z,2026-08-09T15:00:00Z,77.0,0.8,2.0,1.0,-1.2,1.2
2026-08-06T10:08:26Z,2026-08-09T12:00:00Z,73.9,3.4,2.0,2.0,1.4,1.4
2026-08-06T10:08:26Z,2026-08-09T15:00:00Z,76.9,0.8,2.0,1.0,-1.2,1.2
2026-08-06T10:47:54Z,2026-08-09T12:00:00Z,73.2,3.4,2.0,2.0,1.4,1.4
2026-08-06T10:47:54Z,2026-08-09T15:00:00Z,76.2,0.8,2.0,1.0,-1.2,1.2
2026-08-06T11:30:42Z,2026-08-09T12:00:00Z,72.5,3.4,2.0,2.0,1.4,1.4
2026-08-06T11:30:42Z,2026-08-09T15:00:00Z,75.5,0.8,2.0,1.0,-1.2,1.2
2026-08-06T11:36:01Z,2026-08-09T12:00:00Z,72.4,3.4,2.0,2.0,1.4,1.4
2026-08-06T11:36:01Z,2026-08-09T15:00:00Z,75.4,0.8,2.0,1.0,-1.2,1.2
2026-08-06T11:44:08Z,2026-08-09T12:00:00Z,72.3,3.4,2.0,2.0,1.4,1.4
2026-08-06T11:44:08Z,2026-08-09T15:00:00Z,75.3,0.8,2.0,1.0,-1.2,1.2
