# Архангельск / Ветер / 5-10 дней / Yr (Норвегия)
# n=55, MAE=2.033, RMSE=2.366, bias=+1.724
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (2.366/1.120)^2 = -3.4629  (RMSE_персистентности по 55 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-11T12:00:00Z,122.2,5.8,4.0,2.0,1.8,1.8
2026-08-06T09:50:07Z,2026-08-11T18:00:00Z,128.2,5.0,2.0,2.0,3.0,3.0
2026-08-06T09:50:07Z,2026-08-12T00:00:00Z,134.2,4.8,1.0,2.0,3.8,3.8
2026-08-06T09:50:07Z,2026-08-12T06:00:00Z,140.2,4.9,2.0,3.0,2.9,2.9
2026-08-06T09:50:07Z,2026-08-12T12:00:00Z,146.2,5.6,3.0,4.0,2.6,2.6
2026-08-06T09:50:07Z,2026-08-12T18:00:00Z,152.2,3.0,3.0,2.0,0.0,0.0
2026-08-06T09:59:18Z,2026-08-11T12:00:00Z,122.0,5.8,4.0,2.0,1.8,1.8
2026-08-06T09:59:18Z,2026-08-11T18:00:00Z,128.0,5.0,2.0,2.0,3.0,3.0
2026-08-06T09:59:18Z,2026-08-12T00:00:00Z,134.0,4.8,1.0,2.0,3.8,3.8
2026-08-06T09:59:18Z,2026-08-12T06:00:00Z,140.0,4.9,2.0,3.0,2.9,2.9
2026-08-06T09:59:18Z,2026-08-12T12:00:00Z,146.0,5.6,3.0,4.0,2.6,2.6
2026-08-06T09:59:18Z,2026-08-12T18:00:00Z,152.0,3.0,3.0,2.0,0.0,0.0
2026-08-06T10:08:26Z,2026-08-11T12:00:00Z,121.9,5.8,4.0,2.0,1.8,1.8
2026-08-06T10:08:26Z,2026-08-11T18:00:00Z,127.9,5.0,2.0,2.0,3.0,3.0
2026-08-06T10:08:26Z,2026-08-12T00:00:00Z,133.9,4.8,1.0,2.0,3.8,3.8
2026-08-06T10:08:26Z,2026-08-12T06:00:00Z,139.9,4.9,2.0,3.0,2.9,2.9
2026-08-06T10:08:26Z,2026-08-12T12:00:00Z,145.9,5.6,3.0,4.0,2.6,2.6
2026-08-06T10:08:26Z,2026-08-12T18:00:00Z,151.9,3.0,3.0,2.0,0.0,0.0
2026-08-06T10:47:54Z,2026-08-11T12:00:00Z,121.2,5.8,4.0,2.0,1.8,1.8
2026-08-06T10:47:54Z,2026-08-11T18:00:00Z,127.2,5.0,2.0,2.0,3.0,3.0
2026-08-06T10:47:54Z,2026-08-12T00:00:00Z,133.2,4.8,1.0,2.0,3.8,3.8
2026-08-06T10:47:54Z,2026-08-12T06:00:00Z,139.2,4.9,2.0,3.0,2.9,2.9
2026-08-06T10:47:54Z,2026-08-12T12:00:00Z,145.2,5.6,3.0,4.0,2.6,2.6
2026-08-06T10:47:54Z,2026-08-12T18:00:00Z,151.2,3.0,3.0,2.0,0.0,0.0
2026-08-06T11:30:42Z,2026-08-11T12:00:00Z,120.5,7.2,4.0,2.0,3.2,3.2
2026-08-06T11:30:42Z,2026-08-11T18:00:00Z,126.5,5.9,2.0,2.0,3.9,3.9
2026-08-06T11:30:42Z,2026-08-12T00:00:00Z,132.5,3.6,1.0,2.0,2.6,2.6
2026-08-06T11:30:42Z,2026-08-12T06:00:00Z,138.5,3.2,2.0,3.0,1.2,1.2
2026-08-06T11:30:42Z,2026-08-12T12:00:00Z,144.5,1.5,3.0,4.0,-1.5,1.5
2026-08-06T11:30:42Z,2026-08-12T18:00:00Z,150.5,5.8,3.0,2.0,2.8,2.8
2026-08-06T11:36:01Z,2026-08-11T12:00:00Z,120.4,7.2,4.0,2.0,3.2,3.2
2026-08-06T11:36:01Z,2026-08-11T18:00:00Z,126.4,5.9,2.0,2.0,3.9,3.9
2026-08-06T11:36:01Z,2026-08-12T00:00:00Z,132.4,3.6,1.0,2.0,2.6,2.6
2026-08-06T11:36:01Z,2026-08-12T06:00:00Z,138.4,3.2,2.0,3.0,1.2,1.2
2026-08-06T11:36:01Z,2026-08-12T12:00:00Z,144.4,1.5,3.0,4.0,-1.5,1.5
2026-08-06T11:36:01Z,2026-08-12T18:00:00Z,150.4,5.8,3.0,2.0,2.8,2.8
2026-08-06T11:44:08Z,2026-08-11T12:00:00Z,120.3,7.2,4.0,2.0,3.2,3.2
2026-08-06T11:44:08Z,2026-08-11T18:00:00Z,126.3,5.9,2.0,2.0,3.9,3.9
2026-08-06T11:44:08Z,2026-08-12T00:00:00Z,132.3,3.6,1.0,2.0,2.6,2.6
2026-08-06T11:44:08Z,2026-08-12T06:00:00Z,138.3,3.2,2.0,3.0,1.2,1.2
2026-08-06T11:44:08Z,2026-08-12T12:00:00Z,144.3,1.5,3.0,4.0,-1.5,1.5
2026-08-06T11:44:08Z,2026-08-12T18:00:00Z,150.3,5.8,3.0,2.0,2.8,2.8
2026-08-07T01:31:32Z,2026-08-12T06:00:00Z,124.5,2.4,2.0,3.0,0.4,0.4
2026-08-07T01:31:32Z,2026-08-12T12:00:00Z,130.5,3.6,3.0,4.0,0.6,0.6
2026-08-07T01:31:32Z,2026-08-12T18:00:00Z,136.5,2.2,3.0,2.0,-0.8,0.8
2026-08-07T05:36:00Z,2026-08-12T06:00:00Z,120.4,2.4,2.0,3.0,0.4,0.4
2026-08-07T05:36:00Z,2026-08-12T12:00:00Z,126.4,3.6,3.0,4.0,0.6,0.6
2026-08-07T05:36:00Z,2026-08-12T18:00:00Z,132.4,2.2,3.0,2.0,-0.8,0.8
2026-08-07T06:18:59Z,2026-08-12T12:00:00Z,125.7,3.6,3.0,4.0,0.6,0.6
2026-08-07T06:18:59Z,2026-08-12T18:00:00Z,131.7,2.2,3.0,2.0,-0.8,0.8
2026-08-07T07:13:52Z,2026-08-12T12:00:00Z,124.8,3.6,3.0,4.0,0.6,0.6
2026-08-07T07:13:52Z,2026-08-12T18:00:00Z,130.8,2.2,3.0,2.0,-0.8,0.8
2026-08-07T10:39:14Z,2026-08-12T12:00:00Z,121.3,3.6,3.0,4.0,0.6,0.6
2026-08-07T10:39:14Z,2026-08-12T18:00:00Z,127.3,2.2,3.0,2.0,-0.8,0.8
2026-08-07T16:51:54Z,2026-08-12T18:00:00Z,121.1,5.0,3.0,2.0,2.0,2.0
