# Архангельск / Ветер / 5-10 дней / ECMWF IFS
# n=209, MAE=1.690, RMSE=1.960, bias=+1.034
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.960/1.825)^2 = -0.1539  (RMSE_персистентности по 209 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-11T12:00:00Z,122.2,7.21,4.0,2.0,3.21,3.21
2026-08-06T09:50:07Z,2026-08-11T15:00:00Z,125.2,6.71,4.0,2.0,2.71,2.71
2026-08-06T09:50:07Z,2026-08-11T18:00:00Z,128.2,5.92,2.0,2.0,3.92,3.92
2026-08-06T09:50:07Z,2026-08-11T21:00:00Z,131.2,4.39,1.0,2.0,3.39,3.39
2026-08-06T09:50:07Z,2026-08-12T00:00:00Z,134.2,3.67,1.0,2.0,2.67,2.67
2026-08-06T09:50:07Z,2026-08-12T03:00:00Z,137.2,3.4,1.0,2.0,2.4,2.4
2026-08-06T09:50:07Z,2026-08-12T06:00:00Z,140.2,3.22,2.0,3.0,1.22,1.22
2026-08-06T09:50:07Z,2026-08-12T09:00:00Z,143.2,2.78,2.0,4.0,0.78,0.78
2026-08-06T09:50:07Z,2026-08-12T12:00:00Z,146.2,1.53,3.0,4.0,-1.47,1.47
2026-08-06T09:50:07Z,2026-08-12T15:00:00Z,149.2,2.35,4.0,4.0,-1.65,1.65
2026-08-06T09:50:07Z,2026-08-12T18:00:00Z,152.2,5.77,3.0,2.0,2.77,2.77
2026-08-06T09:50:07Z,2026-08-12T21:00:00Z,155.2,5.71,3.0,1.0,2.71,2.71
2026-08-06T09:50:07Z,2026-08-13T00:00:00Z,158.2,4.96,3.0,1.0,1.96,1.96
2026-08-06T09:50:07Z,2026-08-13T03:00:00Z,161.2,4.77,4.0,1.0,0.77,0.77
2026-08-06T09:50:07Z,2026-08-13T06:00:00Z,164.2,4.75,5.0,2.0,-0.25,0.25
2026-08-06T09:50:07Z,2026-08-13T09:00:00Z,167.2,5.22,4.0,2.0,1.22,1.22
2026-08-06T09:50:07Z,2026-08-13T12:00:00Z,170.2,5.37,5.0,3.0,0.37,0.37
2026-08-06T09:50:07Z,2026-08-13T15:00:00Z,173.2,3.58,5.0,4.0,-1.42,1.42
2026-08-06T09:59:18Z,2026-08-11T12:00:00Z,122.0,7.21,4.0,2.0,3.21,3.21
2026-08-06T09:59:18Z,2026-08-11T15:00:00Z,125.0,6.71,4.0,2.0,2.71,2.71
2026-08-06T09:59:18Z,2026-08-11T18:00:00Z,128.0,5.92,2.0,2.0,3.92,3.92
2026-08-06T09:59:18Z,2026-08-11T21:00:00Z,131.0,4.39,1.0,2.0,3.39,3.39
2026-08-06T09:59:18Z,2026-08-12T00:00:00Z,134.0,3.67,1.0,2.0,2.67,2.67
2026-08-06T09:59:18Z,2026-08-12T03:00:00Z,137.0,3.4,1.0,2.0,2.4,2.4
2026-08-06T09:59:18Z,2026-08-12T06:00:00Z,140.0,3.22,2.0,3.0,1.22,1.22
2026-08-06T09:59:18Z,2026-08-12T09:00:00Z,143.0,2.78,2.0,4.0,0.78,0.78
2026-08-06T09:59:18Z,2026-08-12T12:00:00Z,146.0,1.53,3.0,4.0,-1.47,1.47
2026-08-06T09:59:18Z,2026-08-12T15:00:00Z,149.0,2.35,4.0,4.0,-1.65,1.65
2026-08-06T09:59:18Z,2026-08-12T18:00:00Z,152.0,5.77,3.0,2.0,2.77,2.77
2026-08-06T09:59:18Z,2026-08-12T21:00:00Z,155.0,5.71,3.0,1.0,2.71,2.71
2026-08-06T09:59:18Z,2026-08-13T00:00:00Z,158.0,4.96,3.0,1.0,1.96,1.96
2026-08-06T09:59:18Z,2026-08-13T03:00:00Z,161.0,4.77,4.0,1.0,0.77,0.77
2026-08-06T09:59:18Z,2026-08-13T06:00:00Z,164.0,4.75,5.0,2.0,-0.25,0.25
2026-08-06T09:59:18Z,2026-08-13T09:00:00Z,167.0,5.22,4.0,2.0,1.22,1.22
2026-08-06T09:59:18Z,2026-08-13T12:00:00Z,170.0,5.37,5.0,3.0,0.37,0.37
2026-08-06T09:59:18Z,2026-08-13T15:00:00Z,173.0,3.58,5.0,4.0,-1.42,1.42
2026-08-06T10:08:26Z,2026-08-11T12:00:00Z,121.9,7.21,4.0,2.0,3.21,3.21
2026-08-06T10:08:26Z,2026-08-11T15:00:00Z,124.9,6.71,4.0,2.0,2.71,2.71
2026-08-06T10:08:26Z,2026-08-11T18:00:00Z,127.9,5.92,2.0,2.0,3.92,3.92
2026-08-06T10:08:26Z,2026-08-11T21:00:00Z,130.9,4.39,1.0,2.0,3.39,3.39
2026-08-06T10:08:26Z,2026-08-12T00:00:00Z,133.9,3.67,1.0,2.0,2.67,2.67
2026-08-06T10:08:26Z,2026-08-12T03:00:00Z,136.9,3.4,1.0,2.0,2.4,2.4
2026-08-06T10:08:26Z,2026-08-12T06:00:00Z,139.9,3.22,2.0,3.0,1.22,1.22
2026-08-06T10:08:26Z,2026-08-12T09:00:00Z,142.9,2.78,2.0,4.0,0.78,0.78
2026-08-06T10:08:26Z,2026-08-12T12:00:00Z,145.9,1.53,3.0,4.0,-1.47,1.47
2026-08-06T10:08:26Z,2026-08-12T15:00:00Z,148.9,2.35,4.0,4.0,-1.65,1.65
2026-08-06T10:08:26Z,2026-08-12T18:00:00Z,151.9,5.77,3.0,2.0,2.77,2.77
2026-08-06T10:08:26Z,2026-08-12T21:00:00Z,154.9,5.71,3.0,1.0,2.71,2.71
2026-08-06T10:08:26Z,2026-08-13T00:00:00Z,157.9,4.96,3.0,1.0,1.96,1.96
