# Архангельск / Ветер / 5-10 дней / GFS (США)
# n=664, MAE=1.061, RMSE=1.307, bias=-0.135
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.307/1.502)^2 = 0.2422  (RMSE_персистентности по 664 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-11T12:00:00Z,122.2,4.53,4.0,2.0,0.53,0.53
2026-08-06T09:50:07Z,2026-08-11T15:00:00Z,125.2,3.18,4.0,2.0,-0.82,0.82
2026-08-06T09:50:07Z,2026-08-11T18:00:00Z,128.2,1.63,2.0,2.0,-0.37,0.37
2026-08-06T09:50:07Z,2026-08-11T21:00:00Z,131.2,0.58,1.0,2.0,-0.42,0.42
2026-08-06T09:50:07Z,2026-08-12T00:00:00Z,134.2,1.08,1.0,2.0,0.08,0.08
2026-08-06T09:50:07Z,2026-08-12T03:00:00Z,137.2,1.08,1.0,2.0,0.08,0.08
2026-08-06T09:50:07Z,2026-08-12T06:00:00Z,140.2,1.6,2.0,3.0,-0.4,0.4
2026-08-06T09:50:07Z,2026-08-12T09:00:00Z,143.2,2.6,2.0,4.0,0.6,0.6
2026-08-06T09:50:07Z,2026-08-12T12:00:00Z,146.2,4.11,3.0,4.0,1.11,1.11
2026-08-06T09:50:07Z,2026-08-12T15:00:00Z,149.2,2.92,4.0,4.0,-1.08,1.08
2026-08-06T09:50:07Z,2026-08-12T18:00:00Z,152.2,2.5,3.0,2.0,-0.5,0.5
2026-08-06T09:50:07Z,2026-08-12T21:00:00Z,155.2,3.22,3.0,1.0,0.22,0.22
2026-08-06T09:50:07Z,2026-08-13T00:00:00Z,158.2,3.12,3.0,1.0,0.12,0.12
2026-08-06T09:50:07Z,2026-08-13T03:00:00Z,161.2,3.73,4.0,1.0,-0.27,0.27
2026-08-06T09:50:07Z,2026-08-13T06:00:00Z,164.2,3.19,5.0,2.0,-1.81,1.81
2026-08-06T09:50:07Z,2026-08-13T09:00:00Z,167.2,4.69,4.0,2.0,0.69,0.69
2026-08-06T09:50:07Z,2026-08-13T12:00:00Z,170.2,4.68,5.0,3.0,-0.32,0.32
2026-08-06T09:50:07Z,2026-08-13T15:00:00Z,173.2,2.48,5.0,4.0,-2.52,2.52
2026-08-06T09:50:07Z,2026-08-13T18:00:00Z,176.2,1.44,4.0,3.0,-2.56,2.56
2026-08-06T09:50:07Z,2026-08-13T21:00:00Z,179.2,2.34,4.0,3.0,-1.66,1.66
2026-08-06T09:50:07Z,2026-08-14T00:00:00Z,182.2,2.3,3.0,3.0,-0.7,0.7
2026-08-06T09:50:07Z,2026-08-14T03:00:00Z,185.2,2.16,3.0,4.0,-0.84,0.84
2026-08-06T09:50:07Z,2026-08-14T06:00:00Z,188.2,1.3,3.0,5.0,-1.7,1.7
2026-08-06T09:50:07Z,2026-08-14T09:00:00Z,191.2,1.64,3.0,4.0,-1.36,1.36
2026-08-06T09:50:07Z,2026-08-14T12:00:00Z,194.2,0.82,3.0,5.0,-2.18,2.18
2026-08-06T09:50:07Z,2026-08-14T15:00:00Z,197.2,1.75,3.0,5.0,-1.25,1.25
2026-08-06T09:50:07Z,2026-08-14T18:00:00Z,200.2,0.57,3.0,4.0,-2.43,2.43
2026-08-06T09:50:07Z,2026-08-14T21:00:00Z,203.2,1.58,2.0,4.0,-0.42,0.42
2026-08-06T09:50:07Z,2026-08-15T00:00:00Z,206.2,2.6,2.0,3.0,0.6,0.6
2026-08-06T09:50:07Z,2026-08-15T03:00:00Z,209.2,2.41,1.0,3.0,1.41,1.41
2026-08-06T09:50:07Z,2026-08-15T06:00:00Z,212.2,2.82,2.0,3.0,0.82,0.82
2026-08-06T09:50:07Z,2026-08-15T09:00:00Z,215.2,1.25,2.0,3.0,-0.75,0.75
2026-08-06T09:50:07Z,2026-08-15T12:00:00Z,218.2,1.61,2.0,3.0,-0.39,0.39
2026-08-06T09:50:07Z,2026-08-15T15:00:00Z,221.2,1.35,1.0,3.0,0.35,0.35
2026-08-06T09:50:07Z,2026-08-15T18:00:00Z,224.2,1.66,2.0,3.0,-0.34,0.34
2026-08-06T09:50:07Z,2026-08-15T21:00:00Z,227.2,1.86,2.0,2.0,-0.14,0.14
2026-08-06T09:59:18Z,2026-08-11T12:00:00Z,122.0,4.53,4.0,2.0,0.53,0.53
2026-08-06T09:59:18Z,2026-08-11T15:00:00Z,125.0,3.18,4.0,2.0,-0.82,0.82
2026-08-06T09:59:18Z,2026-08-11T18:00:00Z,128.0,1.63,2.0,2.0,-0.37,0.37
2026-08-06T09:59:18Z,2026-08-11T21:00:00Z,131.0,0.58,1.0,2.0,-0.42,0.42
2026-08-06T09:59:18Z,2026-08-12T00:00:00Z,134.0,1.08,1.0,2.0,0.08,0.08
2026-08-06T09:59:18Z,2026-08-12T03:00:00Z,137.0,1.08,1.0,2.0,0.08,0.08
2026-08-06T09:59:18Z,2026-08-12T06:00:00Z,140.0,1.6,2.0,3.0,-0.4,0.4
2026-08-06T09:59:18Z,2026-08-12T09:00:00Z,143.0,2.6,2.0,4.0,0.6,0.6
2026-08-06T09:59:18Z,2026-08-12T12:00:00Z,146.0,4.11,3.0,4.0,1.11,1.11
2026-08-06T09:59:18Z,2026-08-12T15:00:00Z,149.0,2.92,4.0,4.0,-1.08,1.08
2026-08-06T09:59:18Z,2026-08-12T18:00:00Z,152.0,2.5,3.0,2.0,-0.5,0.5
2026-08-06T09:59:18Z,2026-08-12T21:00:00Z,155.0,3.22,3.0,1.0,0.22,0.22
2026-08-06T09:59:18Z,2026-08-13T00:00:00Z,158.0,3.12,3.0,1.0,0.12,0.12
2026-08-06T09:59:18Z,2026-08-13T03:00:00Z,161.0,3.73,4.0,1.0,-0.27,0.27
2026-08-06T09:59:18Z,2026-08-13T06:00:00Z,164.0,3.19,5.0,2.0,-1.81,1.81
2026-08-06T09:59:18Z,2026-08-13T09:00:00Z,167.0,4.69,4.0,2.0,0.69,0.69
2026-08-06T09:59:18Z,2026-08-13T12:00:00Z,170.0,4.68,5.0,3.0,-0.32,0.32
2026-08-06T09:59:18Z,2026-08-13T15:00:00Z,173.0,2.48,5.0,4.0,-2.52,2.52
2026-08-06T09:59:18Z,2026-08-13T18:00:00Z,176.0,1.44,4.0,3.0,-2.56,2.56
2026-08-06T09:59:18Z,2026-08-13T21:00:00Z,179.0,2.34,4.0,3.0,-1.66,1.66
2026-08-06T09:59:18Z,2026-08-14T00:00:00Z,182.0,2.3,3.0,3.0,-0.7,0.7
2026-08-06T09:59:18Z,2026-08-14T03:00:00Z,185.0,2.16,3.0,4.0,-0.84,0.84
2026-08-06T09:59:18Z,2026-08-14T06:00:00Z,188.0,1.3,3.0,5.0,-1.7,1.7
2026-08-06T09:59:18Z,2026-08-14T09:00:00Z,191.0,1.64,3.0,4.0,-1.36,1.36
2026-08-06T09:59:18Z,2026-08-14T12:00:00Z,194.0,0.82,3.0,5.0,-2.18,2.18
2026-08-06T09:59:18Z,2026-08-14T15:00:00Z,197.0,1.75,3.0,5.0,-1.25,1.25
2026-08-06T09:59:18Z,2026-08-14T18:00:00Z,200.0,0.57,3.0,4.0,-2.43,2.43
2026-08-06T09:59:18Z,2026-08-14T21:00:00Z,203.0,1.58,2.0,4.0,-0.42,0.42
2026-08-06T09:59:18Z,2026-08-15T00:00:00Z,206.0,2.6,2.0,3.0,0.6,0.6
2026-08-06T09:59:18Z,2026-08-15T03:00:00Z,209.0,2.41,1.0,3.0,1.41,1.41
2026-08-06T09:59:18Z,2026-08-15T06:00:00Z,212.0,2.82,2.0,3.0,0.82,0.82
2026-08-06T09:59:18Z,2026-08-15T09:00:00Z,215.0,1.25,2.0,3.0,-0.75,0.75
2026-08-06T09:59:18Z,2026-08-15T12:00:00Z,218.0,1.61,2.0,3.0,-0.39,0.39
2026-08-06T09:59:18Z,2026-08-15T15:00:00Z,221.0,1.35,1.0,3.0,0.35,0.35
2026-08-06T09:59:18Z,2026-08-15T18:00:00Z,224.0,1.66,2.0,3.0,-0.34,0.34
2026-08-06T09:59:18Z,2026-08-15T21:00:00Z,227.0,1.86,2.0,2.0,-0.14,0.14
2026-08-06T10:08:26Z,2026-08-11T12:00:00Z,121.9,4.53,4.0,2.0,0.53,0.53
2026-08-06T10:08:26Z,2026-08-11T15:00:00Z,124.9,3.18,4.0,2.0,-0.82,0.82
2026-08-06T10:08:26Z,2026-08-11T18:00:00Z,127.9,1.63,2.0,2.0,-0.37,0.37
2026-08-06T10:08:26Z,2026-08-11T21:00:00Z,130.9,0.58,1.0,2.0,-0.42,0.42
2026-08-06T10:08:26Z,2026-08-12T00:00:00Z,133.9,1.08,1.0,2.0,0.08,0.08
2026-08-06T10:08:26Z,2026-08-12T03:00:00Z,136.9,1.08,1.0,2.0,0.08,0.08
2026-08-06T10:08:26Z,2026-08-12T06:00:00Z,139.9,1.6,2.0,3.0,-0.4,0.4
2026-08-06T10:08:26Z,2026-08-12T09:00:00Z,142.9,2.6,2.0,4.0,0.6,0.6
2026-08-06T10:08:26Z,2026-08-12T12:00:00Z,145.9,4.11,3.0,4.0,1.11,1.11
2026-08-06T10:08:26Z,2026-08-12T15:00:00Z,148.9,2.92,4.0,4.0,-1.08,1.08
2026-08-06T10:08:26Z,2026-08-12T18:00:00Z,151.9,2.5,3.0,2.0,-0.5,0.5
2026-08-06T10:08:26Z,2026-08-12T21:00:00Z,154.9,3.22,3.0,1.0,0.22,0.22
2026-08-06T10:08:26Z,2026-08-13T00:00:00Z,157.9,3.12,3.0,1.0,0.12,0.12
2026-08-06T10:08:26Z,2026-08-13T03:00:00Z,160.9,3.73,4.0,1.0,-0.27,0.27
2026-08-06T10:08:26Z,2026-08-13T06:00:00Z,163.9,3.19,5.0,2.0,-1.81,1.81
2026-08-06T10:08:26Z,2026-08-13T09:00:00Z,166.9,4.69,4.0,2.0,0.69,0.69
