# Архангельск / Ветер / 5-10 дней / JMA (Япония)
# n=458, MAE=1.290, RMSE=1.674, bias=-0.754
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.674/1.659)^2 = -0.0189  (RMSE_персистентности по 458 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-11T12:00:00Z,122.2,3.98,4.0,2.0,-0.02,0.02
2026-08-06T09:50:07Z,2026-08-11T15:00:00Z,125.2,3.76,4.0,2.0,-0.24,0.24
2026-08-06T09:50:07Z,2026-08-11T18:00:00Z,128.2,3.38,2.0,2.0,1.38,1.38
2026-08-06T09:50:07Z,2026-08-11T21:00:00Z,131.2,3.47,1.0,2.0,2.47,2.47
2026-08-06T09:50:07Z,2026-08-12T00:00:00Z,134.2,3.68,1.0,2.0,2.68,2.68
2026-08-06T09:50:07Z,2026-08-12T03:00:00Z,137.2,3.68,1.0,2.0,2.68,2.68
2026-08-06T09:50:07Z,2026-08-12T06:00:00Z,140.2,3.42,2.0,3.0,1.42,1.42
2026-08-06T09:50:07Z,2026-08-12T09:00:00Z,143.2,2.91,2.0,4.0,0.91,0.91
2026-08-06T09:50:07Z,2026-08-12T12:00:00Z,146.2,2.38,3.0,4.0,-0.62,0.62
2026-08-06T09:50:07Z,2026-08-12T15:00:00Z,149.2,1.84,4.0,4.0,-2.16,2.16
2026-08-06T09:50:07Z,2026-08-12T18:00:00Z,152.2,1.42,3.0,2.0,-1.58,1.58
2026-08-06T09:50:07Z,2026-08-12T21:00:00Z,155.2,1.28,3.0,1.0,-1.72,1.72
2026-08-06T09:50:07Z,2026-08-13T00:00:00Z,158.2,1.08,3.0,1.0,-1.92,1.92
2026-08-06T09:50:07Z,2026-08-13T03:00:00Z,161.2,0.72,4.0,1.0,-3.28,3.28
2026-08-06T09:50:07Z,2026-08-13T06:00:00Z,164.2,0.28,5.0,2.0,-4.72,4.72
2026-08-06T09:50:07Z,2026-08-13T09:00:00Z,167.2,0.71,4.0,2.0,-3.29,3.29
2026-08-06T09:50:07Z,2026-08-13T12:00:00Z,170.2,1.55,5.0,3.0,-3.45,3.45
2026-08-06T09:50:07Z,2026-08-13T15:00:00Z,173.2,1.49,5.0,4.0,-3.51,3.51
2026-08-06T09:50:07Z,2026-08-13T18:00:00Z,176.2,1.2,4.0,3.0,-2.8,2.8
2026-08-06T09:50:07Z,2026-08-13T21:00:00Z,179.2,2.2,4.0,3.0,-1.8,1.8
2026-08-06T09:50:07Z,2026-08-14T00:00:00Z,182.2,3.37,3.0,3.0,0.37,0.37
