# Архангельск / Ветер / 5-10 дней / Apple Погода
# n=119, MAE=0.980, RMSE=1.145, bias=-0.056
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.145/1.903)^2 = 0.6379  (RMSE_персистентности по 119 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:36:01Z,2026-08-11T12:00:00Z,120.4,4.414,4.0,2.0,0.414,0.414
2026-08-06T11:36:01Z,2026-08-11T15:00:00Z,123.4,3.825,4.0,2.0,-0.175,0.175
2026-08-06T11:36:01Z,2026-08-11T18:00:00Z,126.4,3.011,2.0,2.0,1.011,1.011
2026-08-06T11:36:01Z,2026-08-11T21:00:00Z,129.4,2.689,1.0,2.0,1.689,1.689
2026-08-06T11:36:01Z,2026-08-12T00:00:00Z,132.4,2.414,1.0,2.0,1.414,1.414
2026-08-06T11:36:01Z,2026-08-12T03:00:00Z,135.4,2.233,1.0,2.0,1.233,1.233
2026-08-06T11:36:01Z,2026-08-12T06:00:00Z,138.4,2.581,2.0,3.0,0.581,0.581
2026-08-06T11:36:01Z,2026-08-12T09:00:00Z,141.4,2.314,2.0,4.0,0.314,0.314
2026-08-06T11:36:01Z,2026-08-12T12:00:00Z,144.4,2.608,3.0,4.0,-0.392,0.392
2026-08-06T11:36:01Z,2026-08-12T15:00:00Z,147.4,3.392,4.0,4.0,-0.608,0.608
2026-08-06T11:36:01Z,2026-08-12T18:00:00Z,150.4,3.761,3.0,2.0,0.761,0.761
2026-08-06T11:36:01Z,2026-08-12T21:00:00Z,153.4,3.872,3.0,1.0,0.872,0.872
2026-08-06T11:36:01Z,2026-08-13T00:00:00Z,156.4,3.644,3.0,1.0,0.644,0.644
2026-08-06T11:36:01Z,2026-08-13T03:00:00Z,159.4,3.747,4.0,1.0,-0.253,0.253
2026-08-06T11:36:01Z,2026-08-13T06:00:00Z,162.4,4.275,5.0,2.0,-0.725,0.725
2026-08-06T11:36:01Z,2026-08-13T09:00:00Z,165.4,4.544,4.0,2.0,0.544,0.544
2026-08-06T11:36:01Z,2026-08-13T12:00:00Z,168.4,4.322,5.0,3.0,-0.678,0.678
2026-08-06T11:36:01Z,2026-08-13T15:00:00Z,171.4,3.411,5.0,4.0,-1.589,1.589
2026-08-06T11:44:08Z,2026-08-11T12:00:00Z,120.3,4.414,4.0,2.0,0.414,0.414
2026-08-06T11:44:08Z,2026-08-11T15:00:00Z,123.3,3.825,4.0,2.0,-0.175,0.175
2026-08-06T11:44:08Z,2026-08-11T18:00:00Z,126.3,3.011,2.0,2.0,1.011,1.011
2026-08-06T11:44:08Z,2026-08-11T21:00:00Z,129.3,2.689,1.0,2.0,1.689,1.689
2026-08-06T11:44:08Z,2026-08-12T00:00:00Z,132.3,2.414,1.0,2.0,1.414,1.414
2026-08-06T11:44:08Z,2026-08-12T03:00:00Z,135.3,2.233,1.0,2.0,1.233,1.233
2026-08-06T11:44:08Z,2026-08-12T06:00:00Z,138.3,2.581,2.0,3.0,0.581,0.581
2026-08-06T11:44:08Z,2026-08-12T09:00:00Z,141.3,2.314,2.0,4.0,0.314,0.314
2026-08-06T11:44:08Z,2026-08-12T12:00:00Z,144.3,2.608,3.0,4.0,-0.392,0.392
2026-08-06T11:44:08Z,2026-08-12T15:00:00Z,147.3,3.392,4.0,4.0,-0.608,0.608
2026-08-06T11:44:08Z,2026-08-12T18:00:00Z,150.3,3.761,3.0,2.0,0.761,0.761
2026-08-06T11:44:08Z,2026-08-12T21:00:00Z,153.3,3.872,3.0,1.0,0.872,0.872
2026-08-06T11:44:08Z,2026-08-13T00:00:00Z,156.3,3.644,3.0,1.0,0.644,0.644
2026-08-06T11:44:08Z,2026-08-13T03:00:00Z,159.3,3.747,4.0,1.0,-0.253,0.253
2026-08-06T11:44:08Z,2026-08-13T06:00:00Z,162.3,4.275,5.0,2.0,-0.725,0.725
2026-08-06T11:44:08Z,2026-08-13T09:00:00Z,165.3,4.544,4.0,2.0,0.544,0.544
