# Архангельск / Ветер / 6-24ч / GFS (США)
# n=380, MAE=1.328, RMSE=1.613, bias=+1.226
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.613/1.247)^2 = -0.6719  (RMSE_персистентности по 380 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-06T18:00:00Z,8.2,0.94,1.0,1.0,-0.06,0.06
2026-08-06T09:50:07Z,2026-08-06T21:00:00Z,11.2,1.86,1.0,1.0,0.86,0.86
2026-08-06T09:50:07Z,2026-08-07T00:00:00Z,14.2,3.68,1.0,1.0,2.68,2.68
2026-08-06T09:50:07Z,2026-08-07T03:00:00Z,17.2,3.36,3.0,1.0,0.36,0.36
2026-08-06T09:50:07Z,2026-08-07T06:00:00Z,20.2,2.46,3.0,1.0,-0.54,0.54
2026-08-06T09:50:07Z,2026-08-07T09:00:00Z,23.2,3.73,1.0,1.0,2.73,2.73
2026-08-06T09:59:18Z,2026-08-06T18:00:00Z,8.0,0.94,1.0,1.0,-0.06,0.06
2026-08-06T09:59:18Z,2026-08-06T21:00:00Z,11.0,1.86,1.0,1.0,0.86,0.86
2026-08-06T09:59:18Z,2026-08-07T00:00:00Z,14.0,3.68,1.0,1.0,2.68,2.68
2026-08-06T09:59:18Z,2026-08-07T03:00:00Z,17.0,3.36,3.0,1.0,0.36,0.36
2026-08-06T09:59:18Z,2026-08-07T06:00:00Z,20.0,2.46,3.0,1.0,-0.54,0.54
2026-08-06T09:59:18Z,2026-08-07T09:00:00Z,23.0,3.73,1.0,1.0,2.73,2.73
2026-08-06T10:08:26Z,2026-08-06T18:00:00Z,7.9,0.94,1.0,1.0,-0.06,0.06
2026-08-06T10:08:26Z,2026-08-06T21:00:00Z,10.9,1.86,1.0,1.0,0.86,0.86
2026-08-06T10:08:26Z,2026-08-07T00:00:00Z,13.9,3.68,1.0,1.0,2.68,2.68
2026-08-06T10:08:26Z,2026-08-07T03:00:00Z,16.9,3.36,3.0,1.0,0.36,0.36
2026-08-06T10:08:26Z,2026-08-07T06:00:00Z,19.9,2.46,3.0,1.0,-0.54,0.54
2026-08-06T10:08:26Z,2026-08-07T09:00:00Z,22.9,3.73,1.0,1.0,2.73,2.73
2026-08-06T10:47:54Z,2026-08-06T18:00:00Z,7.2,0.94,1.0,1.0,-0.06,0.06
2026-08-06T10:47:54Z,2026-08-06T21:00:00Z,10.2,1.86,1.0,1.0,0.86,0.86
2026-08-06T10:47:54Z,2026-08-07T00:00:00Z,13.2,3.68,1.0,1.0,2.68,2.68
2026-08-06T10:47:54Z,2026-08-07T03:00:00Z,16.2,3.36,3.0,1.0,0.36,0.36
2026-08-06T10:47:54Z,2026-08-07T06:00:00Z,19.2,2.46,3.0,1.0,-0.54,0.54
