# Архангельск / Ветер / 6-24ч / UKMO (Британия)
# n=376, MAE=1.455, RMSE=1.742, bias=+1.417
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.742/1.239)^2 = -0.9772  (RMSE_персистентности по 376 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T09:50:07Z,2026-08-06T18:00:00Z,8.2,2.6,1.0,1.0,1.6,1.6
2026-08-06T09:50:07Z,2026-08-06T21:00:00Z,11.2,2.6,1.0,1.0,1.6,1.6
2026-08-06T09:50:07Z,2026-08-07T00:00:00Z,14.2,4.0,1.0,1.0,3.0,3.0
2026-08-06T09:50:07Z,2026-08-07T03:00:00Z,17.2,3.3,3.0,1.0,0.3,0.3
2026-08-06T09:50:07Z,2026-08-07T06:00:00Z,20.2,2.8,3.0,1.0,-0.2,0.2
2026-08-06T09:50:07Z,2026-08-07T09:00:00Z,23.2,5.9,1.0,1.0,4.9,4.9
2026-08-06T09:59:18Z,2026-08-06T18:00:00Z,8.0,2.6,1.0,1.0,1.6,1.6
2026-08-06T09:59:18Z,2026-08-06T21:00:00Z,11.0,2.6,1.0,1.0,1.6,1.6
2026-08-06T09:59:18Z,2026-08-07T00:00:00Z,14.0,4.0,1.0,1.0,3.0,3.0
2026-08-06T09:59:18Z,2026-08-07T03:00:00Z,17.0,3.3,3.0,1.0,0.3,0.3
2026-08-06T09:59:18Z,2026-08-07T06:00:00Z,20.0,2.8,3.0,1.0,-0.2,0.2
2026-08-06T09:59:18Z,2026-08-07T09:00:00Z,23.0,5.9,1.0,1.0,4.9,4.9
2026-08-06T10:08:26Z,2026-08-06T18:00:00Z,7.9,2.6,1.0,1.0,1.6,1.6
2026-08-06T10:08:26Z,2026-08-06T21:00:00Z,10.9,2.6,1.0,1.0,1.6,1.6
2026-08-06T10:08:26Z,2026-08-07T00:00:00Z,13.9,4.0,1.0,1.0,3.0,3.0
2026-08-06T10:08:26Z,2026-08-07T03:00:00Z,16.9,3.3,3.0,1.0,0.3,0.3
2026-08-06T10:08:26Z,2026-08-07T06:00:00Z,19.9,2.8,3.0,1.0,-0.2,0.2
2026-08-06T10:08:26Z,2026-08-07T09:00:00Z,22.9,5.9,1.0,1.0,4.9,4.9
2026-08-06T10:47:54Z,2026-08-06T18:00:00Z,7.2,2.6,1.0,1.0,1.6,1.6
2026-08-06T10:47:54Z,2026-08-06T21:00:00Z,10.2,2.6,1.0,1.0,1.6,1.6
2026-08-06T10:47:54Z,2026-08-07T00:00:00Z,13.2,4.0,1.0,1.0,3.0,3.0
2026-08-06T10:47:54Z,2026-08-07T03:00:00Z,16.2,3.3,3.0,1.0,0.3,0.3
2026-08-06T10:47:54Z,2026-08-07T06:00:00Z,19.2,2.8,3.0,1.0,-0.2,0.2
2026-08-06T10:47:54Z,2026-08-07T09:00:00Z,22.2,5.9,1.0,1.0,4.9,4.9
2026-08-06T11:30:42Z,2026-08-06T18:00:00Z,6.5,2.6,1.0,1.0,1.6,1.6
2026-08-06T11:30:42Z,2026-08-06T21:00:00Z,9.5,2.6,1.0,1.0,1.6,1.6
2026-08-06T11:30:42Z,2026-08-07T00:00:00Z,12.5,4.0,1.0,1.0,3.0,3.0
