# Архангельск / Ветер / 6-24ч / WeatherAPI.com
# n=555, MAE=1.445, RMSE=1.807, bias=+1.344
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.807/1.257)^2 = -1.0659  (RMSE_персистентности по 555 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T10:47:54Z,2026-08-06T18:00:00Z,7.2,0.889,1.0,1.0,-0.111,0.111
2026-08-06T10:47:54Z,2026-08-06T21:00:00Z,10.2,1.889,1.0,2.0,0.889,0.889
2026-08-06T10:47:54Z,2026-08-07T00:00:00Z,13.2,2.0,1.0,2.0,1.0,1.0
2026-08-06T10:47:54Z,2026-08-07T03:00:00Z,16.2,3.611,3.0,0.0,0.611,0.611
2026-08-06T10:47:54Z,2026-08-07T06:00:00Z,19.2,3.806,3.0,1.0,0.806,0.806
2026-08-06T10:47:54Z,2026-08-07T09:00:00Z,22.2,2.889,1.0,1.0,1.889,1.889
2026-08-06T11:30:42Z,2026-08-06T18:00:00Z,6.5,0.889,1.0,1.0,-0.111,0.111
2026-08-06T11:30:42Z,2026-08-06T21:00:00Z,9.5,1.889,1.0,2.0,0.889,0.889
2026-08-06T11:30:42Z,2026-08-07T00:00:00Z,12.5,2.0,1.0,2.0,1.0,1.0
2026-08-06T11:30:42Z,2026-08-07T03:00:00Z,15.5,3.611,3.0,0.0,0.611,0.611
2026-08-06T11:30:42Z,2026-08-07T06:00:00Z,18.5,3.806,3.0,1.0,0.806,0.806
2026-08-06T11:30:42Z,2026-08-07T09:00:00Z,21.5,2.889,1.0,1.0,1.889,1.889
2026-08-06T11:36:01Z,2026-08-06T18:00:00Z,6.4,0.889,1.0,1.0,-0.111,0.111
2026-08-06T11:36:01Z,2026-08-06T21:00:00Z,9.4,1.889,1.0,2.0,0.889,0.889
2026-08-06T11:36:01Z,2026-08-07T00:00:00Z,12.4,2.0,1.0,2.0,1.0,1.0
2026-08-06T11:36:01Z,2026-08-07T03:00:00Z,15.4,3.611,3.0,0.0,0.611,0.611
2026-08-06T11:36:01Z,2026-08-07T06:00:00Z,18.4,3.806,3.0,1.0,0.806,0.806
2026-08-06T11:36:01Z,2026-08-07T09:00:00Z,21.4,2.889,1.0,1.0,1.889,1.889
2026-08-06T11:44:08Z,2026-08-06T18:00:00Z,6.3,0.889,1.0,1.0,-0.111,0.111
2026-08-06T11:44:08Z,2026-08-06T21:00:00Z,9.3,1.889,1.0,2.0,0.889,0.889
2026-08-06T11:44:08Z,2026-08-07T00:00:00Z,12.3,2.0,1.0,2.0,1.0,1.0
2026-08-06T11:44:08Z,2026-08-07T03:00:00Z,15.3,3.611,3.0,0.0,0.611,0.611
2026-08-06T11:44:08Z,2026-08-07T06:00:00Z,18.3,3.806,3.0,1.0,0.806,0.806
2026-08-06T11:44:08Z,2026-08-07T09:00:00Z,21.3,2.889,1.0,1.0,1.889,1.889
2026-08-07T01:31:32Z,2026-08-07T09:00:00Z,7.5,3.694,1.0,1.0,2.694,2.694
2026-08-07T01:31:32Z,2026-08-07T12:00:00Z,10.5,2.611,1.0,1.0,1.611,1.611
2026-08-07T01:31:32Z,2026-08-07T15:00:00Z,13.5,1.306,1.0,1.0,0.306,0.306
2026-08-07T01:31:32Z,2026-08-07T18:00:00Z,16.5,2.194,1.0,1.0,1.194,1.194
2026-08-07T01:31:32Z,2026-08-07T21:00:00Z,19.5,1.389,1.0,1.0,0.389,0.389
2026-08-07T01:31:32Z,2026-08-08T00:00:00Z,22.5,1.306,1.0,1.0,0.306,0.306
2026-08-07T05:36:00Z,2026-08-07T12:00:00Z,6.4,3.5,1.0,1.0,2.5,2.5
2026-08-07T05:36:00Z,2026-08-07T15:00:00Z,9.4,1.611,1.0,1.0,0.611,0.611
2026-08-07T05:36:00Z,2026-08-07T18:00:00Z,12.4,1.806,1.0,1.0,0.806,0.806
2026-08-07T05:36:00Z,2026-08-07T21:00:00Z,15.4,1.889,1.0,1.0,0.889,0.889
2026-08-07T05:36:00Z,2026-08-08T00:00:00Z,18.4,1.194,1.0,1.0,0.194,0.194
2026-08-07T05:36:00Z,2026-08-08T03:00:00Z,21.4,0.5,1.0,3.0,-0.5,0.5
2026-08-07T06:18:59Z,2026-08-07T15:00:00Z,8.7,1.611,1.0,1.0,0.611,0.611
2026-08-07T06:18:59Z,2026-08-07T18:00:00Z,11.7,1.806,1.0,1.0,0.806,0.806
2026-08-07T06:18:59Z,2026-08-07T21:00:00Z,14.7,1.889,1.0,1.0,0.889,0.889
2026-08-07T06:18:59Z,2026-08-08T00:00:00Z,17.7,1.194,1.0,1.0,0.194,0.194
2026-08-07T06:18:59Z,2026-08-08T03:00:00Z,20.7,0.5,1.0,3.0,-0.5,0.5
2026-08-07T06:18:59Z,2026-08-08T06:00:00Z,23.7,0.806,1.0,3.0,-0.194,0.194
2026-08-07T07:13:52Z,2026-08-07T15:00:00Z,7.8,2.111,1.0,1.0,1.111,1.111
