# Архангельск / Ветер / 0-6ч, 6-24ч, 1-2 дня, 2-3 дня, 3-5 дней, 5-10 дней / ICON (Германия)
# n=2923, MAE=0.925, RMSE=1.143, bias=+0.451
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.143/1.261)^2 = 0.1785  (RMSE_персистентности по 2923 пар(ам))
# persistence baseline = смешанный (разный по периодам в пуле) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
# «Общий» = объединённый пул пар из периодов: 0-6ч, 6-24ч, 1-2 дня, 2-3 дня, 3-5 дней, 5-10 дней - метрика посчитана заново по всему пулу, а не усреднена по периодам
#
bucket,fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
0-6ч,2026-08-06T09:50:07Z,2026-08-06T12:00:00Z,2.2,1.92,1.0,1.0,0.92,0.92
0-6ч,2026-08-06T09:50:07Z,2026-08-06T15:00:00Z,5.2,1.62,1.0,1.0,0.62,0.62
0-6ч,2026-08-06T09:59:18Z,2026-08-06T12:00:00Z,2.0,1.92,1.0,1.0,0.92,0.92
0-6ч,2026-08-06T09:59:18Z,2026-08-06T15:00:00Z,5.0,1.62,1.0,1.0,0.62,0.62
0-6ч,2026-08-06T10:08:26Z,2026-08-06T12:00:00Z,1.9,1.92,1.0,1.0,0.92,0.92
0-6ч,2026-08-06T10:08:26Z,2026-08-06T15:00:00Z,4.9,1.62,1.0,1.0,0.62,0.62
0-6ч,2026-08-06T10:47:54Z,2026-08-06T12:00:00Z,1.2,1.92,1.0,1.0,0.92,0.92
0-6ч,2026-08-06T10:47:54Z,2026-08-06T15:00:00Z,4.2,1.62,1.0,1.0,0.62,0.62
0-6ч,2026-08-06T11:30:42Z,2026-08-06T12:00:00Z,0.5,1.92,1.0,1.0,0.92,0.92
0-6ч,2026-08-06T11:30:42Z,2026-08-06T15:00:00Z,3.5,1.62,1.0,1.0,0.62,0.62
0-6ч,2026-08-06T11:36:01Z,2026-08-06T12:00:00Z,0.4,1.92,1.0,1.0,0.92,0.92
0-6ч,2026-08-06T11:36:01Z,2026-08-06T15:00:00Z,3.4,1.62,1.0,1.0,0.62,0.62
0-6ч,2026-08-06T11:44:08Z,2026-08-06T12:00:00Z,0.3,1.92,1.0,1.0,0.92,0.92
0-6ч,2026-08-06T11:44:08Z,2026-08-06T15:00:00Z,3.3,1.62,1.0,1.0,0.62,0.62
0-6ч,2026-08-07T01:31:32Z,2026-08-07T03:00:00Z,1.5,2.89,3.0,1.0,-0.11,0.11
0-6ч,2026-08-07T01:31:32Z,2026-08-07T06:00:00Z,4.5,2.84,3.0,1.0,-0.16,0.16
0-6ч,2026-08-07T05:36:00Z,2026-08-07T06:00:00Z,0.4,2.87,3.0,3.0,-0.13,0.13
0-6ч,2026-08-07T05:36:00Z,2026-08-07T09:00:00Z,3.4,2.2,1.0,3.0,1.2,1.2
0-6ч,2026-08-07T06:18:59Z,2026-08-07T09:00:00Z,2.7,2.7,1.0,3.0,1.7,1.7
0-6ч,2026-08-07T06:18:59Z,2026-08-07T12:00:00Z,5.7,3.34,1.0,3.0,2.34,2.34
0-6ч,2026-08-07T07:13:52Z,2026-08-07T09:00:00Z,1.8,2.7,1.0,3.0,1.7,1.7
0-6ч,2026-08-07T07:13:52Z,2026-08-07T12:00:00Z,4.8,3.34,1.0,3.0,2.34,2.34
0-6ч,2026-08-07T10:39:14Z,2026-08-07T12:00:00Z,1.3,3.35,1.0,1.0,2.35,2.35
0-6ч,2026-08-07T10:39:14Z,2026-08-07T15:00:00Z,4.3,1.8,1.0,1.0,0.8,0.8
0-6ч,2026-08-07T16:51:54Z,2026-08-07T18:00:00Z,1.1,1.46,1.0,1.0,0.46,0.46
0-6ч,2026-08-07T16:51:54Z,2026-08-07T21:00:00Z,4.1,1.7,1.0,1.0,0.7,0.7
0-6ч,2026-08-07T22:45:57Z,2026-08-08T00:00:00Z,1.2,1.24,1.0,1.0,0.24,0.24
0-6ч,2026-08-07T22:45:57Z,2026-08-08T03:00:00Z,4.2,0.91,1.0,1.0,-0.09,0.09
0-6ч,2026-08-07T23:19:23Z,2026-08-08T00:00:00Z,0.7,1.24,1.0,1.0,0.24,0.24
0-6ч,2026-08-07T23:19:23Z,2026-08-08T03:00:00Z,3.7,0.91,1.0,1.0,-0.09,0.09
0-6ч,2026-08-08T04:50:53Z,2026-08-08T06:00:00Z,1.2,1.12,1.0,1.0,0.12,0.12
0-6ч,2026-08-08T04:50:53Z,2026-08-08T09:00:00Z,4.2,1.02,1.0,1.0,0.02,0.02
0-6ч,2026-08-08T10:18:13Z,2026-08-08T12:00:00Z,1.7,1.41,2.0,1.0,-0.59,0.59
0-6ч,2026-08-08T10:18:13Z,2026-08-08T15:00:00Z,4.7,1.63,1.0,1.0,0.63,0.63
0-6ч,2026-08-08T22:37:20Z,2026-08-09T00:00:00Z,1.4,2.41,2.0,2.0,0.41,0.41
0-6ч,2026-08-08T22:37:20Z,2026-08-09T03:00:00Z,4.4,3.0,2.0,2.0,1.0,1.0
0-6ч,2026-08-09T04:59:03Z,2026-08-09T06:00:00Z,1.0,2.66,2.0,2.0,0.66,0.66
0-6ч,2026-08-09T04:59:03Z,2026-08-09T09:00:00Z,4.0,3.34,3.0,2.0,0.34,0.34
0-6ч,2026-08-09T10:19:29Z,2026-08-09T12:00:00Z,1.7,3.31,2.0,3.0,1.31,1.31
0-6ч,2026-08-09T10:19:29Z,2026-08-09T15:00:00Z,4.7,2.33,2.0,3.0,0.33,0.33
0-6ч,2026-08-09T12:41:38Z,2026-08-09T15:00:00Z,2.3,2.47,2.0,2.0,0.47,0.47
0-6ч,2026-08-09T12:41:38Z,2026-08-09T18:00:00Z,5.3,1.0,0.0,2.0,1.0,1.0
0-6ч,2026-08-09T12:45:53Z,2026-08-09T15:00:00Z,2.2,2.47,2.0,2.0,0.47,0.47
0-6ч,2026-08-09T12:45:53Z,2026-08-09T18:00:00Z,5.2,1.0,0.0,2.0,1.0,1.0
0-6ч,2026-08-09T12:48:15Z,2026-08-09T15:00:00Z,2.2,2.47,2.0,2.0,0.47,0.47
0-6ч,2026-08-09T12:48:15Z,2026-08-09T18:00:00Z,5.2,1.0,0.0,2.0,1.0,1.0
